Player,R_nk,n
Jarren Duran,0.7636554621848739,727
Shohei Ohtani,0.759871931696905,712
Juan Soto,0.7596153846153846,711
Marcus Semien,0.7591006423982869,709
Gunnar Henderson,0.7591006423982869,709
Bobby Witt,0.7551686615886833,694
Elly De la cruz,0.7549019607843137,693
Ezequiel Tovar,0.7546346782988005,692
Anthony Volpe,0.7538293216630197,689
Pete Alonso,0.7538293216630197,689
Bryan Reynolds,0.7532894736842105,687
Francisco Lindor,0.7527472527472527,685
Kyle Schwarber,0.7522026431718062,683
Vladimir Guerrero,0.7519294377067255,682
Aaron Judge,0.7519294377067255,682
Marcell Ozuna,0.7519294377067255,682
Willy Adames,0.7519294377067255,682
Corbin Carroll,0.7511061946902655,679
José Altuve,0.75,675
Matt Olson,0.7497219132369299,674
William Contreras,0.7483221476510067,669
José Ramírez,0.748040313549832,668
Luis Arráez,0.7471910112359551,665
Jurickson Profar,0.7463359639233371,662
Gleyber Torres,0.7463359639233371,662
Taylor Ward,0.7460496613995485,661
Brandon Nimmo,0.745475113122172,659
Anthony Santander,0.745475113122172,659
Ian Happ,0.7443181818181818,655
Spencer Steer,0.7440273037542662,654
Jake Cronenworth,0.7440273037542662,654
Nick Castellanos,0.7440273037542662,654
Paul Goldschmidt,0.7428571428571429,650
Randy Arozarena,0.7425629290617849,649
Brendan Donovan,0.7419724770642202,647
Teoscar Hernández,0.7416762342135477,646
Jeremy Peña,0.7413793103448276,645
Salvador Pérez,0.7401847575057737,641
Matt Chapman,0.7395833333333334,639
Jj Bleday,0.7395833333333334,639
Ryan Mcmahon,0.7395833333333334,639
Eugenio Suárez,0.7392815758980301,638
Isaac Paredes,0.7392815758980301,638
Nico Hoerner,0.7383720930232558,635
Adley Rutschman,0.7380675203725262,634
Andrés Giménez,0.7377622377622378,633
Alex Bregman,0.7377622377622378,633
Manny Machado,0.7374562427071178,632
Adolis García,0.7374562427071178,632
Jonathan India,0.7371495327102804,631
Willi Castro,0.7368421052631579,630
Masyn Winn,0.7365339578454333,629
Josh Naylor,0.7362250879249707,628
Nolan Arenado,0.7359154929577465,627
Freddie Freeman,0.7356051703877791,626
Maikel García,0.7346698113207547,623
Cal Raleigh,0.7340425531914894,621
Bryan De la cruz,0.7337278106508875,620
Alex Verdugo,0.7330960854092526,618
Andrew Vaughn,0.7324613555291319,616
Yainer Diaz,0.7324613555291319,616
Bryce Harper,0.7321428571428571,615
Yandy Díaz,0.7321428571428571,615
Brice Turang,0.7318235995232419,614
Julio Rodríguez,0.7315035799522673,613
Yordan Álvarez,0.7311827956989247,612
Jazz Chisholm,0.7308612440191388,611
George Springer,0.7305389221556886,610
Brent Rooker,0.7298919567827131,608
Christopher Morel,0.7292418772563177,606
Nolan Schanuel,0.727932285368803,602
Alec Bohm,0.7276029055690073,601
Brenton Doyle,0.7276029055690073,601
Josh Bell,0.7276029055690073,601
Orlando Arcia,0.7272727272727273,600
Zach Neto,0.7272727272727273,600
Cj Abrams,0.7259439707673568,596
Carlos Santana,0.7246022031823746,592
Dansby Swanson,0.7242647058823529,591
Alec Burleson,0.7242647058823529,591
Josh Smith,0.7239263803680982,590
Oneil Cruz,0.7239263803680982,590
Jackson Merrill,0.7235872235872236,589
Rafael Devers,0.7225647348951911,586
Riley Greene,0.7204968944099379,580
Seiya Suzuki,0.7204968944099379,580
Jake Burger,0.71875,575
Ketel Marte,0.7176913425345044,572
Jorge Soler,0.7169811320754716,570
Ceddanne Rafaela,0.7162673392181589,568
Bryson Stott,0.7159090909090909,567
Nathaniel Lowe,0.7155499367888748,566
Matt Vierling,0.7151898734177216,565
Jackson Chourio,0.714828897338403,564
Michael Busch,0.7144670050761421,563
Cody Bellinger,0.7137404580152672,561
Colton Cowser,0.7119078104993598,556
Wyatt Langford,0.7115384615384616,555
Vinnie Pasquantino,0.7100515463917526,551
Lourdes Gurriel,0.7096774193548387,550
Colt Keith,0.7096774193548387,550
Christian Walker,0.708171206225681,546
Zack Gelof,0.708171206225681,546
Steven Kwan,0.7058823529411765,540
Trea Turner,0.7051114023591087,538
Will Smith,0.7051114023591087,538
Brendan Rodgers,0.7043363994743759,536
Justin Turner,0.7035573122529645,534
Jesús Sánchez,0.7035573122529645,534
Ty France,0.7031662269129287,533
Shea Langeliers,0.7023809523809523,531
Leody Taveras,0.7,525
Luis García,0.6991978609625669,523
Lane Thomas,0.6991978609625669,523
Jacob Young,0.6983914209115282,521
Andrew Benintendi,0.6983914209115282,521
Logan O'hoppe,0.697986577181208,520
Corey Seager,0.6975806451612904,519
Sal Frelick,0.6975806451612904,519
Heliot Ramos,0.6963562753036437,516
Rhys Hoskins,0.6959459459459459,515
Joey Ortiz,0.6951219512195121,513
Tyler Stephenson,0.6942934782608695,511
Jake Meyers,0.6942934782608695,511
Andrew Mccutchen,0.6934604904632152,509
Daulton Varsho,0.6934604904632152,509
Mookie Betts,0.6926229508196722,507
Jesse Winker,0.6917808219178082,505
Ryan Mountcastle,0.691358024691358,504
Gavin Sheets,0.6892265193370166,499
Cedric Mullins,0.6883656509695291,497
Isiah Kiner-falefa,0.6875,495
Charlie Blackmon,0.6870653685674548,494
J. d. Martinez,0.6870653685674548,494
Jake Mccarthy,0.6857541899441341,491
Ryan O'hearn,0.6853146853146853,490
Gavin Lux,0.6844319775596073,488
Jonah Heim,0.6835443037974683,486
Michael Conforto,0.6830985915492958,485
Keibert Ruiz,0.6826516220028209,484
Connor Wong,0.6822033898305084,483
José Caballero,0.6817538896746818,482
Paul Dejong,0.6817538896746818,482
Tommy Pham,0.6794871794871795,477
Brandon Marsh,0.6785714285714286,475
Mike Yastrzemski,0.6776504297994269,473
Josh Rojas,0.6776504297994269,473
Jeff Mcneil,0.6762589928057554,470
Michael Harris,0.6748554913294798,467
Tyler O'neill,0.6743849493487699,466
Austin Riley,0.6743849493487699,466
Ha-seong Kim,0.6724890829694323,462
Jorge Polanco,0.6724890829694323,462
Jeimer Candelario,0.6724890829694323,462
Ryan Jeffers,0.6715328467153284,460
Giancarlo Stanton,0.6710526315789473,459
Gio Urshela,0.6705710102489019,458
Xander Bogaerts,0.6705710102489019,458
Max Schuemann,0.6700879765395894,457
Mark Canha,0.6700879765395894,457
Mark Vientos,0.6691176470588235,455
Michael Toglia,0.6691176470588235,455
Luke Raley,0.668141592920354,453
Davis Schneider,0.6676514032496307,452
J. p. Crawford,0.6671597633136095,451
Jo Adell,0.6661721068249258,449
Ernie Clement,0.6656760772659732,448
Jarred Kelenic,0.6656760772659732,448
Wilyer Abreu,0.6646795827123696,446
Jordan Westburg,0.6646795827123696,446
Lawrence Butler,0.6646795827123696,446
José Siri,0.6646795827123696,446
Mj Melendez,0.664179104477612,445
Joc Pederson,0.6636771300448431,444
Jared Triolo,0.6636771300448431,444
Nicky Lopez,0.6636771300448431,444
Patrick Bailey,0.6636771300448431,444
Andy Pages,0.6626686656671664,442
Brayan Rocchio,0.661144578313253,439
Dylan Moore,0.6606334841628959,438
Otto Lopez,0.6590909090909091,435
Fernando Tatís,0.6585735963581184,434
Harrison Bader,0.6580547112462006,433
Ozzie Albies,0.6580547112462006,433
Blake Perkins,0.6564885496183206,430
Mitch Garver,0.6559633027522935,429
José Miranda,0.655436447166922,428
Mauricio Dubón,0.6538461538461539,425
Kyle Isbel,0.6538461538461539,425
Mitch Haniger,0.6527777777777778,423
Brandon Lowe,0.6527777777777778,423
Wenceel Pérez,0.652241112828439,422
Hunter Renfroe,0.652241112828439,422
Luis Robert,0.651702786377709,421
Masataka Yoshida,0.6511627906976745,420
Rowdy Tellez,0.6506211180124224,419
Mickey Moniak,0.6489859594383776,416
Connor Joe,0.6467817896389325,412
Austin Wells,0.6467817896389325,412
J. t. Realmuto,0.6451104100946372,409
Pete Crow-armstrong,0.6445497630331753,408
Jon Singleton,0.6405750798722045,401
Lars Nootbaar,0.6405750798722045,401
Trevor Larnach,0.64,400
Nolan Gorman,0.6394230769230769,399
Seth Brown,0.6388443017656501,398
Max Kepler,0.6388443017656501,398
Lamonte Wade,0.6365105008077544,394
Korey Lee,0.6359223300970874,393
Ke'bryan Hayes,0.6359223300970874,393
Enrique Hernández,0.6353322528363047,392
David Fry,0.6335504885993485,389
Santiago Espinal,0.6335504885993485,389
Bo Naylor,0.632952691680261,388
Geraldo Perdomo,0.6317512274959084,386
Nick Gonzales,0.6317512274959084,386
Will Benson,0.6311475409836066,385
Alejandro Kirk,0.6311475409836066,385
Josh Lowe,0.6305418719211823,384
Byron Buxton,0.6299342105263158,383
Spencer Torkelson,0.6287128712871287,381
Tyler Freeman,0.6287128712871287,381
Thairo Estrada,0.628099173553719,380
Jake Fraley,0.628099173553719,380
Spencer Horwitz,0.628099173553719,380
Anthony Rizzo,0.625,375
Freddy Fermin,0.6205733558178752,368
Starling Marte,0.6199324324324325,367
Lenyn Sosa,0.6186440677966102,365
Jonny Deluca,0.6173469387755102,363
Miguel Amaya,0.6173469387755102,363
Johan Rojas,0.616695059625213,362
Carlos Correa,0.6160409556313993,361
Abraham Toro,0.6153846153846154,360
Brandon Drury,0.614065180102916,358
Willson Contreras,0.610726643598616,353
Michael Massey,0.610726643598616,353
Will Brennan,0.609375,351
Mike Tauchman,0.6086956521739131,350
Jake Bauers,0.6073298429319371,348
Eloy Jiménez,0.6073298429319371,348
Jake Cave,0.6059544658493871,346
Gabriel Moreno,0.6052631578947368,345
Elías Díaz,0.6045694200351494,344
Amed Rosario,0.6031746031746031,342
Tyrone Taylor,0.6024734982332155,341
Manuel Margot,0.6024734982332155,341
Tj Friedl,0.6024734982332155,341
Travis D'arnaud,0.601063829787234,339
Tyler Fitzgerald,0.601063829787234,339
Francisco Álvarez,0.6003552397868561,338
Jake Rogers,0.5982142857142857,335
Miguel Rojas,0.5982142857142857,335
James Wood,0.5974955277280859,334
Michael Siani,0.5974955277280859,334
Whit Merrifield,0.5967741935483871,333
Bo Bichette,0.5967741935483871,333
Nick Fortes,0.5967741935483871,333
Kyle Tucker,0.5960502692998204,332
Ben Rortvedt,0.592391304347826,327
Adam Duvall,0.5916515426497277,326
Danny Jansen,0.5894160583941606,323
Oswaldo Cabrera,0.5894160583941606,323
Royce Lewis,0.5886654478976234,322
Zach Mckinstry,0.5886654478976234,322
Eddie Rosario,0.5871559633027523,320
Miguel Andújar,0.585635359116022,318
David Hamilton,0.584870848708487,317
Carson Kelly,0.5825602968460112,314
Christian Vázquez,0.5825602968460112,314
Joey Meneses,0.5817843866171004,313
Richie Palacios,0.5817843866171004,313
Kevin Pillar,0.5810055865921788,312
Christian Yelich,0.5794392523364486,310
Donovan Solano,0.5786516853932584,309
Kevin Newman,0.5786516853932584,309
Ramón Laureano,0.5778611632270169,308
Dominic Smith,0.576271186440678,306
Ildemaro Vargas,0.5754716981132075,305
Luis Rengifo,0.5754716981132075,305
Rob Refsnyder,0.5738636363636364,303
Xavier Edwards,0.573055028462998,302
Ramón Urías,0.5714285714285714,300
Emmanuel Rivera,0.5714285714285714,300
Edouard Julien,0.5706106870229007,299
Michael Taylor,0.5697896749521989,298
Parker Meadows,0.5681381957773513,296
Víctor Robles,0.5664739884393064,294
Luis Campusano,0.5664739884393064,294
Kerry Carpenter,0.5664739884393064,294
Nolan Jones,0.5647969052224371,292
Adam Frazier,0.5622568093385214,289
Jose Iglesias,0.5622568093385214,289
Max Muncy,0.5622568093385214,289
Javier Báez,0.5596868884540117,286
Ezequiel Duran,0.5579567779960707,284
Joey Bart,0.5570866141732284,283
Jacob Stallings,0.5544554455445545,280
Kevin Kiermaier,0.5535714285714286,279
Randal Grichuk,0.5517928286852589,277
Gary Sánchez,0.5508982035928144,276
Tyler Nevin,0.5508982035928144,276
Jack Suwinski,0.55,275
Edmundo Sosa,0.55,275
Nick Gordon,0.55,275
Víctor Caratini,0.5490981963927856,274
Vidal Bruján,0.5490981963927856,274
Jonah Bride,0.5472837022132797,272
Brett Wisely,0.5472837022132797,272
Nick Senzel,0.5417515274949084,266
Dylan Carlson,0.5417515274949084,266
Chas Mccormick,0.5408163265306123,265
Kyle Higashioka,0.5389344262295082,263
David Peralta,0.5379876796714579,262
Sean Murphy,0.5379876796714579,262
Joey Loperfido,0.5379876796714579,262
Iván Herrera,0.5360824742268041,260
Matt Wallner,0.5351239669421488,259
Joey Gallo,0.5341614906832298,258
Jason Heyward,0.5322245322245323,256
Austin Martin,0.5322245322245323,256
Willie Calhoun,0.5292887029288703,253
Taylor Walls,0.5292887029288703,253
Austin Hays,0.5283018867924528,252
Juan Yepez,0.5273109243697479,251
Elehuris Montero,0.5222929936305732,246
Harold Ramírez,0.5202558635394456,244
Andy Ibáñez,0.5192307692307693,243
Chris Taylor,0.5192307692307693,243
Noelvi Marte,0.5182012847965739,242
Robbie Grossman,0.5182012847965739,242
Yasmani Grandal,0.5182012847965739,242
Tim Anderson,0.5182012847965739,242
Dominic Fletcher,0.5161290322580645,240
Wilmer Flores,0.5150862068965517,239
Triston Casas,0.5140388768898488,238
Kyle Farmer,0.5140388768898488,238
Miguel Vargas,0.5119305856832972,236
Jose Trevino,0.5098039215686274,234
Anthony Rendon,0.5087336244541485,233
Stuart Fairchild,0.5076586433260394,232
James Mccann,0.5076586433260394,232
Garrett Hampson,0.506578947368421,231
Dj Lemahieu,0.5033112582781457,228
Nelson Velázquez,0.5033112582781457,228
Justyn-henry Malloy,0.5033112582781457,228
Addison Barger,0.5,225
Enmanuel Valdez,0.49888641425389757,224
Hunter Goodman,0.49888641425389757,224
Nick Ahmed,0.49888641425389757,224
Cavan Biggio,0.49888641425389757,224
Garrett Mitchell,0.49776785714285715,223
Daniel Schneemann,0.49551569506726456,221
Ronald Acuña,0.49209932279909707,218
Pedro Pagés,0.49209932279909707,218
Romy Gonzalez,0.4874715261958998,214
Tyler Soderstrom,0.4863013698630137,213
Kyle Stowers,0.4827586206896552,210
Leo Jimenez,0.4827586206896552,210
Austin Slater,0.4827586206896552,210
Trey Lipscomb,0.4815668202764977,209
Jorge Mateo,0.48036951501154734,208
Trent Grisham,0.4791666666666667,207
Jackson Holliday,0.4791666666666667,207
Travis Jankowski,0.47674418604651164,205
Jhonkensy Noel,0.46808510638297873,198
Edward Olivares,0.4630071599045346,194
Connor Norby,0.4630071599045346,194
Dj Stewart,0.4630071599045346,194
Josh Jung,0.4552058111380145,188
Corey Julks,0.4552058111380145,188
Garrett Stubbs,0.4538834951456311,187
Luis Guillorme,0.4538834951456311,187
Dominic Canzone,0.45255474452554745,186
Daz Cameron,0.45255474452554745,186
Matt Thaiss,0.45121951219512196,185
Blaze Alexander,0.44987775061124696,184
Jordan Beck,0.4485294117647059,183
Brooks Lee,0.44717444717444715,182
Jordan Walker,0.4458128078817734,181
Cristian Pache,0.4458128078817734,181
Alex Kirilloff,0.44168734491315137,178
Ben Rice,0.44168734491315137,178
Junior Caminero,0.4375,175
Patrick Wisdom,0.43609022556390975,174
Derek Hill,0.4318181818181818,171
Nick Loftin,0.4318181818181818,171
José Tena,0.4289340101522843,169
Brett Baty,0.42748091603053434,168
Angel Martínez,0.4260204081632653,167
Nick Martini,0.4170984455958549,161
Gabriel Arias,0.4170984455958549,161
Evan Carter,0.4155844155844156,160
Reese Mcguire,0.4140625,159
Pavin Smith,0.412532637075718,158
Sam Hilliard,0.412532637075718,158
Kyle Manzardo,0.4109947643979058,157
Matt Carpenter,0.4109947643979058,157
Alex Jackson,0.4094488188976378,156
Austin Barnes,0.4094488188976378,156
Kyle Mccann,0.4094488188976378,156
Luis Matos,0.40789473684210525,155
James Outman,0.40789473684210525,155
Jung hoo Lee,0.40633245382585753,154
J. d. Davis,0.40633245382585753,154
Victor Scott,0.40633245382585753,154
Luke Maile,0.40476190476190477,153
Tyler Wade,0.40476190476190477,153
Tommy Edman,0.40476190476190477,153
Kris Bryant,0.40318302387267907,152
Martín Maldonado,0.3951612903225806,147
Christian Bethancourt,0.3935309973045822,146
Austin Hedges,0.3935309973045822,146
Jonathan Aranda,0.38858695652173914,143
Danny Mendick,0.3869209809264305,142
Tomás Nido,0.3835616438356164,140
Andruw Monasterio,0.38186813186813184,139
Darell Hernaiz,0.375,135
Dylan Crews,0.3715083798882682,133
Dairon Blanco,0.3697478991596639,132
Andrés Chaparro,0.3697478991596639,132
Curtis Mead,0.3697478991596639,132
Luis Torrens,0.36619718309859156,130
Grant Mccray,0.3644067796610169,129
Curt Casali,0.358974358974359,126
Riley Adams,0.358974358974359,126
Michael Stefanic,0.35714285714285715,125
Mike Trout,0.35344827586206895,123
Brett Harris,0.35344827586206895,123
Brooks Baldwin,0.3515850144092219,122
Christian Encarnacion-strand,0.34971098265895956,121
Henry Davis,0.34971098265895956,121
José Abreu,0.34782608695652173,120
Kody Clemens,0.34782608695652173,120
Trey Sweeney,0.34782608695652173,120
Jerar Encarnacion,0.34593023255813954,119
Garrett Cooper,0.3382352941176471,115
José Herrera,0.336283185840708,114
Alex Call,0.336283185840708,114
Casey Schmitt,0.3343195266272189,113
Vaughn Grissom,0.3323442136498516,112
Heston Kjerstad,0.3323442136498516,112
Ryan Noda,0.33035714285714285,111
Estevan Florial,0.3283582089552239,110
Luis Urías,0.3263473053892216,109
Sean Bouchard,0.32432432432432434,108
Bryan Ramos,0.32432432432432434,108
Dane Myers,0.32228915662650603,107
Niko Kavadas,0.3202416918429003,106
Miles Mastrobuoni,0.3202416918429003,106
Nick Allen,0.3161094224924012,104
Oliver Dunn,0.3161094224924012,104
Alek Thomas,0.3161094224924012,104
Trevor Story,0.3161094224924012,104
Jacob Wilson,0.31402439024390244,103
Weston Wilson,0.3055555555555556,99
Ben Gamel,0.30124223602484473,97
Ali Sánchez,0.30124223602484473,97
