winner,loser,score
Aaron Hicks,Aaron Schunk,2.8024351596832275
Aaron Hicks,Adael Amador,0.04869562387466431
Aaron Hicks,Adam Duvall,4.038600444793701
Aaron Hicks,Addison Barger,2.847320795059204
Aaron Hicks,Adolis García,6.21890115737915
Aaron Hicks,Adrian Del castillo,2.1852340698242188
Aaron Hicks,Alan Trejo,1.242684245109558
Aaron Hicks,Aledmys Díaz,0.5808554291725159
Aaron Hicks,Alex Jackson,0.1764809787273407
Aaron Hicks,Alex Kirilloff,1.307234525680542
Aaron Hicks,Alexander Canario,0.3504449129104614
Aaron Hicks,Ali Sánchez,1.20719313621521
Aaron Hicks,Alika Williams,1.4515974521636963
Aaron Hicks,Amed Rosario,4.6877923011779785
Aaron Hicks,Andrew Knizner,1.8264968395233154
Aaron Hicks,Andrés Giménez,0.1325867772102356
Aaron Hicks,Andy Ibáñez,2.491379737854004
Aaron Hicks,Andy Pages,3.559694528579712
Aaron Hicks,Anthony Volpe,2.6777963638305664
Aaron Hicks,Austin Hays,2.05199933052063
Aaron Hicks,Austin Hedges,4.125643730163574
Aaron Hicks,Avisaíl García,0.8063946962356567
Aaron Hicks,Billy Cook,1.9347389936447144
Aaron Hicks,Billy Mckinney,1.096602201461792
Aaron Hicks,Blake Perkins,0.3243536949157715
Aaron Hicks,Blaze Alexander,0.804458737373352
Aaron Hicks,Bo Bichette,1.5520284175872803
Aaron Hicks,Bo Naylor,9.111623764038086
Aaron Hicks,Bobby Dalbec,2.21635365486145
Aaron Hicks,Braden Shewmake,0.5746183395385742
Aaron Hicks,Brandon Crawford,0.8822701573371887
Aaron Hicks,Brandon Lowe,1.5379350185394287
Aaron Hicks,Brandon Marsh,3.7642264366149902
Aaron Hicks,Brendan Rodgers,3.4042248725891113
Aaron Hicks,Brenton Doyle,0.561522901058197
Aaron Hicks,Brett Wisely,4.757803440093994
Aaron Hicks,Brooks Baldwin,1.9278944730758667
Aaron Hicks,Bryan De la cruz,14.151775360107422
