i,j,D,W
Aaron Hicks,Aaron Judge,-0.026844963386288428,6029.602082387233
Aaron Hicks,Aaron Schunk,0.0027064196892463794,5831.971857115673
Aaron Hicks,Abraham Toro,-0.0009450043464387881,5857.709746956505
Aaron Hicks,Adael Amador,-0.00024894505589451594,5820.272816278932
Aaron Hicks,Adam Duvall,0.0043179853487903585,5861.921401657732
Aaron Hicks,Adam Frazier,-0.0016529791270111225,5851.860226538133
Aaron Hicks,Addison Barger,0.0023504872504380133,5844.840802036089
Aaron Hicks,Adley Rutschman,-0.007565020280035498,5889.765118849176
Aaron Hicks,Adolis García,0.005854571572458568,5964.404999387588
Aaron Hicks,Adrian Del castillo,0.0018374211188540387,5826.122336697302
Aaron Hicks,Akil Baddoo,-0.0005455596755476384,5831.971857115673
Aaron Hicks,Alan Trejo,0.0007982949455778794,5820.272816278932
Aaron Hicks,Alec Bohm,-0.007375157043938484,5856.773823689564
Aaron Hicks,Alec Burleson,-0.004852336058260854,5865.431113908754
Aaron Hicks,Aledmys Díaz,0.00014752158867054827,5820.272816278932
Aaron Hicks,Alejandro Kirk,-0.009921609767437936,5854.200034705483
Aaron Hicks,Alek Thomas,-0.0010395837677360362,5827.2922407809765
Aaron Hicks,Alex Bregman,-0.007920970507688588,5875.4922890283515
Aaron Hicks,Alex Call,-0.004665809214198804,5834.31166528302
Aaron Hicks,Alex Jackson,0.000112945772223272,5850.6903224544585
Aaron Hicks,Alex Kirilloff,0.0015119748557505949,5847.180610203436
Aaron Hicks,Alex Verdugo,-0.007465751634308773,5885.085502514479
Aaron Hicks,Alexander Canario,-0.0002352123933040509,5824.952432613629
Aaron Hicks,Ali Sánchez,0.0006637112854090897,5822.612624446279
Aaron Hicks,Alika Williams,0.0011265666268393312,5824.952432613628
Aaron Hicks,Amed Rosario,0.004810832132399077,5849.520418370785
Aaron Hicks,Andrew Benintendi,-0.0028407562098701085,5882.979675163866
Aaron Hicks,Andrew Knapp,-0.0007065333523342947,5820.272816278932
Aaron Hicks,Andrew Knizner,0.0016495191975560621,5828.462144864651
Aaron Hicks,Andrew Mccutchen,-0.007218731426423011,5942.878764247983
Aaron Hicks,Andrew Vaughn,-0.0012304704299223646,5926.26612625981
Aaron Hicks,Andruw Monasterio,-0.0020082664055563752,5846.010706119763
Aaron Hicks,Andrés Chaparro,-0.0029741056690302955,5840.161185701392
Aaron Hicks,Andrés Giménez,-0.0008181515234976693,5882.277732713662
Aaron Hicks,Andy Ibáñez,0.002573956377602777,5842.033032184284
Aaron Hicks,Andy Pages,0.0025058955263355283,5891.636965383055
Aaron Hicks,Angel Martínez,-0.002085089853507936,5846.010706119761
Aaron Hicks,Anthony Rendon,-0.00962944807484372,5841.331089785066
Aaron Hicks,Anthony Rizzo,-0.0053029075970822195,5853.030130621807
Aaron Hicks,Anthony Santander,-0.004446529976337695,5914.333104606333
Aaron Hicks,Anthony Volpe,0.0019096343738233747,5936.093320511686
Aaron Hicks,Aramis Garcia,-0.0004614154807287239,5820.272816278932
Aaron Hicks,Armando Alvarez,-0.000747679319754407,5822.612624446279
Aaron Hicks,Austin Barnes,-0.0013370822747134407,5838.9912816177175
Aaron Hicks,Austin Hays,0.0017176267087459544,5849.520418370785
Aaron Hicks,Austin Hedges,0.004009751627510897,5847.180610203437
Aaron Hicks,Austin Martin,-0.0036008499291430634,5847.180610203438
Aaron Hicks,Austin Riley,-0.0013259613559651615,5896.784543351221
Aaron Hicks,Austin Shenton,-0.002093161130828735,5828.462144864651
Aaron Hicks,Austin Slater,-0.005036487643391208,5855.3699387381685
Aaron Hicks,Austin Wells,-0.007151018804448288,5883.213655980601
Aaron Hicks,Austin Wynns,-0.0009330392201214583,5822.612624446279
