Player,R
Donovan Solano,0.8831704926841767
Andrew Mccutchen,0.9609735567453563
Justin Turner,0.88501809236857
Carlos Santana,0.9540564344057805
Yuli Gurriel,0.7373599350775247
Miguel Rojas,0.9081492065974454
Tommy Pham,0.9523257569332937
Paul Goldschmidt,0.950739367757333
Sandy León,0.6766349147388969
José Altuve,0.9580826196776645
Starling Marte,0.9344456633217008
Travis D'arnaud,0.9283967383678846
Freddie Freeman,0.9627070476642372
Jason Heyward,0.8306132997579821
Dj Lemahieu,0.8737211536019952
Giancarlo Stanton,0.9439566254139663
Salvador Pérez,0.9556727640294417
Wilmer Flores,0.949223396571158
Carlos Pérez,0.35130220828437037
Marcell Ozuna,0.9691987507113593
Jon Berti,0.834450133586087
Rob Brantly,0.5735873177212845
Kyle Higashioka,0.9261457008045575
James Mccann,0.8514012407417119
Austin Nola,0.6523075659696934
Marcus Semien,0.9543950117152786
George Springer,0.9647524570320813
Christian Vázquez,0.8901987795399097
Ildemaro Vargas,0.7889607766129583
Randal Grichuk,0.9164826654947159
Jake Marisnick,0.5483831573512977
Max Stassi,0.5909763607996051
Mike Trout,0.972369839129351
Albert Almora,0.48896074760457064
Bryce Harper,0.9632699927109691
Elías Díaz,0.9312805224170495
Omar Narváez,0.6675206344687291
Dixon Machado,0.37555457225069755
Eugenio Suárez,0.9726298342527999
Gio Urshela,0.8853109397929407
Nolan Arenado,0.9176592787333331
Tucker Barnhart,0.7127961029868202
Kyle Farmer,0.9272658588640865
Mitch Haniger,0.4184585483024211
Enrique Hernández,0.93087850644188
Jake Lamb,0.5462868967648576
Luke Maile,0.7878150071857516
Max Muncy,0.9561127462971766
Jon Singleton,0.6140895690674623
Michael Taylor,0.9499545771891932
Trayce Thompson,0.7329989321876159
Christian Walker,0.9665811886068582
Mike Yastrzemski,0.9604875783832202
Willson Contreras,0.9655416481055193
Jose Iglesias,0.920123595629602
Kris Bryant,0.7875459175823114
Mark Canha,0.8537097383061969
Curt Casali,0.4140122659030048
Nick Castellanos,0.9590234021909184
Brandon Drury,0.49100865981415237
Ben Gamel,0.6252887767463388
Niko Goodrum,0.565732862485129
Aaron Judge,0.9733888682299133
Manny Machado,0.9620105270105329
Joc Pederson,0.9348157029028683
J. t. Realmuto,0.9606752832857274
Hunter Renfroe,0.8385391149106319
Eddie Rosario,0.5189980852087599
Christian Yelich,0.9679474897421935
Xander Bogaerts,0.9523408796199253
Jorge Polanco,0.9464076158739224
Chad Wallach,0.4149557434343926
