,Player,Rank
0,A. j. Reed,-0.7136551725868169
1,Aaron Judge,2.456994473695931
2,Adam Eaton,1.7495286682182911
3,Adam Engel,-1.2445493935493346
4,Amed Rosario,1.0109186688205958
5,Andrelton Simmons,1.0101323019547037
6,Andrew Benintendi,0.7674560821781291
7,Andrew Mccutchen,-0.5259052676830512
8,Anthony Rendon,3.7814983512285103
9,Anthony Rizzo,2.222767037369987
10,Aristides Aquino,2.608862760311645
11,Asdrubal Cabrera,0.22245151312218286
12,Avisail Garcia,1.7523669928247392
13,Brandon Belt,0.9590712944705148
14,Brandon Dixon,0.5750250479358598
15,Brian Dozier,0.13928245907213602
16,Bryce Harper,3.1013891697413065
17,Byron Buxton,-1.2018832690898726
18,C. j. Cron,2.501022273446005
19,Carlos Santana,3.7966951638358135
20,Cavan Biggio,0.08721976631702388
21,Cesar Hernandez,1.7531315662989992
22,Charlie Tilson,0.15219632648699058
23,Christin Stewart,-0.007948979125290441
24,Cody Bellinger,3.418356619975775
25,Corey Seager,0.9369839951500106
26,Dan Vogelbach,1.7277533649632977
27,David Fletcher,2.5663416021831527
28,Dee Strange-gordon,-1.2088839514942187
29,Derek Dietrich,-0.3900519084549726
30,Dexter Fowler,1.4182322297045034
31,Domingo Santana,2.2422923039707543
32,Eddie Rosario,2.3003422055752116
33,Edwin Encarnacion,2.0341848929581943
34,Eloy Jimenez,3.30275356763352
35,Elvis Andrus,1.1324721435958554
36,Eric Sogard,1.1174499127850013
37,Francisco Lindor,4.03995873064762
38,Freddy Galvis,1.3474787349713568
39,George Springer,4.063598547722225
40,Gleyber Torres,3.794782111096799
41,Gordon Beckham,-0.4887097372683891
42,Greg Allen,-1.4074590873126447
43,Harrison Bader,-1.0452702937589375
44,Howie Kendrick,1.5110195028528812
45,Hunter Dozier,2.6936785931114704
46,J. t. Realmuto,2.0450388695541313
47,Jake Bauers,1.4794587475551941
48,James Mccann,1.8193760337803053
49,Jason Castro,0.13519286715632756
50,Jason Kipnis,1.2235127004479043
51,Jeff Mathis,-1.5352844450662129
52,Jeimer Candelario,-0.30573233394726956
53,Ji-man Choi,2.126612957828061
54,Jon Jay,-1.2650004107353796
55,Jonathan Villar,2.5580905280306303
56,Jorge Polanco,3.467066337079464
57,Jose Rondon,-0.293252541938931
58,Josh Donaldson,3.251669670941157
59,José Abreu,3.820534324499745
60,Juan Soto,3.895866143145623
61,Jurickson Profar,-0.5541791079084077
62,Justin Upton,-0.46311857253938027
63,Kevin Kiermaier,0.5497408573800907
64,Khris Davis,0.26826089579718604
65,Kole Calhoun,3.680405473441737
66,Kolten Wong,0.2877393486650172
67,Kyle Schwarber,3.480702073526859
68,Leury Garcia,1.9107510600603983
69,Lourdes Gurriel,0.6534156317331001
70,Luis Arraez,-0.3710959281208786
71,Luke Maile,-1.0536166472685893
72,Maikel Franco,1.5235239733211539
73,Mallex Smith,-1.0578370807438802
74,Marcell Ozuna,3.4566002644961586
75,Marcus Semien,3.3223628219141594
76,Matt Adams,0.7801127428741115
77,Max Muncy,1.3091577097968734
78,Miguel Cabrera,2.4543471853513354
79,Nelson Cruz,3.85125165304105
80,Nick Castellanos,3.3012900128213327
81,Nick Markakis,0.5051902225499647
82,Nomar Mazara,1.0464960672956767
83,Omar Narvaez,1.3954285058246907
84,Oscar Mercado,2.512483181892039
85,Paul Dejong,0.8444017751573016
86,Pete Alonso,3.536992564347142
87,Rhys Hoskins,1.5245495239997728
88,Rio Ruiz,1.0518745955772542
89,Robinson Chirinos,0.31404629260737815
90,Ronald Acuna,3.9144513393995233
91,Ronald Guzman,0.14080972128802946
92,Ronny Rodriguez,1.575355572078822
93,Ryan Cordell,-0.9259304332091911
94,Ryan Goins,-0.49884106489225416
95,Ryan Zimmerman,-0.17956098470960366
96,Seth Brown,-0.9042033275319042
97,Shin-soo Choo,2.8969316163072496
98,Shohei Ohtani,2.0587693592816354
99,Tommy La stella,2.0529991161851706
100,Tommy Pham,3.271156959718867
101,Trea Turner,1.5293781200700496
102,Trey Mancini,3.3159748011502366
103,Victor Reyes,1.1404451158254347
104,Victor Robles,0.8199140812392501
105,Welington Castillo,-0.32836103234495134
106,Willie Calhoun,1.3846315976917793
107,Willy Adames,0.5432463223756785
108,Yan Gomes,0.11072778907949882
109,Yandy Díaz,2.084927994435385
110,Yasiel Puig,2.228517312469895
111,Yoan Moncada,4.299086790066312
112,Aaron Altherr,-1.0240818795160427
113,Adeiny Hechavarria,-0.9897258908776756
114,Alex Gordon,0.37517735736801733
115,Austin Hedges,-1.1983783759327313
116,Austin Meadows,3.5780297967502075
117,Ben Gamel,-1.159163677400102
118,Brandon Drury,-0.04099786257300288
119,Brandon Lowe,1.084011240113152
120,Brandon Nimmo,-1.6560783997877913
121,Brian Mccann,0.9060554035674168
122,Bryan Reynolds,1.8334814806666584
123,Christian Yelich,4.175651442607934
124,Daniel Murphy,0.9162674824566405
125,David Freese,0.3669764812430833
126,Delino Deshields,-0.5670984962664679
127,Ender Inciarte,-1.111953392724923
128,Gio Urshela,2.2167549014005687
129,Guillermo Heredia,-1.1933786281035739
130,Hanser Alberto,2.0363244628293176
131,Harold Castro,1.312401458342873
132,Harold Ramirez,-0.10521079082184585
133,Hernan Perez,1.340285091176817
134,Hunter Pence,1.8560659439859508
135,J. d. Davis,2.982599559806151
136,Jackie Bradley,0.3205589691336042
137,Jacob Stallings,-0.7393788312847809
138,Jean Segura,1.88144686431537
139,Jeff Mcneil,3.2300543372654764
140,Joey Gallo,2.317882530843263
141,Johan Camargo,-0.7345125295680033
142,John Hicks,1.2225506367722705
143,Jonathan Lucroy,-1.3307520623178486
144,Jonathan Schoop,-0.701314522539932
145,Jorge Alfaro,0.7932439555093309
