,Player,Rank
0,A. j. Pierzynski,1.8763135331229854
1,Aaron Bates,-0.11932627340643422
2,Aaron Hill,4.062702037997745
3,Aaron Rowand,2.3620218748988826
4,Adam Dunn,3.395649624189971
5,Adam Everett,-1.1900612897865326
6,Adam Jones,1.6804988833474055
7,Adam Kennedy,1.1641025129396345
8,Adam Laroche,1.8560316007707405
9,Adam Lind,4.129828654323639
10,Adam Rosales,-1.2020177755345751
11,Adam Wainwright,1.1755206800524869
12,Adrian Beltre,0.3675253527708833
13,Adrian Gonzalez,3.9822173453268235
14,Akinori Iwamura,-0.6469683264944365
15,Albert Pujols,4.110887284085012
16,Alberto Callaspo,1.814954631549658
17,Alberto Gonzalez,-1.223129458498431
18,Alex Avila,-0.3097504258124688
19,Alex Cora,-1.5676367393815596
20,Alex Gonzalez,-0.7391451789959649
21,Alex Gordon,-0.5735757202057823
22,Alex Rios,2.5929294059407604
23,Alex Rodriguez,3.576046922614713
24,Alexei Ramírez,0.4412142429320014
25,Alexi Casilla,-1.2051573716179844
26,Alfonso Soriano,1.7818824159674487
27,Anderson Hernandez,-1.1477903860170462
28,Andre Ethier,3.79001332598347
29,Andres Torres,1.3493844251539844
30,Andrew Mccutchen,2.4684881913689463
31,Andruw Jones,0.8784304152168406
32,Andy Laroche,0.21657162700003188
33,Andy Marte,-0.281646731945347
34,Angel Pagan,1.3240355841837315
35,Aramis Ramirez,2.8400111611149126
36,Asdrubal Cabrera,2.3293695487646393
37,Aubrey Huff,2.412499411699982
38,Augie Ojeda,-1.3974923948734757
39,Austin Kearns,-1.3413254868975966
40,B. j. Upton,0.45081864198825433
41,Ben Francisco,-0.6328449635394289
42,Ben Zobrist,2.893600401418846
43,Bengie Molina,2.279586513424884
44,Bill Hall,-0.7193859902049253
45,Billy Butler,3.404767805195595
46,Bobby Abreu,2.0177514166920227
47,Bobby Crosby,-0.47703947757583093
48,Bobby Scales,-1.5583439942225477
49,Brad Hawpe,2.9032875184026894
50,Brandon Inge,1.2446334925675553
51,Brandon Moss,0.33154588191064155
52,Brandon Phillips,2.980574731320025
53,Brayan Pena,-0.6697184874763826
54,Brendan Harris,-0.7896197063015357
55,Brendan Ryan,0.3339773824582999
56,Brent Lillibridge,-1.5639710852223945
57,Brett Carroll,-1.2554920398760243
58,Brett Gardner,-1.5630385585515607
59,Brian Anderson,-1.597361651583129
60,Brian Barden,2.7406593389683422
61,Brian Buscher,-1.4768624978103653
62,Brian Giles,-1.6344509922344421
63,Brian Mccann,2.871603292317479
64,Brian Roberts,3.4709291660461012
65,Brian Schneider,-1.2334261456539846
66,Brooks Conrad,-0.815264236580709
67,Carl Crawford,3.3520727835419475
68,Carlos Beltran,0.5797057308211431
69,Carlos Delgado,-1.272695585104203
70,Carlos Gomez,-0.7003899725810542
71,Carlos Gonzalez,1.3937426772030166
72,Carlos Guillen,0.4998649906367004
73,Carlos Lee,3.08714002185463
74,Carlos Pena,3.354645501736087
75,Carlos Quentin,1.1553039176191162
76,Carlos Ruiz,1.0116812644252395
77,Casey Blake,0.9243201775374787
78,Casey Kotchman,-0.7426306875776858
79,Casey Mcgehee,1.5213713983681467
80,Cesar Izturis,-1.0922159298348084
81,Chad Moeller,-1.3519481485968499
82,Chad Tracy,1.2464159407242847
83,Chase Headley,1.2034680633665757
84,Chase Utley,3.8404956531481638
85,Chipper Jones,2.705632184119345
86,Chone Figgins,2.117989488323351
87,Chris Burke,-1.3962450976399516
88,Chris Coghlan,1.5169294139178904
89,Chris Davis,1.09919065816805
90,Chris Dickerson,-0.8149853490698145
91,Chris Duncan,-1.2119541303391126
92,Chris Getz,-0.322472553677196
93,Chris Gimenez,-1.498089717734541
94,Chris Iannetta,-0.45572877573677
95,Chris Snyder,-1.2568793460615517
96,Chris Young,1.9512549276232232
97,Clete Thomas,-0.15640856336168804
98,Cliff Pennington,-1.399703122933241
99,Clint Barmes,1.3589215995007433
100,Coco Crisp,-0.7182589768498667
101,Cody Ransom,-0.5110783222105462
102,Cody Ross,2.1939136547573614
103,Colby Rasmus,2.1548619629484747
104,Corey Hart,1.049449282604157
105,Cory Sullivan,-0.3760835771903929
106,Craig Counsell,1.2725976309746463
107,Cristian Guzman,-0.24733034691302694
108,Curtis Granderson,3.055243717835008
109,Dan Uggla,2.102764370186723
110,Dane Sardinha,-1.2405097933259532
111,Daniel Murphy,1.5439658301065984
112,Daric Barton,-0.9185645353192705
113,David Dejesus,1.9619500680114066
114,David Dellucci,-1.3775224579006309
115,David Eckstein,-0.6421550369343937
116,David Murphy,0.8494080309064205
117,David Ortiz,3.3779605606817635
118,David Ross,-0.5451737086972513
119,David Wright,1.9663113435296231
120,Delmon Young,0.31862613512397336
121,Delwyn Young,-0.7843839705148337
122,Denard Span,2.0566660670361228
123,Derek Jeter,3.9523491568028915
124,Derrek Lee,3.245397312160546
125,Dewayne Wise,-1.1916777073215326
126,Dexter Fowler,1.5103551960566535
127,Dioner Navarro,-1.109625670673643
128,Don Kelly,-1.7477471301732495
129,Drew Stubbs,0.12804741722212784
130,Dustin Pedroia,3.090244005324774
131,Edgar Gonzalez,-0.7511820352426359
132,Edgar Renteria,-0.36377988813980083
133,Edwin Encarnacion,0.29630202801273947
134,Edwin Maysonet,-0.8051328418577223
135,Eli Whiteside,-1.1144714573107286
136,Eliezer Alfonzo,-1.0149335596520765
137,Elijah Dukes,0.2294386743445989
