,Player,Rank
0,Aaron Hicks,-0.0016472590026486982
1,Alex Bregman,1.5710046028248217
2,Brandon Dixon,0.780765849346396
3,Brandon Lowe,1.0131955446897818
4,Dan Vogelbach,1.1179813606391307
5,David Fletcher,-0.9209440612117675
6,Domingo Santana,0.025486640332553493
7,Gary Sanchez,0.8903869994248991
8,Gio Urshela,0.9072007015465787
9,Gleyber Torres,1.747473714879439
10,Hunter Dozier,0.2556490366744173
11,J. p. Crawford,-0.29049438138327344
12,Ji-man Choi,0.5404559994760437
13,Jorge Soler,0.9398688560839679
14,Kendrys Morales,-2.474561151603562
15,Keon Broxton,0.7795395955435913
16,Khris Davis,0.30705363305402905
17,Luke Voit,0.6982200137603136
18,Mark Canha,1.2215641693180077
19,Nelson Cruz,0.1371025232160408
20,Nick Ahmed,0.570355363890749
21,Omar Narvaez,-0.6225771168178161
22,Renato Nunez,1.0347875505430153
23,Robbie Grossman,-0.5295547796954504
24,Tommy Pham,1.373140753333175
25,Willie Calhoun,-0.5155144252271563
26,Xander Bogaerts,0.7009901088099766
27,Yordan Álvarez,-0.13383838721614913
28,Aaron Judge,2.3560269528992084
29,Anthony Santander,0.9967026925373809
30,Austin Nola,-0.07766957055896019
31,Cameron Maybin,-0.3810594783865219
32,Carlos Santana,1.3391511237238096
33,Clint Frazier,1.459674158788139
34,Didi Gregorius,1.147162617563326
35,Dj Lemahieu,0.13571892807932293
36,Dylan Moore,-0.6798953879972987
37,Edwin Encarnacion,0.8723301327783405
38,Kyle Higashioka,0.9740347857028306
39,Robinson Chirinos,0.5354047208866832
40,Abraham Toro,1.0343456104455002
41,Adalberto Mondesi,0.02819523474282149
42,Dwight Smith,0.3451638721447756
43,Gerardo Parra,-0.22967646854458235
44,Jonathan Villar,1.0354685585441579
45,Justin Smoak,0.24832323154511038
46,Kris Bryant,-0.8056297170235558
47,Matthew Joyce,0.6415691625652059
48,Trey Mancini,0.6787700128214535
49,Tyler White,-0.009101083778910297
50,Wilson Ramos,0.3944875276152036
51,Yan Gomes,0.438097691838367
52,Adam Duvall,2.080381960399542
53,Rhys Hoskins,-0.06003365924233213
54,Adam Eaton,-0.4680491338846924
55,Anthony Rendon,0.7995227412743731
56,Asdrubal Cabrera,0.8655768991631569
57,Brian Dozier,0.5381532212364168
58,Cody Bellinger,0.9389223278100493
59,Eduardo Escobar,1.5182032303296404
60,Franmil Reyes,1.03653878861753
61,Freddie Freeman,-0.1181304574659696
62,Harrison Bader,-0.4920201212043478
63,J. t. Realmuto,0.060253606063522175
64,Jonathan Schoop,0.04015988733223595
65,José Iglesias,-0.14712970474958187
66,Juan Soto,1.317373746298999
67,Jung ho Kang,0.14139935357624994
68,Keston Hiura,0.6836476053942878
