,Player,Rank
0,Aaron Hicks,0.02112629799840322
1,Austin Romine,-1.3606799592961372
2,Gary Sanchez,0.6358818312366964
3,Jonathan Villar,0.2724359908683742
4,Jorge Soler,0.8622792757679155
5,Michael Conforto,-0.25687849846092276
6,Mike Tauchman,-0.8040850165426507
7,Nomar Mazara,-0.2868282701575226
8,Whit Merrifield,-1.418831130099001
9,Yoan Moncada,0.7502118542718724
10,Aaron Judge,-0.5766622898382507
11,Amed Rosario,-1.049117083688858
12,Buster Posey,-2.261589510857801
13,Cameron Maybin,0.2845543781668187
14,Carlos Santana,0.3618781937924218
15,Carson Kelly,-0.33924514733767713
16,Cesar Puello,-2.915216564959943
17,Dan Vogelbach,0.1191200170282422
18,Delino Deshields,-0.5914295722157615
19,Dj Lemahieu,0.7998808773089969
20,Francisco Lindor,0.8821521625371636
21,Gio Urshela,0.4759725310167887
22,Hunter Dozier,-0.14929607526646335
23,Hunter Pence,1.0805281971698428
24,J. d. Martinez,1.0495626412559578
25,Jason Kipnis,-0.00465833693582903
26,Jesus Aguilar,-0.5444983211803281
27,Jordan Luplow,0.2635692435636535
28,Jordy Mercer,-1.0136536618643393
29,Jorge Bonifacio,0.9063474437054087
30,José Abreu,0.038727606480147295
31,Justin Smoak,-0.6893241879527399
32,Ketel Marte,-0.7382214940417066
33,Kevin Newman,-1.5047805130357068
34,Kole Calhoun,0.31005771256201775
35,Leury Garcia,-1.0762442692924796
36,Marcus Semien,-0.5645331991754385
37,Martin Maldonado,0.33302972853978474
38,Matt Olson,-0.08501436953672144
39,Mike Zunino,1.102107411733408
40,Mookie Betts,-0.1688107439719525
41,Nick Ahmed,-0.9366536986270926
42,Nick Senzel,0.5162122984281188
43,Nolan Arenado,0.646382591716428
44,Ozzie Albies,0.1926146264372517
45,Rafael Devers,0.021814576767923914
46,Ramon Laureano,1.084157147100624
47,Teoscar Hernandez,0.3493986023132328
48,Tom Murphy,1.7536878303419488
49,Tommy Pham,1.280106000852318
50,Travis D'arnaud,0.17031904865301523
51,Willson Contreras,-0.5485858134969295
52,Wilson Ramos,-1.193361271296588
53,Xander Bogaerts,0.43795238724161795
54,Abraham Almonte,-2.0640617028373405
55,Dansby Swanson,-1.2928885287888041
56,Vladimir Guerrero,-0.2913818589762202
57,Abraham Toro,-0.5540024366717802
58,Alex Bregman,0.8135379498725154
59,Bryce Harper,0.4575201717420804
60,Niko Goodrum,-0.10111964319620374
61,Tommy Edman,-0.10435571073383915
62,Adalberto Mondesi,-1.2007338283855205
63,Brandon Dixon,-0.7391621762606745
64,Brian Goodwin,-0.24967142157505726
65,Carlos Correa,-0.10486537843857738
66,Cheslor Cuthbert,-0.11033170708969846
67,Danny Santana,-0.24366888709538745
68,Domingo Santana,-1.6064123422747518
69,Freddy Galvis,-1.1500085533757551
70,Gleyber Torres,0.6784197904832021
71,Jackie Bradley,-0.7125665818870434
72,Jake Bauers,-1.4541203175085768
73,Javier Baez,0.6889824383248838
74,Jeimer Candelario,-0.16117274659422218
75,Joey Wendle,-1.8865365365785913
76,Jose Altuve,0.6148429219929983
77,Jose Ramirez,-1.321086993226817
78,Jurickson Profar,0.5800209566243599
79,Justin Turner,-0.4358129214022177
80,Justin Upton,-1.8694086805834964
81,Leonys Martín,0.0345409707836851
82,Luis Rengifo,-1.2492157965970896
83,Mark Canha,-1.4838385138048296
84,Marwin Gonzalez,0.575029749288856
85,Matt Chapman,1.8112410803164238
86,Michael Chavis,-0.7568450037183988
87,Miguel Sano,0.3300138975749571
88,Mike Brosseau,-0.33130972842069406
89,Mike Moustakas,0.9135414074512042
90,Mike Trout,1.308824669952588
91,Mike Yastrzemski,-0.1602517005198198
92,Nelson Cruz,1.6125066525645264
93,Pedro Severino,-0.9025557457857005
94,Pete Alonso,0.06976165404666154
95,Phil Ervin,0.44427795922040364
96,Randal Grichuk,0.9111575440596597
97,Robbie Grossman,-1.7073953981437442
98,Rowdy Tellez,0.04508742255666732
99,Ryan O'hearn,1.4045930225225782
100,Shohei Ohtani,-0.8066198786003094
101,Stephen Piscotty,-1.5575905132523704
102,Tyler Naquin,-0.6895082432545985
103,Victor Reyes,-1.206753640839203
104,Willi Castro,0.10291010760929117
105,Willie Calhoun,-0.625813843084444
106,Yasiel Puig,0.2699252314939015
107,Adam Duvall,-0.7310709347433811
108,Jon Berti,-1.0947009764753806
109,Lewis Brinson,-1.9250076864278027
110,Rhys Hoskins,1.3869602035445692
111,Ronald Acuna,0.5581066461860811
112,Adam Eaton,-1.3770205997050844
113,Anthony Rendon,-0.01913675354069338
114,Asdrubal Cabrera,0.9599915429703401
115,Brian Dozier,-0.12364620039156586
116,Brock Holt,-2.3725518886331805
117,Charlie Blackmon,-0.5292423019912168
118,Christin Stewart,-1.304076925750561
119,Cody Bellinger,-0.32960359175595616
120,Corey Seager,0.07823912898448877
121,Eugenio Suarez,-0.3628564501186836
122,Freddie Freeman,-0.7492424459339057
123,Gerardo Parra,-2.19869116004948
124,Greg Garcia,0.2955119807785898
125,Harold Castro,-1.4308835445648007
126,Howie Kendrick,-1.6464737284381148
127,Hunter Renfroe,0.8543290548564361
128,Joc Pederson,-0.5653614918606648
129,Joey Votto,-1.6729266974844277
130,Josh Bell,-0.20405555581345752
131,Juan Soto,0.8913601978482366
132,Kevin Kiermaier,1.3326833550052375
133,Miguel Cabrera,0.05267437699325536
134,Nick Markakis,-2.0761666380897648
135,Oscar Mercado,-0.9220601181118423
136,Rio Ruiz,-0.15198132939811
137,Stephen Vogt,-0.10869644576830084
138,Tony Wolters,-0.9475628902630225
139,Trea Turner,-0.6311970736524869
140,Adam Engel,-1.4032535137416167
141,Cam Gallagher,1.7529369820287626
142,Christian Vazquez,-0.8300361270531174
143,George Springer,0.2637164003492332
144,Joey Gallo,-0.41177973733606493
145,Adam Frazier,-0.1508061376325613
146,Alex Verdugo,-0.5519566018938491
147,Brandon Nimmo,-2.070423323483297
148,Bryan Reynolds,0.02568695370030575
149,Christian Yelich,0.6178346095568346
150,Colin Moran,-0.6881546040604435
151,David Bote,-0.1549128277829191
152,David Peralta,-0.08943254750484302
153,Derek Dietrich,0.5214915671173619
154,Ender Inciarte,-0.8654718587636271
155,Eric Hosmer,0.4591521025365148
156,Gregory Polanco,0.9774014282556849
157,Harold Ramirez,-0.5663413368115942
158,Jeff Mcneil,0.6950937643898287
159,Jesse Winker,-1.373340604833974
160,Joe Panik,-1.6713326199517518
161,Josh Vanmeter,-1.2508893550054019
162,Kolten Wong,-1.5786037895939724
163,Kris Bryant,-1.0074275575028089
164,Kyle Schwarber,0.22667682534189798
165,Matt Beaty,0.07503082107783354
166,Melky Cabrera,-0.28694757865678727
167,Neil Walker,-0.8874200546904473
168,Nick Castellanos,0.7517742842132635
169,Pablo Sandoval,1.4069105186544717
170,Starling Marte,-0.9341466138750065
171,Trevor Story,-0.7102632659837436
172,Yadier Molina,-1.8583482956429778
173,Yan Gomes,0.4234481104098894
174,Adam Haseley,-1.3047676185795662
175,Anthony Rizzo,-0.6266266511761568
176,Avisail Garcia,0.16365488952776266
177,Cesar Hernandez,-0.9984764794215117
178,Keston Hiura,1.2662470942054505
179,Miguel Rojas,-0.8609650501844963
180,Robinson Cano,0.4514741266969566
181,Adam Jones,-1.2788605985909023
182,Addison Russell,0.695146121104997
183,Austin Riley,-0.8145567027327993
184,Curt Casali,-0.01227233292329487
185,Eduardo Escobar,-0.745021181516674
186,Ian Desmond,1.1853530207616771
187,J. d. Davis,-0.13130186939715416
188,José Iglesias,-1.330645839362439
189,Lorenzo Cain,-1.42055870057885
190,Max Muncy,-1.4575535739126353
191,Paul Goldschmidt,0.21178957218196312
192,Sam Travis,0.35520676888975977
193,Tyler Austin,0.0037957684110532333
194,Tyler Flowers,0.6789185656343978
195,Aj Pollock,-0.2142281879420862
196,Brian Anderson,-0.2162926791531502
197,Jean Segura,0.5181860544763401
198,Josh Donaldson,-0.2744623197587425
199,Paul Dejong,-0.570800673959676
200,Steven Duggar,-0.17018667855653088
201,Yordan Álvarez,-1.0913365396072952
202,Yuli Gurriel,-0.21672211457254528
203,Adeiny Hechavarria,-2.5836811299875464
204,Victor Robles,-1.4724332050441646
205,Austin Barnes,-1.3142550855946007
206,Daniel Murphy,-1.298945224525406
207,Edwin Encarnacion,1.8766974933967961
208,Trey Mancini,0.1363236469641023
209,Wilmer Flores,-0.6732095188584565
210,Albert Almora,0.7792065882696303
211,Anthony Santander,1.1510674737403872
212,Corey Dickerson,-0.42324859912666163
213,Curtis Granderson,1.2544556826056057
214,David Dahl,-0.38452880997486694
215,Jose Martinez,1.0950717165571255
216,Manny Machado,-1.145579153040057
217,Scott Kingery,-0.08456406576194771
218,Albert Pujols,1.7498582077968825
219,David Fletcher,0.09519197352816809
220,Hanser Alberto,0.9132947659888848
221,Jonathan Schoop,1.0643809936883584
222,Ryan Braun,-0.7078919385720585
223,Aledmys Díaz,-0.9468008553022331
224,Austin Nola,1.1319240211815165
225,Danny Jansen,-1.4403161280044359
226,Kevin Plawecki,-1.885943880029263
227,Alex Avila,-2.8236229541820346
228,Jarrod Dyson,-0.32774232711030366
229,Billy Hamilton,-0.7675895389378317
230,Billy Mckinney,-1.435325974446193
231,Brandon Lowe,-0.039342768806827126
232,C. j. Cron,0.1351774023807488
233,Carlos Sanchez,-0.7749318377076794
234,Dwight Smith,0.240734928150991
235,Eloy Jimenez,-0.8303965820995012
236,Elvis Andrus,-0.2577567171339224
237,Fernando Tatis,-0.458579977056031
238,Franmil Reyes,0.904648800014745
239,Humberto Arteaga,-0.8173126675493608
240,J. p. Crawford,-0.6950078566278041
241,Jake Marisnick,-0.2502603279229876
