,winner,loser,score
0,A. j. Ellis,Buster Posey,2
1,A. j. Ellis,Carlos Gomez,2
2,A. j. Ellis,Jordy Mercer,0
3,A. j. Ellis,Neil Walker,0
4,A. j. Ellis,Pedro Alvarez,0
5,A. j. Ellis,Yasiel Puig,6
6,Aaron Hill,Giancarlo Stanton,0
7,Aaron Hill,Josh Harrison,0
8,Adam Dunn,Adam Eaton,8
9,Adam Dunn,Ben Zobrist,7
10,Adam Dunn,Danny Santana,0
11,Adam Dunn,Jarrod Dyson,5
12,Adam Dunn,Michael Bourn,5
13,Adam Dunn,Nick Swisher,0
14,Adam Dunn,Nori Aoki,5
15,Adam Eaton,Adam Dunn,0
16,Adam Eaton,Alberto Callaspo,0
17,Adam Eaton,Alejandro De aza,0
18,Adam Eaton,Alex Rios,3
19,Alex Rios,Adam Eaton,3
20,Adam Eaton,Ben Zobrist,0
21,Adam Eaton,Brett Gardner,3
22,Adam Eaton,Brian Dozier,0
23,Adam Eaton,Carlos Santana,0
24,Adam Eaton,Derek Norris,0
25,Adam Eaton,Dexter Fowler,3
26,Adam Eaton,Elvis Andrus,1
27,Adam Eaton,Evan Longoria,0
28,Adam Eaton,Kevin Kiermaier,0
29,Adam Eaton,Kurt Suzuki,6
30,Adam Eaton,Leonys Martín,1
31,Adam Eaton,Lorenzo Cain,0
32,Adam Eaton,Mark Teixeira,1
33,Adam Eaton,Michael Bourn,3
34,Adam Eaton,Michael Brantley,0
35,Adam Eaton,Nick Markakis,7
36,Adam Eaton,Salvador Perez,5
37,Adam Eaton,Shin-soo Choo,1
38,Adam Eaton,Stephen Vogt,0
39,Adam Eaton,Tyler Flowers,0
40,Adam Eaton,Victor Martinez,0
41,Adam Jones,Albert Pujols,3
42,Adam Jones,Asdrubal Cabrera,3
43,Asdrubal Cabrera,Adam Jones,3
44,Adam Jones,Brandon Moss,6
45,Adam Jones,Brett Gardner,0
46,Adam Jones,Brock Holt,0
47,Adam Jones,C. j. Cron,3
48,C. j. Cron,Adam Jones,3
49,Adam Jones,Caleb Joseph,0
50,Adam Jones,Chris Coghlan,3
51,Chris Coghlan,Adam Jones,3
52,Adam Jones,David Ortiz,1
53,Adam Jones,Eric Hosmer,0
54,Adam Jones,Ian Kinsler,3
55,Ian Kinsler,Adam Jones,3
56,Adam Jones,J. j. Hardy,0
