,Player,Rank
0,Aaron Hicks,0.0019229029282740902
1,Albert Pujols,-0.6521281880263069
2,Christian Vazquez,-1.0972752615191759
3,David Fletcher,-0.9245349286514049
4,Gary Sanchez,-0.13889513049051125
5,James Mccann,-2.324954840996745
6,Jonathan Schoop,-1.2205542624220758
7,Mallex Smith,-2.296212265377788
8,Mark Canha,-1.6355233967543843
9,Martin Maldonado,-3.404102313583146
10,Mookie Betts,-0.9728463515433242
11,Rafael Devers,-2.740032935817474
12,Aaron Judge,-2.4759541044319784
13,Austin Meadows,-1.674397978364322
14,Avisail Garcia,-2.3675589683314127
15,Brian Goodwin,-2.1182440449502056
16,Cameron Maybin,-2.918194781860364
17,Chad Pinder,-2.037693357354461
18,Danny Santana,-1.4521062586618925
19,Dee Strange-gordon,-3.6577453983052703
20,Dj Lemahieu,-1.8498087848043845
21,Elvis Andrus,-2.4113705466113444
22,Giancarlo Stanton,-4.5422400705652
23,Gleyber Torres,-2.453262982851067
24,J. p. Crawford,-1.6132463755945254
25,Ji-man Choi,-3.4876845114860595
26,Jonathan Villar,-2.5690069290653152
27,Josh Donaldson,-2.4685278275620917
28,José Abreu,-2.586644963954105
29,Jurickson Profar,-1.7246306243869325
30,Kyle Schwarber,-1.187074388727866
31,Leury Garcia,-1.7855198101274383
32,Luke Voit,-2.785488192472071
33,Michael Chavis,-0.15458228579573235
34,Ramon Laureano,-0.8701841688882465
35,Robbie Grossman,-3.5147264567308034
36,Shin-soo Choo,-0.17768359698114908
37,Teoscar Hernandez,-1.9936822078482082
38,Tim Anderson,-2.609093545075392
39,Tommy Pham,-0.6667194196101818
40,Travis D'arnaud,-3.3583558946656114
41,Welington Castillo,-0.7240461269386694
42,Whit Merrifield,-3.142948598775098
43,Xander Bogaerts,-2.9505813280829036
44,Yoan Moncada,-0.7177433894560821
45,Adalberto Mondesi,-3.7564078554388716
46,Kris Bryant,-1.9675339837203096
47,Nelson Cruz,-0.7550275141738813
48,Adam Duvall,-4.832414451958451
49,Ozzie Albies,-2.292457127537079
50,Adam Eaton,-1.3183032037170652
51,Adam Frazier,-3.2723799223784615
52,Adam Jones,-2.710686051728712
53,Andrew Knapp,-3.867057545878868
54,Anthony Rendon,-1.7691948258406451
55,Anthony Rizzo,-1.2692930145451562
56,Brian Dozier,-1.6474932386957177
57,Bryce Harper,-3.0894722920674176
58,Carson Kelly,0.030693138270272865
59,Chris Taylor,-0.5725101616861827
60,Christian Walker,-0.7106211048425624
61,Dansby Swanson,-1.2041951364416432
62,Eric Hosmer,-2.09998021807727
63,Eugenio Suarez,-1.1004522804600205
64,Greg Garcia,-1.8433067665647531
65,Howie Kendrick,-2.3789379884655477
66,Jarrod Dyson,-1.9985138385180419
67,Jason Heyward,-2.810965311916869
68,Joe Panik,-2.9668966600011744
69,Joey Votto,-1.0735711509430637
70,Jose Peraza,-4.195898804276504
71,Josh Naylor,-2.7172731351522494
72,Luis Rengifo,-3.6666166724093947
73,Luis Urias,-3.4238033445143974
74,Manny Machado,-0.3062070773705312
75,Marcus Semien,-1.3393635914085291
76,Mauricio Dubon,-2.825488816135279
77,Max Muncy,-1.6211282183837126
78,Melky Cabrera,-2.5190555811676316
79,Mike Yastrzemski,-3.5146667298022334
80,Nick Ahmed,-2.040803163091886
81,Nick Martini,-2.4472147913431366
82,Paul Dejong,-3.089081986491822
83,Raimel Tapia,-2.641101858000959
84,Trea Turner,-3.735117001597946
85,Victor Robles,-0.9144725899700409
86,Yasmani Grandal,-1.9658122628034913
87,Yonder Alonso,-2.7845408654862815
88,Adam Engel,-2.792649719421501
89,Danny Jansen,-0.8144082180202202
90,Edwin Encarnacion,-0.02120865677348424
91,Joey Wendle,-3.971682672497976
92,John Hicks,-0.8874319455898085
93,Jorge Soler,-1.0258934283137098
94,Jose Altuve,-0.669577616920736
95,Josh Reddick,-3.181206444564818
96,Kyle Seager,0.4525491423444197
97,Michael Brantley,-3.0560175314358915
98,Randal Grichuk,-0.6938135847068839
99,Trey Mancini,-1.2373231725612093
100,Alex Verdugo,-3.492692929983013
101,Brian Anderson,-3.028827909085879
102,Charlie Blackmon,0.14460072166062807
103,Corey Dickerson,-1.8044989527821589
104,David Bote,-3.3262846707929774
105,Derek Dietrich,-2.6149094499692764
106,Dexter Fowler,-1.8250724944129433
107,Domingo Santana,-1.1466698762499483
108,Fernando Tatis,0.3027662120819133
109,Franmil Reyes,-1.1756949632649212
110,Harold Castro,-1.924983550113699
111,Jacoby Jones,-0.9644310187019418
112,Jason Castro,-1.6478948581911972
113,Javier Baez,-3.8930755069874468
