,winner,loser,score
0,A. j. Pierzynski,Aaron Hill,0
1,A. j. Pierzynski,Adam Dunn,6
2,A. j. Pierzynski,Adam Jones,13
3,A. j. Pierzynski,Adam Kennedy,45
4,A. j. Pierzynski,Adam Laroche,0
5,A. j. Pierzynski,Adam Lind,10
6,A. j. Pierzynski,Adrian Beltre,0
7,A. j. Pierzynski,Akinori Iwamura,2
8,A. j. Pierzynski,Albert Pujols,14
9,A. j. Pierzynski,Alberto Callaspo,35
10,A. j. Pierzynski,Alex Gonzalez,21
11,A. j. Pierzynski,Alex Rios,0
12,A. j. Pierzynski,Alex Rodriguez,0
13,A. j. Pierzynski,Alexei Ramírez,30
14,A. j. Pierzynski,Alfonso Soriano,11
15,A. j. Pierzynski,Anderson Hernandez,5
16,A. j. Pierzynski,Andruw Jones,0
17,A. j. Pierzynski,Andy Marte,0
18,A. j. Pierzynski,Asdrubal Cabrera,23
19,A. j. Pierzynski,Aubrey Huff,0
20,A. j. Pierzynski,B. j. Upton,26
21,A. j. Pierzynski,Ben Francisco,16
22,A. j. Pierzynski,Ben Zobrist,41
23,A. j. Pierzynski,Billy Butler,12
24,A. j. Pierzynski,Bobby Abreu,22
25,A. j. Pierzynski,Brandon Inge,9
26,A. j. Pierzynski,Brendan Harris,0
27,A. j. Pierzynski,Brett Gardner,0
28,A. j. Pierzynski,Brian Anderson,42
29,A. j. Pierzynski,Brian Roberts,0
30,A. j. Pierzynski,Brian Schneider,0
31,A. j. Pierzynski,Carl Crawford,32
32,A. j. Pierzynski,Carlos Guillen,0
33,A. j. Pierzynski,Carlos Pena,0
34,A. j. Pierzynski,Carlos Quentin,21
35,A. j. Pierzynski,Casey Blake,1
36,Casey Blake,A. j. Pierzynski,1
37,A. j. Pierzynski,Casey Kotchman,0
38,A. j. Pierzynski,Cesar Izturis,24
39,A. j. Pierzynski,Chad Moeller,27
40,A. j. Pierzynski,Chase Utley,0
41,A. j. Pierzynski,Chone Figgins,0
42,A. j. Pierzynski,Chris Davis,11
43,A. j. Pierzynski,Chris Dickerson,26
44,A. j. Pierzynski,Chris Getz,49
45,A. j. Pierzynski,Chris Iannetta,1
46,A. j. Pierzynski,Chris Woodward,2
47,A. j. Pierzynski,Chris Young,4
48,A. j. Pierzynski,Clete Thomas,4
49,A. j. Pierzynski,Cliff Pennington,1
50,A. j. Pierzynski,Colby Rasmus,0
51,A. j. Pierzynski,Corey Hart,0
52,A. j. Pierzynski,Craig Counsell,0
53,A. j. Pierzynski,Curtis Granderson,0
54,A. j. Pierzynski,Dan Uggla,0
55,A. j. Pierzynski,Daric Barton,0
56,A. j. Pierzynski,David Dejesus,11
57,A. j. Pierzynski,David Murphy,0
58,A. j. Pierzynski,David Ortiz,0
59,A. j. Pierzynski,Delmon Young,8
60,A. j. Pierzynski,Denard Span,20
61,A. j. Pierzynski,Derek Jeter,0
62,A. j. Pierzynski,Derrek Lee,6
63,A. j. Pierzynski,Dioner Navarro,11
64,A. j. Pierzynski,Dustin Pedroia,0
65,A. j. Pierzynski,Edwin Encarnacion,0
66,A. j. Pierzynski,Elvis Andrus,22
67,A. j. Pierzynski,Eric Byrnes,0
68,A. j. Pierzynski,Erick Aybar,39
69,A. j. Pierzynski,Evan Longoria,0
70,A. j. Pierzynski,Felipe Lopez,0
71,A. j. Pierzynski,Felix Pie,0
72,A. j. Pierzynski,Franklin Gutierrez,47
73,A. j. Pierzynski,Gary Matthews,15
74,A. j. Pierzynski,Geoff Blum,12
75,A. j. Pierzynski,George Kottaras,0
76,A. j. Pierzynski,Gerald Laird,13
77,A. j. Pierzynski,Gordon Beckham,3
78,A. j. Pierzynski,Grady Sizemore,9
79,A. j. Pierzynski,Gregg Zaun,14
80,A. j. Pierzynski,Hank Blalock,1
81,A. j. Pierzynski,Hanley Ramirez,0
82,A. j. Pierzynski,Hideki Matsui,0
83,A. j. Pierzynski,Howie Kendrick,0
84,A. j. Pierzynski,Ian Kinsler,0
85,A. j. Pierzynski,Ichiro Suzuki,13
86,A. j. Pierzynski,J. d. Drew,14
87,A. j. Pierzynski,Jack Cust,26
88,A. j. Pierzynski,Jack Hannahan,38
89,A. j. Pierzynski,Jacoby Ellsbury,0
90,A. j. Pierzynski,Jarrod Saltalamacchia,19
91,A. j. Pierzynski,Jason Bartlett,13
92,A. j. Pierzynski,Jason Bay,0
93,A. j. Pierzynski,Jason Giambi,30
94,A. j. Pierzynski,Jason Kubel,16
95,A. j. Pierzynski,Jason Varitek,0
96,A. j. Pierzynski,Jay Bruce,22
97,A. j. Pierzynski,Jayson Nix,4
98,A. j. Pierzynski,Jayson Werth,0
99,A. j. Pierzynski,Jeff Bailey,2
100,A. j. Pierzynski,Jeff Keppinger,8
101,A. j. Pierzynski,Jeff Mathis,19
102,A. j. Pierzynski,Jeremy Reed,0
103,A. j. Pierzynski,Jermaine Dye,10
104,A. j. Pierzynski,Jhonny Peralta,0
105,A. j. Pierzynski,Jim Thome,19
106,A. j. Pierzynski,Joe Inglett,16
107,A. j. Pierzynski,Joe Mauer,0
108,A. j. Pierzynski,Joe Thurston,0
109,A. j. Pierzynski,Joey Votto,6
110,A. j. Pierzynski,John Buck,3
111,John Buck,A. j. Pierzynski,3
112,A. j. Pierzynski,Johnny Damon,1
113,A. j. Pierzynski,Jorge Posada,0
114,A. j. Pierzynski,Jose Bautista,0
115,A. j. Pierzynski,Jose Guillen,12
116,A. j. Pierzynski,Jose Lopez,0
117,A. j. Pierzynski,Josh Anderson,0
118,A. j. Pierzynski,Josh Fields,28
119,A. j. Pierzynski,Josh Hamilton,0
120,A. j. Pierzynski,Josh Willingham,0
121,A. j. Pierzynski,Juan Rivera,0
122,A. j. Pierzynski,Juan Uribe,0
123,A. j. Pierzynski,Julio Borbon,6
124,A. j. Pierzynski,Julio Lugo,0
125,A. j. Pierzynski,Justin Morneau,30
126,A. j. Pierzynski,Kelly Shoppach,18
127,A. j. Pierzynski,Ken Griffey,0
128,A. j. Pierzynski,Kendrys Morales,0
129,A. j. Pierzynski,Kenji Johjima,1
130,Kenji Johjima,A. j. Pierzynski,1
131,A. j. Pierzynski,Kevin Kouzmanoff,0
132,A. j. Pierzynski,Kevin Youkilis,0
133,A. j. Pierzynski,Kurt Suzuki,43
134,A. j. Pierzynski,Luis Valbuena,20
135,Luis Valbuena,A. j. Pierzynski,20
136,A. j. Pierzynski,Luke Scott,0
137,A. j. Pierzynski,Lyle Overbay,0
138,A. j. Pierzynski,Magglio Ordonez,18
139,A. j. Pierzynski,Maicer Izturis,0
140,A. j. Pierzynski,Marco Scutaro,0
141,A. j. Pierzynski,Marcus Thames,5
142,A. j. Pierzynski,Mark Derosa,18
143,A. j. Pierzynski,Mark Ellis,25
144,A. j. Pierzynski,Mark Kotsay,36
145,A. j. Pierzynski,Mark Reynolds,0
146,A. j. Pierzynski,Mark Teahen,43
147,A. j. Pierzynski,Mark Teixeira,9
148,A. j. Pierzynski,Marlon Byrd,0
149,A. j. Pierzynski,Matt Downs,3
150,A. j. Pierzynski,Matt Holliday,15
151,A. j. Pierzynski,Matt Tolbert,15
152,A. j. Pierzynski,Matt Wieters,0
153,A. j. Pierzynski,Melky Cabrera,3
154,A. j. Pierzynski,Melvin Mora,18
155,A. j. Pierzynski,Micah Hoffpauir,3
156,A. j. Pierzynski,Michael Bourn,15
157,A. j. Pierzynski,Michael Brantley,9
158,A. j. Pierzynski,Michael Cuddyer,34
159,A. j. Pierzynski,Michael Saunders,1
160,A. j. Pierzynski,Michael Young,33
161,Michael Young,A. j. Pierzynski,33
162,A. j. Pierzynski,Miguel Cabrera,16
163,A. j. Pierzynski,Miguel Olivo,17
164,A. j. Pierzynski,Mike Cameron,0
165,A. j. Pierzynski,Mike Jacobs,17
166,A. j. Pierzynski,Mike Lowell,0
167,A. j. Pierzynski,Mike Napoli,37
168,A. j. Pierzynski,Mike Redmond,0
169,A. j. Pierzynski,Mike Sweeney,23
170,A. j. Pierzynski,Milton Bradley,10
171,A. j. Pierzynski,Mitch Maier,5
172,A. j. Pierzynski,Nelson Cruz,3
173,A. j. Pierzynski,Nick Green,8
174,A. j. Pierzynski,Nick Markakis,10
175,A. j. Pierzynski,Nick Punto,23
176,A. j. Pierzynski,Nick Swisher,0
177,A. j. Pierzynski,Nolan Reimold,5
178,A. j. Pierzynski,Nomar Garciaparra,27
179,A. j. Pierzynski,Nyjer Morgan,17
180,A. j. Pierzynski,Orlando Cabrera,8
181,A. j. Pierzynski,Pat Burrell,0
182,A. j. Pierzynski,Paul Konerko,0
183,A. j. Pierzynski,Placido Polanco,0
184,A. j. Pierzynski,Prince Fielder,11
185,A. j. Pierzynski,Rajai Davis,0
186,A. j. Pierzynski,Ramon Santiago,6
187,A. j. Pierzynski,Randy Wells,3
188,Randy Wells,A. j. Pierzynski,3
189,A. j. Pierzynski,Randy Winn,0
190,A. j. Pierzynski,Rick Ankiel,21
191,A. j. Pierzynski,Rob Johnson,26
192,A. j. Pierzynski,Robert Andino,9
193,A. j. Pierzynski,Robinson Cano,3
194,A. j. Pierzynski,Rocco Baldelli,0
195,A. j. Pierzynski,Rod Barajas,0
196,A. j. Pierzynski,Russell Branyan,29
197,A. j. Pierzynski,Ryan Braun,17
198,A. j. Pierzynski,Ryan Garko,0
199,A. j. Pierzynski,Ryan Howard,0
200,A. j. Pierzynski,Ryan Raburn,0
201,A. j. Pierzynski,Ryan Sweeney,12
202,A. j. Pierzynski,Scott Podsednik,0
203,A. j. Pierzynski,Scott Rolen,0
204,A. j. Pierzynski,Seth Smith,0
205,A. j. Pierzynski,Shane Victorino,0
206,A. j. Pierzynski,Shin-soo Choo,0
207,A. j. Pierzynski,Skip Schumaker,3
208,Skip Schumaker,A. j. Pierzynski,3
209,A. j. Pierzynski,Taylor Teagarden,0
210,A. j. Pierzynski,Todd Helton,0
211,A. j. Pierzynski,Torii Hunter,0
212,A. j. Pierzynski,Travis Buck,0
213,A. j. Pierzynski,Travis Hafner,7
214,A. j. Pierzynski,Travis Snider,3
215,A. j. Pierzynski,Trevor Crowe,9
216,A. j. Pierzynski,Ty Wigginton,3
217,A. j. Pierzynski,Vernon Wells,20
