,Player,Rank
0,A. j. Reed,-0.21872153379546275
1,Brandon Belt,0.178195919771449
2,Dan Vogelbach,1.3955458253267263
3,Eloy Jimenez,2.1780744493565534
4,Aaron Altherr,0.619135841365829
5,Adam Engel,0.6578429525793524
6,Andrew Benintendi,0.5733126483207681
7,Andrew Mccutchen,0.9994899043435332
8,Brian Dozier,-0.1008370953683248
9,Carlos Santana,-0.3947346694505779
10,Jake Bauers,0.24073990532783388
11,Jorge Polanco,2.2458258317723554
12,Mark Canha,1.4503556843451135
13,Max Kepler,1.8795381087965273
14,Roberto Perez,1.3804282962910877
15,Robinson Chirinos,0.8217956549215287
16,Aaron Hicks,-0.48808629636595113
17,Aaron Judge,1.6050129521915337
18,Abraham Toro,0.013245566836320857
19,Adalberto Mondesi,0.7702062805597376
20,Adam Eaton,-1.3181707705598635
21,Adam Frazier,0.6122321171174159
22,Albert Pujols,1.2264048359410087
23,Alex Bregman,1.6976145266098164
24,Alex Gordon,-0.8201870443689268
25,Alex Verdugo,-0.38447370625584754
26,Andrelton Simmons,-0.6024866389429349
27,Anthony Rendon,1.5815812014132027
28,Anthony Rizzo,0.43402199643034556
29,Anthony Santander,0.14989102985822764
30,Asdrubal Cabrera,-0.5348753288836904
31,Austin Meadows,1.8687013393078877
32,Avisail Garcia,0.05384975410614217
33,Bo Bichette,0.3734299766828228
34,Brandon Crawford,-0.3030285177750126
35,Brandon Dixon,0.6288867602095668
36,Brandon Drury,0.8803071253701874
37,Brandon Lowe,0.4396230771754397
38,Brett Gardner,1.6958373019620725
39,Brian Goodwin,1.7513408975267528
40,Brock Holt,-1.0470188398588054
41,Bryce Harper,1.0725042375582894
42,Buster Posey,-0.5875565496464298
43,C. j. Cron,1.6191324149563677
44,Cameron Maybin,-0.915082480350033
45,Carlos Sanchez,-0.7795007383154869
46,Carson Kelly,-0.40841810171351517
47,Cavan Biggio,-0.6967509838561616
48,Chance Sisco,0.6844400242489775
49,Charlie Blackmon,1.834388616565201
50,Cheslor Cuthbert,-1.2983264858532815
51,Chris Davis,1.0319692059334187
52,Chris Taylor,0.3887115879061577
53,Christian Vazquez,0.0006929756789436578
54,Christian Walker,1.0666778631121614
55,Christin Stewart,-0.17095186223574424
56,Clint Frazier,-0.04141837104130517
57,Cody Bellinger,1.8299752470531616
58,Corey Seager,0.5144651454784389
59,Curtis Granderson,0.5328546879896378
60,Danny Jansen,0.544300872353299
61,Danny Santana,1.49214264175464
62,David Dahl,1.3082139766290335
63,David Peralta,-0.6959962613970551
64,Delino Deshields,-0.24611419588747874
65,Derek Fisher,0.7200642943300198
66,Didi Gregorius,0.6509642776606676
67,Dj Lemahieu,0.7320813097249992
68,Domingo Santana,0.7602749680349894
69,Eddie Rosario,1.7832147056897765
70,Eduardo Escobar,0.5350452935106194
71,Edwin Encarnacion,0.8999131301475145
72,Elias Diaz,-1.1490995069739565
73,Elvis Andrus,-0.6110072579960275
74,Enrique Hernandez,1.0997073400268687
75,Eric Hosmer,0.6194585524342533
76,Eric Sogard,0.551370597194404
77,Eugenio Suarez,0.6217638209687246
78,Franmil Reyes,1.6790225925254159
79,Freddie Freeman,1.7451533455578463
80,Freddy Galvis,0.2675141388813728
81,Gary Sanchez,0.7600239251547105
82,Gavin Lux,-1.4227632904501237
83,Gerardo Parra,0.0006289205958412852
84,Gio Urshela,1.0268517217166946
85,Gleyber Torres,2.32020867428805
86,Greg Allen,0.3603294083054819
87,Greg Garcia,-0.3506127209838625
