,winner,loser,score
0,Aaron Hicks,Christian Vazquez,0
1,Aaron Hicks,Rafael Devers,3
2,Rafael Devers,Aaron Hicks,3
3,Aaron Hicks,Scooter Gennett,2
4,Adam Duvall,Avisail Garcia,0
5,Adam Duvall,Brett Gardner,3
6,Adam Duvall,Eddie Rosario,0
7,Adam Duvall,Hanley Ramirez,0
8,Adam Duvall,Kendrys Morales,0
9,Adam Duvall,Kole Calhoun,8
10,Adam Duvall,Logan Morrison,7
11,Adam Duvall,Robinson Cano,6
12,Adam Duvall,Rougned Odor,9
13,Rougned Odor,Adam Duvall,9
14,Adam Duvall,Shin-soo Choo,6
15,Adam Lind,Corey Dickerson,3
16,Adam Lind,Robinson Cano,3
17,Adrian Beltre,Ben Gamel,0
18,Adrian Beltre,Francisco Lindor,5
19,Adrian Beltre,Hanley Ramirez,6
20,Albert Almora,Kendrys Morales,3
21,Kendrys Morales,Albert Almora,3
22,Albert Almora,Marcell Ozuna,0
23,Alex Avila,Cody Bellinger,0
24,Alex Bregman,Avisail Garcia,6
25,Alex Bregman,Elvis Andrus,2
26,Alex Bregman,Jean Segura,0
27,Alex Bregman,Jed Lowrie,8
28,Alex Bregman,Yonder Alonso,8
29,Andrew Benintendi,Avisail Garcia,0
30,Andrew Benintendi,Ben Gamel,5
31,Andrew Benintendi,Carlos Beltran,0
32,Andrew Benintendi,Carlos Gomez,3
33,Andrew Benintendi,Corey Dickerson,1
34,Andrew Benintendi,Danny Valencia,2
35,Andrew Benintendi,Dexter Fowler,0
36,Andrew Benintendi,Eric Thames,0
37,Andrew Benintendi,Hanley Ramirez,4
38,Hanley Ramirez,Andrew Benintendi,4
39,Andrew Benintendi,Ian Kinsler,0
40,Andrew Benintendi,Jason Castro,0
41,Andrew Benintendi,Kole Calhoun,3
42,Andrew Benintendi,Matt Holliday,0
43,Andrew Benintendi,Matthew Joyce,2
44,Andrew Benintendi,Max Kepler,0
45,Andrew Benintendi,Ryan Goins,0
46,Andrew Benintendi,Sandy Leon,1
47,Sandy Leon,Andrew Benintendi,1
48,Andrew Benintendi,Scott Schebler,3
49,Andrew Benintendi,Shin-soo Choo,0
50,Andrew Benintendi,Travis Shaw,5
51,Andrew Benintendi,Yonder Alonso,4
52,Andrew Benintendi,Yuli Gurriel,5
53,Andrew Mccutchen,Scooter Gennett,2
54,Andrew Mccutchen,Willson Contreras,3
55,Andrew Romine,Miguel Sano,0
56,Anthony Rendon,Nick Markakis,1
57,Asdrubal Cabrera,Curtis Granderson,0
58,Austin Hedges,Nick Castellanos,0
59,Avisail Garcia,Adam Duvall,8
60,Avisail Garcia,Alex Bregman,0
61,Avisail Garcia,Andrew Benintendi,3
62,Avisail Garcia,Hanley Ramirez,10
63,Hanley Ramirez,Avisail Garcia,10
64,Avisail Garcia,Jed Lowrie,2
65,Avisail Garcia,Jonathan Schoop,0
66,Avisail Garcia,Melky Cabrera,8
67,Avisail Garcia,Yonder Alonso,2
68,Ben Gamel,Adrian Beltre,3
69,Ben Gamel,Andrew Benintendi,0
70,Ben Gamel,Hanley Ramirez,8
71,Ben Gamel,Manny Machado,5
72,Ben Gamel,Matt Holliday,2
73,Ben Gamel,Max Kepler,1
74,Ben Gamel,Mike Zunino,8
75,Ben Gamel,Robinson Cano,2
76,Ben Gamel,Rougned Odor,0
77,Ben Gamel,Seth Smith,8
78,Ben Zobrist,Brandon Crawford,3
79,Brandon Crawford,Ben Zobrist,3
80,Ben Zobrist,Giancarlo Stanton,1
81,Ben Zobrist,Justin Turner,0
82,Billy Hamilton,Dexter Fowler,0
83,Bradley Zimmer,Lucas Duda,0
84,Brandon Belt,Christian Yelich,1
85,Christian Yelich,Brandon Belt,1
86,Brandon Belt,Cody Bellinger,0
87,Brandon Crawford,Ben Zobrist,3
88,Ben Zobrist,Brandon Crawford,3
89,Brandon Crawford,Daniel Murphy,1
90,Daniel Murphy,Brandon Crawford,1
91,Brandon Crawford,Justin Turner,4
92,Justin Turner,Brandon Crawford,4
93,Brett Gardner,Adam Duvall,0
94,Brett Gardner,Eddie Rosario,0
95,Brett Gardner,Justin Smoak,4
96,Brett Gardner,Kendrys Morales,0
97,Brett Gardner,Max Kepler,3
98,Brett Gardner,Mike Moustakas,0
99,Brett Gardner,Rougned Odor,0
100,Brett Gardner,Ryan Braun,12
101,Ryan Braun,Brett Gardner,12
102,Brett Gardner,Travis Shaw,7
103,Brian Mccann,Carlos Correa,1
104,Carlos Correa,Brian Mccann,1
105,Brian Mccann,Chris Davis,4
106,Chris Davis,Brian Mccann,4
107,Brian Mccann,Danny Valencia,0
108,Brian Mccann,Seth Smith,2
109,Bruce Maxwell,Corey Dickerson,0
110,Bruce Maxwell,Jed Lowrie,0
111,Bryce Harper,Giancarlo Stanton,0
112,Bryce Harper,Josh Bell,0
113,C. j. Cron,Starlin Castro,3
114,Carlos Beltran,Andrew Benintendi,8
115,Carlos Beltran,Eric Thames,0
116,Carlos Beltran,Gary Sanchez,3
117,Carlos Beltran,Hanley Ramirez,3
118,Carlos Beltran,Jake Marisnick,0
119,Carlos Beltran,Jed Lowrie,0
