,Player,Rank
0,Adam Jones,0.0008967305424686292
1,Cesar Hernandez,-2.2795916532485445
2,Charlie Blackmon,-3.000226392814547
3,Corey Seager,-3.2753208460637704
4,David Peralta,0.17316638857154798
5,Ketel Marte,-3.381037011504698
6,Ryan Braun,-4.419007621277323
7,Alex Bregman,-3.3309977898396177
8,Yordan Álvarez,0.2703473649580632
9,Anthony Rendon,-1.8007188271242052
10,Ryan Mcmahon,1.8007188271242052
11,Anthony Rizzo,-0.2016367381417257
12,Max Muncy,-3.803251509536948
13,Anthony Santander,7.473856837423827
14,Bo Bichette,3.872243751983654
15,Austin Meadows,-3.9884347123451653
16,Ji-man Choi,-2.7135162144825165
17,Randal Grichuk,-2.5119622225650913
18,Austin Riley,-1.1945006209410916
19,Brian Mccann,0.8775291184783321
20,Freddie Freeman,-0.051074574796581965
21,Jeff Mcneil,-0.6512757139059072
22,Miguel Rojas,1.868511683706447
23,Vladimir Guerrero,0.27054732099101825
24,Josh Reddick,-2.255566137736628
25,Neil Walker,-2.194490486216466
26,Yoan Moncada,-3.3313933305055468
27,Bryan Reynolds,-4.4628023307704865
28,Jean Segura,-3.499917437853
29,Carlos Santana,-6.056648822759512
30,Francisco Lindor,-3.828410238257797
31,Rougned Odor,-3.4640821651698293
32,Daniel Murphy,0.8626645997194153
33,Charlie Culberson,-3.702702835906596
34,Cody Bellinger,-5.775995325344301
35,Raimel Tapia,-2.1749511783771185
36,Wilson Ramos,-2.173984147114477
37,Colin Moran,-2.6946270489640054
38,Michael Brantley,1.0385675456684067
39,Kris Bryant,-6.8765813390697055
40,Danny Santana,-1.2079490731242555
41,Eddie Rosario,1.5146956020656177
42,George Springer,1.0650073323673501
43,Rafael Devers,-2.8527512718768455
44,Eric Hosmer,1.9538512388387794
45,Dj Lemahieu,-2.286364844041675
46,Gary Sanchez,-4.05749850004322
47,Nomar Mazara,-6.095306423864901
48,Ramon Laureano,-5.887719532339722
49,Ronald Guzman,-6.554960733668023
50,Jorge Polanco,-2.0866871475028246
51,Kyle Seager,-1.8670907655793498
52,Stephen Piscotty,-2.0865964332885962
53,Trey Mancini,-2.0865964332885962
54,Edwin Encarnacion,-1.5216779853326459
55,Matt Olson,-1.521701416263213
56,Jonathan Villar,-1.0134889875053472
57,Shin-soo Choo,-3.828331847452406
58,Freddy Galvis,-6.98240925315205
59,Gleyber Torres,-7.913589870739295
60,Joey Gallo,-8.066438790948288
61,Mike Ford,-7.913589870739295
62,Jose Ramirez,-3.2481598529323983
63,Jake Bauers,0.7489032315251491
64,Jarrod Dyson,1.4254147328216717
65,Ronald Acuna,-2.1769837313324074
66,Javier Baez,-3.8030743959249866
67,Michael Conforto,-4.252663768538416
68,Joe Panik,-9.380639128998157
69,Pete Alonso,-5.779000290342218
70,Tyler Flowers,-5.77962910654553
71,John Hicks,-10.003023461630505
72,Renato Nunez,2.588001443535104
73,Jose Altuve,0.7487927947150465
74,Jose Martinez,-5.260859433819345
75,Paul Dejong,-0.6303960437908415
76,Josh Bell,1.8007188321093512
77,Juan Soto,-1.8007188321093512
78,Justin Bour,1.8007188282111326
79,Tommy Pham,-1.8007188282111326
80,Keston Hiura,5.02866168637431
81,Robinson Cano,1.4271856925952988
82,Rowdy Tellez,0.2207773252718163
83,Starlin Castro,0.002486998160945086
84,Matt Chapman,0.7491113106164486
85,Will Smith,-0.20176974047356677
86,Miguel Cabrera,-2.1943029018214513
87,Nick Castellanos,-10.003023461630505
