,winner,loser,score
0,A. j. Pierzynski,Aaron Hill,0
1,A. j. Pierzynski,Adam Jones,6
2,A. j. Pierzynski,Adam Lind,0
3,A. j. Pierzynski,Adam Rosales,1
4,A. j. Pierzynski,Adrian Beltre,8
5,A. j. Pierzynski,Alberto Callaspo,0
6,A. j. Pierzynski,Alex Gordon,1
7,Alex Gordon,A. j. Pierzynski,1
8,A. j. Pierzynski,Alex Rios,0
9,A. j. Pierzynski,Alex Rodriguez,2
10,A. j. Pierzynski,Alexei Ramírez,0
11,A. j. Pierzynski,Andruw Jones,0
12,A. j. Pierzynski,Asdrubal Cabrera,0
13,A. j. Pierzynski,Austin Kearns,13
14,A. j. Pierzynski,B. j. Upton,0
15,A. j. Pierzynski,Ben Zobrist,0
16,A. j. Pierzynski,Billy Butler,0
17,A. j. Pierzynski,Bobby Abreu,0
18,A. j. Pierzynski,Brett Gardner,0
19,A. j. Pierzynski,Carlos Guillen,0
20,A. j. Pierzynski,Carlos Quentin,0
21,A. j. Pierzynski,Chone Figgins,0
22,A. j. Pierzynski,Curtis Granderson,5
23,Curtis Granderson,A. j. Pierzynski,5
24,A. j. Pierzynski,Dan Johnson,5
25,A. j. Pierzynski,Daric Barton,0
26,A. j. Pierzynski,David Murphy,0
27,A. j. Pierzynski,Delmon Young,6
28,A. j. Pierzynski,Derek Jeter,0
29,A. j. Pierzynski,Don Kelly,9
30,Don Kelly,A. j. Pierzynski,9
31,A. j. Pierzynski,Dustin Pedroia,13
32,A. j. Pierzynski,Edwin Encarnacion,0
33,A. j. Pierzynski,Elvis Andrus,13
34,A. j. Pierzynski,Erick Aybar,2
35,A. j. Pierzynski,Evan Longoria,0
36,A. j. Pierzynski,Francisco Cervelli,4
37,A. j. Pierzynski,Franklin Gutierrez,0
38,A. j. Pierzynski,Fred Lewis,9
39,A. j. Pierzynski,Hideki Matsui,0
40,A. j. Pierzynski,Ian Kinsler,0
41,A. j. Pierzynski,Ichiro Suzuki,9
42,A. j. Pierzynski,J. j. Hardy,0
43,A. j. Pierzynski,Jack Cust,0
44,A. j. Pierzynski,Jason Kendall,3
45,Jason Kendall,A. j. Pierzynski,3
46,A. j. Pierzynski,Jason Kubel,11
47,A. j. Pierzynski,Jay Bruce,0
48,A. j. Pierzynski,Jed Lowrie,0
49,A. j. Pierzynski,Jhonny Peralta,3
50,A. j. Pierzynski,Joe Mauer,1
51,A. j. Pierzynski,Jorge Posada,1
52,A. j. Pierzynski,Jose Lopez,3
53,Jose Lopez,A. j. Pierzynski,3
54,A. j. Pierzynski,Josh Wilson,1
