,Player,Rank
0,Aaron Hicks,0.0016284860380093456
1,Bryce Harper,0.06416298591626705
2,Christian Walker,0.0981274669431486
3,Gleyber Torres,0.38008286295260696
4,Randal Grichuk,0.3797626523132044
5,Rhys Hoskins,-0.606932382448182
6,Yordan Álvarez,-0.30992819326917703
7,Aaron Judge,-1.0824833672162542
8,Adalberto Mondesi,-0.19147436951228028
9,Albert Pujols,0.06927459681402248
10,Alex Bregman,0.3366506755363123
11,Alex Gordon,-0.5249953606001716
12,Andrew Benintendi,-0.9716631421843054
13,Asdrubal Cabrera,-0.1985784289944789
14,Austin Meadows,-0.9002359741989311
15,Austin Nola,-1.1845431677623837
16,Brandon Dixon,-2.505234439423215
17,Bryan Reynolds,-0.9608067543353949
18,Bubba Starling,-0.8441952064562338
19,C. j. Cron,-0.4576322146314115
20,Carlos Santana,0.9485974152432459
21,Cavan Biggio,0.19918994502152207
22,Cheslor Cuthbert,-1.3940201194816788
23,Chris Taylor,-1.4801324520147447
24,Christian Vazquez,-1.7514909068478899
25,Christian Yelich,1.2362434854667441
26,Dan Vogelbach,-0.38917108907428927
27,Daniel Robertson,-3.4339302194767316
28,David Peralta,-1.1271938432000768
29,Dwight Smith,-0.9287179909539093
30,Edwin Encarnacion,1.0149277864081592
31,Fernando Tatis,-1.1092478495370142
32,Franmil Reyes,-1.6833410476547253
33,Gary Sanchez,0.07750580103244217
34,George Springer,-1.066198386913775
35,Gio Urshela,-1.277651494041583
36,Guillermo Heredia,-1.6554694516530075
37,Hunter Renfroe,-0.9985885686837573
38,J. d. Martinez,-1.338101020585417
39,James Mccann,-0.8111319594865665
40,Jean Segura,-0.890198021072042
41,Jeff Mcneil,-0.1668053379348598
42,Ji-man Choi,-0.5895746563604412
43,Joey Wendle,-2.299144842302075
44,Jonathan Villar,-1.6140828601115595
45,Jorge Soler,-1.7902229837469827
46,Jose Ramirez,0.1286667167358149
47,Jose Rondon,-2.209775437427388
48,Josh Bell,-0.8911830621847809
49,Josh Reddick,-1.3391338062835731
50,José Abreu,0.8150590660724423
51,Ketel Marte,0.23192595753602016
52,Kevan Smith,0.06303980972771153
53,Kevin Plawecki,-1.8683054979523097
54,Kole Calhoun,-0.8951628255436009
55,Luis Rengifo,-1.1076517917190238
56,Luke Voit,-2.1130468549748698
57,Marcus Semien,0.5460981660457259
58,Mark Canha,-0.14049688933386675
59,Martin Maldonado,-0.35725953263256827
60,Matt Carpenter,-1.4211690562081898
61,Mike Trout,0.674181726891627
62,Mike Zunino,-2.056152864934054
63,Mitch Garver,0.7655544655331189
64,Mookie Betts,-0.1883576516778894
65,Myles Straw,-2.2705954136963054
66,Nelson Cruz,-0.03510754115068373
67,Nick Ahmed,-1.4122257512567025
68,Oscar Mercado,-0.16047393571745389
69,Pedro Severino,-1.7037676445031793
70,Rafael Devers,-1.214285225883553
71,Shin-soo Choo,-0.6042850929934961
72,Tim Anderson,-0.10457245575915641
73,Trea Turner,0.5611754017769485
74,Trey Mancini,-0.1534665195562541
75,Victor Reyes,-2.124975927333837
76,Vladimir Guerrero,0.21124027044649246
77,Whit Merrifield,0.4386861910925316
78,Wilson Ramos,-1.2180577498129372
79,Xander Bogaerts,0.9035980212477188
80,Yandy Díaz,-0.29280782130200045
81,Amed Rosario,-1.6653376743099517
82,Andrelton Simmons,-0.3816647041371756
83,Anthony Rendon,-0.7505243011717819
84,Bo Bichette,-1.285374084774616
85,Brandon Drury,-1.3233022309054743
86,Carlos Correa,-0.3048723844372096
87,Carlos Sanchez,-2.2965260604723285
88,Cesar Hernandez,-2.108201736063527
89,Chad Pinder,-1.9607701484137339
90,Daniel Descalso,-1.8645097653144487
91,Danny Jansen,-1.596817425572235
92,Danny Santana,0.7667559653755555
93,David Fletcher,-2.0128664051567253
94,Delino Deshields,-0.5136301599946711
95,Domingo Santana,-0.595957272430904
96,Eddie Rosario,-0.7654670425827343
97,Eloy Jimenez,-2.0857078989221063
98,Elvis Andrus,-1.9922221420012527
99,Eric Thames,-0.22586687241490355
100,Francisco Lindor,-1.4241380579442777
101,Freddie Freeman,0.7646465228282131
102,Freddy Galvis,0.0755772943345025
103,Gordon Beckham,-1.5268676690286291
104,Harold Castro,-1.8974085341558815
105,J. p. Crawford,-1.70604907401768
106,Jackie Bradley,-1.5424592898146894
107,Jacoby Jones,-1.8565328754184107
108,Jake Bauers,0.14023541855466137
109,Jake Marisnick,-2.229667100097634
110,Jason Kipnis,-2.143959205190597
111,Jason Martin,-0.46236412797359455
112,Javier Baez,0.06900573437086682
113,Jonathan Lucroy,-1.586371087703848
114,Jonathan Schoop,-1.840025372567773
115,Jordy Mercer,-1.3261941998820288
116,Jorge Polanco,-2.318457285045067
117,Jurickson Profar,-1.1321190245451802
118,Justin Smoak,-0.42751045199633175
119,Kevin Kiermaier,-1.1559967257219332
120,Kris Bryant,-0.58977145837927
121,Kyle Schwarber,0.759788222656578
122,Kyle Seager,-0.041535772332195395
123,Lorenzo Cain,-1.2646875720361113
124,Luis Arraez,-1.19394785520479
125,Matt Chapman,0.04079980488868536
126,Matt Olson,0.12208471145637459
127,Miguel Sano,-0.7024459165869982
128,Mike Freeman,-2.2254386525583523
129,Nick Castellanos,-0.3822725378935689
130,Nicky Lopez,-1.9944174374505734
131,Niko Goodrum,-1.47900458642346
132,Nomar Mazara,-0.6637820720423346
133,Omar Narvaez,-1.4092142982154352
134,Ramon Laureano,-0.1974446449293436
135,Renato Nunez,0.10704348947580125
136,Robinson Chirinos,-1.5403544541742573
137,Ronald Acuna,0.7536137709784427
138,Ryan O'hearn,-2.0270792755781053
139,Shohei Ohtani,0.4603308749019189
140,Teoscar Hernandez,-1.3834450827939715
141,Tommy Pham,-1.5961467502852895
142,Travis Demeritte,-1.395565124075216
143,Willy Adames,-0.8042451807693662
144,Yasiel Puig,-0.37683152625769245
145,Yoan Moncada,-1.421639909618413
146,Yuli Gurriel,-1.8352720951527082
147,Adam Duvall,0.21406432376709741
148,Andrew Knapp,-2.5965075419868753
149,Andrew Mccutchen,-0.6184328638451302
150,Harold Ramirez,-1.9124268327869065
151,Howie Kendrick,-1.6453269193121702
152,J. d. Davis,0.6053570201702454
153,Jacob Stallings,-1.0231577668608716
154,Joey Votto,-1.7881515028677064
155,Johan Camargo,-2.265028691326611
156,Kevin Pillar,-1.128938450099752
157,Nick Markakis,-2.5293899221242566
158,Paul Dejong,-1.454458060054099
159,Starling Marte,-0.1635283036569938
160,Adam Eaton,0.48572742301684874
161,Adam Frazier,-0.2152811426208409
162,Adam Jones,-1.9375265737154461
163,Aj Pollock,0.43753924831291324
164,Anthony Rizzo,-1.7610598601306604
165,Austin Barnes,-0.5767627821300422
166,Austin Hedges,-2.2412072214718837
167,Austin Riley,-0.9475590210814708
168,Ben Gamel,-0.7721263230877601
169,Brad Miller,-1.121236990130527
170,Brandon Crawford,-1.3451875258680361
171,Brandon Nimmo,-2.7361253879786123
172,Brian Anderson,-1.197760241765409
173,Brian Dozier,-2.125277288199636
174,Brian Mccann,-1.4776383564232516
175,Charlie Blackmon,-1.6127840764794512
176,Cody Bellinger,-0.9938727515191458
177,Corey Dickerson,0.5089468278986967
178,Corey Seager,-0.17749130298780008
179,Curt Casali,0.01161726959234401
180,Daniel Murphy,-0.3911565669554204
181,David Bote,-1.7001984071114107
182,Derek Dietrich,-0.17858930802497902
183,Dexter Fowler,-2.9202175642830763
184,Donovan Solano,-0.7869793195216797
185,Eduardo Escobar,0.5508857439612765
186,Eugenio Suarez,0.9157638598842206
187,Evan Longoria,-1.2161351851960551
188,J. t. Realmuto,-0.6081566163991098
189,Jay Bruce,-0.35208539104553815
190,Joc Pederson,-0.5819450316143306
191,Joe Panik,-2.3047304565794984
192,Jon Berti,0.1542272708719657
193,Jose Osuna,-1.298506858997087
194,José Iglesias,-1.319448991001537
195,Juan Soto,0.9569094324439966
196,Justin Bour,-0.5123704389275413
197,Justin Turner,-1.6699269410699047
198,Kolten Wong,-0.6819532827558965
199,Manny Machado,-0.07134307975876669
200,Manuel Margot,-1.7388843151716973
201,Marcell Ozuna,-0.5819598884250496
202,Matt Adams,-0.51906863480702
203,Melky Cabrera,-2.501420335283084
204,Michael Conforto,-1.2300919220899695
205,Miguel Rojas,-0.6498539435116106
206,Mike Moustakas,0.5154999288287946
207,Mike Yastrzemski,-1.2744149213696792
208,Nick Senzel,-1.9191842301382729
209,Nolan Arenado,0.2711080411088969
210,Orlando Arcia,-0.6126172449538444
211,Ozzie Albies,-1.6485518802904322
212,Paul Goldschmidt,-0.8312501061065994
213,Pete Alonso,0.5528350714082174
214,Ryan Braun,-1.8726461768261013
215,Scott Kingery,-0.2878209705352915
216,Starlin Castro,0.7071405119800769
217,Steven Matz,-1.7048346536623689
218,Todd Frazier,-1.9633981314202553
219,Trevor Story,-0.5427360898568397
220,Willson Contreras,0.6097888603309485
221,Yan Gomes,-1.395413854574815
222,Adam Engel,-2.246476144293053
223,Hanser Alberto,-1.9305658145842264
224,Roberto Perez,0.41996371235515495
225,Carson Kelly,-2.003716346788542
226,Christin Stewart,-0.5115214049553836
227,Dansby Swanson,-1.2665656615912655
228,Elias Diaz,-1.5975057381744546
229,Eric Hosmer,-0.24875763842534826
230,Garrett Cooper,-1.822529920443483
231,Greg Garcia,-2.255516608777001
232,Harrison Bader,-0.7968048854981188
233,Ian Desmond,-2.0922234168256395
234,Isan Diaz,-2.484550099215295
235,Jesse Winker,-1.0177005574422044
236,Jose Martinez,-0.3233710214998845
237,Josh Donaldson,-0.3495494999389542
238,Kevin Kramer,-2.6247685931254585
239,Martin Prado,-2.174187945510122
240,Max Kepler,0.740184287405206
241,Max Muncy,-0.619339913498319
242,Odubel Herrera,-1.7986884937694165
243,Pablo Sandoval,0.4541747427096744
244,Peter O'brien,-2.6209627977001104
245,Phil Ervin,-2.6158985452814476
246,Robinson Cano,0.26697067375826417
247,Rosell Herrera,-2.244282765235652
248,Ryan Zimmerman,-2.25365312213904
249,Tomas Nido,-1.9273324228365385
250,Tommy Edman,-1.0410209016191703
251,Tony Kemp,-2.0086183801782447
252,Trent Grisham,0.3684474048859353
253,Victor Robles,-1.5945989128517344
254,Wilmer Flores,-2.4433874623388974
255,Yadier Molina,1.0803121340825725
256,Adam Haseley,-2.379412478868591
257,Anthony Santander,-0.09991840256988435
258,Brandon Belt,-1.062826712568281
259,Brett Gardner,0.9067117395941231
260,Gerardo Parra,-0.4534199059228989
261,Hunter Dozier,-1.5765556836836874
262,Jorge Alfaro,-1.8374841236403265
263,Kurt Suzuki,-1.1482460576382547
264,Matthew Joyce,-2.126898807811353
265,Richie Martin,-1.7987632906101485
266,Robbie Grossman,-1.4024019204518314
267,Stephen Vogt,-1.6734529916162633
268,Adam Wainwright,-1.147338591736054
269,Addison Russell,-1.0099660649926039
270,Albert Almora,-2.1215113284263336
271,Adeiny Hechavarria,-1.2628557477397186
272,Alex Verdugo,-1.0744603259136063
273,Francisco Mejia,-0.7352180662989763
274,Keon Broxton,-0.7809174363329047
275,Keston Hiura,-1.4834261832082698
276,Kevin Newman,-2.590425895993686
277,Tucker Barnhart,-0.9838171415287631
278,Wil Myers,-0.8642169506986221
279,Will Smith,-0.6584984174995734
280,Willians Astudillo,-1.6212863588558302
281,Yasmani Grandal,-1.0671559569099207
282,Ian Kinsler,-2.5070038216369084
283,Tim Locastro,-1.3230189266337886
284,Brian Goodwin,-0.5667559939913669
285,Byron Buxton,-0.37771704159092756
286,Charlie Tilson,-2.306873916192588
287,Dee Strange-gordon,-2.449807987722305
288,Didi Gregorius,-1.8011732106364877
289,Eduardo Nunez,-1.0271672355984096
290,Eric Sogard,-1.8438773141880247
291,Joey Gallo,-1.5911466833290426
292,Josh Harrison,-2.1864404605990395
293,Khris Davis,-2.3989449839383785
294,Mallex Smith,-1.2433131139841398
295,Michael Brantley,-0.46083221184351114
296,Miguel Cabrera,-1.4479393804031473
297,Mitch Moreland,1.4137255737211551
298,Rio Ruiz,-2.599710209018831
299,Ryan Cordell,-0.14921800588824138
300,Taylor Ward,0.06974864895474096
301,Travis D'arnaud,-0.7989808802856703
302,Aledmys Díaz,0.0970025911642997
303,Tim Federowicz,0.004865642468117299
304,Alex Avila,1.1131175975294119
305,Avisail Garcia,0.1247985301167117
306,Ben Zobrist,-1.93782365059366
307,Billy Mckinney,-0.9536317836685497
308,Colin Moran,-0.07314676857967074
309,Dawel Lugo,-2.22132612939379
310,Dj Lemahieu,-1.1063175707640476
311,Dylan Moore,-2.1767291396447512
312,Grayson Greiner,-0.4289739972057268
313,Jarrod Dyson,-2.2391225957851164
314,Jason Castro,-0.6009097375044073
315,Jason Heyward,1.279326636983774
316,Jordan Luplow,-1.0890590586924471
317,Jose Altuve,0.0664477075181842
318,Josh Naylor,-1.4957369607205075
319,Kendrys Morales,-1.4300823529844795
320,Maikel Franco,0.3907998305397194
321,Michael Chavis,-1.9750655499027452
322,Mitch Haniger,-1.8938629206894995
323,Raimel Tapia,-1.756118838640943
324,Ronald Guzman,-3.0006303444823397
325,Shed Long,-2.141320999516153
326,Stevie Wilkerson,-1.804730692226905
327,Tim Beckham,-0.46217662540518367
328,Tyler White,-2.554289251707438
329,Victor Caratini,-2.3739028395640487
330,Alex Dickerson,-0.20660217779822082
331,Matt Beaty,1.2036711691270425
332,Billy Hamilton,-2.537165817576022
333,Brock Holt,-1.8351467897162328
334,Greg Allen,-2.568557649908294
335,Hernan Perez,-2.4826377403631468
336,Jeimer Candelario,-1.2296064991840336
337,Joey Rickard,0.6147477878149038
338,Leury Garcia,-1.3741734851476337
339,Manny Pina,-2.1768987302678178
340,Mike Tauchman,-1.9161219495157042
341,Nick Solak,-0.8454529616531752
342,Rougned Odor,-0.580728856516921
343,Tommy La stella,-1.2091945688328083
344,Willie Calhoun,0.9795565431395468
345,Josh Phegley,-1.6545558623957164
346,Tyler Flowers,-2.7162996810343825
347,Buster Posey,0.029261855905769994
348,Curtis Granderson,-0.7432388789885751
349,Ender Inciarte,-0.6375667314464334
350,Jack Flaherty,-4.074635269989762
351,Jesus Sucre,-2.5877353473391893
352,Jose Peraza,-2.033068146015281
353,Lewis Brinson,-2.7589143442424926
354,Neil Walker,-1.28737339750359
355,Ronny Rodriguez,-1.6123261112398357
356,Ryan Mcmahon,-2.0720242801421898
357,Scott Schebler,-2.8072920635825516
358,Welington Castillo,-0.4352312738394341
359,Jake Cave,-0.7893350078450546
360,Steve Pearce,-2.931712818907628
361,Brandon Lowe,-2.4488492104352817
362,Chris Davis,0.16944560428622013
363,David Dahl,0.05923989758484847
364,Luis Urias,-1.505364930767062
365,Marwin Gonzalez,-0.5399467951272856
366,Stephen Piscotty,-1.1891194567663523
367,Andrew Knizner,3.6914698003054127
368,Jake Lamb,-1.0505923520208884
369,Steven Brault,-2.779630973036328
370,Chris Iannetta,-3.1603490657635716
371,Dominic Smith,-2.0104618146311393
372,Jesus Aguilar,-1.5013351361726563
373,Logan Forsythe,-2.0236703208802926
374,Madison Bumgarner,-3.1588710247617775
375,Rowdy Tellez,-0.13227570464770388
376,Wilmer Difo,-0.5123023798735248
377,Zach Wheeler,0.04674775307755098
378,Austin Dean,-2.2190206986006764
379,Bryan Holaday,-4.170831780527875
380,Enrique Hernandez,-1.4888311012845712
381,Jb Shuck,-3.115024824008164
382,Nico Hoerner,-3.2999481867104405
383,Tony Wolters,-1.8539597676795712
384,Kevin Cron,0.782330209092346
385,Kyle Farmer,0.3368519384191062
386,Yonder Alonso,-1.196222765656293
387,Aramis Garcia,-3.3271198031566014
388,Aristides Aquino,-2.393185461570846
389,Yairo Munoz,-3.497772441749473
390,Austin Hays,-4.024164167218185
391,Mike Brosseau,-2.591799843157499
392,Mike Ford,-2.0104542945872557
393,Chance Sisco,0.15525201487040394
394,Jung ho Kang,-0.5088020198555042
395,Justin Upton,-1.256198686012643
396,Kyle Lewis,0.9415852655281993
397,Tim Lopes,-2.5448270345717208
398,Austin Romine,-2.6395765373566533
399,Austin Slater,-2.2474804742454086
400,Austin Wynns,-1.8278687321041436
401,Travis Shaw,0.8412547965670212
402,Steven Duggar,-0.853674685943871
403,Garrett Hampson,-3.7701850829148524
404,Tyler Wade,-0.6468438308122507
405,Yadiel Rivera,-3.3015665789811455
406,Cam Gallagher,-2.346301485272541
407,Lourdes Gurriel,-2.1540541873560226
408,Brendan Rodgers,-0.5408375497045605
409,Tom Murphy,-2.327630134268793
410,Josh Vanmeter,-2.1769865087861087
411,Sam Hilliard,-3.660399295437122
412,Josh Rojas,-1.9891990604614789
413,Michael Taylor,-1.6688461156237329
414,Dustin Pedroia,-1.0266142147283863
415,Ehire Adrianza,-2.050550638490272
416,Tyler Naquin,-2.7485221470559744
417,Yu Chang,-2.7352655559738084
418,Cameron Maybin,-2.5676439150628645
419,Carlos Gomez,-2.929720259266935
420,Daniel Palka,0.11419417645640859
421,Jeff Mathis,-1.277400764524342
422,Nate Lowe,-2.4275282524702786
423,Zack Collins,0.11447850936284398
424,Juan Lagares,-0.5058408167488628
425,Cedric Mullins,-1.8580843387287986
426,Matt Duffy,-2.506088796431078
427,Chris Herrmann,0.0027827827552069965
428,Ryan Goins,-1.4133967990139968
429,Chris Owings,-2.3303974095954865
430,Christian Arroyo,-4.503682594014942
431,Tyler Austin,-1.173460681939909
432,John Hicks,-1.8560910856310808
433,Cole Tucker,-2.573016056597413
434,Cory Spangenberg,-3.2215562838926064
435,Jt Riddle,-2.2478435549391764
436,Ildemaro Vargas,0.47157148165514773
437,Willi Castro,-1.2800342375959177
438,Jose Trevino,-0.3833712675278776
439,Derek Fisher,0.04636487115760379
440,Zack Greinke,-0.5080730633068226
441,Dj Stewart,-3.019199967790129
442,Dustin Garneau,-3.5174237513018842
