,Player,Rank
0,Aaron Hicks,0.007297482061415609
1,Anthony Santander,-0.5334759159247942
2,Gio Urshela,1.0138173936905996
3,Jackie Bradley,-0.8015577894603602
4,Jonathan Villar,1.6349127110251198
5,Rafael Devers,-0.07409516944756059
6,Xander Bogaerts,-2.2140619249643527
7,Aaron Judge,-1.9105789637536952
8,Amed Rosario,0.06968273001809226
9,Anthony Rendon,1.6282431721419954
10,Asdrubal Cabrera,-1.248077546975979
11,Austin Romine,0.19989619736571196
12,Bo Bichette,-0.22534351451593435
13,Brett Gardner,-0.26778284531041807
14,Breyvic Valera,0.9278936511923394
15,C. j. Cron,-1.3846865572493923
16,Carlos Correa,-0.3916130201781491
17,Carlos Sanchez,-2.8565858827994877
18,Carlos Santana,0.6581075122409165
19,Cavan Biggio,-0.3023880463729989
20,Dee Strange-gordon,-2.05906814035121
21,Delino Deshields,-1.176387918488478
22,Didi Gregorius,-1.3213595739587647
23,Dj Lemahieu,-2.076761027630926
24,Domingo Santana,-1.3642893127093436
25,Eddie Rosario,-0.517575080899843
26,Elvis Andrus,-0.7306099879037441
27,Eric Sogard,-1.628768190590118
28,Gary Sanchez,-0.03100068570249503
29,Gleyber Torres,-0.6563820415053915
30,Guillermo Heredia,-2.1917214105870024
31,Hanser Alberto,-1.0995263550902246
32,J. d. Martinez,-0.08448846276672685
33,Jake Bauers,-0.5631653932446036
34,Jason Kipnis,0.1628510489631328
35,Joe Panik,-1.4623601488166038
36,Joey Wendle,-1.444522629472653
37,Jonathan Schoop,-1.9140844806975785
38,Jorge Polanco,0.323387392260329
39,Jose Ramirez,-0.19520923651846167
40,Justin Smoak,0.2563073647032788
41,Justin Turner,-1.1197095597327682
42,Kevin Kiermaier,-2.080391226377651
43,Khris Davis,-1.555266556629755
44,Leonys Martín,-1.2734971600846234
45,Lourdes Gurriel,-0.3208477223439819
46,Mallex Smith,-1.939735982626495
47,Mark Canha,-0.36379220067252716
48,Matt Chapman,1.119760355118141
49,Michael Brantley,-1.702988699025124
50,Mike Ford,-0.7348402035473435
51,Mike Tauchman,-1.2815163484105476
52,Mike Trout,0.5807910227645391
53,Mitch Garver,-0.10065609558791944
54,Nate Lowe,0.9855151116111092
55,Oscar Mercado,-2.2056311607091557
56,Pedro Severino,-1.3184031755672865
57,Randal Grichuk,-0.06007570282827033
58,Renato Nunez,-0.9249262012547322
59,Robbie Grossman,-0.658791011798499
60,Roberto Perez,-0.6675623014261317
61,Rougned Odor,0.9349739077236249
62,Shin-soo Choo,0.1860391447873809
63,Thairo Estrada,-1.9302741374279913
64,Tim Anderson,-2.4472247564044305
65,Tommy Pham,-1.8197215686112067
66,Tony Kemp,-0.08586379033705728
67,Tyler White,-2.364735010291526
68,Vladimir Guerrero,0.4413652186211404
69,Whit Merrifield,-0.9194231617519532
70,Willy Adames,-0.1630230325732313
71,Yandy Díaz,-1.6827492523375056
72,Yasiel Puig,0.21642367278261346
73,Abraham Toro,-0.8071546026139707
74,Jake Marisnick,-0.40681942474300165
75,Jason Heyward,-0.5282019643685487
76,Adalberto Mondesi,0.06778555742938736
77,Alex Bregman,0.6234849561699671
78,Byron Buxton,0.36810799093500535
79,Cameron Maybin,0.8191961454036772
80,Colin Moran,-1.3553020158480913
81,Dan Vogelbach,-0.10731648646121333
82,Dominic Smith,0.05339207430361666
83,Elias Diaz,-2.2147442618377946
84,Enrique Hernandez,-0.31708719600994173
85,Evan Longoria,-2.3869740495341465
86,Jake Lamb,-2.2742175203740893
