winner,loser,who_won,score
A. j. Burnett,Josh Johnson,batter,3
A. j. Ellis,Jason Marquis,batter,3
A. j. Pierzynski,A.J. Burnett,batter,6
A. j. Pierzynski,Aaron Harang,batter,3
A. j. Pierzynski,Alfredo Aceves,batter,6
A. j. Pierzynski,Andy Pettitte,batter,3
A. j. Pierzynski,Armando Galarraga,batter,15
A. j. Pierzynski,Brad Bergesen,batter,6
A. j. Pierzynski,Brad Kilby,batter,3
A. j. Pierzynski,Braden Looper,batter,6
A. j. Pierzynski,Brandon McCarthy,batter,3
A. j. Pierzynski,Brett Anderson,batter,3
A. j. Pierzynski,Brett Cecil,batter,3
A. j. Pierzynski,Brett Tomko,batter,4
A. j. Pierzynski,Brian Bannister,batter,27
A. j. Pierzynski,Brian Bass,batter,3
A. j. Pierzynski,Brian Duensing,batter,3
A. j. Pierzynski,Brian Fuentes,batter,3
A. j. Pierzynski,Brian Tallet,batter,2
A. j. Pierzynski,Bruce Chen,batter,3
A. j. Pierzynski,C.J. Wilson,batter,3
A. j. Pierzynski,Carl Pavano,batter,18
A. j. Pierzynski,Carlos Zambrano,batter,3
A. j. Pierzynski,Casey Fien,batter,2
A. j. Pierzynski,Chad Billingsley,batter,12
A. j. Pierzynski,Clay Buchholz,batter,9
A. j. Pierzynski,Cliff Lee,batter,3
A. j. Pierzynski,Cory Wade,batter,3
A. j. Pierzynski,Daniel Bard,batter,6
A. j. Pierzynski,Darren Oliver,batter,3
A. j. Pierzynski,David Aardsma,batter,5
A. j. Pierzynski,David Hernandez,batter,5
A. j. Pierzynski,David Huff,batter,33
A. j. Pierzynski,David Patton,batter,3
A. j. Pierzynski,David Price,batter,3
A. j. Pierzynski,David Robertson,batter,3
A. j. Pierzynski,Dennis Sarfate,batter,3
A. j. Pierzynski,Dusty Hughes,batter,3
A. j. Pierzynski,Edgar Gonzalez,batter,9
A. j. Pierzynski,Edwin Jackson,batter,21
A. j. Pierzynski,Erik Bedard,batter,15
A. j. Pierzynski,Felix Hernandez,batter,5
A. j. Pierzynski,Fu-Te Ni,batter,3
A. j. Pierzynski,Gil Meche,batter,14
A. j. Pierzynski,Gio Gonzalez,batter,5
A. j. Pierzynski,Ian Snell,batter,3
A. j. Pierzynski,J.P. Howell,batter,3
A. j. Pierzynski,James Shields,batter,6
A. j. Pierzynski,Jamey Wright,batter,9
A. j. Pierzynski,Jeff Manship,batter,3
A. j. Pierzynski,Jeff Niemann,batter,15
A. j. Pierzynski,Jeff Suppan,batter,9
A. j. Pierzynski,Jeff Weaver,batter,3
A. j. Pierzynski,Jered Weaver,batter,3
A. j. Pierzynski,Jeremy Guthrie,batter,6
A. j. Pierzynski,Jeremy Sowers,batter,9
A. j. Pierzynski,Joe Nathan,batter,3
A. j. Pierzynski,Joe Saunders,batter,3
A. j. Pierzynski,Joel Zumaya,batter,2
A. j. Pierzynski,John Bale,batter,3
A. j. Pierzynski,Johnny Cueto,batter,12
A. j. Pierzynski,Jose Arredondo,batter,3
A. j. Pierzynski,Jose Mijares,batter,3
A. j. Pierzynski,Juan Cruz,batter,2
A. j. Pierzynski,Junichi Tazawa,batter,12
A. j. Pierzynski,Justin Masterson,batter,3
A. j. Pierzynski,Justin Speier,batter,3
A. j. Pierzynski,Justin Verlander,batter,9
A. j. Pierzynski,Kevin Cameron,batter,3
A. j. Pierzynski,Kevin Millwood,batter,2
A. j. Pierzynski,Kyle Davies,batter,3
A. j. Pierzynski,Kyle Farnsworth,batter,6
A. j. Pierzynski,Luis Mendoza,batter,12
A. j. Pierzynski,Manny Delcarmen,batter,3
A. j. Pierzynski,Mariano Rivera,batter,2
A. j. Pierzynski,Mark Lowe,batter,3
A. j. Pierzynski,Mark Melancon,batter,3
A. j. Pierzynski,Matt Albers,batter,3
A. j. Pierzynski,Matt Garza,batter,17
A. j. Pierzynski,Miguel Batista,batter,5
A. j. Pierzynski,Mike Gosling,batter,6
A. j. Pierzynski,Nate Robertson,batter,12
A. j. Pierzynski,Nick Blackburn,batter,24
A. j. Pierzynski,Paul Byrd,batter,3
A. j. Pierzynski,Phil Coke,batter,3
A. j. Pierzynski,Rafael Rodriguez,batter,3
A. j. Pierzynski,Randy Wolf,batter,3
A. j. Pierzynski,Robinson Tejeda,batter,6
A. j. Pierzynski,Roman Colon,batter,6
A. j. Pierzynski,Ron Mahay,batter,9
A. j. Pierzynski,Ross Ohlendorf,batter,6
A. j. Pierzynski,Ryan Dempster,batter,11
A. j. Pierzynski,Ryan Rowland-Smith,batter,3
A. j. Pierzynski,Scott Baker,batter,9
A. j. Pierzynski,Sean Marshall,batter,3
A. j. Pierzynski,Sean O'Sullivan,batter,6
A. j. Pierzynski,Sergio Mitre,batter,6
A. j. Pierzynski,Tim Wakefield,batter,8
A. j. Pierzynski,Tomo Ohka,batter,3
A. j. Pierzynski,Trevor Cahill,batter,20
A. j. Pierzynski,Trevor Hoffman,batter,3
A. j. Pierzynski,Victor Marte,batter,2
A. j. Pierzynski,Vin Mazzaro,batter,2
A. j. Pierzynski,Zach Duke,batter,3
A. j. Pierzynski,Zach Miner,batter,3
A. j. Pierzynski,Zack Greinke,batter,33
A.J. Burnett,A. j. Pierzynski,pitcher,1
A.J. Burnett,Aaron Hill,pitcher,24
A.J. Burnett,Adam Everett,pitcher,3
A.J. Burnett,Adam Jones,pitcher,22
A.J. Burnett,Adam Kennedy,pitcher,8
A.J. Burnett,Adam Lind,pitcher,16
A.J. Burnett,Adrian Beltre,pitcher,3
A.J. Burnett,Akinori Iwamura,pitcher,12
A.J. Burnett,Alberto Callaspo,pitcher,1
A.J. Burnett,Alex Cora,pitcher,20
A.J. Burnett,Alex Gonzalez,pitcher,1
A.J. Burnett,Alex Gordon,pitcher,12
A.J. Burnett,Alex Rios,pitcher,4
A.J. Burnett,Andruw Jones,pitcher,7
A.J. Burnett,Argenis Reyes,pitcher,8
A.J. Burnett,Asdrubal Cabrera,pitcher,2
A.J. Burnett,Aubrey Huff,pitcher,22
A.J. Burnett,B. j. Upton,pitcher,47
A.J. Burnett,Ben Zobrist,pitcher,17
A.J. Burnett,Bill Hall,pitcher,7
A.J. Burnett,Billy Butler,pitcher,2
A.J. Burnett,Bobby Abreu,pitcher,25
A.J. Burnett,Bobby Crosby,pitcher,7
A.J. Burnett,Brandon Inge,pitcher,8
A.J. Burnett,Brendan Harris,pitcher,3
A.J. Burnett,Brian Buscher,pitcher,2
A.J. Burnett,Brian Roberts,pitcher,20
A.J. Burnett,Brian Schneider,pitcher,3
A.J. Burnett,Carl Crawford,pitcher,12
A.J. Burnett,Carlos Beltran,pitcher,7
A.J. Burnett,Carlos Gomez,pitcher,12
A.J. Burnett,Carlos Pena,pitcher,22
A.J. Burnett,Carlos Quentin,pitcher,2
A.J. Burnett,Carlos Ruiz,pitcher,7
A.J. Burnett,Casey Kotchman,pitcher,6
A.J. Burnett,Cesar Izturis,pitcher,9
A.J. Burnett,Chase Utley,pitcher,14
A.J. Burnett,Chone Figgins,pitcher,19
A.J. Burnett,Chris Coghlan,pitcher,8
A.J. Burnett,Chris Davis,pitcher,38
A.J. Burnett,Chris Getz,pitcher,1
A.J. Burnett,Clete Thomas,pitcher,1
A.J. Burnett,Cliff Lee,pitcher,1
A.J. Burnett,Cliff Pennington,pitcher,2
A.J. Burnett,Cody Ross,pitcher,7
A.J. Burnett,Dan Uggla,pitcher,7
A.J. Burnett,Daniel Murphy,pitcher,5
A.J. Burnett,David Dellucci,pitcher,6
A.J. Burnett,David Murphy,pitcher,10
A.J. Burnett,David Ortiz,pitcher,14
A.J. Burnett,David Wright,pitcher,21
A.J. Burnett,Delmon Young,pitcher,6
A.J. Burnett,Denard Span,pitcher,30
A.J. Burnett,Dioner Navarro,pitcher,19
A.J. Burnett,Dustin Pedroia,pitcher,4
A.J. Burnett,Edwin Encarnacion,pitcher,2
A.J. Burnett,Elvis Andrus,pitcher,11
A.J. Burnett,Emilio Bonifacio,pitcher,7
A.J. Burnett,Erick Aybar,pitcher,18
A.J. Burnett,Evan Longoria,pitcher,28
A.J. Burnett,Felix Pie,pitcher,7
A.J. Burnett,Fernando Martinez,pitcher,8
A.J. Burnett,Fernando Perez,pitcher,7
A.J. Burnett,Franklin Gutierrez,pitcher,2
A.J. Burnett,Gabe Gross,pitcher,23
A.J. Burnett,Gabe Kapler,pitcher,2
A.J. Burnett,Gary Matthews,pitcher,6
A.J. Burnett,Gary Sheffield,pitcher,18
A.J. Burnett,Gerald Laird,pitcher,2
A.J. Burnett,Gordon Beckham,pitcher,7
A.J. Burnett,Grady Sizemore,pitcher,2
A.J. Burnett,Gregg Zaun,pitcher,9
A.J. Burnett,Hank Blalock,pitcher,8
A.J. Burnett,Howie Kendrick,pitcher,18
A.J. Burnett,Ian Kinsler,pitcher,17
A.J. Burnett,Ichiro Suzuki,pitcher,1
A.J. Burnett,J. d. Drew,pitcher,18
A.J. Burnett,Jack Cust,pitcher,13
A.J. Burnett,Jack Hannahan,pitcher,18
A.J. Burnett,Jacoby Ellsbury,pitcher,6
A.J. Burnett,Jarrod Saltalamacchia,pitcher,24
A.J. Burnett,Jason Bartlett,pitcher,17
A.J. Burnett,Jason Bay,pitcher,9
A.J. Burnett,Jason Kubel,pitcher,17
A.J. Burnett,Jason Varitek,pitcher,33
A.J. Burnett,Jayson Werth,pitcher,15
A.J. Burnett,Jeff Fiorentino,pitcher,9
A.J. Burnett,Jeremy Hermida,pitcher,6
A.J. Burnett,Jeremy Reed,pitcher,14
A.J. Burnett,Jermaine Dye,pitcher,12
A.J. Burnett,Jhonny Peralta,pitcher,7
A.J. Burnett,Jim Thome,pitcher,8
A.J. Burnett,Jimmy Rollins,pitcher,13
A.J. Burnett,Joe Crede,pitcher,2
A.J. Burnett,Joe Inglett,pitcher,7
A.J. Burnett,Joe Mauer,pitcher,14
A.J. Burnett,John Baker,pitcher,3
A.J. Burnett,John Buck,pitcher,3
A.J. Burnett,Jorge Cantu,pitcher,7
A.J. Burnett,Jose Lopez,pitcher,4
A.J. Burnett,Josh Anderson,pitcher,2
A.J. Burnett,Josh Hamilton,pitcher,15
A.J. Burnett,Josh Johnson,pitcher,12
A.J. Burnett,Josh Reddick,pitcher,8
A.J. Burnett,Josh Wilson,pitcher,10
A.J. Burnett,Juan Rivera,pitcher,18
A.J. Burnett,Julio Borbon,pitcher,18
