,winner,loser,who_won,score
0,A.J. Cole,Dwight Smith,pitcher,1
1,A.J. Cole,Humberto Arteaga,pitcher,1
2,A.J. Cole,Jorge Soler,pitcher,1
3,A.J. Cole,Martin Maldonado,pitcher,1
4,A.J. Cole,Nelson Cruz,pitcher,6
5,A.J. Cole,Rougned Odor,pitcher,1
6,A.J. Cole,Scott Heineman,pitcher,2
7,Aaron Altherr,Jakob Junis,batter,3
8,Aaron Altherr,Martin Perez,batter,6
9,Aaron Barrett,Julio Teheran,pitcher,1
10,Aaron Barrett,Ozzie Albies,pitcher,1
11,Aaron Barrett,Ronald Acuna,pitcher,6
12,Aaron Brooks,Carlos Correa,pitcher,6
13,Aaron Brooks,Cavan Biggio,pitcher,1
14,Aaron Brooks,Cedric Mullins,pitcher,1
15,Aaron Brooks,Cheslor Cuthbert,pitcher,1
16,Aaron Brooks,Danny Santana,pitcher,1
17,Aaron Brooks,Dylan Moore,pitcher,1
18,Aaron Brooks,Eduardo Nunez,pitcher,2
19,Aaron Brooks,Francisco Lindor,pitcher,6
20,Aaron Brooks,Grayson Greiner,pitcher,1
21,Aaron Brooks,Harold Castro,pitcher,1
22,Aaron Brooks,Hunter Dozier,pitcher,7
23,Aaron Brooks,Jackie Bradley,pitcher,6
24,Aaron Brooks,Joey Gallo,pitcher,6
25,Aaron Brooks,Jorge Soler,pitcher,6
26,Aaron Brooks,Jose Altuve,pitcher,1
27,Aaron Brooks,Justin Smoak,pitcher,1
28,Aaron Brooks,Justin Upton,pitcher,1
29,Aaron Brooks,Kole Calhoun,pitcher,6
30,Aaron Brooks,Kyle Seager,pitcher,1
31,Aaron Brooks,Lourdes Gurriel,pitcher,6
32,Aaron Brooks,Miguel Cabrera,pitcher,1
33,Aaron Brooks,Mookie Betts,pitcher,2
34,Aaron Brooks,Patrick Corbin,pitcher,1
35,Aaron Brooks,Pedro Severino,pitcher,1
36,Aaron Brooks,Randal Grichuk,pitcher,6
37,Aaron Brooks,Richie Martin,pitcher,6
38,Aaron Brooks,Roberto Perez,pitcher,1
39,Aaron Brooks,Shed Long,pitcher,1
40,Aaron Brooks,Shin-soo Choo,pitcher,1
41,Aaron Brooks,Shohei Ohtani,pitcher,1
