,winner,loser,who_won,score
0,A. j. Reed,Chris Bassitt,batter,2
1,A. j. Reed,Glenn Sparkman,batter,3
2,A.J. Minter,Adam Jones,pitcher,1
3,A.J. Minter,Bryan Reynolds,pitcher,1
4,A.J. Minter,Cam Gallagher,pitcher,6
5,A.J. Minter,Cesar Hernandez,pitcher,1
6,A.J. Minter,Chad Wallach,pitcher,6
7,A.J. Minter,Ian Kinsler,pitcher,1
8,A.J. Minter,Isaac Galloway,pitcher,6
9,A.J. Minter,Jean Segura,pitcher,1
10,A.J. Minter,Josh Bell,pitcher,1
11,A.J. Minter,Juan Soto,pitcher,1
12,A.J. Minter,Justin Turner,pitcher,1
13,A.J. Minter,Matt Adams,pitcher,6
14,A.J. Minter,Michael Taylor,pitcher,1
15,A.J. Minter,Scott Kingery,pitcher,6
16,A.J. Minter,Sean Rodriguez,pitcher,6
17,A.J. Minter,Todd Frazier,pitcher,1
18,AJ Reed,Ehire Adrianza,pitcher,1
19,AJ Reed,Marwin Gonzalez,pitcher,1
20,Aaron Altherr,Martin Perez,batter,6
21,Aaron Altherr,Steven Matz,batter,2
22,Aaron Barrett,Ozzie Albies,pitcher,1
23,Aaron Brooks,Adam Eaton,pitcher,2
24,Aaron Brooks,Alex Bregman,pitcher,1
25,Aaron Brooks,Andrew Benintendi,pitcher,3
26,Aaron Brooks,Bo Bichette,pitcher,1
27,Aaron Brooks,Carlos Correa,pitcher,1
28,Aaron Brooks,Chance Sisco,pitcher,6
29,Aaron Brooks,Dan Vogelbach,pitcher,2
30,Aaron Brooks,Danny Jansen,pitcher,1
31,Aaron Brooks,Derek Fisher,pitcher,7
32,Aaron Brooks,Eduardo Escobar,pitcher,1
33,Aaron Brooks,Francisco Lindor,pitcher,6
34,Aaron Brooks,Freddy Galvis,pitcher,2
35,Aaron Brooks,Grayson Greiner,pitcher,1
36,Aaron Brooks,Harold Castro,pitcher,1
37,Aaron Brooks,J. p. Crawford,pitcher,3
38,Aaron Brooks,Jackie Bradley,pitcher,4
39,Aaron Brooks,Jake Lamb,pitcher,6
40,Aaron Brooks,Jeimer Candelario,pitcher,3
41,Aaron Brooks,Ji-man Choi,pitcher,6
42,Aaron Brooks,Joey Wendle,pitcher,1
43,Aaron Brooks,Jorge Soler,pitcher,2
44,Aaron Brooks,Jose Altuve,pitcher,1
45,Aaron Brooks,Josh Reddick,pitcher,1
46,Aaron Brooks,Justin Smoak,pitcher,1
47,Aaron Brooks,Justin Upton,pitcher,6
48,Aaron Brooks,Ketel Marte,pitcher,1
49,Aaron Brooks,Kevin Kiermaier,pitcher,2
50,Aaron Brooks,Kole Calhoun,pitcher,2
51,Aaron Brooks,Lourdes Gurriel,pitcher,1
52,Aaron Brooks,Luis Rengifo,pitcher,3
53,Aaron Brooks,Marco Hernandez,pitcher,1
54,Aaron Brooks,Martin Maldonado,pitcher,6
55,Aaron Brooks,Meibrys Viloria,pitcher,2
56,Aaron Brooks,Mike Freeman,pitcher,2
57,Aaron Brooks,Mitch Moreland,pitcher,1
58,Aaron Brooks,Mookie Betts,pitcher,6
59,Aaron Brooks,Nate Lowe,pitcher,1
60,Aaron Brooks,Omar Narvaez,pitcher,1
61,Aaron Brooks,Patrick Corbin,pitcher,6
62,Aaron Brooks,Rafael Devers,pitcher,3
63,Aaron Brooks,Rio Ruiz,pitcher,2
64,Aaron Brooks,Robbie Ray,pitcher,1
65,Aaron Brooks,Ryan O'hearn,pitcher,1
66,Aaron Brooks,Shed Long,pitcher,2
