mlbam,name
444482,David Peralta
453568,Charlie Blackmon
455117,Martín Maldonado
456781,Donovan Solano
457705,Andrew Mccutchen
457759,Justin Turner
458015,Joey Votto
462101,Elvis Andrus
467055,Pablo Sandoval
467793,Carlos Santana
493329,Yuli Gurriel
500743,Miguel Rojas
500871,Eduardo Escobar
501303,Ehire Adrianza
502054,Tommy Pham
502110,J. d. Martinez
502671,Paul Goldschmidt
506702,Sandy León
514888,José Altuve
516782,Starling Marte
518595,Travis D'arnaud
518692,Freddie Freeman
518735,Yasmani Grandal
518792,Jason Heyward
518934,Dj Lemahieu
519058,Mike Moustakas
519203,Anthony Rizzo
519317,Giancarlo Stanton
521692,Salvador Pérez
527038,Wilmer Flores
541645,Avisaíl García
541650,Hernán Pérez
542194,Christian Bethancourt
542208,Carlos Pérez
542303,Marcell Ozuna
542364,Rafael Ortega
542932,Jon Berti
542963,Rob Brantly
543063,Brandon Crawford
543068,C. j. Cron
543228,Yan Gomes
543257,Robbie Grossman
543281,Josh Harrison
543305,Aaron Hicks
543309,Kyle Higashioka
543510,James Mccann
543518,Scott Mcgough
543543,Brad Miller
543592,Austin Nola
543685,Anthony Rendon
543760,Marcus Semien
543807,George Springer
543877,Christian Vázquez
543939,Kolten Wong
544725,Leury García
545121,Ildemaro Vargas
545341,Randal Grichuk
545350,Jake Marisnick
545358,Max Stassi
545361,Mike Trout
546990,Anthony Alford
546991,Albert Almora
546994,C.J. Hinojosa
547180,Bryce Harper
547379,Roberto Pérez
547989,José Abreu
553869,Elías Díaz
553882,Omar Narváez
553988,Dixon Machado
553993,Eugenio Suárez
570481,Erik González
570482,Gio Urshela
570560,Yolmer Sánchez
571448,Nolan Arenado
571466,Tucker Barnhart
571657,Kyle Farmer
571745,Mitch Haniger
571771,Enrique Hernández
571875,Jake Lamb
571912,Luke Maile
571970,Max Muncy
572008,Chris Owings
572039,Stephen Piscotty
572138,Jon Singleton
572191,Michael Taylor
572204,Trayce Thompson
572228,Luke Voit
572233,Christian Walker
572761,Matt Carpenter
573262,Mike Yastrzemski
575929,Willson Contreras
578428,Jose Iglesias
592178,Kris Bryant
592192,Mark Canha
592200,Curt Casali
592205,Ryan Casteel
592206,Nick Castellanos
592273,Brandon Drury
592325,Ben Gamel
592348,Niko Goodrum
592450,Aaron Judge
592518,Manny Machado
592622,Mark Payton
592626,Joc Pederson
592663,J. t. Realmuto
592669,Hunter Renfroe
592696,Eddie Rosario
592885,Christian Yelich
593160,Whit Merrifield
593428,Xander Bogaerts
593871,Jorge Polanco
593934,Miguel Sanó
594807,Adam Duvall
595281,Kevin Kiermaier
595284,Andrew Knapp
595453,Chad Wallach
595751,Jorge Alfaro
595777,Jurickson Profar
595879,Javier Báez
595909,Jake Cave
595943,Phillip Evans
595956,Cam Gallagher
595978,Austin Hedges
596019,Francisco Lindor
596103,Austin Slater
596115,Trevor Story
596117,Garrett Stubbs
596129,Dan Vogelbach
596142,Gary Sánchez
596146,Max Kepler
596847,Ji man Choi
600869,Jeimer Candelario
602104,Ramón Urías
605113,Nick Ahmed
605119,Brian Anderson
605131,Austin Barnes
605137,Josh Bell
605141,Mookie Betts
605170,Víctor Caratini
605204,J. d. Davis
605244,Aramis Garcia
605346,Jack López
605353,Vimael Machín
605361,Nick Martini
605421,Michael Pérez
605548,Bradley Zimmer
605612,Harold Castro
606019,Esteban Quiroz
606115,Orlando Arcia
606192,Teoscar Hernández
606466,Ketel Marte
606992,Eric Haase
607043,Brandon Nimmo
607054,Jace Peterson
607067,Colin Rea
607208,Trea Turner
607680,Kevin Pillar
607732,Jacob Stallings
608070,José Ramírez
608324,Alex Bregman
608336,Joey Gallo
608348,Carson Kelly
608360,Chris Okey
608369,Corey Seager
608385,Jesse Winker
608422,José Godoy
608596,Tom Murphy
608671,Travis Jankowski
608700,Kevin Plawecki
608701,Rob Refsnyder
608841,Joey Meneses
609274,Elier Hernandez
609280,Miguel Andújar
613546,Angelo Castellano
613564,Jason Vosler
614173,Franchy Cordero
620439,Franklin Barreto
620443,Luis Torrens
621006,Richie Martin
621008,Alex De goti
621020,Dansby Swanson
621028,Kevin Newman
621035,Chris Taylor
621043,Carlos Correa
621311,David Dahl
621433,Brett Phillips
621438,Tyrone Taylor
621439,Byron Buxton
621450,Skye Bolt
621458,Edwin Ríos
621466,Dj Stewart
621493,Taylor Ward
621512,Tomás Nido
621529,Joe Hudson
621532,Anthony Bemboom
621545,Zach Remillard
621550,Patrick Wisdom
621563,Joey Wendle
621566,Matt Olson
622110,Matt Duffy
622268,Donovan Walton
622491,Luis Castillo
622534,Manuel Margot
622569,Pablo Reyes
622761,Jorge Mateo
623168,Tyler Heineman
623205,Andrew Velazquez
623507,Josh Lester
623520,David Bote
623912,Harold Ramírez
623993,Anthony Santander
624413,Pete Alonso
624414,Christian Arroyo
624415,Cavan Biggio
624424,Michael Conforto
624428,Adam Frazier
624431,Jose Trevino
624503,Nick Gordon
624512,Reese Mcguire
624513,Dom Nuñez
624585,Jorge Soler
624641,Edmundo Sosa
628451,Andy Ibáñez
630105,Jake Cronenworth
631222,Michael De La Cruz
640458,Óscar Mercado
640459,Brian Navarreto
640460,Dustin Peterson
640492,José Azocar
640902,Jhonny Pereda
641313,Tim Anderson
641343,Jake Bauers
641355,Cody Bellinger
641432,Willie Calhoun
641487,J. p. Crawford
641505,Jonathan Davis
641511,Jason Delay
641531,Hunter Dozier
641555,J. c. Escarra
641584,Jake Fraley
641598,Mitch Garver
641645,Luis Guillorme
641658,Garrett Hampson
641680,Jonah Heim
641779,Charles Leblanc
641796,Tim Locastro
641820,Trey Mancini
641829,Jason Martin
641856,Billy Mckinney
641857,Ryan Mcmahon
641924,Jacob Nottingham
641933,Tyler O'neill
641943,Joshua Palacios
642020,Chuckie Robinson
642021,Errol Robinson
642082,Chance Sisco
642086,Dominic Smith
642133,Rowdy Tellez
642134,Robbie Tenerowicz
642136,Matt Thaiss
642137,Cody Thomas
642165,Josh Vanmeter
642180,Tyler Wade
642197,Jamie Westbrook
642201,Eli White
642215,Weston Wilson
642336,Francisco Mejía
642350,José Siri
642451,Luis Liberato
642708,Amed Rosario
642715,Willy Adames
642720,Ray-Patrick Didder
642727,Sergio Alcántara
642731,Thairo Estrada
642851,Austin Wynns
643217,Andrew Benintendi
643265,Garrett Cooper
643289,Mauricio Dubón
643348,Caleb Hamilton
643376,Danny Jansen
643393,Tony Kemp
643396,Isiah Kiner-falefa
643446,Jeff Mcneil
643565,Mike Tauchman
644433,Chadwick Tromp
645277,Ozzie Albies
645302,Víctor Robles
645305,Ali Sánchez
645444,José Herrera
645801,Mike Ford
646240,Rafael Devers
647304,Josh Naylor
647351,Abraham Toro
647378,Andy Yerzy
649557,Aledmys Díaz
649966,Luis Urías
650331,Lewin Díaz
650333,Luis Arráez
650391,Eloy Jiménez
650402,Gleyber Torres
650489,Willi Castro
650490,Yandy Díaz
650559,Bryan De la cruz
650859,Luis Rengifo
650907,René Pinto
650968,Yohel Pozo
651016,Matt Lloyd
655316,Andruw Monasterio
656024,Carlos Pérez
656180,Riley Adams
656185,Greg Allen
656248,Sean Bouchard
656305,Matt Chapman
656308,Michael Chavis
656388,Joe Dunand
656413,Stuart Fairchild
656448,Stone Garrett
656462,Isiah Gilliam
656484,Tristan Gray
656495,Dalton Guthrie
656537,Derek Hill
656541,Sam Hilliard
656555,Rhys Hoskins
