winner,loser,score
A.J. Vukovich,Eloy Jiménez,0.24635007977485657
A.J. Vukovich,Hunter Renfroe,0.09654925763607025
A.J. Vukovich,Ian Happ,0.24635007977485657
A.J. Vukovich,Jesus Valdez,0.24635007977485657
A.J. Vukovich,Nasim Nuñez,0.09654925763607025
A.J. Vukovich,Steven Kwan,0.09654925763607025
Aaron Hicks,Aaron Judge,0.5413863658905029
Aaron Hicks,Aaron Schunk,0.25771379470825195
Aaron Hicks,Adam Duvall,0.7939576506614685
Aaron Hicks,Adam Frazier,0.6852450966835022
Aaron Hicks,Addison Barger,0.25771379470825195
Aaron Hicks,Adley Rutschman,1.0859850645065308
Aaron Hicks,Adolis García,0.4807828664779663
Aaron Hicks,Adrian Del castillo,0.17496004700660706
Aaron Hicks,Akil Baddoo,0.49728918075561523
Aaron Hicks,Albert Almora,0.1698174774646759
Aaron Hicks,Alec Bohm,0.5721896290779114
Aaron Hicks,Alec Burleson,0.3109654188156128
Aaron Hicks,Alejandro Kirk,0.25771379470825195
Aaron Hicks,Alex Bregman,0.5189380049705505
Aaron Hicks,Alex Call,0.41616755723953247
Aaron Hicks,Alex Jackson,0.6738813519477844
Aaron Hicks,Alex Kirilloff,0.42753130197525024
Aaron Hicks,Alex Verdugo,0.4093928635120392
Aaron Hicks,Alexander Canario,1.1162867546081543
Aaron Hicks,Amed Rosario,1.3093852996826172
Aaron Hicks,Andrew Knizner,0.42753130197525024
Aaron Hicks,Andrew Mccutchen,2.065187931060791
Aaron Hicks,Andrew Vaughn,0.06975787878036499
Aaron Hicks,Andrew Velazquez,0.26636672019958496
Aaron Hicks,Andrés Giménez,1.332335114479065
Aaron Hicks,Andy Pages,0.7117053866386414
Aaron Hicks,Anthony Rendon,0.9516118764877319
Aaron Hicks,Anthony Rizzo,0.5189380049705505
Aaron Hicks,Anthony Santander,0.9288843274116516
Aaron Hicks,Anthony Volpe,1.3764322996139526
Aaron Hicks,Austin Barnes,0.25771379470825195
Aaron Hicks,Austin Shenton,0.6671066284179688
Aaron Hicks,Austin Wells,1.282593846321106
Aaron Hicks,Ben Rortvedt,0.5327334403991699
Aaron Hicks,Blake Perkins,0.6384370923042297
Aaron Hicks,Blake Sabol,0.14980082213878632
Aaron Hicks,Blaze Alexander,0.16116458177566528
Aaron Hicks,Bo Bichette,0.26636672019958496
Aaron Hicks,Bo Naylor,0.42753130197525024
Aaron Hicks,Bobby Witt,0.6584537029266357
Aaron Hicks,Brandon Drury,1.0894954204559326
Aaron Hicks,Brandon Lockridge,0.23092246055603027
Aaron Hicks,Brandon Lowe,1.0694787502288818
Aaron Hicks,Brandon Marsh,0.5886958837509155
Aaron Hicks,Brandon Nimmo,0.36642634868621826
Aaron Hicks,Brayan Rocchio,0.6852450966835022
Aaron Hicks,Brendan Donovan,1.2128360271453857
Aaron Hicks,Brendan Rodgers,0.8688580393791199
Aaron Hicks,Brent Rooker,1.0603243112564087
Aaron Hicks,Brenton Doyle,0.517163872718811
Aaron Hicks,Brett Baty,0.5327334403991699
Aaron Hicks,Brett Harris,0.26636672019958496
Aaron Hicks,Brewer Hicklen,0.32747167348861694
Aaron Hicks,Brice Turang,0.16116458177566528
Aaron Hicks,Brock Rodden,0.09654925763607025
Aaron Hicks,Bryan De la cruz,0.516227126121521
Aaron Hicks,Bryan Reynolds,1.1620161533355713
Aaron Hicks,Bryce Harper,0.6241401433944702
Aaron Hicks,Bryson Stott,0.1698175072669983
Aaron Hicks,Byron Buxton,0.7471495866775513
Aaron Hicks,C. j. Cron,0.16116458177566528
Aaron Hicks,Cal Raleigh,1.3791431188583374
Aaron Hicks,Cal Stevenson,0.26636672019958496
Aaron Hicks,Caleb Durbin,0.1698174774646759
Aaron Hicks,Carlos Santana,0.9516118168830872
Aaron Hicks,Carson Kelly,1.0213696956634521
Aaron Hicks,Ceddanne Rafaela,0.42753130197525024
Aaron Hicks,Cedric Mullins,0.6825342774391174
Aaron Hicks,Charles Leblanc,0.33612459897994995
Aaron Hicks,Chris Taylor,0.12539857625961304
Aaron Hicks,Christian Bethancourt,0.32747167348861694
Aaron Hicks,Christian Walker,0.5973488092422485
Aaron Hicks,Christian Yelich,0.8394930362701416
Aaron Hicks,Christopher Morel,1.2066147327423096
Aaron Hicks,Cj Abrams,1.1517311334609985
Aaron Hicks,Cody Bellinger,0.49214664101600647
Aaron Hicks,Colt Keith,0.41887837648391724
Aaron Hicks,Colton Cowser,0.6241401433944702
Aaron Hicks,Connor Joe,0.8905068635940552
Aaron Hicks,Connor Norby,0.3309820592403412
Aaron Hicks,Connor Wong,0.42753130197525024
Aaron Hicks,Corbin Carroll,0.828271210193634
Aaron Hicks,Corey Julks,0.5973488092422485
Aaron Hicks,Corey Seager,0.8436988592147827
Aaron Hicks,Cristian Pache,0.35777342319488525
Aaron Hicks,Curt Casali,0.42753130197525024
Aaron Hicks,Curtis Mead,0.5973488092422485
Aaron Hicks,Dane Myers,0.26636672019958496
Aaron Hicks,Daniel Schneemann,0.42753127217292786
Aaron Hicks,Danny Jansen,0.8169074654579163
Aaron Hicks,Danny Mendick,0.1698174774646759
Aaron Hicks,Dansby Swanson,1.3826534748077393
Aaron Hicks,Daulton Varsho,0.5938383936882019
Aaron Hicks,David Fletcher,0.26636672019958496
Aaron Hicks,David Fry,0.6041234731674194
Aaron Hicks,David Peralta,0.16116458177566528
Aaron Hicks,Davis Schneider,0.1698174774646759
Aaron Hicks,Daz Cameron,0.42753130197525024
Aaron Hicks,Derek Hill,0.6175452470779419
Aaron Hicks,Dj Lemahieu,0.42753130197525024
Aaron Hicks,Dj Stewart,1.25986647605896
Aaron Hicks,Dominic Canzone,0.6938980221748352
Aaron Hicks,Donovan Solano,0.5973488092422485
Aaron Hicks,Dylan Carlson,0.5240805149078369
Aaron Hicks,Dylan Crews,0.5859850645065308
Aaron Hicks,Dylan Moore,0.25771379470825195
Aaron Hicks,Eddie Rosario,0.5973487496376038
Aaron Hicks,Edmundo Sosa,0.7853047251701355
Aaron Hicks,Edouard Julien,0.42753130197525024
Aaron Hicks,Edward Olivares,0.49214664101600647
Aaron Hicks,Elehuris Montero,0.10005959868431091
Aaron Hicks,Eli White,0.41616755723953247
Aaron Hicks,Enrique Hernández,1.0075743198394775
Aaron Hicks,Eric Wagaman,0.06975787878036499
Aaron Hicks,Ernie Clement,0.5240805149078369
Aaron Hicks,Estevan Florial,0.26636672019958496
Aaron Hicks,Eugenio Suárez,1.1660280227661133
Aaron Hicks,Evan Carter,0.41616755723953247
Aaron Hicks,Ezequiel Duran,0.49728918075561523
Aaron Hicks,Ezequiel Tovar,0.5886958837509155
