,winner,loser,score
0,Aaron Cook,Aaron Harang,7
1,Aaron Cook,Aaron Heilman,0
2,Aaron Cook,Adam Wilk,0
3,Aaron Cook,Alan Johnson,0
4,Aaron Cook,Alex Burnett,0
5,Aaron Cook,Alex Torres,1
6,Aaron Cook,Alfredo Aceves,0
7,Aaron Cook,Alfredo Simon,4
8,Aaron Cook,Andrew Bailey,1
9,Aaron Cook,Andrew Brackman,0
10,Aaron Cook,Andy Sonnanstine,0
11,Aaron Cook,Anibal Sanchez,0
12,Aaron Cook,Anthony Swarzak,0
13,Aaron Cook,Anthony Varvaro,0
14,Aaron Cook,Anthony Vasquez,0
15,Aaron Cook,Atahualpa Severino,1
16,Aaron Cook,Barry Enright,0
17,Aaron Cook,Barry Zito,0
18,Aaron Cook,Blake Beavan,0
19,Aaron Cook,Blake Hawksworth,0
20,Aaron Cook,Bobby Cramer,0
21,Aaron Cook,Bobby Jenks,0
22,Aaron Cook,Brad Hand,7
23,Aaron Cook,Brad Lincoln,2
24,Aaron Cook,Brad Mills,0
25,Aaron Cook,Brad Penny,0
26,Aaron Cook,Brad Thomas,0
27,Aaron Cook,Brad Ziegler,1
28,Aaron Cook,Brandon Beachy,0
29,Aaron Cook,Brandon Gomes,0
30,Aaron Cook,Brandon Lyon,0
31,Aaron Cook,Brandon McCarthy,0
32,Aaron Cook,Brett Cecil,1
33,Aaron Cook,Brett Myers,6
34,Aaron Cook,Brett Tomko,0
35,Aaron Cook,Brian Broderick,0
36,Aaron Cook,Brian Burres,0
37,Aaron Cook,Brian Duensing,0
38,Aaron Cook,Brian Gordon,0
39,Aaron Cook,Brian Matusz,0
40,Aaron Cook,Brian Tallet,0
41,Aaron Cook,Brian Wilson,0
42,Aaron Cook,Bronson Arroyo,7
43,Aaron Cook,Bruce Chen,1
44,Aaron Cook,Bryan Augenstein,0
45,Aaron Cook,Bryan Shaw,1
46,Aaron Cook,C.J. Wilson,0
47,Aaron Cook,Carlos Carrasco,0
48,Aaron Cook,Carlos Villanueva,1
49,Aaron Cook,Carlos Zambrano,1
50,Aaron Cook,Casey Coleman,12
51,Aaron Cook,Casey Janssen,0
52,Aaron Cook,Cesar Jimenez,0
53,Aaron Cook,Cesar Ramos,0
54,Aaron Cook,Chad Billingsley,1
55,Aaron Cook,Chad Durbin,0
56,Aaron Cook,Chance Ruffin,0
57,Aaron Cook,Charlie Furbush,0
58,Aaron Cook,Charlie Morton,0
59,Aaron Cook,Chien-Ming Wang,0
60,Aaron Cook,Chris Carpenter,5
61,Aaron Cook,Chris Jakubauskas,0
62,Aaron Cook,Chris Narveson,0
63,Aaron Cook,Chris Resop,0
64,Aaron Cook,Chris Schwinden,0
65,Aaron Cook,Chris Tillman,0
66,Aaron Cook,Chris Volstad,7
67,Aaron Cook,Chris Young,0
68,Aaron Cook,Clay Buchholz,1
69,Aaron Cook,Clay Hensley,0
70,Aaron Cook,Clayton Kershaw,0
71,Aaron Cook,Clayton Richard,0
72,Aaron Cook,Cliff Lee,0
73,Aaron Cook,Colby Lewis,6
74,Aaron Cook,Cole Hamels,5
75,Aaron Cook,Cole Kimball,0
76,Aaron Cook,Collin Balester,0
77,Aaron Cook,Corey Kluber,0
78,Aaron Cook,Cory Luebke,0
79,Aaron Cook,Cory Wade,0
80,Aaron Cook,Craig Breslow,0
81,Aaron Cook,D.J. Carrasco,0
82,Aaron Cook,Dallas Braden,0
83,Aaron Cook,Dan Wheeler,0
84,Aaron Cook,Dana Eveland,0
85,Aaron Cook,Daniel McCutchen,0
86,Aaron Cook,Daniel Schlereth,0
87,Aaron Cook,Danny Duffy,1
88,Aaron Cook,Danys Baez,0
89,Aaron Cook,Daryl Thompson,0
90,Aaron Cook,Dave Bush,1
91,Aaron Cook,David Hernandez,6
92,Aaron Cook,David Huff,0
93,Aaron Cook,David Pauley,0
94,Aaron Cook,Derek Holland,0
95,Aaron Cook,Don Kelly,0
96,Aaron Cook,Dontrelle Willis,2
97,Aaron Cook,Doug Davis,0
98,Aaron Cook,Doug Fister,0
99,Aaron Cook,Dustin McGowan,0
100,Aaron Cook,Dustin Moseley,1
101,Aaron Cook,Dusty Hughes,0
102,Aaron Cook,Dylan Axelrod,0
103,Aaron Cook,Edwin Jackson,5
104,Aaron Cook,Enrique Gonzalez,0
105,Aaron Cook,Eric Hacker,0
106,Aaron Cook,Eric Stults,0
107,Aaron Cook,Eric Surkamp,1
108,Aaron Cook,Erik Bedard,0
109,Aaron Cook,Esmerling Vasquez,0
110,Aaron Cook,Esmil Rogers,0
111,Aaron Cook,Evan Meek,1
112,Aaron Cook,Evan Scribner,0
113,Aaron Cook,Everett Teaford,0
114,Aaron Cook,Felipe Paulino,0
115,Aaron Cook,Felix Doubront,0
116,Aaron Cook,Felix Hernandez,2
117,Aaron Cook,Fernando Rodriguez Jr.,0
118,Aaron Cook,Francisco Cordero,0
119,Aaron Cook,Francisco Liriano,0
120,Aaron Cook,Francisco Rodriguez,0
121,Aaron Cook,Frank Francisco,1
122,Aaron Cook,Frankie De La Cruz,0
123,Aaron Cook,Franklin Morales,1
124,Aaron Cook,Freddy Garcia,0
125,Aaron Cook,Gavin Floyd,1
126,Aaron Cook,Gio Gonzalez,0
127,Aaron Cook,Graham Godfrey,0
128,Aaron Cook,Grant Balfour,0
129,Aaron Cook,Greg Holland,0
130,Aaron Cook,Greg Reynolds,12
131,Aaron Cook,Guillermo Moscoso,0
132,Aaron Cook,Heath Bell,0
133,Aaron Cook,Hector Noesi,0
134,Aaron Cook,Hideki Okajima,0
135,Aaron Cook,Hiroki Kuroda,0
136,Aaron Cook,Hisanori Takahashi,0
137,Aaron Cook,Horacio Ramirez,0
138,Aaron Cook,Hung-Chih Kuo,0
139,Aaron Cook,Ivan Nova,0
140,Aaron Cook,J.A. Happ,0
141,Aaron Cook,Jacob Turner,0
142,Aaron Cook,Jaime Garcia,0
143,Aaron Cook,Jake Arrieta,1
144,Aaron Cook,Jake McGee,0
145,Aaron Cook,Jake Peavy,0
146,Aaron Cook,Jake Westbrook,6
147,Aaron Cook,James McDonald,6
148,Aaron Cook,James Russell,0
149,Aaron Cook,Jamey Wright,0
150,Aaron Cook,Jarrod Parker,5
151,Aaron Cook,Jason Hammel,2
152,Aaron Cook,Jason Isringhausen,6
153,Aaron Cook,Javier Lopez,0
154,Aaron Cook,Javier Vazquez,1
155,Aaron Cook,Javy Guerra,1
156,Aaron Cook,Jay Buente,0
157,Aaron Cook,Jeff Francis,0
158,Aaron Cook,Jeff Gray,0
159,Aaron Cook,Jeff Karstens,10
160,Aaron Cook,Jeff Niemann,6
161,Aaron Cook,Jeff Stevens,0
162,Aaron Cook,Jered Weaver,0
163,Aaron Cook,Jeremy Affeldt,1
164,Aaron Cook,Jeremy Guthrie,0
165,Aaron Cook,Jeremy Hellickson,0
166,Aaron Cook,Jerome Williams,0
167,Aaron Cook,Jerry Blevins,0
168,Aaron Cook,Jesse Chavez,0
169,Aaron Cook,Jesse Crain,0
170,Aaron Cook,Jesse Litsch,0
171,Aaron Cook,Jhoulys Chacin,1
172,Aaron Cook,Jim Johnson,1
173,Aaron Cook,Jim Miller,0
174,Aaron Cook,Jo-Jo Reyes,0
175,Aaron Cook,Joakim Soria,0
176,Aaron Cook,Joba Chamberlain,0
177,Aaron Cook,Joe Blanton,6
178,Aaron Cook,Joe Nathan,4
179,Aaron Cook,Joe Saunders,1
180,Aaron Cook,Joel Peralta,0
181,Aaron Cook,Joel Pineiro,1
182,Aaron Cook,John Axford,0
183,Aaron Cook,John Danks,1
184,Aaron Cook,John Ely,0
185,Aaron Cook,John Lackey,0
186,Aaron Cook,John Lannan,0
187,Aaron Cook,Johnny Cueto,0
188,Aaron Cook,Jon Garland,0
189,Aaron Cook,Jon Lester,0
190,Aaron Cook,Jon Rauch,0
191,Aaron Cook,Jonathon Niese,2
192,Aaron Cook,Jordan Lyles,0
193,Aaron Cook,Jordan Zimmermann,0
194,Aaron Cook,Jorge De La Rosa,0
195,Aaron Cook,Jose Ascanio,0
196,Aaron Cook,Jose Veras,5
197,Aaron Cook,Josh Beckett,0
198,Aaron Cook,Josh Collmenter,4
199,Aaron Cook,Josh Johnson,0
200,Aaron Cook,Josh Kinney,0
201,Aaron Cook,Josh Lindblom,0
