,winner,loser,score
0,Adrian Beltre,Alcides Escobar,0
1,Adrian Beltre,Amed Rosario,0
2,Adrian Beltre,Asdrubal Cabrera,0
3,Adrian Beltre,Brandon Belt,0
4,Adrian Beltre,Brandon Nimmo,0
5,Adrian Beltre,Bryce Harper,0
6,Adrian Beltre,Buster Posey,0
7,Adrian Beltre,Byron Buxton,0
8,Adrian Beltre,C. j. Cron,0
9,Adrian Beltre,Carlos Moncrief,0
10,Adrian Beltre,Carlos Sanchez,0
11,Adrian Beltre,Carlos Santana,0
12,Adrian Beltre,Christian Yelich,0
13,Adrian Beltre,Derek Fisher,0
14,Adrian Beltre,Didi Gregorius,0
15,Adrian Beltre,Eddie Rosario,0
16,Adrian Beltre,Edwin Encarnacion,0
17,Adrian Beltre,Eric Hosmer,0
18,Adrian Beltre,Erick Aybar,0
19,Adrian Beltre,Giancarlo Stanton,0
20,Adrian Beltre,Gorkys Hernandez,0
21,Adrian Beltre,Howie Kendrick,0
22,Adrian Beltre,Jeff Locke,0
23,Adrian Beltre,Joe Panik,0
24,Adrian Beltre,Jose Peraza,0
25,Adrian Beltre,Josh Donaldson,0
26,Adrian Beltre,Justin Smoak,0
27,Adrian Beltre,Justin Upton,0
28,Adrian Beltre,Kyle Seager,0
29,Adrian Beltre,Lonnie Chisenhall,0
30,Adrian Beltre,Lorenzo Cain,0
31,Adrian Beltre,Luis Valbuena,0
32,Adrian Beltre,Maikel Franco,0
33,Adrian Beltre,Matt Wieters,0
34,Adrian Beltre,Matthew Joyce,0
35,Adrian Beltre,Michael Taylor,0
36,Adrian Beltre,Miguel Sano,0
37,Adrian Beltre,Mike Foltynewicz,0
38,Adrian Beltre,Mike Moustakas,0
39,Adrian Beltre,Mike Zunino,0
40,Adrian Beltre,Mitch Haniger,0
41,Adrian Beltre,Nick Williams,0
42,Adrian Beltre,Rafael Devers,0
43,Adrian Beltre,Randal Grichuk,0
44,Adrian Beltre,Roberto Perez,0
45,Adrian Beltre,Ryan Zimmerman,0
46,Adrian Beltre,Salvador Perez,0
47,Adrian Beltre,T. j. Rivera,0
48,Adrian Beltre,Tyler Naquin,0
49,Adrian Beltre,Tyler Wade,0
50,Adrian Beltre,Yangervis Solarte,0
51,Adrian Beltre,Yoenis Céspedes,0
52,Alcides Escobar,Adrian Beltre,0
53,Alcides Escobar,Amed Rosario,0
54,Alcides Escobar,Asdrubal Cabrera,0
55,Alcides Escobar,Brandon Belt,0
56,Alcides Escobar,Brandon Nimmo,0
57,Alcides Escobar,Bryce Harper,0
58,Alcides Escobar,Buster Posey,0
59,Alcides Escobar,Byron Buxton,0
60,Alcides Escobar,C. j. Cron,0
61,Alcides Escobar,Carlos Moncrief,0
62,Alcides Escobar,Carlos Sanchez,0
63,Alcides Escobar,Carlos Santana,0
64,Alcides Escobar,Christian Yelich,0
65,Alcides Escobar,Derek Fisher,0
66,Alcides Escobar,Didi Gregorius,0
67,Alcides Escobar,Eddie Rosario,0
68,Alcides Escobar,Edwin Encarnacion,0
69,Alcides Escobar,Eric Hosmer,0
70,Alcides Escobar,Erick Aybar,0
71,Alcides Escobar,Giancarlo Stanton,0
72,Alcides Escobar,Gorkys Hernandez,0
73,Alcides Escobar,Howie Kendrick,0
74,Alcides Escobar,Jeff Locke,0
75,Alcides Escobar,Joe Panik,0
76,Alcides Escobar,Jose Peraza,0
77,Alcides Escobar,Josh Donaldson,0
78,Alcides Escobar,Justin Smoak,0
79,Alcides Escobar,Justin Upton,0
80,Alcides Escobar,Kyle Seager,0
81,Alcides Escobar,Lonnie Chisenhall,0
82,Alcides Escobar,Lorenzo Cain,0
83,Alcides Escobar,Luis Valbuena,0
84,Alcides Escobar,Maikel Franco,0
85,Alcides Escobar,Matt Wieters,0
86,Alcides Escobar,Matthew Joyce,0
87,Alcides Escobar,Michael Taylor,0
88,Alcides Escobar,Miguel Sano,0
89,Alcides Escobar,Mike Foltynewicz,0
90,Alcides Escobar,Mike Moustakas,0
91,Alcides Escobar,Mike Zunino,0
92,Alcides Escobar,Mitch Haniger,0
93,Alcides Escobar,Nick Williams,0
94,Alcides Escobar,Rafael Devers,0
95,Alcides Escobar,Randal Grichuk,0
96,Alcides Escobar,Roberto Perez,0
97,Alcides Escobar,Ryan Zimmerman,0
98,Alcides Escobar,Salvador Perez,0
99,Alcides Escobar,T. j. Rivera,0
100,Alcides Escobar,Tyler Naquin,0
101,Alcides Escobar,Tyler Wade,0
102,Alcides Escobar,Yangervis Solarte,0
103,Alcides Escobar,Yoenis Céspedes,0
104,Amed Rosario,Adrian Beltre,0
105,Amed Rosario,Alcides Escobar,0
106,Amed Rosario,Asdrubal Cabrera,0
107,Amed Rosario,Brandon Belt,0
108,Amed Rosario,Brandon Nimmo,0
109,Amed Rosario,Bryce Harper,0
110,Amed Rosario,Buster Posey,0
111,Amed Rosario,Byron Buxton,0
112,Amed Rosario,C. j. Cron,0
113,Amed Rosario,Carlos Moncrief,0
114,Amed Rosario,Carlos Sanchez,0
115,Amed Rosario,Carlos Santana,0
116,Amed Rosario,Christian Yelich,0
117,Amed Rosario,Derek Fisher,0
118,Amed Rosario,Didi Gregorius,0
119,Amed Rosario,Eddie Rosario,0
120,Amed Rosario,Edwin Encarnacion,0
121,Amed Rosario,Eric Hosmer,0
122,Amed Rosario,Erick Aybar,0
123,Amed Rosario,Giancarlo Stanton,0
124,Amed Rosario,Gorkys Hernandez,0
125,Amed Rosario,Howie Kendrick,0
126,Amed Rosario,Jeff Locke,0
127,Amed Rosario,Joe Panik,0
128,Amed Rosario,Jose Peraza,0
129,Amed Rosario,Josh Donaldson,0
130,Amed Rosario,Justin Smoak,0
131,Amed Rosario,Justin Upton,0
132,Amed Rosario,Kyle Seager,0
133,Amed Rosario,Lonnie Chisenhall,0
134,Amed Rosario,Lorenzo Cain,0
135,Amed Rosario,Luis Valbuena,0
136,Amed Rosario,Maikel Franco,0
137,Amed Rosario,Matt Wieters,0
138,Amed Rosario,Matthew Joyce,0
139,Amed Rosario,Michael Taylor,0
140,Amed Rosario,Miguel Sano,0
141,Amed Rosario,Mike Foltynewicz,0
142,Amed Rosario,Mike Moustakas,0
143,Amed Rosario,Mike Zunino,0
144,Amed Rosario,Mitch Haniger,0
145,Amed Rosario,Nick Williams,0
146,Amed Rosario,Rafael Devers,0
147,Amed Rosario,Randal Grichuk,0
148,Amed Rosario,Roberto Perez,0
149,Amed Rosario,Ryan Zimmerman,0
150,Amed Rosario,Salvador Perez,0
151,Amed Rosario,T. j. Rivera,0
152,Amed Rosario,Tyler Naquin,0
153,Amed Rosario,Tyler Wade,0
154,Amed Rosario,Yangervis Solarte,0
155,Amed Rosario,Yoenis Céspedes,0
156,Asdrubal Cabrera,Adrian Beltre,0
157,Asdrubal Cabrera,Alcides Escobar,0
158,Asdrubal Cabrera,Amed Rosario,0
159,Asdrubal Cabrera,Brandon Belt,0
160,Asdrubal Cabrera,Brandon Nimmo,0
161,Asdrubal Cabrera,Bryce Harper,0
162,Asdrubal Cabrera,Buster Posey,0
163,Asdrubal Cabrera,Byron Buxton,0
164,Asdrubal Cabrera,C. j. Cron,0
165,Asdrubal Cabrera,Carlos Moncrief,0
166,Asdrubal Cabrera,Carlos Sanchez,0
167,Asdrubal Cabrera,Carlos Santana,0
168,Asdrubal Cabrera,Christian Yelich,0
169,Asdrubal Cabrera,Derek Fisher,0
170,Asdrubal Cabrera,Didi Gregorius,0
171,Asdrubal Cabrera,Eddie Rosario,0
172,Asdrubal Cabrera,Edwin Encarnacion,0
173,Asdrubal Cabrera,Eric Hosmer,0
174,Asdrubal Cabrera,Erick Aybar,0
175,Asdrubal Cabrera,Giancarlo Stanton,0
176,Asdrubal Cabrera,Gorkys Hernandez,0
177,Asdrubal Cabrera,Howie Kendrick,0
178,Asdrubal Cabrera,Jeff Locke,0
179,Asdrubal Cabrera,Joe Panik,0
180,Asdrubal Cabrera,Jose Peraza,0
181,Asdrubal Cabrera,Josh Donaldson,0
182,Asdrubal Cabrera,Justin Smoak,0
183,Asdrubal Cabrera,Justin Upton,0
184,Asdrubal Cabrera,Kyle Seager,0
185,Asdrubal Cabrera,Lonnie Chisenhall,0
186,Asdrubal Cabrera,Lorenzo Cain,0
187,Asdrubal Cabrera,Luis Valbuena,0
188,Asdrubal Cabrera,Maikel Franco,0
189,Asdrubal Cabrera,Matt Wieters,0
190,Asdrubal Cabrera,Matthew Joyce,0
191,Asdrubal Cabrera,Michael Taylor,0
192,Asdrubal Cabrera,Miguel Sano,0
193,Asdrubal Cabrera,Mike Foltynewicz,0
194,Asdrubal Cabrera,Mike Moustakas,0
195,Asdrubal Cabrera,Mike Zunino,0
196,Asdrubal Cabrera,Mitch Haniger,0
197,Asdrubal Cabrera,Nick Williams,0
198,Asdrubal Cabrera,Rafael Devers,0
199,Asdrubal Cabrera,Randal Grichuk,0
200,Asdrubal Cabrera,Roberto Perez,0
201,Asdrubal Cabrera,Ryan Zimmerman,0
202,Asdrubal Cabrera,Salvador Perez,0
203,Asdrubal Cabrera,T. j. Rivera,0
204,Asdrubal Cabrera,Tyler Naquin,0
205,Asdrubal Cabrera,Tyler Wade,0
206,Asdrubal Cabrera,Yangervis Solarte,0
207,Asdrubal Cabrera,Yoenis Céspedes,0
208,Brandon Belt,Adrian Beltre,0
209,Brandon Belt,Alcides Escobar,0
210,Brandon Belt,Amed Rosario,0
211,Brandon Belt,Asdrubal Cabrera,0
212,Brandon Belt,Brandon Nimmo,0
213,Brandon Belt,Bryce Harper,0
214,Brandon Belt,Buster Posey,0
215,Brandon Belt,Byron Buxton,0
216,Brandon Belt,C. j. Cron,0
217,Brandon Belt,Carlos Moncrief,0
218,Brandon Belt,Carlos Sanchez,0
219,Brandon Belt,Carlos Santana,0
220,Brandon Belt,Christian Yelich,0
221,Brandon Belt,Derek Fisher,0
222,Brandon Belt,Didi Gregorius,0
223,Brandon Belt,Eddie Rosario,0
224,Brandon Belt,Edwin Encarnacion,0
225,Brandon Belt,Eric Hosmer,0
226,Brandon Belt,Erick Aybar,0
227,Brandon Belt,Giancarlo Stanton,0
228,Brandon Belt,Gorkys Hernandez,0
229,Brandon Belt,Howie Kendrick,0
230,Brandon Belt,Jeff Locke,0
231,Brandon Belt,Joe Panik,0
232,Brandon Belt,Jose Peraza,0
233,Brandon Belt,Josh Donaldson,0
234,Brandon Belt,Justin Smoak,0
235,Brandon Belt,Justin Upton,0
236,Brandon Belt,Kyle Seager,0
237,Brandon Belt,Lonnie Chisenhall,0
238,Brandon Belt,Lorenzo Cain,0
239,Brandon Belt,Luis Valbuena,0
240,Brandon Belt,Maikel Franco,0
241,Brandon Belt,Matt Wieters,0
242,Brandon Belt,Matthew Joyce,0
243,Brandon Belt,Michael Taylor,0
244,Brandon Belt,Miguel Sano,0
245,Brandon Belt,Mike Foltynewicz,0
246,Brandon Belt,Mike Moustakas,0
247,Brandon Belt,Mike Zunino,0
248,Brandon Belt,Mitch Haniger,0
249,Brandon Belt,Nick Williams,0
250,Brandon Belt,Rafael Devers,0
251,Brandon Belt,Randal Grichuk,0
252,Brandon Belt,Roberto Perez,0
253,Brandon Belt,Ryan Zimmerman,0
254,Brandon Belt,Salvador Perez,0
255,Brandon Belt,T. j. Rivera,2
256,Brandon Belt,Tyler Naquin,0
257,Brandon Belt,Tyler Wade,0
258,Brandon Belt,Yangervis Solarte,0
259,Brandon Belt,Yoenis Céspedes,0
260,Brandon Nimmo,Adrian Beltre,0
261,Brandon Nimmo,Alcides Escobar,0
262,Brandon Nimmo,Amed Rosario,0
263,Brandon Nimmo,Asdrubal Cabrera,0
264,Brandon Nimmo,Brandon Belt,0
265,Brandon Nimmo,Bryce Harper,0
266,Brandon Nimmo,Buster Posey,0
267,Brandon Nimmo,Byron Buxton,0
268,Brandon Nimmo,C. j. Cron,0
269,Brandon Nimmo,Carlos Moncrief,0
270,Brandon Nimmo,Carlos Sanchez,0
271,Brandon Nimmo,Carlos Santana,0
272,Brandon Nimmo,Christian Yelich,0
273,Brandon Nimmo,Derek Fisher,0
274,Brandon Nimmo,Didi Gregorius,0
275,Brandon Nimmo,Eddie Rosario,0
276,Brandon Nimmo,Edwin Encarnacion,0
277,Brandon Nimmo,Eric Hosmer,0
278,Brandon Nimmo,Erick Aybar,0
279,Brandon Nimmo,Giancarlo Stanton,0
280,Brandon Nimmo,Gorkys Hernandez,0
281,Brandon Nimmo,Howie Kendrick,0
282,Brandon Nimmo,Jeff Locke,0
283,Brandon Nimmo,Joe Panik,0
284,Brandon Nimmo,Jose Peraza,0
285,Brandon Nimmo,Josh Donaldson,0
286,Brandon Nimmo,Justin Smoak,0
287,Brandon Nimmo,Justin Upton,0
288,Brandon Nimmo,Kyle Seager,0
289,Brandon Nimmo,Lonnie Chisenhall,0
290,Brandon Nimmo,Lorenzo Cain,0
291,Brandon Nimmo,Luis Valbuena,0
292,Brandon Nimmo,Maikel Franco,0
293,Brandon Nimmo,Matt Wieters,0
294,Brandon Nimmo,Matthew Joyce,0
295,Brandon Nimmo,Michael Taylor,0
296,Brandon Nimmo,Miguel Sano,0
297,Brandon Nimmo,Mike Foltynewicz,0
298,Brandon Nimmo,Mike Moustakas,0
299,Brandon Nimmo,Mike Zunino,0
300,Brandon Nimmo,Mitch Haniger,0
301,Brandon Nimmo,Nick Williams,0
302,Brandon Nimmo,Rafael Devers,0
303,Brandon Nimmo,Randal Grichuk,0
304,Brandon Nimmo,Roberto Perez,0
305,Brandon Nimmo,Ryan Zimmerman,0
306,Brandon Nimmo,Salvador Perez,0
307,Brandon Nimmo,T. j. Rivera,2
308,Brandon Nimmo,Tyler Naquin,0
309,Brandon Nimmo,Tyler Wade,0
310,Brandon Nimmo,Yangervis Solarte,0
311,Brandon Nimmo,Yoenis Céspedes,0
312,Bryce Harper,Adrian Beltre,0
