,winner,loser,score
0,Adam Wainwright,Hector Santiago,0
1,Adam Wainwright,Henderson Alvarez III,0
2,Adam Wainwright,James Shields,0
3,Adam Wainwright,R.A. Dickey,0
4,Adam Wainwright,Yu Darvish,0
5,Adam Wainwright,Zack Greinke,0
6,Hector Santiago,Adam Wainwright,0
7,Hector Santiago,Henderson Alvarez III,0
8,Hector Santiago,James Shields,0
9,Hector Santiago,R.A. Dickey,0
10,Hector Santiago,Yu Darvish,0
11,Hector Santiago,Zack Greinke,0
12,Henderson Alvarez III,Adam Wainwright,0
13,Henderson Alvarez III,Hector Santiago,0
14,Henderson Alvarez III,James Shields,0
15,Henderson Alvarez III,R.A. Dickey,0
16,Henderson Alvarez III,Yu Darvish,0
17,Henderson Alvarez III,Zack Greinke,0
18,James Shields,Adam Wainwright,0
19,James Shields,Hector Santiago,0
20,James Shields,Henderson Alvarez III,0
21,James Shields,R.A. Dickey,0
22,James Shields,Yu Darvish,0
23,James Shields,Zack Greinke,6
24,R.A. Dickey,Adam Wainwright,5
25,R.A. Dickey,Hector Santiago,0
26,R.A. Dickey,Henderson Alvarez III,0
27,R.A. Dickey,James Shields,0
28,R.A. Dickey,Yu Darvish,0
29,R.A. Dickey,Zack Greinke,0
30,Yu Darvish,Adam Wainwright,0
31,Yu Darvish,Hector Santiago,0
32,Yu Darvish,Henderson Alvarez III,0
33,Yu Darvish,James Shields,0
34,Yu Darvish,R.A. Dickey,0
35,Yu Darvish,Zack Greinke,0
36,Zack Greinke,Adam Wainwright,0
37,Zack Greinke,Hector Santiago,0
38,Zack Greinke,Henderson Alvarez III,0
39,Zack Greinke,James Shields,0
40,Zack Greinke,R.A. Dickey,0
41,Zack Greinke,Yu Darvish,0
