,winner,loser,score
0,Albert Pujols,Alex Bregman,0
1,Albert Pujols,Jeimer Candelario,0
2,Albert Pujols,Jose Altuve,0
3,Albert Pujols,Jose Martinez,0
4,Albert Pujols,Justin Upton,0
5,Albert Pujols,Matt Olson,0
6,Albert Pujols,Paul Dejong,0
7,Albert Pujols,Pedro Severino,0
8,Albert Pujols,Richie Martin,0
9,Alex Bregman,Albert Pujols,0
10,Alex Bregman,Jeimer Candelario,0
11,Alex Bregman,Jose Altuve,0
12,Alex Bregman,Jose Martinez,0
13,Alex Bregman,Justin Upton,1
14,Alex Bregman,Matt Olson,0
15,Alex Bregman,Paul Dejong,0
16,Alex Bregman,Pedro Severino,0
17,Alex Bregman,Richie Martin,0
18,Jeimer Candelario,Albert Pujols,0
19,Jeimer Candelario,Alex Bregman,0
20,Jeimer Candelario,Jose Altuve,0
21,Jeimer Candelario,Jose Martinez,0
22,Jeimer Candelario,Justin Upton,0
23,Jeimer Candelario,Matt Olson,0
24,Jeimer Candelario,Paul Dejong,0
25,Jeimer Candelario,Pedro Severino,0
26,Jeimer Candelario,Richie Martin,0
27,Jose Altuve,Albert Pujols,0
28,Jose Altuve,Alex Bregman,0
29,Jose Altuve,Jeimer Candelario,0
30,Jose Altuve,Jose Martinez,0
31,Jose Altuve,Justin Upton,0
32,Jose Altuve,Matt Olson,0
33,Jose Altuve,Paul Dejong,0
34,Jose Altuve,Pedro Severino,0
35,Jose Altuve,Richie Martin,0
36,Jose Martinez,Albert Pujols,0
37,Jose Martinez,Alex Bregman,9
38,Jose Martinez,Jeimer Candelario,0
39,Jose Martinez,Jose Altuve,0
40,Jose Martinez,Justin Upton,10
41,Jose Martinez,Matt Olson,0
42,Jose Martinez,Paul Dejong,0
43,Jose Martinez,Pedro Severino,0
44,Jose Martinez,Richie Martin,0
45,Justin Upton,Albert Pujols,0
46,Justin Upton,Alex Bregman,0
47,Justin Upton,Jeimer Candelario,0
48,Justin Upton,Jose Altuve,0
49,Justin Upton,Jose Martinez,0
50,Justin Upton,Matt Olson,0
51,Justin Upton,Paul Dejong,0
52,Justin Upton,Pedro Severino,0
53,Justin Upton,Richie Martin,0
54,Matt Olson,Albert Pujols,0
55,Matt Olson,Alex Bregman,9
56,Matt Olson,Jeimer Candelario,0
57,Matt Olson,Jose Altuve,0
58,Matt Olson,Jose Martinez,0
59,Matt Olson,Justin Upton,10
60,Matt Olson,Paul Dejong,0
61,Matt Olson,Pedro Severino,0
62,Matt Olson,Richie Martin,0
63,Paul Dejong,Albert Pujols,0
64,Paul Dejong,Alex Bregman,0
65,Paul Dejong,Jeimer Candelario,0
66,Paul Dejong,Jose Altuve,0
67,Paul Dejong,Jose Martinez,0
68,Paul Dejong,Justin Upton,0
69,Paul Dejong,Matt Olson,0
70,Paul Dejong,Pedro Severino,0
71,Paul Dejong,Richie Martin,0
72,Pedro Severino,Albert Pujols,0
73,Pedro Severino,Alex Bregman,0
74,Pedro Severino,Jeimer Candelario,0
75,Pedro Severino,Jose Altuve,0
76,Pedro Severino,Jose Martinez,0
77,Pedro Severino,Justin Upton,0
78,Pedro Severino,Matt Olson,0
79,Pedro Severino,Paul Dejong,0
80,Pedro Severino,Richie Martin,0
81,Richie Martin,Albert Pujols,0
82,Richie Martin,Alex Bregman,0
83,Richie Martin,Jeimer Candelario,0
84,Richie Martin,Jose Altuve,0
85,Richie Martin,Jose Martinez,0
86,Richie Martin,Justin Upton,0
87,Richie Martin,Matt Olson,0
88,Richie Martin,Paul Dejong,0
89,Richie Martin,Pedro Severino,0
