,winner,loser,score
0,Aaron Harang,Adam Ottavino,4
1,Aaron Harang,Alberto Castillo,0
2,Aaron Harang,Alex Burnett,0
3,Aaron Harang,Alexi Ogando,0
4,Aaron Harang,Alfredo Aceves,0
5,Aaron Harang,Alfredo Simon,2
6,Aaron Harang,Andrew Cashner,0
7,Aaron Harang,Andrew Miller,0
8,Aaron Harang,Andy Pettitte,13
9,Aaron Harang,Anthony Lerew,0
10,Aaron Harang,Anthony Slama,0
11,Aaron Harang,Armando Gabino,0
12,Aaron Harang,Barry Zito,7
13,Aaron Harang,Ben Sheets,10
14,Aaron Harang,Bill Bray,5
15,Aaron Harang,Billy Buckner,6
16,Aaron Harang,Blaine Boyer,5
17,Aaron Harang,Bob Howry,13
18,Aaron Harang,Bobby Cramer,0
19,Aaron Harang,Bobby Parnell,0
20,Aaron Harang,Boone Logan,0
21,Aaron Harang,Brad Bergesen,0
22,Aaron Harang,Brad Kilby,0
23,Aaron Harang,Brad Lincoln,6
24,Aaron Harang,Brad Thomas,0
25,Aaron Harang,Brandon Lyon,11
26,Aaron Harang,Brandon Medders,0
27,Aaron Harang,Brett Anderson,0
28,Aaron Harang,Brett Myers,23
29,Aaron Harang,Brett Sinkbeil,0
30,Aaron Harang,Brian Bannister,0
31,Aaron Harang,Brian Burres,4
32,Aaron Harang,Brian Matusz,0
33,Aaron Harang,Brian Moehler,0
34,Aaron Harang,Brian Sanches,1
35,Aaron Harang,Brian Schlitter,0
36,Aaron Harang,Brian Stokes,0
37,Aaron Harang,Brian Sweeney,0
38,Aaron Harang,Brian Tallet,0
39,Aaron Harang,Brian Wilson,0
40,Aaron Harang,Bryan Bullington,0
41,Aaron Harang,Bud Norris,5
42,Aaron Harang,C.J. Wilson,0
43,Aaron Harang,Carlos Carrasco,0
44,Aaron Harang,Carlos Marmol,1
45,Aaron Harang,Carlos Monasterios,6
46,Aaron Harang,Casey Coleman,13
47,Aaron Harang,Casey Daigle,0
48,Aaron Harang,Casey Fien,0
49,Aaron Harang,Casey Janssen,6
50,Aaron Harang,Cedrick Bowers,0
51,Aaron Harang,Cesar Valdez,1
52,Aaron Harang,Chad Billingsley,7
53,Aaron Harang,Chad Cordero,0
54,Aaron Harang,Chad Durbin,6
55,Aaron Harang,Charlie Morton,12
56,Aaron Harang,Chris Leroux,5
57,Aaron Harang,Chris Narveson,7
58,Aaron Harang,Chris Perez,0
59,Aaron Harang,Chris Ray,4
60,Aaron Harang,Chris Resop,1
61,Aaron Harang,Chris Sale,0
62,Aaron Harang,Chris Sampson,7
63,Aaron Harang,Chris Seddon,0
64,Aaron Harang,Chris Tillman,0
65,Aaron Harang,Clay Buchholz,6
66,Aaron Harang,Clayton Mortensen,0
67,Aaron Harang,Clayton Richard,5
68,Aaron Harang,Cliff Lee,0
69,Aaron Harang,Colby Lewis,9
70,Aaron Harang,Cole Hamels,0
71,Aaron Harang,Collin Balester,5
72,Aaron Harang,Cory Luebke,0
73,Aaron Harang,Craig Breslow,0
74,Aaron Harang,Craig Kimbrel,0
75,Aaron Harang,Craig Stammen,34
76,Aaron Harang,Cristhian Martinez,7
77,Aaron Harang,D.J. Carrasco,11
78,Aaron Harang,Daisuke Matsuzaka,2
79,Aaron Harang,Dale Thayer,0
80,Aaron Harang,Dan Cortes,0
81,Aaron Harang,Dan Haren,6
82,Aaron Harang,Dan Runzler,7
83,Aaron Harang,Dan Wheeler,0
84,Aaron Harang,Dana Eveland,0
85,Aaron Harang,Daniel Bard,5
86,Aaron Harang,Daniel Herrera,6
87,Aaron Harang,Daniel Hudson,0
88,Aaron Harang,Daniel McCutchen,13
89,Aaron Harang,Darren Oliver,2
90,Aaron Harang,Dave Bush,37
91,Aaron Harang,David Aardsma,0
92,Aaron Harang,David Hernandez,0
93,Aaron Harang,David Huff,0
94,Aaron Harang,David Price,6
95,Aaron Harang,David Purcey,0
96,Aaron Harang,David Riske,0
97,Aaron Harang,Denny Bautista,0
98,Aaron Harang,Dillon Gee,10
99,Aaron Harang,Dontrelle Willis,0
100,Aaron Harang,Doug Davis,0
101,Aaron Harang,Doug Fister,0
102,Aaron Harang,Doug Slaten,9
103,Aaron Harang,Drew Carpenter,6
104,Aaron Harang,Dustin Nippert,0
105,Aaron Harang,Dusty Hughes,0
106,Aaron Harang,Eddie Bonine,0
107,Aaron Harang,Edgmer Escalona,0
108,Aaron Harang,Edward Mujica,5
109,Aaron Harang,Edwin Jackson,0
110,Aaron Harang,Elmer Dessens,12
111,Aaron Harang,Enrique Gonzalez,0
112,Aaron Harang,Ernesto Frieri,5
113,Aaron Harang,Ervin Santana,0
114,Aaron Harang,Esmil Rogers,7
115,Aaron Harang,Evan MacLane,0
116,Aaron Harang,Evan Meek,16
