,winner,loser,score
0,Alex Cobb,Alex Wood,0
1,Alex Cobb,Anthony DeSclafani,0
2,Alex Cobb,Archie Bradley,0
3,Alex Cobb,Bobby Parnell,0
4,Alex Cobb,Brad Peacock,0
5,Alex Cobb,Brett Anderson,0
6,Alex Cobb,Brett Oberholtzer,0
7,Alex Cobb,Chris Devenski,0
8,Alex Cobb,Chris Smith,0
9,Alex Cobb,Chris Tillman,0
10,Alex Cobb,Cody Allen,5
11,Alex Cobb,Corey Knebel,0
12,Alex Cobb,Craig Kimbrel,0
13,Alex Cobb,David Phelps,0
14,Alex Cobb,David Price,0
15,Alex Cobb,David Robertson,0
16,Alex Cobb,Dellin Betances,0
17,Alex Cobb,Derek Holland,0
18,Alex Cobb,Dillon Gee,10
19,Alex Cobb,Drew Pomeranz,5
20,Alex Cobb,Edinson Volquez,5
21,Alex Cobb,Fernando Abad,0
22,Alex Cobb,Fernando Salas,0
23,Alex Cobb,Gerrit Cole,0
24,Alex Cobb,Homer Bailey,0
25,Alex Cobb,Ian Kennedy,0
26,Alex Cobb,J.P. Howell,0
27,Alex Cobb,James Paxton,0
28,Alex Cobb,James Shields,0
29,Alex Cobb,Jarred Cosart,0
30,Alex Cobb,Jason Vargas,0
31,Alex Cobb,Jeff Locke,0
32,Alex Cobb,Jeremy Jeffress,0
33,Alex Cobb,Jimmy Nelson,0
34,Alex Cobb,Josh Fields,0
35,Alex Cobb,Kirby Yates,0
36,Alex Cobb,Lance McCullers Jr.,0
37,Alex Cobb,Luke Hochevar,0
38,Alex Cobb,Mark Melancon,0
39,Alex Cobb,Matt Moore,5
40,Alex Cobb,Matt Reynolds,0
41,Alex Cobb,Matt Shoemaker,0
42,Alex Cobb,Mike Leake,0
43,Alex Cobb,Nate Karns,0
44,Alex Cobb,Phil Hughes,0
45,Alex Cobb,Sammy Solis,0
46,Alex Cobb,Santiago Casilla,0
47,Alex Cobb,Tom Koehler,0
48,Alex Cobb,Trevor Bauer,0
49,Alex Cobb,Trevor Cahill,0
50,Alex Cobb,Tyler Duffey,0
51,Alex Cobb,Vance Worley,0
52,Alex Cobb,Wade Davis,0
53,Alex Wood,Alex Cobb,0
54,Alex Wood,Anthony DeSclafani,5
55,Alex Wood,Archie Bradley,31
56,Alex Wood,Bobby Parnell,0
57,Alex Wood,Brad Peacock,0
58,Alex Wood,Brett Anderson,12
59,Alex Wood,Brett Oberholtzer,5
60,Alex Wood,Chris Devenski,6
61,Alex Wood,Chris Smith,0
62,Alex Wood,Chris Tillman,0
63,Alex Wood,Cody Allen,4
64,Alex Wood,Corey Knebel,0
65,Alex Wood,Craig Kimbrel,0
66,Alex Wood,David Phelps,12
67,Alex Wood,David Price,11
68,Alex Wood,David Robertson,5
69,Alex Wood,Dellin Betances,18
70,Alex Wood,Derek Holland,0
71,Alex Wood,Dillon Gee,5
72,Alex Wood,Drew Pomeranz,11
73,Alex Wood,Edinson Volquez,0
74,Alex Wood,Fernando Abad,0
75,Alex Wood,Fernando Salas,5
76,Alex Wood,Gerrit Cole,16
77,Alex Wood,Homer Bailey,0
78,Alex Wood,Ian Kennedy,0
79,Alex Wood,J.P. Howell,39
80,Alex Wood,James Paxton,12
81,Alex Wood,James Shields,14
82,Alex Wood,Jarred Cosart,0
83,Alex Wood,Jason Vargas,0
84,Alex Wood,Jeff Locke,0
85,Alex Wood,Jeremy Jeffress,5
86,Alex Wood,Jimmy Nelson,0
87,Alex Wood,Josh Fields,0
88,Alex Wood,Kirby Yates,0
89,Alex Wood,Lance McCullers Jr.,21
90,Alex Wood,Luke Hochevar,0
91,Alex Wood,Mark Melancon,16
92,Alex Wood,Matt Moore,17
93,Alex Wood,Matt Reynolds,0
94,Alex Wood,Matt Shoemaker,0
95,Alex Wood,Mike Leake,0
96,Alex Wood,Nate Karns,31
97,Alex Wood,Phil Hughes,5
98,Alex Wood,Sammy Solis,10
99,Alex Wood,Santiago Casilla,18
100,Alex Wood,Tom Koehler,11
101,Alex Wood,Trevor Bauer,0
102,Alex Wood,Trevor Cahill,0
103,Alex Wood,Tyler Duffey,5
104,Alex Wood,Vance Worley,5
105,Alex Wood,Wade Davis,0
106,Anthony DeSclafani,Alex Cobb,0
107,Anthony DeSclafani,Alex Wood,0
108,Anthony DeSclafani,Archie Bradley,14
109,Anthony DeSclafani,Bobby Parnell,0
110,Anthony DeSclafani,Brad Peacock,0
111,Anthony DeSclafani,Brett Anderson,0
112,Anthony DeSclafani,Brett Oberholtzer,4
113,Anthony DeSclafani,Chris Devenski,0
114,Anthony DeSclafani,Chris Smith,0
115,Anthony DeSclafani,Chris Tillman,0
116,Anthony DeSclafani,Cody Allen,0
117,Anthony DeSclafani,Corey Knebel,1
118,Anthony DeSclafani,Craig Kimbrel,0
119,Anthony DeSclafani,David Phelps,0
