,winner,loser,score
0,Aaron Miles,Charlie Haeger,0
1,Aaron Miles,Felipe Lopez,0
2,Aaron Miles,Joe Inglett,0
3,Aaron Miles,Kevin Cash,0
4,Aaron Miles,R.A. Dickey,0
5,Aaron Miles,Ryan Franklin,0
6,Aaron Miles,Tim Wakefield,0
7,Charlie Haeger,Aaron Miles,0
8,Charlie Haeger,Felipe Lopez,0
9,Charlie Haeger,Joe Inglett,0
10,Charlie Haeger,Kevin Cash,0
11,Charlie Haeger,R.A. Dickey,10
12,Charlie Haeger,Ryan Franklin,0
13,Charlie Haeger,Tim Wakefield,4
14,Felipe Lopez,Aaron Miles,0
15,Felipe Lopez,Charlie Haeger,0
16,Felipe Lopez,Joe Inglett,0
17,Felipe Lopez,Kevin Cash,0
18,Felipe Lopez,R.A. Dickey,0
19,Felipe Lopez,Ryan Franklin,0
20,Felipe Lopez,Tim Wakefield,0
21,Joe Inglett,Aaron Miles,0
22,Joe Inglett,Charlie Haeger,0
23,Joe Inglett,Felipe Lopez,0
24,Joe Inglett,Kevin Cash,0
25,Joe Inglett,R.A. Dickey,0
26,Joe Inglett,Ryan Franklin,0
27,Joe Inglett,Tim Wakefield,0
28,Kevin Cash,Aaron Miles,0
29,Kevin Cash,Charlie Haeger,0
30,Kevin Cash,Felipe Lopez,0
31,Kevin Cash,Joe Inglett,0
32,Kevin Cash,R.A. Dickey,0
33,Kevin Cash,Ryan Franklin,0
34,Kevin Cash,Tim Wakefield,0
35,R.A. Dickey,Aaron Miles,6
36,R.A. Dickey,Charlie Haeger,106
37,R.A. Dickey,Felipe Lopez,0
38,R.A. Dickey,Joe Inglett,0
39,R.A. Dickey,Kevin Cash,0
40,R.A. Dickey,Ryan Franklin,1
41,R.A. Dickey,Tim Wakefield,92
42,Ryan Franklin,Aaron Miles,0
43,Ryan Franklin,Charlie Haeger,0
44,Ryan Franklin,Felipe Lopez,0
45,Ryan Franklin,Joe Inglett,0
46,Ryan Franklin,Kevin Cash,0
47,Ryan Franklin,R.A. Dickey,0
48,Ryan Franklin,Tim Wakefield,0
49,Tim Wakefield,Aaron Miles,0
50,Tim Wakefield,Charlie Haeger,5
51,Tim Wakefield,Felipe Lopez,0
52,Tim Wakefield,Joe Inglett,0
53,Tim Wakefield,Kevin Cash,0
54,Tim Wakefield,R.A. Dickey,57
55,Tim Wakefield,Ryan Franklin,2
