,winner,loser,score
0,A.J. Burnett,Aaron Cook,44
1,A.J. Burnett,Aaron Heilman,20
2,A.J. Burnett,Aaron Laffey,71
3,A.J. Burnett,Adam Russell,0
4,A.J. Burnett,Adam Wainwright,19
5,A.J. Burnett,Anibal Sanchez,14
6,A.J. Burnett,Anthony Claggett,1
7,A.J. Burnett,Armando Galarraga,64
8,A.J. Burnett,Billy Traber,0
9,A.J. Burnett,Blake Hawksworth,9
10,A.J. Burnett,Bob Keppel,38
11,A.J. Burnett,Bob McCrory,0
12,A.J. Burnett,Bobby Seay,64
13,A.J. Burnett,Brad Penny,8
14,A.J. Burnett,Brad Thompson,9
15,A.J. Burnett,Brad Ziegler,95
16,A.J. Burnett,Braden Looper,41
17,A.J. Burnett,Brandon League,61
18,A.J. Burnett,Brandon McCarthy,7
19,A.J. Burnett,Brandon Morrow,0
20,A.J. Burnett,Brandon Webb,0
21,A.J. Burnett,Brett Cecil,24
22,A.J. Burnett,Brian Bass,3
23,A.J. Burnett,Brian Duensing,31
24,A.J. Burnett,Brian Fuentes,46
25,A.J. Burnett,Brian Shouse,36
26,A.J. Burnett,Bronson Arroyo,18
27,A.J. Burnett,Bruce Chen,10
28,A.J. Burnett,Bryan Augenstein,0
29,A.J. Burnett,Buddy Carlyle,6
30,A.J. Burnett,Burke Badenhop,19
31,A.J. Burnett,CC Sabathia,76
32,A.J. Burnett,Carl Pavano,66
33,A.J. Burnett,Carlos Fisher,15
34,A.J. Burnett,Carlos Silva,57
35,A.J. Burnett,Carlos Zambrano,7
36,A.J. Burnett,Cesar Ramos,0
37,A.J. Burnett,Chad Bradford,5
38,A.J. Burnett,Chad Gaudin,34
39,A.J. Burnett,Chad Qualls,18
40,A.J. Burnett,Chan Ho Park,6
41,A.J. Burnett,Chien-Ming Wang,66
42,A.J. Burnett,Chris Carpenter,1
43,A.J. Burnett,Chris Volstad,31
44,A.J. Burnett,Chris Waters,11
45,A.J. Burnett,Cla Meredith,6
46,A.J. Burnett,Claudio Vargas,0
47,A.J. Burnett,Clay Condrey,6
48,A.J. Burnett,Clay Rapada,1
49,A.J. Burnett,Dallas Braden,81
50,A.J. Burnett,Damaso Marte,24
51,A.J. Burnett,Dan Giese,6
52,A.J. Burnett,Dan Meyer,0
53,A.J. Burnett,Dana Eveland,24
54,A.J. Burnett,Daniel Schlereth,0
55,A.J. Burnett,Danys Baez,68
56,A.J. Burnett,Darren O'Day,50
57,A.J. Burnett,Dennys Reyes,4
58,A.J. Burnett,Derek Holland,101
59,A.J. Burnett,Derek Lowe,38
60,A.J. Burnett,Doug Fister,0
61,A.J. Burnett,Doug Mathis,74
62,A.J. Burnett,Duaner Sanchez,8
63,A.J. Burnett,Dustin Moseley,19
64,A.J. Burnett,Eddie Guardado,60
65,A.J. Burnett,Edgar Gonzalez,37
66,A.J. Burnett,Edinson Volquez,0
67,A.J. Burnett,Edwar Ramirez,18
68,A.J. Burnett,Eric O'Flaherty,9
69,A.J. Burnett,Esmerling Vasquez,4
70,A.J. Burnett,Felix Hernandez,70
71,A.J. Burnett,Freddy Dolsi,4
72,A.J. Burnett,Freddy Garcia,9
