Player,R_nk,n
"Webb, Logan",0.677938808373591,842
"Lugo, Seth",0.6768982229402262,838
"Nola, Aaron",0.6726677577741408,822
"Gilbert, Logan",0.6677740863787376,804
"Wheeler, Zack",0.6632996632996633,788
"Berríos, José",0.6632996632996633,788
"Burnes, Corbin",0.6627318718381113,786
"Kirby, George",0.6604414261460102,778
"Keller, Mitch",0.658994032395567,773
"López, Pablo",0.6566523605150214,765
"Anderson, Tyler",0.6563573883161512,764
"Cease, Dylan",0.6560619088564058,763
"Corbin, Patrick",0.6560619088564058,763
"Irvin, Jake",0.6560619088564058,763
"Ragans, Cole",0.6554694229112834,761
"Crawford, Kutter",0.6548748921484038,759
"Severino, Luis",0.6545768566493955,758
"Singer, Brady",0.6545768566493955,758
"Bassitt, Chris",0.6545768566493955,758
"Sears, JP",0.6545768566493955,758
"Pfaadt, Brandon",0.6533795493934142,754
"Gausman, Kevin",0.6524761077324066,751
"Skubal, Tarik",0.6518711923411662,749
"Sánchez, Cristopher",0.6515679442508711,748
"Rodón, Carlos",0.6488147497805092,739
"Manaea, Sean",0.648506151142355,738
"Canning, Griffin",0.648506151142355,738
"Kikuchi, Yusei",0.6475770925110133,735
"Houck, Tanner",0.6466431095406361,732
"Gore, MacKenzie",0.645704162976085,729
"Fedde, Erick",0.6447602131438721,726
"Mikolas, Miles",0.6431757359500446,721
"King, Michael",0.6431757359500446,721
"Castillo, Luis",0.6428571428571429,720
"Gibson, Kyle",0.6428571428571429,720
"Peralta, Freddy",0.6425379803395889,719
"Quintana, Jose",0.6415770609318996,716
"Brown, Hunter",0.6415770609318996,716
"Bibee, Tanner",0.6409335727109515,714
"Rea, Colin",0.6406109613656783,713
"Ober, Bailey",0.6396396396396397,710
"Cortes, Nestor",0.6393146979260595,709
"Fried, Max",0.6389891696750902,708
"Sale, Chris",0.6373526745240253,703
"Flexen, Chris",0.6370235934664247,702
"Miller, Bryce",0.6366939146230699,701
"Valdez, Framber",0.6366939146230699,701
