winner,loser,score
"Abbott, Andrew","Abreu, Bryan",11.920741081237793
"Abbott, Andrew","Adam, Jason",14.578824043273926
"Abbott, Andrew","Adcock, Ty",2.1527328491210938
"Abbott, Andrew","Akin, Keegan",26.831327438354492
"Abbott, Andrew","Alcala, Jorge",8.261999130249023
"Abbott, Andrew","Alexander, Scott",8.84461498260498
"Abbott, Andrew","Alexander, Tyler",13.863850593566895
"Abbott, Andrew","Allard, Kolby",7.264244079589844
"Abbott, Andrew","Almonte, Yency",1.098909854888916
"Abbott, Andrew","Altavilla, Dan",1.4874629974365234
"Abbott, Andrew","Alvarado, José",3.418185234069824
"Abbott, Andrew","Alvarez, Eddy",1.8191615343093872
"Abbott, Andrew","Alzolay, Adbert",1.617094874382019
"Abbott, Andrew","Anderson, Grant",8.160775184631348
"Abbott, Andrew","Anderson, Nick",2.4840712547302246
"Abbott, Andrew","Anderson, Shaun",5.482844352722168
"Abbott, Andrew","Andrews, Clayton",1.9011613130569458
"Abbott, Andrew","Andriese, Matt",6.185266017913818
"Abbott, Andrew","Armstrong, Shawn",7.721680164337158
"Abbott, Andrew","Arrighetti, Spencer",6.491503715515137
"Abbott, Andrew","Ashby, Aaron",9.679116249084473
"Abbott, Andrew","Ashcraft, Graham",1.4065682888031006
"Abbott, Andrew","Avila, Nick",5.824985504150391
"Abbott, Andrew","Avila, Pedro",6.042017459869385
"Abbott, Andrew","Bachar, Lake",3.9643044471740723
"Abbott, Andrew","Baker, Bryan",6.893924236297607
"Abbott, Andrew","Banda, Anthony",11.9137601852417
"Abbott, Andrew","Banks, Tanner",15.059247970581055
"Abbott, Andrew","Barlow, Scott",0.4753848910331726
"Abbott, Andrew","Barnes, Jacob",9.421733856201172
"Abbott, Andrew","Barnes, Matt",3.891235828399658
"Abbott, Andrew","Bassitt, Chris",0.41075509786605835
"Abbott, Andrew","Basso, Brady",6.322433948516846
"Abbott, Andrew","Baz, Shane",5.411803722381592
"Abbott, Andrew","Bazardo, Eduard",7.8503618240356445
"Abbott, Andrew","Beck, Tristan",4.871676445007324
"Abbott, Andrew","Bednar, David",6.105538368225098
"Abbott, Andrew","Beeks, Jalen",4.569708824157715
"Abbott, Andrew","Beeter, Clayton",3.910487174987793
"Abbott, Andrew","Bello, Brayan",2.5668797492980957
"Abbott, Andrew","Bellozo, Valente",3.0298118591308594
"Abbott, Andrew","Bender, Anthony",8.736470222473145
"Abbott, Andrew","Bernardino, Brennan",6.343722343444824
"Abbott, Andrew","Berroa, Prelander",1.6798901557922363
"Abbott, Andrew","Berríos, José",9.790586471557617
"Abbott, Andrew","Bibee, Tanner",28.08318519592285
"Abbott, Andrew","Bickford, Phil",3.52241849899292
"Abbott, Andrew","Bieber, Shane",8.910955429077148
"Abbott, Andrew","Bigge, Hunter",9.780324935913086
"Abbott, Andrew","Bivens, Spencer",8.210338592529297
"Abbott, Andrew","Blackburn, Paul",3.933164119720459
"Abbott, Andrew","Blanco, Ronel",4.309473037719727
"Abbott, Andrew","Blewett, Scott",4.764805793762207
"Abbott, Andrew","Bloss, Jake",4.113424777984619
"Abbott, Andrew","Bolton, Cody",1.3426679372787476
"Abbott, Andrew","Booser, Cam",11.49100399017334
"Abbott, Andrew","Borucki, Ryan",4.070909023284912
"Abbott, Andrew","Bote, David",1.549078345298767
"Abbott, Andrew","Boushley, Caleb",0.8474694490432739
"Abbott, Andrew","Bowlan, Jonathan",1.1862882375717163
"Abbott, Andrew","Boyd, Matthew",8.894267082214355
"Abbott, Andrew","Bradford, Cody",16.95279312133789
"Abbott, Andrew","Bradish, Kyle",3.762103796005249
"Abbott, Andrew","Bradley, Taj",19.5374755859375
"Abbott, Andrew","Brasier, Ryan",10.550185203552246
"Abbott, Andrew","Brebbia, John",13.01895809173584
"Abbott, Andrew","Brewer, Colten",1.1061490774154663
"Abbott, Andrew","Brieske, Beau",7.143485069274902
"Abbott, Andrew","Brito, Jhony",6.352619171142578
"Abbott, Andrew","Brown, Ben",8.501070022583008
"Abbott, Andrew","Brown, Hunter",9.114839553833008
"Abbott, Andrew","Bruihl, Justin",3.872161388397217
"Abbott, Andrew","Brzykcy, Zach",1.742153525352478
"Abbott, Andrew","Bubic, Kris",20.4544734954834
"Abbott, Andrew","Buchanan, David",0.8277407884597778
"Abbott, Andrew","Bukauskas, J.B.",3.5648627281188965
"Abbott, Andrew","Bummer, Aaron",17.757892608642578
"Abbott, Andrew","Burgos, Raymond",1.7655149698257446
"Abbott, Andrew","Burke, Brock",5.418449401855469
"Abbott, Andrew","Burke, Sean",5.783757209777832
"Abbott, Andrew","Burnes, Corbin",28.85928726196289
