,Player,Rank
0,A.J. Cole,-1.4107409033788307
1,A.J. Minter,-0.9720844933402027
2,A.J. Puk,-2.2662368353867106
3,Aaron Brooks,3.941281205171847
4,Aaron Bummer,-1.3683718682932122
5,Aaron Civale,4.856824356840925
6,Aaron Nola,8.22424555759885
7,Aaron Sanchez,5.207544463326536
8,Adalberto Mejia,-2.130011860327394
9,Adam Cimber,-1.258350882935505
10,Adam Kolarek,-1.7544382269213266
11,Adam Morgan,-1.2000540993094417
12,Adam Ottavino,2.1697980837709467
13,Adam Plutko,5.749525446674577
14,Adam Wainwright,7.648981105697295
15,Adrian Houser,3.958630731860432
16,Adrian Sampson,5.063658507470782
17,Alex Cobb,-0.004707927232157523
18,Alex Colome,-1.847954056189148
19,Alex McRae,-1.5180006400491846
20,Alex Young,2.9149628343919023
21,Andrew Cashner,4.074488050959219
22,Andrew Chafin,2.595399649420224
23,Andrew Heaney,7.068888536611586
24,Andrew Kittredge,0.7274397313800879
25,Andrew Miller,4.031507500059394
26,Anibal Sanchez,7.588725608146925
27,Anthony Bass,-2.0900009730998783
28,Anthony Kay,-0.04783913049656721
29,Anthony Swarzak,-1.7351088219153576
30,Archie Bradley,0.2915407642345229
31,Ariel Jurado,2.3584456675084247
32,Aroldis Chapman,3.3399625373854613
33,Art Warren,-3.4302639629481733
34,Asher Wojciechowski,6.661153070271684
35,Austin Adams,-0.057799768012407514
36,Austin Pruitt,-0.4778825203815906
37,Austin Voth,3.799144245403046
38,Blake Parker,-1.6679046417429342
39,Blake Snell,7.078412531392425
40,Blake Treinen,-0.832098719648574
41,Brad Boxberger,-1.7531306372353586
42,Brad Brach,-0.42337205979217646
43,Brad Hand,1.5288822676944434
44,Brad Keller,6.055784039494425
45,Brad Peacock,3.9794718758580667
46,Branden Kline,-2.897267263352283
47,Brandon Brennan,-2.1371479518567695
48,Brandon Dixon,-3.436968314016561
49,Brandon Woodruff,7.4196034155520545
50,Brandon Workman,1.3928357925249328
51,Brendan McKay,2.4536972635412875
52,Brett Anderson,2.924310120374819
53,Brett Martin,-0.9876020538120074
54,Brian Flynn,-1.3005479002170393
55,Brian Johnson,-2.6298078047576414
56,Brock Burke,-1.4848783039923978
57,Brock Stewart,-1.5259557848074856
58,Bryan Abreu,-2.341151262953889
59,Bryan Garcia,-2.7500849649619683
60,Bryan Shaw,-1.4778017582095557
61,Buck Farmer,0.32858797892468194
62,Buddy Boshers,-0.7266252885114445
63,CC Sabathia,4.924636013211754
64,Caleb Ferguson,-0.3925882047041809
65,Caleb Smith,7.257239891328998
66,Cam Bedrosian,-1.375625868584286
67,Carl Edwards Jr.,-2.5840570929565025
68,Carlos Carrasco,6.347983957563133
69,Carlos Estevez,1.528086928603563
70,Carlos Martinez,-0.8479253992095819
71,Carlos Rodon,4.138829709245231
72,Carlos Torres,-2.4687735982022083
73,Carson Fulmer,-2.6546724575714493
74,Chad Bettis,-2.5693695071939615
75,Chad Green,2.2582825094825543
76,Chad Sobotka,-0.49913666291026376
77,Chance Adams,-2.464786503366384
78,Chandler Shepherd,-0.3944271992668241
79,Charlie Morton,8.152827515415387
80,Chase Anderson,5.644984735591605
81,Chaz Roe,-0.3707362366605242
82,Chris Bassitt,5.759576606012629
83,Chris Devenski,-0.5043986382400104
84,Chris Martin,-0.8781319057461404
85,Chris Sale,8.140778749098802
86,Chris Stratton,0.16289672657976412
87,Cionel Perez,-3.564546360436373
88,Clay Buchholz,1.3600489810393244
89,Clayton Kershaw,7.558959682295157
90,Clayton Richard,-0.8424366122571734
91,Cody Allen,-1.5812402077107721
92,Cody Anderson,-2.706233358657597
93,Cody Stashak,-2.2735514597930635
94,Cole Hamels,5.824429653077956
95,Cole Irvin,-1.3258763736211936
96,Cole Sulser,-1.6017425718885803
97,Colin Poche,2.2535198380172403
98,Collin McHugh,2.759895220992907
99,Colten Brewer,-1.5245373539212674
100,Connor Sadzeck,-1.8583877877746169
101,Corbin Martin,-1.0986809711379084
102,Corey Kluber,3.0234748187349143
103,Cory Gearrin,-1.8039406985441229
104,Craig Kimbrel,-0.7575075451193155
105,Craig Stammen,-0.42996750818719154
106,Cy Sneed,-0.6819443380868665
107,Dakota Hudson,4.8028747697993115
108,Dallas Keuchel,5.912532523881777
109,Dan Otero,-3.3110806573372855
110,Dan Straily,-1.5384451703580302
111,Daniel Hudson,-0.9017976213140805
112,Daniel Mengden,4.198669976491392
113,Daniel Norris,4.926811039732811
114,Daniel Stumpf,-1.8499293133888812
115,Danny Duffy,4.974909509734907
116,Darren O'Day,-2.047948637872734
117,Darwinzon Hernandez,1.0922179006083823
118,David Hale,-2.792872282522517
119,David Hernandez,-0.12106658288874439
120,David Hess,5.64323382675831
121,David McKay,-1.727943582127829
122,David Phelps,-1.9802482847405003
123,David Price,6.244052894210218
124,David Robertson,-2.599992831944599
125,Dereck Rodriguez,0.22836140223314824
126,Derek Holland,2.2345989818131473
127,Derek Law,-0.8956712972693004
128,Devin Smeltzer,5.25140970045493
129,Diego Castillo,0.656272118507703
130,Dillon Peters,3.1669931762334698
131,Dinelson Lamet,5.701044704812092
132,Domingo German,7.606772833251356
133,Dominic Leone,-1.750445862424467
134,Drew Pomeranz,5.637232283461956
135,Drew Smyly,3.623077903536831
136,Drew VerHagen,0.09954956529051529
137,Duane Underwood Jr.,-2.943096687371646
138,Dustin May,-0.42936433532527835
139,Dylan Bundy,7.040649494709023
140,Dylan Cease,4.786015144947363
141,Dylan Covey,-0.41090124088806385
142,Edinson Volquez,-3.2070258289887486
143,Eduardo Jimenez,-2.2256529929323197
144,Eduardo Rodriguez,7.570465349686933
145,Edwin Diaz,3.316668072384974
146,Edwin Jackson,1.3280806639131275
147,Elvis Luciano,-3.2894384267437826
148,Emilio Pagan,2.0006629881775537
149,Emmanuel Clase,-2.922026022555189
150,Eric Lauer,7.515741943712806
151,Eric Skoglund,-3.3971128275009166
152,Erik Swanson,-0.8810325706389494
153,Ervin Santana,-2.4453592108728834
154,Evan Marshall,-2.4868967060093325
155,Evan Phillips,-0.7029706636317129
156,Felipe Vazquez,0.8611556719078354
157,Felix Hernandez,2.260554248722961
158,Felix Pena,4.905287949332226
159,Fernando Rodney,-2.083556285730987
160,Fernando Romero,-1.5386204802791272
161,Framber Valdez,1.0934887228371926
162,Francisco Liriano,-1.3383539483695372
163,Frankie Montas,7.2814544262168805
164,Freddy Peralta,3.9003718172726907
165,Gabe Speier,-2.344272508679439
166,Gabriel Ynoa,0.007366547811737756
167,German Marquez,6.147852513215754
168,Gerrit Cole,8.464049192480916
169,Gerson Bautista,-3.5643229379081576
170,Gio Gonzalez,5.269622740333271
171,Giovanny Gallegos,0.9010630218349114
172,Glenn Sparkman,4.207876457634463
173,Gregory Soto,-2.485915204273321
174,Griffin Canning,4.960056052110352
