,Player,Rank
0,A.J. Cole,0.003174501572946694
1,Andrew Kittredge,-1.0065127942966636
2,Blake Snell,0.756150106734093
3,Brock Stewart,-0.2473711004627497
4,Charlie Morton,0.588654816482368
5,Chris Sale,0.37489586314650103
6,Eduardo Rodriguez,0.4705155699276462
7,Elvis Luciano,-0.4096486731237317
8,Homer Bailey,-0.08037948763994297
9,J.A. Happ,0.07385848423685513
10,Jimmy Cordero,-1.1588891344909023
11,Jose Berrios,-0.31301571237166703
12,Justin Anderson,0.7075095699278219
13,Justin Verlander,0.8803397022927036
14,Martin Perez,-0.2711253097539028
15,Mike Clevinger,0.7518464927670133
16,Mike Fiers,-0.15261082088242475
17,Oliver Drake,-0.4920285390231715
18,Reynaldo Lopez,-0.4439213823475957
19,Richard Rodriguez,-0.16425442627090647
20,Scott Barlow,0.45990245950912445
21,Shane Bieber,0.7086712471430462
22,Taylor Clarke,0.10606176449646319
23,Trent Thornton,0.15537022112403795
24,Tyler Duffey,0.8107205837027942
25,Wade Miley,-1.070602902297048
26,Zac Reininger,0.11511156003218681
27,A.J. Minter,-0.6297461865002651
28,Dan Winkler,-0.2036128971130744
29,Jacob Webb,-1.7139754580512407
30,Luke Jackson,0.46155605880466266
31,Patrick Corbin,0.7241500529551244
32,Wander Suero,0.23975132825701706
33,A.J. Puk,1.0820871223300632
34,Adam Plutko,-0.14088834226582955
35,Brett Anderson,-1.099390591661603
36,Gerrit Cole,0.8607672228004314
37,Josh James,-0.0891366692428888
38,Lance Lynn,0.5027297233010476
39,Lucas Giolito,0.30776440357583024
40,Luke Bard,0.12773392395975963
41,Mike Minor,-0.7949023587420576
42,Spencer Turnbull,-0.2052776200556202
43,Yonny Chirinos,-0.5429978467812183
44,Zach Eflin,-0.635275872854567
45,Zack Greinke,-0.6491112998323819
46,Aaron Brooks,-0.15510886974794286
47,Adam Cimber,-0.7114222452599674
48,Adam Kolarek,-0.5346365620984521
49,Anthony Swarzak,0.18186372206405785
50,Brett Martin,0.2652565253037162
51,Brian Flynn,-0.5320618687640883
52,Buddy Boshers,0.11083529196860929
53,CC Sabathia,1.399137441676679
54,Cam Bedrosian,-0.057102908104665576
55,Dakota Hudson,-0.7779365430543128
56,Dan Otero,-0.9488277713209056
57,Drew Pomeranz,0.821758804788093
58,Framber Valdez,-0.5104800583894716
59,Hector Santiago,0.34728543297442377
60,Hyun Jin Ryu,-0.25487840400572037
61,Jakob Junis,-0.38923829513020286
62,James Paxton,0.30163312921666563
63,Jeffrey Springs,-0.28100799780148766
64,John Means,-0.8003364404625057
65,Josh Tomlin,-0.9057702063727067
66,Kevin McCarthy,-0.7399519497986049
67,Kyle Gibson,0.2781377468796619
68,Marco Gonzales,0.14388598083830803
69,Masahiro Tanaka,-1.0782898540596781
70,Michael Pineda,0.4112573274143438
71,Miguel Castro,0.2452710202546803
72,Nestor Cortes,-0.7935206829031436
73,Robbie Ray,-0.2482488813543271
74,Taylor Cole,-0.7424853480798214
75,Thomas Eshelman,-0.017511350647122535
76,Tyler Lyons,0.7012635048860231
77,Tyler Skaggs,0.21292603301246418
78,Wade LeBlanc,-0.7482688321002539
79,Will Harris,-0.4518217059321191
80,Yusmeiro Petit,-0.7066316784306698
81,Aaron Bummer,0.033395381613093675
82,Adam Conley,-0.193433863636323
83,Adam Ottavino,0.8226782502161061
84,Alex Claudio,-0.4117087906604111
85,Andrew Heaney,0.5959603335682184
86,Austin Brice,-0.5185081583267804
87,Cal Quantrill,0.24314466067224688
88,Chris Bassitt,-0.4856759028339366
89,Dylan Bundy,-0.4264785982671939
90,Dylan Cease,-0.0762070403262249
91,Francisco Liriano,-0.7944176532896428
92,Frankie Montas,0.28126420275684855
93,Freddy Peralta,0.47843101314480974
94,German Marquez,-0.8608973799303132
95,Ivan Nova,-1.0284029801548336
96,Jack Flaherty,1.0224200760770767
97,Jake Odorizzi,0.08924190359234502
98,Joe Musgrove,0.4708428175997649
99,John Gant,-0.16392603793550475
100,Jordan Lyles,0.7617777800544437
101,Jose Cisnero,-0.030369834492257133
102,Juan Minaya,-0.06343753615439678
103,Matt Bowman,-0.5535191403560321
104,Max Fried,-0.23439151002930333
105,Michael Feliz,-0.10239290187564949
106,Robbie Erlin,-0.4981228588248991
107,Ryan Yarbrough,-0.8515033734846191
108,Tim Mayza,-0.22156127876624682
109,Tyler Olson,0.2960512049349562
110,Yusei Kikuchi,0.34108941812609045
111,Aaron Civale,-0.6982704063869087
112,Collin McHugh,0.5887408719862227
113,Connor Sadzeck,-0.24520512990689472
114,Jalen Beeks,0.02894514284273359
115,Jesse Chavez,-0.5326326890156368
116,Junior Guerra,-0.3949664274779215
117,Max Scherzer,-0.12456599515140805
118,Mike Soroka,-0.7964372618858688
119,Paul Fry,-0.2077839234886693
120,Rick Porcello,-0.8160559837737239
121,Ryne Harper,-0.5735351836784506
122,Sandy Alcantara,-0.6450376238184679
123,Zack Godley,-0.6870568135974463
124,Aaron Nola,-0.18400211641019426
125,Adam Wainwright,0.22774333235551195
126,Adam Warren,-0.20819194160537796
127,Adrian Houser,-0.14823708472376704
128,Andrew Cashner,-0.9534418846957823
129,Andrew Chafin,0.5723053329571082
130,Anibal Sanchez,-0.7052698703297181
131,Anthony DeSclafani,-0.3021824794504844
132,Antonio Senzatela,-0.8341624305092753
133,Asher Wojciechowski,-0.43144576684774716
134,Austin Voth,-0.409054983620377
135,Blake Parker,-0.016279384976371276
136,Brad Brach,-0.10667521124059805
137,Brad Keller,-0.7243260381530556
138,Brad Peacock,-0.02183017519260334
139,Brad Wieck,0.25496507611134195
140,Brandon Woodruff,0.3791252356392623
141,Bryan Shaw,-0.7444786916698821
142,Caleb Smith,0.2834201934864998
143,Carlos Estevez,-0.14438367654542383
144,Chad Bettis,-1.2088873160716165
145,Chance Adams,-0.8818527389506046
146,Chris Archer,-0.3583516957712506
147,Chris Paddack,-0.6264720986495321
148,Clay Holmes,-0.046546051370010645
149,Clayton Kershaw,-0.12942255917189846
150,Cody Stashak,-0.6263335721001556
151,Cole Hamels,0.2213201050946154
152,Cole Irvin,-0.47679519117589403
153,Conner Menez,-1.986329974084853
154,Corey Kluber,-0.501884857065425
155,Cory Gearrin,-0.6637372157941941
156,Dallas Keuchel,-0.463935221157595
157,Danny Duffy,-0.6787568603567921
158,Dario Agrazal,-1.3073684573439557
159,Dereck Rodriguez,-0.4693022065414124
160,Derek Holland,0.16874174328182084
161,Dillon Peters,0.15996112464517723
162,Domingo German,0.05426441458649604
163,Drew Smyly,-0.41207774532406954
164,Dustin May,-1.3270460183675192
165,Edgar Garcia,0.3629359652009118
166,Elieser Hernandez,-1.253889382043047
167,Emilio Pagan,-0.033173848662527365
168,Evan Marshall,-0.389969079097997
169,Evan Phillips,0.5747110491404986
170,Giovanny Gallegos,0.026401743484210007
171,Griffin Canning,0.14028444218322556
172,Hunter Strickland,-1.7940318159381108
