,Player,Rank
0,A.J. Minter,-0.015925380309495186
1,Adam Morgan,2.5358791855394043
2,Alex Claudio,1.261126103989211
3,Blaine Hardy,0.491154841783432
4,Chad Bettis,0.8799439974805967
5,Chris Archer,1.6869631995703218
6,Chris Paddack,2.8609935952533014
7,Cole Hamels,3.2054329906249417
8,Gio Gonzalez,3.3268797168972344
9,Jake Arrieta,3.332966496666052
10,Joe Musgrove,2.3270674423048994
11,Jon Lester,1.0758366943842546
12,Jose Quintana,1.1569000431525103
13,Jose Urena,1.6715208753282527
14,Luis Avilan,2.0088564647566813
15,Mike Soroka,1.5475453498430585
16,Noah Syndergaard,3.970400528123995
17,Sonny Gray,0.8444743266392394
18,Steven Matz,1.4613198189913412
19,Trevor Richards,3.032708154959764
20,Tyler Beede,1.754272746485017
21,Wandy Peralta,0.8307020844124291
22,Aaron Brooks,0.625775687328463
23,Aaron Nola,2.3467566089556215
24,Aaron Sanchez,0.903953859447934
25,Adam Plutko,0.7596137614192925
26,Adrian Houser,0.9727099284355853
27,Adrian Sampson,0.8072230293104303
28,Andrew Cashner,2.10360223647977
29,Ariel Jurado,1.3616646982736795
30,Austin Pruitt,1.0085224884680906
31,Blake Snell,0.6591404386984453
32,Brad Boxberger,0.6616969715143975
33,Brad Peacock,1.0838522970459992
34,Brandon Brennan,2.592414533835265
35,Brett Anderson,-0.0521603635861484
36,Brock Stewart,1.2306476583421626
37,Buck Farmer,1.9499032705481893
38,Cal Quantrill,0.8673051698206059
39,Carlos Rodon,1.2172121513783862
40,Chris Bassitt,0.7157718608756856
41,Chris Devenski,2.8071968422349576
42,Chris Martin,2.537374963576857
43,Chris Sale,0.06134939774131317
44,Clay Buchholz,1.4291952333863356
45,Cory Gearrin,0.7296573296777882
46,Daniel Hudson,1.049210507168204
47,Daniel Norris,3.1744846675014933
48,David Hale,0.7517548098644571
49,David Hess,0.8727756321202934
50,David Price,2.6395858212326764
51,Derek Law,2.2198539489401816
52,Devin Williams,1.290484168660916
53,Dillon Tate,2.5189140380889943
54,Domingo German,1.4092152098962933
55,Drew Smyly,1.7008099420452916
56,Dylan Bundy,1.4299157844928068
57,Dylan Cease,1.3969167006704373
58,Dylan Covey,2.308250436446936
59,Eduardo Rodriguez,2.731363222053946
60,Elvis Luciano,1.440946491300664
61,Evan Marshall,0.7262254860034868
62,Felix Hernandez,2.7622881566287627
63,Felix Pena,0.9348193428790693
64,Fernando Rodney,2.4821960983663844
65,Gabriel Ynoa,2.0731528478080605
66,Gerrit Cole,2.1034301988364823
67,Glenn Sparkman,1.5666741013179284
68,Griffin Canning,0.6412549605125865
69,Hansel Robles,1.9634735689057436
70,Hector Velazquez,0.773051449775012
71,Hyun Jin Ryu,3.0150048997114465
72,Ivan Nova,0.3615396995726163
73,J.B. Wendelken,3.9401861704808336
74,Jacob Waguespack,1.2046742136012487
75,Jacob deGrom,4.0557524437821515
76,Jaime Barria,0.3104460263331762
77,Jakob Junis,0.7306266354049699
78,Jalen Beeks,2.082265526605462
79,Jared Hughes,1.6727827880935784
80,Jeffrey Springs,1.8121412693562227
81,Jesse Chavez,0.5750416088350466
82,Jimmy Yacabonis,0.2497370131319404
83,Joakim Soria,2.912307503749982
84,Joey Lucchesi,3.2261355014938387
85,John Means,2.3328967797345372
86,Jonathan Holder,1.797265006942036
87,Jonathan Loaisiga,3.3107079205706387
88,Jose Berrios,2.011994091080226
89,Jose Leclerc,2.460142166037238
90,Jose Suarez,3.5184145031190375
91,Jose Urquidy,2.2889697850774438
92,Juan Minaya,1.1772455452141444
93,Julio Urias,0.8364352365598047
94,Kenta Maeda,4.441376861937724
95,Keynan Middleton,1.650389348048049
96,Kyle Gibson,2.5440389410507924
97,Lance Lynn,0.7589279057107674
98,Lucas Giolito,3.9726610921153136
99,Luis Castillo,4.741657860058729
100,Luis Cessa,1.0784854467938636
101,Marco Estrada,1.129949600074832
102,Marco Gonzales,2.443085539551968
103,Martin Perez,2.019229779617752
104,Max Scherzer,3.704729732269191
105,Merrill Kelly,1.409505858519702
106,Michael Lorenzen,2.6942845924213263
107,Michael Pineda,0.2679793116309978
108,Michael Wacha,3.3697617655560608
109,Michel Baez,2.3959839871466766
110,Miguel Castro,2.367454718284994
111,Mike Clevinger,1.0202734751843288
112,Mike Fiers,0.6133105532798061
113,Mike Leake,1.312168073726882
114,Mike Minor,3.7473592152859103
115,Mike Montgomery,0.9995751443645557
116,Nestor Cortes,0.8852759623856218
117,Nick Kingham,1.2463079001643282
118,Nick Ramirez,3.106793014533907
119,Noe Ramirez,2.932254110060841
120,Pedro Baez,0.7545466382604429
121,Pedro Payano,0.5408081322783617
122,Peter Lambert,0.9723499375822566
123,Rafael Montero,1.829592266493385
124,Reynaldo Lopez,1.213539736945784
125,Rick Porcello,0.10112958878179455
126,Roberto Osuna,2.826835086729578
127,Ross Stripling,2.5204413634448417
128,Ryan Brasier,0.6587882162499303
129,Ryan Yarbrough,2.613799656892737
130,Sam Gaviglio,2.0133632614261536
131,Sandy Alcantara,1.5524369632489328
132,Sergio Romo,1.5135145387991036
133,Shane Bieber,0.5750395441884535
134,Spencer Turnbull,-0.17554931007230332
135,Stephen Strasburg,4.4819241069106805
136,Stevie Wilkerson,1.562828036844693
137,Tanner Roark,0.797718956768928
138,Taylor Clarke,0.4671265368960482
139,Taylor Cole,2.5716115173645395
140,Thomas Eshelman,0.2576131707686269
141,Tommy Kahnle,4.258750522670134
142,Tommy Milone,3.3451829397894466
143,Trevor Cahill,0.8279311481176185
144,Ty Buttrey,1.8436926472121933
145,Tyler Chatwood,3.057342115350264
146,Tyler Skaggs,1.0419102698519425
147,Tyler Thornburg,1.7898295540701763
148,Victor Alcantara,1.5862620704194152
149,Wade LeBlanc,0.41201217632507164
150,Wade Miley,1.9493954919334333
151,Yefry Ramirez,1.5297866436754715
152,Yusei Kikuchi,0.3410893429705727
153,Yusmeiro Petit,1.5712322881673004
154,Zach Davies,3.056879421380303
155,Zach Plesac,1.1133591369365097
156,Zack Greinke,3.739476972360678
157,Adam Conley,1.0874744617627066
158,Adam Warren,2.299199047545947
159,Adbert Alzolay,2.214218057071287
160,Alex Young,2.1227674442877285
161,Anibal Sanchez,2.9797710912611786
162,Antonio Senzatela,0.7610547456538816
163,Austin Voth,2.8923074493294325
164,Brad Brach,0.9512095249053955
165,Brandon Kintzler,2.472729484237528
166,Brandon Woodruff,1.3148826466855885
167,Bryan Shaw,2.8969077767528386
168,CC Sabathia,2.542766163782569
169,Caleb Smith,1.9154504614051557
170,Carlos Estevez,1.7715143347749789
171,Carlos Martinez,2.035254870301398
172,Chase Anderson,1.7805203818361748
173,Cody Anderson,1.9773465719470287
174,Cole Irvin,0.6061645947466608
175,Conner Menez,1.6090064524785925
176,Corey Oswalt,2.376084755314271
177,Dallas Keuchel,1.8806933389477212
178,Dan Otero,0.05604031242143839
179,Danny Duffy,1.2333859656292887
180,Dereck Rodriguez,1.1016386714566568
181,Drew Gagnon,1.5729685916666036
182,Edinson Volquez,1.254946231781983
183,Elieser Hernandez,1.390750478009068
184,Enyel De Los Santos,2.4528155074109352
185,Francisco Liriano,1.8412268736097297
186,Hector Noesi,1.7732722164127406
187,Hector Santiago,1.5078770923974845
188,James Marvel,0.7223327012747558
189,Jarlin Garcia,0.4426652521009673
190,Jason Vargas,2.571136920610212
191,Javy Guerra,3.0012427448040593
192,Jeff Hoffman,1.949124675550893
193,Jeremy Hellickson,0.5080299907582109
194,John Gant,1.965472017647939
195,Johnny Cueto,1.4208353613488167
196,Jordan Lyles,1.2138046017316046
197,Jordan Yamamoto,1.011021152320346
198,Jose Alvarez,1.829064136515744
199,Jose Cisnero,1.0516523048431192
200,Jose Quijada,0.9102613262930866
201,Josh Tomlin,0.5912397844430195
202,Julio Teheran,0.209086013794514
203,Kyle Barraclough,1.6439228141134823
204,Kyle Freeland,0.13443482077632232
205,Kyle Hendricks,3.563459380800861
206,Logan Allen,1.5429526552291748
207,Logan Webb,1.5564402680579508
208,Luke Weaver,3.8066009746688048
209,Matt Albers,0.7133541234812113
210,Matt Andriese,1.8914397068680588
211,Matt Strahm,0.7901867521056966
212,Matthew Boyd,1.0310630925465283
213,Michael Feliz,-0.5896073870431098
214,Mike Foltynewicz,0.890645143532183
215,Mike Morin,0.17877271335543962
216,Miles Mikolas,0.2838639538268552
217,Mychal Givens,1.934919045298462
218,Nick Wittgren,-0.024010426620035687
219,Pablo Lopez,2.292753460769049
220,Patrick Corbin,0.13986617200241164
221,Raisel Iglesias,2.812449135441141
222,Ranger Suarez,2.403139997465559
223,Rico Garcia,0.8819335783558393
224,Robbie Erlin,2.9418270515455514
225,Robert Gsellman,1.1875430898130088
226,Roenis Elias,0.8589333255009016
227,Shaun Anderson,1.0200067195611267
228,Steven Brault,0.28260401824927167
229,Tony Watson,1.3780999343251297
230,Trevor Bauer,1.5546197761293898
231,Trevor May,0.4670714275152736
232,Trevor Williams,0.4236998362765968
233,Ty Blach,0.6434242134273346
234,Tyler Anderson,2.1143298620985225
235,Tyler Clippard,0.19245538706092488
236,Wander Suero,1.291542737567685
237,Wes Parsons,-0.1019381772976608
238,Zac Gallen,3.011692342683882
239,Zach Eflin,0.6146753972313109
240,Zack Godley,1.1710289270253362
241,Zack Wheeler,2.2080895955541346
242,Andrew Heaney,0.9627709979965354
243,Bryan Garcia,2.632970367584092
244,Carlos Carrasco,3.481318487235112
245,Chris Davis,1.3800971147478858
246,Dan Straily,1.161641270838875
247,Daniel Stumpf,0.701477179943413
248,Dillon Peters,2.3359956120126686
249,Erik Swanson,-0.31597217244565795
250,Evan Phillips,1.650124310124345
251,Heath Fillmyer,2.208897139415291
252,Hunter Wood,0.2646914899383849
253,Ian Kennedy,1.9245566622877794
254,J.A. Happ,2.0535813073442437
255,Jace Fry,1.0255245023986306
256,Jimmy Cordero,1.6121431626712757
257,Joe Biagini,2.3254186576554865
258,Joe Kelly,3.0699746548976714
259,Jorge Lopez,0.43881712652589755
260,Josh James,3.780964739067146
261,Justin Verlander,0.9856080107159324
262,Kelvin Herrera,0.29139354342067214
263,Kolby Allard,0.264669119952318
264,Lou Trivino,1.8468186247643539
265,Matt Harvey,1.566104873668527
266,Patrick Sandoval,2.073092196492162
267,Phillips Valdez,3.035634349623063
268,Ross Detwiler,-0.12703910201276092
269,Ryan Weber,-0.28065564607457993
270,T.J. Zeuch,2.8316434657268084
271,Tyler Alexander,2.6602541882396156
272,Wei-Chieh Huang,0.5716122395116678
273,Wei-Chung Wang,0.7987421729228342
274,Wily Peralta,1.4046894110778028
275,Aaron Wilkerson,1.314956544570846
276,Adalberto Mejia,1.023473329325541
277,Devin Smeltzer,2.156902488146493
278,Andrew Suarez,-0.27159113366124343
279,Duane Underwood Jr.,2.190414437671588
280,Genesis Cabrera,1.9525364027961187
281,Jacob Webb,1.4158625106605303
282,Madison Bumgarner,0.29220123086888616
283,Matt Grace,1.7407799607174754
284,Adam Kolarek,0.8130198098786325
285,Rogelio Armenteros,0.5057176415351959
286,Sean Newcomb,0.3541261864505323
287,Trevor Hildenberger,1.6964780850620185
288,Bobby Poyner,2.294836126051555
289,Cy Sneed,0.2230019486759918
290,Joe Jimenez,1.5694790023048546
291,Jose Ruiz,1.8124994259854679
292,Kevin McCarthy,2.060801789202521
293,Sean Reid-Foley,-1.5788080466025256
294,Taylor Guilbeau,1.3888396229812179
295,Adam Wainwright,4.389616553441708
296,Jon Duplantier,1.1047633605878322
297,Jon Gray,0.7413344610150294
298,Lucas Sims,4.068093966865588
299,Marcus Stroman,0.8729752435632019
300,Chris Stratton,1.2261215875186522
301,Dylan Floro,1.5358949413497451
302,Jhoulys Chacin,3.252101288074327
303,Tyler Webb,0.921336125606584
304,Adrian Morejon,0.3738977847163023
305,Jose Rodriguez,2.8372773334627746
306,Junior Fernandez,2.2500909333108177
307,Luis Severino,0.32389262068370744
308,Nick Tropeano,1.723261177539812
309,Reyes Moronta,3.1354428605747975
310,Alec Mills,2.6080367443657106
311,Jack Flaherty,-0.7092051160860123
312,Anthony DeSclafani,0.4300821589678759
313,Archie Bradley,1.4296843538610318
314,Brent Suter,2.0638504420523667
315,Chi Chi Gonzalez,3.1774217971805196
316,Chris Flexen,0.9024281254939724
317,Corbin Burnes,2.8195409784510614
318,Dario Agrazal,0.23918940597425
319,Felipe Vazquez,1.3242496220772988
320,Jake Jewell,1.5052127155357897
321,Joe Ross,2.211860896163336
322,Sam Dyson,2.564909381893704
323,Shane Carle,1.9136097022268774
324,Walker Lockett,2.1987816053452054
325,Alex Colome,1.0194868922511946
326,Alex McRae,0.9324530752176075
327,Geoff Hartlieb,1.9327068775577354
328,Alex Wood,0.2674932329624799
329,Michael King,1.7818379149458456
330,Nick Margevicius,0.32961049582716573
331,T.J. McFarland,1.085916779805813
332,Allen Webster,1.3665364636288502
333,Andrew Kittredge,3.5942499734201734
334,Andrew Moore,1.9573967315561844
335,Anthony Banda,0.23397331517380796
336,Austin Adams,3.483112351650676
337,Branden Kline,2.240218984478447
