,winner,loser,score
0,Aaron Cook,Aaron Harang,1
1,Aaron Cook,Adam Wainwright,0
2,Aaron Cook,Barry Enright,1
3,Aaron Cook,Barry Zito,12
4,Aaron Cook,Billy Buckner,0
5,Aaron Cook,Bobby Cramer,0
6,Aaron Cook,Brad Lincoln,9
7,Aaron Cook,Brad Ziegler,0
8,Aaron Cook,Brett Myers,0
9,Aaron Cook,Bronson Arroyo,14
10,Aaron Cook,C.J. Wilson,0
11,Aaron Cook,Carlos Carrasco,1
12,Aaron Cook,Chris Carpenter,0
13,Aaron Cook,Chris Narveson,0
14,Aaron Cook,Chris Volstad,7
15,Aaron Cook,Clay Hensley,9
16,Aaron Cook,Cliff Lee,0
17,Aaron Cook,Cole Hamels,4
18,Aaron Cook,D.J. Carrasco,6
19,Aaron Cook,Danys Baez,1
20,Aaron Cook,Dave Bush,5
21,Aaron Cook,David Pauley,2
22,Aaron Cook,Denny Bautista,1
23,Aaron Cook,Evan Meek,5
24,Aaron Cook,Felipe Paulino,25
25,Aaron Cook,Francisco Rodriguez,14
26,Aaron Cook,Franklin Morales,6
27,Franklin Morales,Aaron Cook,6
28,Aaron Cook,Gio Gonzalez,0
29,Aaron Cook,Heath Bell,5
30,Aaron Cook,Jaime Garcia,7
31,Aaron Cook,Jake Westbrook,0
32,Aaron Cook,Jamey Wright,7
33,Aaron Cook,Jason Hammel,11
34,Jason Hammel,Aaron Cook,11
35,Aaron Cook,Jeff Francis,7
36,Aaron Cook,Jhoulys Chacin,12
37,Aaron Cook,Joe Blanton,0
38,Aaron Cook,Joel Peralta,0
39,Aaron Cook,John Axford,4
40,Aaron Cook,John Ely,3
41,Aaron Cook,John Lackey,0
42,Aaron Cook,Jonathon Niese,0
43,Aaron Cook,Jose Veras,0
44,Aaron Cook,Juan Gutierrez,9
45,Aaron Cook,Justin Miller,0
46,Aaron Cook,Justin Verlander,1
47,Aaron Cook,Kenshin Kawakami,14
48,Aaron Cook,Kerry Wood,0
49,Aaron Cook,Kevin Correia,5
50,Aaron Cook,Kyle McClellan,4
51,Aaron Cook,Livan Hernandez,0
52,Aaron Cook,Logan Ondrusek,14
53,Aaron Cook,Madison Bumgarner,5
54,Aaron Cook,Mat Latos,12
55,Aaron Cook,Matt Belisle,0
56,Aaron Cook,Matt Cain,9
57,Aaron Cook,Nelson Figueroa,0
58,Aaron Cook,Paul Maholm,0
59,Aaron Cook,Philip Humber,0
60,Aaron Cook,Randy Wolf,1
61,Aaron Cook,Ricky Romero,6
62,Ricky Romero,Aaron Cook,6
63,Aaron Cook,Roy Halladay,0
64,Aaron Cook,Roy Oswalt,0
65,Aaron Cook,Sean Marshall,0
66,Aaron Cook,Taylor Buchholz,0
67,Aaron Cook,Ted Lilly,7
68,Aaron Cook,Tommy Hanson,0
69,Aaron Cook,Ubaldo Jimenez,5
70,Aaron Cook,Vicente Padilla,5
71,Vicente Padilla,Aaron Cook,5
72,Aaron Cook,Wandy Rodriguez,0
73,Aaron Cook,Zach Duke,18
74,Aaron Cook,Zack Greinke,0
75,Aaron Harang,Aaron Cook,0
76,Aaron Harang,Anibal Sanchez,5
77,Anibal Sanchez,Aaron Harang,5
78,Aaron Harang,Brett Myers,0
79,Aaron Harang,Charlie Morton,7
80,Charlie Morton,Aaron Harang,7
81,Aaron Harang,Chris Carpenter,0
82,Aaron Harang,Clay Hensley,2
83,Aaron Harang,Dave Bush,0
84,Aaron Harang,Gavin Floyd,0
85,Aaron Harang,Gio Gonzalez,0
86,Aaron Harang,Jaime Garcia,1
