,Player,Rank
0,A.J. Cole,-0.009334445607754429
1,Ivan Nova,0.664519215753234
2,Jose Berrios,1.4460147132694503
3,Lewis Thorpe,0.5208441898197772
4,Reynaldo Lopez,0.6401896456855513
5,Taylor Rogers,2.423273159973156
6,Tyler Olson,0.738067417139363
7,Tyler Skaggs,3.098855055554218
8,Aaron Civale,2.5584804065023405
9,Aaron Sanchez,2.289536857258411
10,Ariel Jurado,-0.2364802266551604
11,Buddy Boshers,1.892879907143669
12,Charlie Morton,3.782558924323886
13,Chris Bassitt,1.5452773203470453
14,David McKay,0.17168903208868408
15,Devin Smeltzer,1.411961776431074
16,Domingo German,4.124666076826082
17,Felix Hernandez,0.8240713870717039
18,Glenn Sparkman,-0.2907380051640206
19,Jordan Lyles,3.125567375035975
20,Justin Verlander,1.7816058210507366
21,Lance Lynn,1.380841601137282
22,Mike Clevinger,2.418146892683154
23,Phil Maton,-0.059986461970875156
24,Randy Dobnak,2.664931070951784
25,Ross Detwiler,1.7803435033273411
26,Ryan Pressly,1.4817706195086566
27,Wilmer Font,1.0686817190736153
28,Yusmeiro Petit,2.387165523641708
29,Zach Plesac,0.7718076073940003
30,Adam Plutko,-0.3987472401465118
31,Adam Wainwright,3.5399513983300097
32,Adrian Houser,0.5110917686232411
33,Alex Young,2.118690246420464
34,Andrew Cashner,-0.9325792645164249
35,Andrew Heaney,3.14412640557158
36,Austin Brice,1.253630359992301
37,Austin Pruitt,1.7938009734686402
38,Austin Voth,1.1602326182616904
39,Blaine Hardy,-0.46387176294408394
40,Blake Snell,3.455622258866833
41,Brendan McKay,0.6533986448032892
42,Brett Martin,0.6917534025209258
43,Brian Johnson,-0.5912386519364875
44,Brock Burke,0.6221632890857236
45,Cal Quantrill,-0.1260597392150358
46,Casey Sadler,-0.25913945043633313
47,Chandler Shepherd,1.0617922663524602
48,Clay Buchholz,-0.37429985183279946
49,Clayton Kershaw,1.9844765348345788
50,Colin Poche,1.3649533620931467
51,Collin McHugh,3.060840571882668
52,Colten Brewer,1.9176162818198328
53,DJ Johnson,0.05271395285805981
54,Daniel Mengden,2.194249137791395
55,David Hale,0.6012232599000153
56,Derek Law,0.25176822174279573
57,Dillon Peters,0.031205936514682713
58,Dinelson Lamet,3.376083286834926
59,Drew Smyly,2.2434225717796656
60,Drew VerHagen,2.107162590040227
61,Dylan Bundy,0.49500479347368953
62,Eduardo Rodriguez,0.19197846299634308
63,Eric Lauer,-0.2284363702553032
64,Erick Fedde,0.3986473171258264
65,Framber Valdez,3.5102019774778124
66,Freddy Peralta,1.3724642380020655
67,Gio Gonzalez,2.1989717338900276
68,Griffin Canning,0.8390893268301154
69,Hanser Alberto,-1.1620718801026544
