,Player,Rank
0,A.J. Minter,0.008142283393630845
1,Aaron Bummer,0.8203561490463176
2,Adam Wainwright,-1.2994347871707261
3,Alex Colome,-0.19908280222738722
4,Anibal Sanchez,1.1267397099091807
5,Bryan Shaw,-1.7374464851025089
6,Cole Hamels,-1.55458155914816
7,Dallas Keuchel,-1.7948075542219255
8,Dereck Rodriguez,-1.2092798260262507
9,Drew Anderson,-1.090920763029068
10,Eduardo Rodriguez,-0.3130781336233074
11,Eric Lauer,-0.12300307438659307
12,Hyun Jin Ryu,0.5562523095669162
13,Jacob Barnes,-1.4121414666368008
14,Jake Odorizzi,0.05702594730250171
15,Jeff Samardzija,-0.20173834893634066
16,Jeremy Hellickson,0.5446647633094777
17,Joe Biagini,0.20278971340958174
18,Joey Lucchesi,-2.66221654847779
19,Jon Lester,1.2248711760052309
20,Jordan Yamamoto,-2.192897619827024
21,Josh Osich,-0.2935289092958802
22,Josh Tomlin,-1.570201134854362
23,Justin Wilson,-1.3811555248480802
24,Kenley Jansen,0.9003050018483949
25,Lance Lynn,-0.49793701182403094
26,Madison Bumgarner,1.6594620070051658
27,Marcus Stroman,-1.7604383752639658
28,Mark Melancon,-0.5992722975660327
29,Martin Perez,0.7662529178464778
30,Matt Bowman,-1.0156234922776415
31,Matt Koch,-2.7105122302789746
32,Max Scherzer,1.3984905802457017
33,Merrill Kelly,-2.327958246444042
34,Michael Wacha,-2.7946652676705206
35,Nick Vincent,-0.3146031801783323
36,Phil Maton,-1.5819344383495917
37,Ryan Helsley,0.11028720756544337
38,Sam Dyson,-1.292688527374973
39,Shane Greene,-1.1299582684541922
40,Steven Brault,0.5391865019213757
41,Trevor Bauer,-2.6984418438155418
42,Tyler Chatwood,1.431485953196691
43,Wade Davis,-0.6049630984517903
44,Wade Miley,0.34517792342949066
45,Walker Buehler,-0.18349537453475043
46,Wander Suero,0.9588246625310751
47,Will Harris,-0.7746796411427731
48,Yu Darvish,1.6587978370923324
49,Zac Gallen,-1.0065438870259666
50,Zach Davies,-1.2775352921555696
51,Aaron Civale,-0.008665387112016532
52,Asher Wojciechowski,-1.4082287426347102
53,Blake Treinen,-2.3232248772158743
54,Brandon Workman,-0.6990943401102306
55,Carson Fulmer,-2.45548135762862
56,Chase Anderson,-0.7550670191565936
57,Clay Buchholz,-1.473649121815046
58,Colten Brewer,-3.1156649149830704
59,David Hernandez,0.3502722541681288
60,David Price,0.9453055680234755
61,Edwin Jackson,-1.861324736361713
62,Emilio Pagan,-0.6493283571173695
63,Erick Fedde,-2.5883987168358855
64,Ian Kennedy,-0.38627857378112007
65,Ivan Nova,0.5517736058595959
66,Jace Fry,1.0294750184229113
67,Jacob Waguespack,-1.923892497327175
68,Jalen Beeks,-0.03458781068048243
69,James Paxton,2.3507882709835712
70,Jesse Chavez,-1.4281192836213705
71,Lou Trivino,0.3480440401035597
72,Marco Gonzales,0.6386056572503068
73,Marcus Walden,-1.8544716209029568
74,Michael Lorenzen,-2.4662394887863672
75,Mike Leake,-0.4235606314305487
76,Mike Montgomery,-0.581808735722807
77,Nick Ramirez,-1.8235473479031228
78,Ross Detwiler,-1.9977382183007242
79,Ryan Yarbrough,1.2258161581005085
80,Trevor Cahill,-2.0470354756694475
81,CC Sabathia,0.9276904393352255
82,Charlie Morton,-2.822887868360919
83,Corey Kluber,1.229845446975374
84,Drew Smyly,-1.1860351006927574
85,Emmanuel Clase,-1.8992056888843607
86,Justin Shafer,-1.9244804518430232
