,Player,Rank
0,Aaron Brooks,0.002055879756154319
1,Aaron Nola,2.4120430579865744
2,Adam Ottavino,2.711325318218079
3,Adrian Houser,1.9341050985166566
4,Amir Garrett,-1.0875865090630372
5,Andrew Kittredge,-1.0628034430749094
6,Andrew Suarez,-0.1299611901150732
7,Anthony Bass,-0.2226592302402537
8,Anthony DeSclafani,2.5847123846313953
9,Archie Bradley,-0.5921664599310049
10,Ariel Jurado,1.7359974559840547
11,Brad Keller,-0.3552211971137198
12,Brad Peacock,0.11226225307602634
13,Brandon Woodruff,2.144665713115968
14,Brett Martin,-1.1091874867230263
15,Brian Flynn,-0.44432638451680684
16,Brock Burke,-1.4505203771228987
17,Brock Stewart,-0.7635156662747753
18,Cal Quantrill,0.8548874699171912
19,Carlos Carrasco,0.7066596595629562
20,Carlos Martinez,-0.5643543726953009
21,Charlie Morton,0.16035466318619385
22,Chaz Roe,0.45398255551980626
23,Chris Sale,-0.9085905692970849
24,Clay Buchholz,0.93506097131715
25,Clayton Richard,-0.6242558258341802
26,Connor Sadzeck,-0.6630748859395961
27,Daniel Hudson,-1.065339859809053
28,Daniel Norris,0.2828662491231965
29,Danny Duffy,-1.1303489827301225
30,David Phelps,2.020022907577201
31,David Price,2.856927435674405
32,Dillon Peters,2.1756093122364586
33,Domingo German,0.2843992439892238
34,Drew VerHagen,-1.1139416677431035
35,Dylan Bundy,-0.09078185085971066
36,Dylan Cease,-1.1265682368135976
37,Dylan Covey,-0.26641376128683
38,Edwin Jackson,-0.30331714232408963
39,Felix Pena,0.014482131852576437
40,Fernando Rodney,-0.6750569960761611
41,Fernando Romero,-1.8781459437605903
42,Framber Valdez,-0.8639121831477374
43,Francisco Liriano,-0.7550138825437993
44,Frankie Montas,-0.8425493142396437
45,German Marquez,-1.085974144637147
46,Gerrit Cole,-0.5109043347915189
47,Ivan Nova,2.2660685689812596
48,J.A. Happ,1.5360803654992974
49,Jace Fry,-1.1930316083491708
50,Jack Flaherty,1.6600580577088133
51,Jacob Waguespack,1.026192757202433
52,Jameson Taillon,0.007582068704982492
53,Jeff Samardzija,0.8277193553168158
54,Jefry Rodriguez,-0.593512897955403
55,Jeremy Jeffress,-0.2710328890402132
56,Jesse Chavez,0.9043779612348114
57,Jhoulys Chacin,1.254159396678264
58,Jimmy Yacabonis,0.7818789686239647
59,Joakim Soria,0.6733665696592339
60,Joe Biagini,-0.44302894876938625
61,Joe Kelly,-0.32182389521560917
62,John Gant,-0.6208261384748684
63,Jorge Lopez,0.8243579286952539
64,Jose Berrios,0.5249921570252639
65,Jose De Leon,2.59680929118429
66,Josh A. Smith,0.01647313526723833
67,Josh Taylor,-0.6464938643393856
68,Julio Teheran,3.231742984734848
69,Junior Guerra,-1.0094942397662496
70,Kelvin Herrera,1.007725174514089
71,Kyle Freeland,1.494334467116293
72,Kyle Gibson,1.3712439641918794
73,Lance Lynn,2.1490144161702993
