,winner,loser,score
0,A.J. Burnett,Aaron Cook,0
1,A.J. Burnett,Aaron Heilman,8
2,A.J. Burnett,Aaron Laffey,48
3,A.J. Burnett,Adam Wainwright,3
4,A.J. Burnett,Anibal Sanchez,0
5,A.J. Burnett,Anthony Claggett,0
6,A.J. Burnett,Armando Galarraga,26
7,A.J. Burnett,Blake Hawksworth,8
8,A.J. Burnett,Bob Keppel,9
9,A.J. Burnett,Bobby Seay,37
10,A.J. Burnett,Brad Penny,3
11,A.J. Burnett,Brad Thompson,2
12,A.J. Burnett,Brad Ziegler,79
13,A.J. Burnett,Braden Looper,19
14,A.J. Burnett,Brandon League,24
15,A.J. Burnett,Brandon McCarthy,4
16,A.J. Burnett,Brett Cecil,24
17,Brett Cecil,A.J. Burnett,24
18,A.J. Burnett,Brian Bass,0
19,A.J. Burnett,Brian Duensing,13
20,A.J. Burnett,Brian Fuentes,24
21,A.J. Burnett,Brian Shouse,27
22,A.J. Burnett,Bronson Arroyo,4
23,A.J. Burnett,Bruce Chen,5
24,A.J. Burnett,Buddy Carlyle,5
25,A.J. Burnett,Burke Badenhop,0
26,A.J. Burnett,CC Sabathia,39
27,A.J. Burnett,Carl Pavano,0
28,A.J. Burnett,Carlos Fisher,9
29,A.J. Burnett,Carlos Silva,54
30,A.J. Burnett,Carlos Zambrano,0
31,A.J. Burnett,Chad Bradford,0
32,A.J. Burnett,Chad Gaudin,21
33,A.J. Burnett,Chad Qualls,17
34,A.J. Burnett,Chan Ho Park,0
35,A.J. Burnett,Chien-Ming Wang,41
36,A.J. Burnett,Chris Carpenter,0
37,A.J. Burnett,Chris Volstad,11
38,A.J. Burnett,Chris Waters,5
39,A.J. Burnett,Clay Rapada,0
40,A.J. Burnett,Dallas Braden,46
41,A.J. Burnett,Damaso Marte,18
42,A.J. Burnett,Dana Eveland,9
43,A.J. Burnett,Danys Baez,27
44,A.J. Burnett,Darren O'Day,49
45,A.J. Burnett,Dennys Reyes,0
46,A.J. Burnett,Derek Holland,32
47,A.J. Burnett,Derek Lowe,0
48,A.J. Burnett,Doug Mathis,57
49,A.J. Burnett,Dustin Moseley,19
50,Dustin Moseley,A.J. Burnett,19
51,A.J. Burnett,Eddie Guardado,40
52,A.J. Burnett,Edgar Gonzalez,0
53,A.J. Burnett,Eric O'Flaherty,3
54,A.J. Burnett,Esmerling Vasquez,0
55,A.J. Burnett,Felix Hernandez,0
56,A.J. Burnett,Freddy Garcia,0
57,A.J. Burnett,Fu-Te Ni,8
58,A.J. Burnett,Greg Burke,18
59,A.J. Burnett,Guillermo Mota,9
60,A.J. Burnett,Hiroki Kuroda,0
61,A.J. Burnett,Huston Street,4
62,A.J. Burnett,J.C. Romero,0
63,A.J. Burnett,J.P. Howell,30
64,A.J. Burnett,Jamey Wright,0
65,A.J. Burnett,Jamie Moyer,14
