,Player,Rank
0,Aaron Bummer,0.0021085779570031602
1,Aaron Civale,1.427328178854724
2,Adam Cimber,-1.025613597586815
3,Adam Kolarek,-0.13209726805794897
4,Adam Wainwright,0.698608831545737
5,Adrian Sampson,1.2328220965577736
6,Andrew Heaney,1.8858773030581022
7,Anibal Sanchez,-1.8092985939943242
8,Aroldis Chapman,1.970241038625222
9,Austin Brice,-2.561277737584131
10,Blake Treinen,-1.304920454211702
11,Brandon Brennan,-2.253395776314963
12,Brandon Kintzler,-0.978884912888184
13,Brett Anderson,0.05896422184470656
14,Brian Schlitter,-1.693805347051178
15,Brusdar Graterol,-0.04875718955504371
16,Buddy Boshers,-2.0097954345966165
17,CC Sabathia,-1.3753134568575354
18,Casey Sadler,-0.7970426818511185
19,Chasen Bradford,-1.3864747627518859
20,Chris Bassitt,0.756837453107278
21,Chris Martin,-1.7304173537486434
22,Clay Holmes,-1.925980311108027
23,Corey Kluber,-1.178627914789516
24,Cory Gearrin,-1.009446416847881
25,Craig Stammen,0.7326364282527139
26,Dakota Hudson,0.11557717090030281
27,Dan Otero,-1.9995756857097875
28,Dario Agrazal,-0.3205289531626308
29,David McKay,-0.21403197924789433
30,Diego Castillo,-1.8492033727753159
31,Dillon Tate,-2.1184822950541986
32,Dustin May,-1.6731349796425572
33,Edinson Volquez,-0.6709508834131388
34,Erick Fedde,-1.956544253905128
35,Evan Marshall,-0.49667425078309013
36,Felix Hernandez,-1.8533975414588437
37,Gabriel Ynoa,-1.706947526644585
38,Gregory Soto,-1.6013670919908398
39,Hector Velazquez,-2.1805524491791823
40,Jake Arrieta,1.1233584595818795
41,Jake Diekman,0.19501528786898853
42,Jakob Junis,-1.1690505886226905
43,Jared Hughes,-0.8499012487668723
44,Jeanmar Gomez,-1.2236607331577232
45,Jeffrey Springs,1.055773227001488
46,Jeurys Familia,-0.402536789166892
47,Jimmy Cordero,-1.7737968815155971
48,Joe Smith,-2.9769158076516193
49,Joey Lucchesi,2.025156786231294
50,Jon Lester,-0.9305763988522825
51,Jonathan Hernandez,-2.1175321599971144
52,Jonny Venters,0.47465792214476993
53,Jose Alvarado,0.3377170586526872
54,Josh Lucas,-1.5246818232573065
55,Kenley Jansen,2.4258395342836105
56,Kevin McCarthy,-0.7019082440340692
57,Kohl Stewart,-2.389426547288407
58,Kyle Bird,-3.4364553847779793
59,Kyle Hendricks,1.3660478521384778
60,Kyle Ryan,-1.0550313248624976
61,Manny Banuelos,-2.0136765675308235
62,Marco Gonzales,1.3541288468414396
63,Marcus Walden,-1.7514503927351392
64,Masahiro Tanaka,-1.4076169479951655
65,Matt Albers,1.0726327797286055
66,Matt Carasiti,-0.8086925246865446
67,Matt Grace,-2.2246933055898808
68,Merrill Kelly,-0.9104076805719498
69,Miguel Castro,-2.225146719000968
70,Mike Leake,-2.5652764721704227
71,Mike Montgomery,-1.5113649409905912
72,Mike Wright,-2.6020921951985123
73,Noah Syndergaard,1.2790228326319526
74,Odrisamer Despaigne,-2.0012715959008416
75,Oliver Perez,-0.1244070497879506
76,Pedro Payano,-2.6864015402311368
77,Phillips Valdez,-0.9760463860445797
78,Randy Dobnak,-0.4821680462365061
79,Reggie McClain,-1.448669728763108
80,Richard Bleier,-2.1323463025328926
81,Robert Gsellman,-2.069545631752996
82,Ross Detwiler,-0.3392700178103382
83,Ryan Tepera,-2.0133522283929737
84,Ryan Weber,-0.24026577142358027
85,Ryan Yarbrough,0.3670632194602202
86,Sam Dyson,-0.6546597148340454
87,Sam Gaviglio,-0.8644531380573306
88,Sandy Alcantara,0.6806656307286444
89,Spencer Turnbull,0.2255835830857167
90,Stefan Crichton,-0.9926521143116269
