,Player,Rank
0,A.J. Cole,-0.6842117141964235
1,Aaron Brooks,0.6630432806238411
2,Aaron Civale,-0.9589535902047521
3,Adam Cimber,-0.7331085626479564
4,Adam Ottavino,0.8816619781400787
5,Adam Plutko,-0.8177428479009513
6,Adrian Sampson,1.8225376049962068
7,Andrew Cashner,-1.3501209917842896
8,Anthony Bass,-0.9864210827164223
9,Anthony Swarzak,-1.208611351746318
10,Ariel Jurado,-1.160307899486414
11,Aroldis Chapman,2.35007675359218
12,Asher Wojciechowski,1.122911796936104
13,Austin Adams,1.8340768866014063
14,Austin Pruitt,-1.2681825595185008
15,Austin Voth,-0.914510043902298
16,Brad Hand,1.8959673244913062
17,Brad Keller,1.5663030156446696
18,Brad Peacock,0.05023862770866295
19,Branden Kline,-1.0911854358353448
20,Brett Anderson,-0.4247895025263571
21,Brett Martin,-0.2669640752986852
22,Brian Flynn,-0.8777897303465636
23,Bryan Abreu,0.4487305488298061
24,Bryan Garcia,-1.1818595172534647
25,Buck Farmer,0.44272438766483246
26,CC Sabathia,1.0078242767857424
27,Caleb Smith,2.0381115488819463
28,Cam Bedrosian,-1.0231659181771964
29,Carlos Carrasco,2.2594693540202315
30,Carlos Rodon,1.3498818887836717
31,Chad Green,0.14802160069906836
32,Chaz Roe,1.1380442883245254
33,Chris Devenski,-0.49039494035414405
34,Chris Sale,2.6830330629407904
35,Chris Stratton,-1.410951986812267
36,Clayton Richard,1.8364099512723284
37,Cody Stashak,-0.7764601825819921
38,Collin McHugh,1.969225606615159
39,Connor Sadzeck,-1.4332212969253209
40,Cory Gearrin,-0.9147214634449569
41,Cy Sneed,-0.07250877043337703
42,Dakota Hudson,0.9418980048617165
43,Dan Straily,-1.0578765325160469
44,Daniel Norris,-0.8353017204626281
45,Daniel Stumpf,-0.8944281516850899
46,Danny Duffy,-0.1920499034755687
47,Derek Law,-0.12664476176206932
48,Diego Castillo,1.4819502866177918
49,Drew VerHagen,0.2601938577347007
50,Dylan Bundy,2.672237231660742
51,Dylan Cease,0.9203791668659416
52,Edwin Jackson,0.11619296025626429
53,Ervin Santana,-1.6794498494415913
54,Evan Phillips,-0.7233986638537533
55,Felix Pena,2.1840381740965364
56,Fernando Romero,1.5284956325982157
57,Francisco Liriano,-0.26474587881538086
58,German Marquez,-1.113933784233
59,Gerrit Cole,2.7263912108020247
60,Giovanny Gallegos,0.745968329671033
61,Gregory Soto,-0.35406145627595037
62,Griffin Canning,0.5709236975067482
63,Hansel Robles,-1.6903232040813818
64,Homer Bailey,-1.6935474681504457
65,Hunter Wood,-0.5851288400185146
66,J.A. Happ,-0.8491907009587087
67,Jacob deGrom,2.797666851325452
68,Jaime Barria,0.1670828044161392
69,Jake Diekman,1.0917138269172544
70,Jake Jewell,0.3676927430096641
71,Jake Newberry,-0.9704316654036309
72,Jameson Taillon,-0.9671233724254016
73,Javy Guerra,-0.20540061743958546
74,Jesse Chavez,-0.8961103248102038
75,Jeurys Familia,0.3907060591723487
76,Jimmy Yacabonis,-0.6872685993635427
77,John Means,0.7478302230236499
78,Jon Edwards,-0.39379443190971175
79,Jonathan Hernandez,-0.5023436008122366
80,Jonathan Holder,-1.2447440865407797
81,Jordan Zimmermann,-1.0969011820875252
82,Jose Cisnero,-1.1468342144214065
83,Jose Rodriguez,-0.7632725752397415
84,Jose Ruiz,-1.0883207953409524
85,Jose Urquidy,0.7779278271506467
86,Josh A. Smith,-0.7640714447543618
87,Josh D. Smith,-0.922479807111564
88,Josh James,2.0285143441855755
89,Josh Taylor,-0.15864583394904716
90,Junior Fernandez,-0.01933186696148027
91,Justin Anderson,0.3758462697406295
92,Justin Shafer,-1.2684288454597274
93,Justin Verlander,3.166312443269563
94,Justus Sheffield,1.3386809127343573
95,Kelvin Herrera,-0.5355926208362489
96,Ken Giles,1.728268056632289
97,Kyle Gibson,2.6365581743194237
98,Lucas Giolito,2.1224001841028235
99,Luis Cessa,1.4078096960609776
100,Luis Garcia,-0.4360196574312481
101,Luke Bard,-0.9469081528179759
102,Luke Farrell,-1.095502898622897
103,Luke Jackson,1.056211603779494
104,Manny Banuelos,0.3558144890412061
105,Marcus Stroman,1.9033263504439657
106,Marcus Walden,0.6196311451834984
107,Masahiro Tanaka,2.5147525206369887
108,Matt Festa,-0.7215169412523037
109,Matt Harvey,-1.0424848224491008
110,Matt Wisler,0.5141292911370665
111,Matthew Boyd,2.6198792726038405
112,Miguel Castro,0.4394803765251211
113,Mike Clevinger,2.92261309971938
114,Mike Fiers,-1.6544578793676359
115,Mike Leake,-0.3985516402049369
116,Mike Shawaryn,-0.49383984045953294
117,Nestor Cortes,-1.325653015103158
118,Nick Goody,1.559814733458259
119,Oliver Perez,-0.4399968506114054
120,Patrick Corbin,3.286690614546538
121,Paul Fry,-0.4047991976813342
122,Pedro Payano,0.08358970362364793
123,Reggie McClain,-0.2122844020789965
124,Reynaldo Lopez,0.5957980053909618
125,Rick Porcello,-0.16859924241974011
126,Robbie Ray,2.7410649759649117
127,Robert Gsellman,-0.41271978769695095
128,Roberto Osuna,-0.22780163890059432
129,Ryan Brasier,-0.7603199268421164
130,Ryan Carpenter,-1.2780640055654366
131,Ryan Eades,-0.9545380683355861
132,Sam Dyson,0.05785191534322564
133,Sam Gaviglio,0.41594640376334907
134,Sam Tuivailala,-1.3362565145805634
135,Scott Barlow,-0.9406307779236334
136,Sean Reid-Foley,-0.4232305748324715
137,Shane Greene,0.09869859077384158
138,Shaun Anderson,-0.22007325940486833
139,Shawn Kelley,-0.2680121245011917
140,Spencer Turnbull,0.55773201151493
141,Tanner Roark,-1.470850014951394
142,Tanner Scott,1.745767897309887
143,Taylor Rogers,0.3869950934704412
144,Trent Thornton,1.2244691748252408
145,Trevor Bauer,2.7573650521503907
146,Trevor May,-0.28876177380742896
147,Trevor Rosenthal,-0.6633605258425934
148,Ty Buttrey,-0.7643340506896922
149,Tyler Clippard,-0.24048103701652424
150,Tyler Duffey,-0.07525247472903775
151,Tyler Kinley,0.7656368747846071
152,Tyson Ross,-0.768874902865451
153,Wilmer Font,-1.2435009411096887
154,Yonny Chirinos,0.016059070203960395
155,Yusei Kikuchi,0.7060692233157864
156,Zac Reininger,-1.5537318041710408
157,Zach Eflin,-0.8347118781886654
158,Zach Plesac,-1.2797921456189967
159,Zack Greinke,-0.19483929019174812
160,Zack Littell,-1.441249647134529
161,Zack Wheeler,0.33765098404125743
162,A.J. Puk,-0.3005985917740692
163,Blake Treinen,0.4052072835578564
164,Brandon Woodruff,0.11902625088406855
165,Brian Johnson,-1.313146921215498
166,Eduardo Jimenez,-1.29859437612209
167,Jose Leclerc,1.6424254755304506
168,Mike Minor,0.44115169325488895
169,Shane Bieber,2.0808009780026713
170,Thomas Eshelman,-1.4683994651750236
171,Tim Mayza,0.03734373858326623
172,Aaron Altherr,-1.3083521256143493
173,Dallas Keuchel,0.1855791441068637
174,Aaron Barrett,-1.5282152397019806
175,Steven Matz,-1.47614726137582
176,Tim Melville,0.9016559455870398
177,Aaron Wilkerson,-2.715210147172993
178,Adam Conley,-1.3580609252012943
179,Amir Garrett,2.7129154088718725
180,Andres Munoz,1.1109992257837256
181,Andrew Chafin,2.001042560854294
182,Andrew Kittredge,1.7882788814085757
183,Andrew Miller,1.9496307169404379
184,Anthony DeSclafani,-1.0837333933665916
185,Ben Heller,1.8763860807391768
186,Blake Snell,3.113636953698798
187,Brock Stewart,-1.3996424036682993
188,Carlos Estevez,-0.9429119931651019
189,Carlos Martinez,1.3099456849262987
190,Chad Sobotka,0.7054177174869602
191,Chandler Shepherd,-0.6165695506258444
192,Chasen Bradford,-0.8233755515529461
193,Chris Archer,2.0982572156813495
194,Clayton Kershaw,3.032497519681078
195,Colten Brewer,-1.0639182116727086
196,Craig Stammen,-0.60896405238711
197,Daniel Hudson,-0.3970678611553933
198,David Carpenter,-0.35292253020769415
199,David Hess,0.8172868307175176
200,Dillon Maples,1.4156513929753765
201,Edubray Ramos,-1.7405621356329308
202,Edwin Diaz,0.5017712622400456
203,Elieser Hernandez,1.0305242413912423
204,Elvis Luciano,-1.5946996996389757
205,Erik Swanson,-2.0186439246469154
206,Felix Hernandez,-1.9422398545750825
207,Frankie Montas,2.576402738814478
208,Gabriel Ynoa,-0.6953994125751719
209,Glenn Sparkman,0.0847472062561392
210,Greg Holland,0.9661622325767083
211,Heath Hembree,0.24955207505512453
212,Hector Rondon,-0.8084535254512072
213,Hector Velazquez,-1.2121419445099975
214,JT Chargois,1.190773792106889
215,Jack Flaherty,2.2639644066894498
216,Jakob Junis,2.548821403777302
217,Jarlin Garcia,-0.24261198082986643
218,Jeff Brigham,-1.0079736326096154
219,Jeff Samardzija,-1.0343660814358941
220,Joakim Soria,-0.9116416317906907
221,Joe Jimenez,0.8023531456299093
222,Joe Musgrove,1.759964389907753
223,Joe Ross,-1.027779346670732
224,Joe Smith,-0.8355665988972139
225,John Brebbia,-0.006861753668913494
226,Jon Gray,2.9025738256519014
227,Jorge Alcala,-0.35690433610580824
228,Josh Lucas,-0.30927408311065613
229,Julio Teheran,1.1540085574427
230,Kenta Maeda,2.9215617577128716
231,Kohl Stewart,-0.9955758174550947
232,Kyle Crick,1.3514286945314054
233,Kyle Freeland,-0.33361569843309397
234,Kyle Zimmer,-1.263099600142373
235,Liam Hendriks,1.0013142932282209
236,Lucas Sims,1.5473539640218954
237,Luis Perdomo,-0.839588982998252
238,Matt Magill,-1.0757842880314268
239,Matt Strahm,1.0815696962640973
240,Max Fried,0.862823836521873
241,Max Scherzer,2.75816189786805
242,Michael Feliz,1.0124291853812581
243,Michael Pineda,2.5784973097126613
244,Mike Foltynewicz,1.2205158859306797
245,Mike Soroka,1.3257962470167417
246,Mychal Givens,-1.453035272490643
247,Nick Margevicius,-0.43377973642653433
248,Nick Tropeano,-1.4392406279755747
249,Noah Syndergaard,2.132181818134858
250,Pedro Baez,-0.7809793941774718
251,Pedro Strop,1.3937057408017803
252,Pete Fairbanks,0.48903466991657807
253,Peter Lambert,-1.4286728175027796
254,Ranger Suarez,-0.5889831107490915
255,Reyes Moronta,0.9747057135037215
256,Robert Stephenson,0.625819224601351
257,Ryan Dull,-0.21915259951543378
258,Ryne Stanek,-0.49205003502518524
259,Sandy Alcantara,0.27563474470282284
260,Sean Newcomb,-0.35929250489383624
261,Sean Poppen,-1.570554285590084
262,Sergio Romo,-0.31512431597982304
263,Sonny Gray,2.3637668247840837
264,Stephen Tarpley,0.7206753272937076
265,Steve Cishek,-1.2775576255939358
266,T.J. Zeuch,-0.6263497284348485
267,Taylor Clarke,1.3084837478009783
268,Trevor Williams,-1.0879847355398748
269,Trey Wingenter,1.2845047855349052
270,Tyler Lyons,0.9676279457572972
271,Vince Velasquez,-0.3957149063668437
272,Walker Buehler,1.7773544870996856
273,Wes Parsons,-0.287510605797873
274,Wily Peralta,-1.2143723232164831
275,Zac Rosscup,0.8108820874306835
276,Zack Britton,1.52122450501535
277,Aaron Bummer,0.14052575532759448
278,Felipe Vazquez,1.6004233818116964
279,Derek Holland,0.02641392176911231
280,Heath Fillmyer,-0.9930826607142752
281,Jorge Lopez,-1.3676653130812872
282,Edgar Garcia,0.1301767909728554
283,JD Hammer,-1.5697764719385836
284,Kyle Wright,0.9304953153389617
285,Miles Mikolas,-0.8185924240623327
286,Parker Markel,-0.6659092900777709
287,Wei-Yin Chen,-1.1130082103059953
288,Adalberto Mejia,-0.020310340041205147
289,Logan Allen,-0.4414833297630356
290,Ryan Pressly,-1.2448088128671713
291,Tommy Milone,0.6829505738458375
292,Will Smith,2.349715094852118
293,Yoan Lopez,-0.5570483239356403
294,Brad Brach,-1.0774420994625893
295,Brandon Brennan,1.0467551015632153
296,Dan Otero,-1.8137266698228836
297,Daniel Mengden,-0.4370439321593714
298,Dario Agrazal,-0.9809172797122012
299,Emmanuel Clase,-1.347715743352907
300,Jesse Biddle,-0.6714991865175758
301,Jhoulys Chacin,0.532472112728935
302,Jordan Lyles,-0.33708175507057053
303,Josh Hader,1.3460560938944173
304,Josh Osich,-0.5562886790149242
305,Luis Castillo,-0.8877159963009359
306,Luis Severino,0.14049938366515763
307,Matt Albers,-0.1624297848376672
308,Mike Morin,-2.119750003068863
309,Mike Wright,-0.9546504855236941
310,Mitch Keller,1.9948787308414189
311,Neil Ramirez,-0.4081975014086107
312,Nick Wittgren,-1.5276674491051976
313,Ray Black,0.6253799074556939
314,Seranthony Dominguez,-0.20358902701200507
315,Shawn Armstrong,-1.2356547670818598
316,Tanner Rainey,1.7467620781056539
317,Taylor Cole,-1.241012941971089
318,Thyago Vieira,-0.04713452794082136
319,Tim Hill,0.3005357806546019
320,Trevor Hildenberger,-0.8943154689465188
321,Wei-Chung Wang,-1.2476809844653163
322,Yimi Garcia,0.4858913927821012
323,Adam Morgan,0.24022150287974556
324,Alex Claudio,-0.3343041208942955
325,Bryse Wilson,-0.7244371497217578
326,Cal Quantrill,0.18918711750005188
327,Darren O'Day,-0.47517553866287654
328,Dinelson Lamet,0.31737003310395234
329,Donnie Hart,2.966198069911386
330,Dylan Floro,-1.1495053347937916
331,Eric Lauer,-0.17349032817522853
332,Gerardo Reyes,-0.17403886867011736
333,Jairo Diaz,1.9377159594799163
334,Jake Arrieta,-0.8086545667177066
335,Jose Alvarez,-0.49278256777093243
336,Kenley Jansen,-1.5456020797892145
337,Matt Grace,-0.0623453680151641
