Player,Rank
Jung ho Kang,1.671182104642316
George Springer,1.0807286955273452
Mookie Betts,1.0788629273187755
J. d. Martinez,1.0744107656946509
Ryan Schimpf,1.0666138507610874
Christian Yelich,1.048493250049073
Charlie Blackmon,1.036309375546868
Paul Goldschmidt,1.0362986879919687
Javier Baez,1.0357869694391495
Engelb Vielma,1.0246334508718262
Eddie Rosario,1.0179033327939861
Eric Hosmer,1.0161923731806652
Giancarlo Stanton,1.009661146132531
Matt Kemp,0.9994470699401947
Nolan Arenado,0.9877978342364262
Matt Carpenter,0.9840430574925982
Francisco Lindor,0.9823423983467556
Jose Altuve,0.9822025380220747
Lorenzo Cain,0.9709553806849116
Anthony Rendon,0.968103089155381
Starling Marte,0.9668470585291133
Nelson Cruz,0.9594284685205849
Travis Shaw,0.9504978287564378
Mike Trout,0.9475610489997963
Nick Markakis,0.9441499876483601
Nick Castellanos,0.9430893732352268
J. t. Realmuto,0.9352112795594858
Marcell Ozuna,0.933934809887935
Andrew Benintendi,0.9339302325998435
Alex Bregman,0.9268286121341478
Jose Ramirez,0.9215695524650978
Eugenio Suarez,0.9120245944955072
Jose Martinez,0.9055002284260627
Whit Merrifield,0.9040843712958722
Miguel Andujar,0.898149723704416
Leonys Martín,0.8953284660654208
Salvador Perez,0.8919464101026604
Freddie Freeman,0.8879881161831673
Kendrys Morales,0.8874873604488249
Trey Mancini,0.8860753572828775
Didi Gregorius,0.8838256022780342
Aj Pollock,0.8704565401591267
Ildemaro Vargas,0.867313544878386
Corey Dickerson,0.8597966502403991
Trevor Story,0.8479515275482061
Gregory Polanco,0.8477385965057056
Xander Bogaerts,0.8459303291335751
David Peralta,0.8434296297738537
Hunter Renfroe,0.8383910172152538
Jesus Aguilar,0.8377245203799011
Ryan O'hearn,0.8364214781536001
Tony Cruz,0.8308404682402522
Manny Machado,0.8213369449044678
Bryce Harper,0.8146928162785856
Marcus Semien,0.8071854274604642
Max Muncy,0.8057655058630264
Anthony Rizzo,0.7977733603516335
Adam Jones,0.7961029637060566
Trea Turner,0.7878330370298194
Ozzie Albies,0.7689097261708289
Mitch Haniger,0.761292008836773
Yonder Alonso,0.7531608437670774
Jean Segura,0.7433730402967145
Dj Lemahieu,0.7397610925186782
Ronald Acuna,0.736940652635923
Michael Brantley,0.7322816456546724
Evan Gattis,0.7256742856374598
Joc Pederson,0.723841019322236
Matt Chapman,0.722388320124032
Scooter Gennett,0.7205724686748562
Matt Reynolds,0.715567823999802
Matt Adams,0.7136050229598501
Jose Peraza,0.7097714192673366
Jed Lowrie,0.6971992904613664
Ryder Jones,0.6901052887926193
Daniel Palka,0.6879438397398483
Randal Grichuk,0.686067001397
Khris Davis,0.6843506565011537
Tyler Austin,0.6793814217857799
Justin Smoak,0.6755088911562668
Marwin Gonzalez,0.6754110203704775
Adam Frazier,0.6736200442056361
Denard Span,0.667705139610508
Ian Desmond,0.6666889490738945
Juan Soto,0.6608865327864717
Rhys Hoskins,0.6591288179304426
Asdrubal Cabrera,0.6577738660623129
Victor Martinez,0.6572277475096555
Jefry Marte,0.6552944998092969
Yadier Molina,0.6428182699627865
Yuli Gurriel,0.6318977453698287
Ketel Marte,0.6312133903765105
David Freese,0.6298885263990821
Cesar Hernandez,0.6296399127271937
Max Kepler,0.6291890594789118
Daniel Murphy,0.6245293794097728
Evan Longoria,0.6122558361539385
Kevin Pillar,0.6103430443322324
Matt Olson,0.599577490202575
Ben Zobrist,0.588927191081257
John Gant,0.5884009244090271
Gleyber Torres,0.585844249249202
Freddy Galvis,0.5841127257231236
Andrelton Simmons,0.583571466547649
Aaron Judge,0.5809452843829062
Shin-soo Choo,0.5805091670536657
Joey Wendle,0.5755143575584087
Alex Gordon,0.5724561763047733
Wilson Ramos,0.5516662229062237
Cody Bellinger,0.5513221145624729
Adrian Beltre,0.5511270399373136
Chris Taylor,0.5479199556290946
Ender Inciarte,0.5420277231773929
Rowdy Tellez,0.5392199915639515
Starlin Castro,0.538771863189706
Brandon Crawford,0.5375566677669588
Anibal Sanchez,0.5274329599477556
Colin Moran,0.5241095978603363
Jeimer Candelario,0.5226126282819836
Ryon Healy,0.5123371480675747
Christian Villanueva,0.507635079957502
Buster Posey,0.5072052026977223
Matt Skole,0.5049123430651377
Kyle Schwarber,0.5020890741877146
Aaron Hicks,0.4961781113778528
Joey Gallo,0.49508576771014473
Jordan Lyles,0.4892644239787392
Austin Meadows,0.48903149850740385
Franmil Reyes,0.4878060151884827
Odubel Herrera,0.47734429219442714
Joey Rickard,0.4770900352637019
Joey Votto,0.47631906647134786
Justin Upton,0.47552767271161084
Chris Rusin,0.46761770118407814
Mike Moustakas,0.46314954940654113
Steve Pearce,0.4624755596163748
Enrique Hernandez,0.45987689194546993
Edwin Encarnacion,0.45706855188441425
Nomar Mazara,0.45248334221367464
Jonathan Schoop,0.4523818274791978
Eduardo Nunez,0.44863960029077604
Sam Travis,0.4480448289662233
Tommy Pham,0.4474858018962872
Jake Cave,0.44509793003840376
Derek Dietrich,0.4413557856481251
Michael Conforto,0.4393692192937589
Hanley Ramirez,0.43567887693094515
Tim Anderson,0.4273451602989469
Jason Heyward,0.42455794175295963
Michael Lorenzen,0.4234095825465099
Aramis Garcia,0.42211904214805035
José Abreu,0.4186258887139073
Teoscar Hernandez,0.41302173225225375
C. j. Cron,0.40743740343919527
Dustin Garneau,0.40735022860949827
Stephen Piscotty,0.40327332349184825
Jorge Bonifacio,0.403200412665003
Gary Sanchez,0.3959495483479674
Jedd Gyorko,0.392265537818082
Brandon Woodruff,0.39072864601017604
Josh Bell,0.3846394838795156
Danny Valencia,0.3788917378387446
Gorkys Hernandez,0.37296834203659984
Albert Pujols,0.372221849934015
Niko Goodrum,0.36999262796148097
David Dahl,0.36928740318416914
Dexter Fowler,0.3633163468129706
Ryan Braun,0.3631950911015435
Josh Reddick,0.3616805777226337
Kyle Seager,0.35885697427412017
Yasiel Puig,0.35786169338867585
Miguel Sano,0.3453767693865725
Curtis Granderson,0.34271631217850923
Johan Camargo,0.335684956834665
Yoan Moncada,0.3338495148645411
Justin Bour,0.33078683265000824
Carlos Gonzalez,0.3306786709884512
Amed Rosario,0.32939042813786695
Eric Thames,0.32585334190083165
Wil Myers,0.3228976338138105
Carlos Santana,0.32278475820037317
Miguel Rojas,0.32122301097154266
Isaac Galloway,0.31181649434763586
Jurickson Profar,0.31176652321090487
Matt Duffy,0.3115197976128377
Francisco Cervelli,0.30885799548211185
Jose Pirela,0.30695408030998866
Jason Kipnis,0.3019974163949793
Joe Mauer,0.3018533199924532
Andrew Mccutchen,0.3007121978339688
Aledmys Díaz,0.30069921786721093
Chad Pinder,0.2989452056659618
Jeff Mcneil,0.29828212042617336
Nick Ahmed,0.29338862510489455
Devon Travis,0.2926058521927258
Shohei Ohtani,0.288729369778062
Luke Voit,0.2847029033347153
Charlie Culberson,0.2723191128909734
Nick Hundley,0.26457845761434945
Carlos Correa,0.2644984227198342
Maikel Franco,0.26327083776115784
Pablo Reyes,0.2618351550056793
Dee Strange-gordon,0.26066747645763116
