Player,ScaledRank
Jung ho Kang,6.484371923041658
George Springer,4.1933472062895545
Mookie Betts,4.1861078187010055
J. d. Martinez,4.168832937793579
Ryan Schimpf,4.138580043066487
Christian Yelich,4.068270102480579
Charlie Blackmon,4.020995318053139
Paul Goldschmidt,4.020953849154733
Javier Baez,4.018968324413184
Engelb Vielma,3.9756914352936987
Eddie Rosario,3.949577830689225
Eric Hosmer,3.942939117620639
Giancarlo Stanton,3.917597232271169
Matt Kemp,3.877965483763684
Nolan Arenado,3.832765157172957
Matt Carpenter,3.8181962069506357
Francisco Lindor,3.8115974608383287
Jose Altuve,3.811054787266137
Lorenzo Cain,3.767414569333848
Anthony Rendon,3.756347361840996
Starling Marte,3.751473823700044
Nelson Cruz,3.722688871643515
Travis Shaw,3.6880369988281165
Mike Trout,3.6766419676431705
Nick Markakis,3.663406671266083
Nick Castellanos,3.659291369706432
J. t. Realmuto,3.6287234924558556
Marcell Ozuna,3.6237706485522345
Andrew Benintendi,3.6237528881667553
Alex Bregman,3.5961978130926893
Jose Ramirez,3.575792078274886
Eugenio Suarez,3.538756582686048
Jose Martinez,3.5134413186948708
Whit Merrifield,3.5079476359917456
Miguel Andujar,3.484920545103035
Leonys Martín,3.4739737525475447
Salvador Perez,3.460851000295615
Freddie Freeman,3.4454923808588656
Kendrys Morales,3.4435493930689343
Trey Mancini,3.43807066417453
Didi Gregorius,3.429341365227034
Aj Pollock,3.3774679213932166
Ildemaro Vargas,3.365272751102634
Corey Dickerson,3.336106366180473
Trevor Story,3.290145976348104
Gregory Polanco,3.289319780286227
Xander Bogaerts,3.282303502320694
David Peralta,3.2726005114430983
Hunter Renfroe,3.2530501358644517
Jesus Aguilar,3.2504640542196377
Ryan O'hearn,3.245408105856325
Tony Cruz,3.223753168381946
Manny Machado,3.1868784437679456
Bryce Harper,3.1610984877744785
Marcus Semien,3.131968986487722
Max Muncy,3.126459533200872
Anthony Rizzo,3.095449122178052
Adam Jones,3.0889677979233023
Trea Turner,3.0568795651711436
Ozzie Albies,2.9834550201833965
Mitch Haniger,2.9538974320178673
Yonder Alonso,2.922347609689656
Jean Segura,2.8843698466229224
Dj Lemahieu,2.8703550886295655
Ronald Acuna,2.859411469058987
Michael Brantley,2.8413340052239233
Evan Gattis,2.815696715510238
Joc Pederson,2.808583438872777
Matt Chapman,2.8029468048594683
Scooter Gennett,2.7959010998338214
Matt Reynolds,2.7764825234108366
Matt Adams,2.7688666376742517
Jose Peraza,2.75399183014804
Jed Lowrie,2.705210575959261
Ryder Jones,2.6776850626623845
Daniel Palka,2.6692984006032705
Randal Grichuk,2.662016059665891
Khris Davis,2.6553564511038044
Tyler Austin,2.6360752692518297
Justin Smoak,2.6210494208925286
Marwin Gonzalez,2.6206696713884527
Adam Frazier,2.6137204852250338
Denard Span,2.590769999351845
Ian Desmond,2.586827067360309
Juan Soto,2.564313048597514
Rhys Hoskins,2.557492920001422
Asdrubal Cabrera,2.5522355564703223
Victor Martinez,2.5501165559139696
Jefry Marte,2.5426153404128775
Yadier Molina,2.4942061848233124
Yuli Gurriel,2.451833338166594
Ketel Marte,2.449177964888159
David Freese,2.4440373457101403
Cesar Hernandez,2.443072697088545
Max Kepler,2.441323336479399
Daniel Murphy,2.423243260988674
Evan Longoria,2.375620551851657
Kevin Pillar,2.3681987074285744
Matt Olson,2.3264271633578124
Ben Zobrist,2.285102821502769
John Gant,2.283060848444321
Gleyber Torres,2.2731406652538384
Freddy Galvis,2.2664221619229328
Andrelton Simmons,2.264322016289021
Aaron Judge,2.254132138210177
Shin-soo Choo,2.2524399546013276
Joey Wendle,2.233059539766812
Alex Gordon,2.2211934573084373
Wilson Ramos,2.140526132230927
Cody Bellinger,2.1391909536908367
Adrian Beltre,2.1384340425087656
Chris Taylor,2.1259901996832142
Ender Inciarte,2.103127684241172
Rowdy Tellez,2.0922333741650525
Starlin Castro,2.0904945863693936
Brandon Crawford,2.0857794933472853
Anibal Sanchez,2.0464983841506497
Colin Moran,2.033603370645
Jeimer Candelario,2.0277949626465217
Ryon Healy,1.9879249597228463
Christian Villanueva,1.9696804139318833
Buster Posey,1.9680124424846506
Matt Skole,1.9591158928006234
Kyle Schwarber,1.948161296416959
Aaron Hicks,1.9252261051078017
Joey Gallo,1.9209876905211913
Jordan Lyles,1.8984002311764303
Austin Meadows,1.8974964545130177
Franmil Reyes,1.8927414433126861
Odubel Herrera,1.8521487977471014
Joey Rickard,1.8511622526553047
Joey Votto,1.8481708082299517
Justin Upton,1.8451001126657436
Chris Rusin,1.8144085458145238
Mike Moustakas,1.7970716213383304
Steve Pearce,1.794456466197768
Enrique Hernandez,1.7843733474067502
Edwin Encarnacion,1.7734766764864018
Nomar Mazara,1.7556855544012555
Jonathan Schoop,1.7552916659721083
Eduardo Nunez,1.740771409416681
Sam Travis,1.7384636307091144
Tommy Pham,1.7362945436739887
Jake Cave,1.7270293360176423
Derek Dietrich,1.712509400728194
Michael Conforto,1.704801302935782
Hanley Ramirez,1.6904823652584533
Tim Anderson,1.65814662040276
Jason Heyward,1.6473319033035427
Michael Lorenzen,1.6428761422137226
Aramis Garcia,1.6378687023290588
José Abreu,1.6243148795659306
Teoscar Hernandez,1.6025701309168559
C. j. Cron,1.5809023157434885
Dustin Garneau,1.5805640677353792
Stephen Piscotty,1.564745223694171
Jorge Bonifacio,1.5644623215992002
Gary Sanchez,1.5363281638287438
Jedd Gyorko,1.522033794365464
Brandon Woodruff,1.5160704836883963
Josh Bell,1.4924438592497902
Danny Valencia,1.470141967107685
Gorkys Hernandez,1.4471585344094808
Albert Pujols,1.4442620622552331
Niko Goodrum,1.435612433750492
David Dahl,1.4328760833954164
Dexter Fowler,1.409707722403072
Ryan Braun,1.4092372367938126
Josh Reddick,1.4033607569033246
Kyle Seager,1.3924048623467207
Yasiel Puig,1.388543062120888
Miguel Sano,1.3401001722433215
Curtis Granderson,1.3297773031948215
Johan Camargo,1.302494864586905
Yoan Moncada,1.2953731461671216
Justin Bour,1.2834895994812465
Carlos Gonzalez,1.2830699202377926
Amed Rosario,1.2780713950937148
Eric Thames,1.2643471081826136
Wil Myers,1.2528786329763828
Carlos Santana,1.2524406630767915
Miguel Rojas,1.246380910609729
Isaac Galloway,1.209882582797189
Jurickson Profar,1.209688689244188
Matt Duffy,1.2087313665584327
Francisco Cervelli,1.1984032790608314
Jose Pirela,1.191015877022673
Jason Kipnis,1.171783471270387
Joe Mauer,1.1712243612463171
Andrew Mccutchen,1.1667966807052903
Aledmys Díaz,1.1667463169946135
Chad Pinder,1.1599405551097428
Jeff Mcneil,1.157367710834111
Nick Ahmed,1.1383804062317633
Devon Travis,1.1353431605122903
Shohei Ohtani,1.1203019787882973
Luke Voit,1.1046788423977272
Charlie Culberson,1.0566283619437022
Nick Hundley,1.0265937609255043
Carlos Correa,1.0262832166578169
Maikel Franco,1.0215200508621343
Pablo Reyes,1.0159494425339577
Dee Strange-gordon,1.0114187202559557
Austin Hedges,1.0028421732839565
Mallex Smith,0.9854344404486203
Mike Zunino,0.9488322828321547
Nick Williams,0.9245032033576612
Jesse Winker,0.9207143988833574
Adam Eaton,0.9199987977012959
Luis Valbuena,0.9001018142483107
Ji-man Choi,0.8828685827802316
Eduardo Escobar,0.8816885728062064
Joe Panik,0.877909391858504
Carlos Sanchez,0.8513145330532079
Brandon Nimmo,0.8483992662430899
Matt Davidson,0.833632667293732
Yangervis Solarte,0.8173982225396017
