Player,Rank
Chris Sale,1.0974135323887924
Justin Verlander,1.096204423663507
Corey Kluber,1.0894006462117316
Robbie Ray,1.0647938460958115
Max Scherzer,1.064218394117463
Carlos Carrasco,1.0617706347757392
Clayton Kershaw,1.0512981692729366
Masahiro Tanaka,1.0510968416873545
Chris Archer,1.044545711128047
Stephen Strasburg,1.037954570237768
Matthew Boyd,1.026987075507366
Luis Severino,1.016559944798724
Dallas Keuchel,1.0118280579616667
Marco Estrada,1.0026720922931378
Gerrit Cole,0.9983164844328505
Sean Manaea,0.9883298622921987
Rick Porcello,0.9810769875833076
James Paxton,0.9794423775249386
Jacob deGrom,0.9793404102323576
Cole Hamels,0.9783417781941857
Noah Syndergaard,0.9751424787430869
Danny Salazar,0.9694795135688673
Dylan Bundy,0.9666434848395025
Carlos Martinez,0.9654671822193414
Zack Greinke,0.9605344599368258
Lance McCullers Jr.,0.9568257174752376
Jason Hammel,0.9534681001589048
Zack Godley,0.9532203026835327
Jeff Samardzija,0.9446787661181391
Kevin Gausman,0.9410011298563609
Charlie Morton,0.9342438452784272
Jimmy Nelson,0.9287766492344925
Aaron Nola,0.9284388756756945
Jon Lester,0.928316026804499
Alex Wood,0.9273810669869513
Trevor Bauer,0.9272514134319543
Drew Pomeranz,0.9267455807223075
Ervin Santana,0.917569627416931
Yu Darvish,0.9154283449441574
Jake Arrieta,0.9092037529731527
R.A. Dickey,0.9043393528470285
Ricky Nolasco,0.8951660741739119
Clayton Richard,0.8927728084167429
Patrick Corbin,0.8916736825524864
Jordan Montgomery,0.8914019727081384
CC Sabathia,0.8885101544485676
Sonny Gray,0.8872725374309777
Danny Duffy,0.886159758831889
Mike Clevinger,0.8848561863319797
Jhoulys Chacin,0.881013009343974
Marcus Stroman,0.8737161245735645
Gio Gonzalez,0.8724128049897055
Tyler Skaggs,0.865461467483899
Julio Teheran,0.8624601767044469
John Lackey,0.8620485561332419
Taijuan Walker,0.8615212107079645
Johnny Cueto,0.861239838238913
J.A. Happ,0.856334980444975
Jake Odorizzi,0.8427780586670878
Mike Foltynewicz,0.8356283091273083
Jason Vargas,0.8356098095880442
Chase Anderson,0.8352894072215463
Mike Fiers,0.8340616400283632
Madison Bumgarner,0.8331569428567284
Vince Velasquez,0.8327284340423208
Dan Straily,0.8319302325161402
Nick Pivetta,0.8302373565853514
Kendall Graveman,0.8294766118329323
Josh Tomlin,0.820511821872454
Alex Cobb,0.8199752696313238
Kyle Hendricks,0.8187226599145492
Michael Wacha,0.8179461063758185
Eduardo Rodriguez,0.8173594215484198
Luis Castillo,0.8171817217302317
Tanner Roark,0.8162273132247041
Zach Davies,0.8159299927357876
Rich Hill,0.8113483316246154
Kyle Gibson,0.8094762296456676
Jose Quintana,0.8087837786399209
Brad Peacock,0.7980819961455566
Lance Lynn,0.7978161052689999
Ivan Nova,0.7849138348613915
Jharel Cotton,0.7833666359106166
Jon Gray,0.7712783490420401
Jake Faria,0.7690971932226247
Sean Newcomb,0.7629097494914847
James Shields,0.7347450333174271
Jose Berrios,0.7314629326637793
Mike Leake,0.7303301782192095
Luiz Gohara,0.7291325543243564
Jesse Chavez,0.729097925906973
Wade Miley,0.7279864959441592
Matt Moore,0.721557718038335
A.J. Cole,0.7185712562313656
Felix Hernandez,0.7166165220403227
Taylor Cole,0.7152132314133623
Ariel Miranda,0.7130775033130192
Luke Weaver,0.7099565544705625
Jameson Taillon,0.7088879677648039
Kenta Maeda,0.7081522244715
Ubaldo Jimenez,0.7008815612164085
Jerad Eickhoff,0.6988905243795442
German Marquez,0.6896550038710947
Michael Fulmer,0.6875191268692
Blake Snell,0.6805459751465947
Joe Ross,0.6762754205146415
Miguel Gonzalez,0.6735023825508002
Chad Kuhl,0.6678604200848154
Anibal Sanchez,0.6668215325994125
Robert Stephenson,0.6616499343883209
Michael Pineda,0.6606773257037839
Derek Holland,0.6558123502276877
Jaime Garcia,0.6540785166543135
Joe Biagini,0.6523023654145106
Brian Johnson,0.6457439608368581
Ian Kennedy,0.6445802003731594
Jordan Zimmermann,0.6427219309090587
Robert Gsellman,0.6253491508787237
Scott Feldman,0.6122719496277254
Hyun Jin Ryu,0.5999821049065973
Andrew Cashner,0.5993962779998114
Tyler Anderson,0.598005908879332
David Price,0.5966920203062008
JC Ramirez,0.5960409063664992
Dinelson Lamet,0.5958227537562112
Corey Knebel,0.5887885080091126
Reynaldo Lopez,0.5754182724782658
Matt Andriese,0.5692001155120493
Daniel Norris,0.5675431807413018
Martin Perez,0.5671020932510787
Matt Harvey,0.5636096522170277
Tyler Chatwood,0.5587622414974301
Sal Romano,0.5552275742588032
Doug Fister,0.5509043907055373
Homer Bailey,0.5492191084901524
Brent Suter,0.5480943619276493
Nate Karns,0.545755158514632
Yovani Gallardo,0.5451631986969993
Erasmo Ramirez,0.5451234769065978
Jeff Hoffman,0.53422727844946
Alex Meyer,0.530196158396202
Luis Perdomo,0.519923890691348
Lucas Giolito,0.5185337234519998
Andrew Heaney,0.5172008456416022
Craig Kimbrel,0.514122167860695
Trevor Williams,0.5088374883346565
David Robertson,0.5028750718392586
Matt Shoemaker,0.5010348616570726
Norichika Aoki,0.49325450649430835
Carlos Rodon,0.4903602195727706
A.J. Griffin,0.48849198801163163
Adalberto Mejia,0.4815679072647225
Jakob Junis,0.47619315958115865
Kyle Freeland,0.47567289775915866
Edinson Volquez,0.4632533911886835
Tim Adleman,0.4515558178929471
Chad Bettis,0.44358228865252003
Adam Wainwright,0.44219209991672986
Francisco Liriano,0.4363444107112619
Parker Bridwell,0.42420490581876785
Daniel Gossett,0.423912740638522
Chris Stratton,0.4109402500318859
Jose Urena,0.40897844493986535
Ty Blach,0.40877965927731874
Hector Santiago,0.3977346324853708
Kenley Jansen,0.39273417272521366
Jake Thompson,0.3918399704060647
Carl Edwards Jr.,0.39099035197421983
Andrew Miller,0.38633609698555227
Zack Wheeler,0.38430814575132893
Collin McHugh,0.3820422632208344
Joe Musgrove,0.3806496324012427
Tommy Kahnle,0.38057580327792406
Nick Martinez,0.3712968193210645
Mike Pelfrey,0.36916369120351106
Garrett Richards,0.3669547722146967
Chad Green,0.3662606625367027
Matt Garza,0.3502365489451939
Antonio Senzatela,0.34745874315111563
Jesse Hahn,0.34383465664007046
Rafael Montero,0.34326716198185686
David Paulino,0.3402406707990871
Jerry Blevins,0.335438436457166
Jeremy Hellickson,0.32399916668837503
Tyler Mahle,0.31676374460869355
Trevor Cahill,0.3151584204624773
Austin Pruitt,0.3123867952724815
Buck Farmer,0.31085515647909756
Phil Hughes,0.3097942957219461
Seth Lugo,0.30475193063381995
Mike Montgomery,0.29594149521778335
Scooter Gennett,0.2918518348857579
Bartolo Colon,0.2806270437203742
Adam Conley,0.27997689032213
Aaron Sanchez,0.26517174665635324
Wei-Yin Chen,0.26380166768774743
Dellin Betances,0.2610759715303618
Yusmeiro Petit,0.24779362055389956
Ben Lively,0.23785819133732428
Cody Allen,0.23582178866156095
Steven Matz,0.22562298840598025
Andrew Triggs,0.22471767529198813
Amir Garrett,0.22342491363823921
Mike Wright,0.22153034522585086
Jacob Barnes,0.22044239637131102
Tyler Glasnow,0.21695243227383215
Chris Devenski,0.20750746869015127
Raisel Iglesias,0.2050069336130379
Matt Cain,0.2024016506130493
Andrew Albers,0.20151143415918032
Chris Tillman,0.20074283499289486
Kirby Yates,0.19223590107135624
Aroldis Chapman,0.19146978506389062
Junior Guerra,0.18742145323768974
Jayson Aquino,0.1855543234569002
Jackson Stephens,0.17746533904962447
Mark Leiter Jr.,0.17493299761661235
Wily Peralta,0.17401965518890086
Trevor Rosenthal,0.16749018480712072
Josh Hader,0.16430127140649026
Archie Bradley,0.15788735852401245
Brandon Finnegan,0.15748893726566718
Ken Giles,0.15576808433172878
Bronson Arroyo,0.15331079831634908
Gabriel Ynoa,0.1518541543678861
Brandon McCarthy,0.14790720334902321
Edwin Diaz,0.14533588452153887
Blake Parker,0.14453994574319295
Mychal Givens,0.14037706005371
Brad Hand,0.13130056451866118
Shelby Miller,0.12958604776505026
Dylan Covey,0.1294476679073591
Nate Jones,0.12492441593144403
Alec Asher,0.11164614209816977
Francis Martes,0.10748258480447442
Wade Davis,0.10349192061550282
Edubray Ramos,0.10177599454059212
Chris O'Grady,0.10099404089326647
Mike Minor,0.09989821571372041
Daniel Mengden,0.09333051882224146
Kevin Shackelford,0.09172528228473253
Mike Bolsinger,0.08510876743961233
Jeff Locke,0.07698023507759115
Jered Weaver,0.07229417842921838
Greg Holland,0.07085135396245439
Lucas Sims,0.07003312847701681
Roberto Osuna,0.06817397815353136
Edwin Jackson,0.06794590302939367
Dominic Leone,0.06462909831995073
Darren O'Day,0.06300132304268449
Sam Gaviglio,0.059074642555379774
Fernando Rodney,0.05675960246054146
Hector Neris,0.05642515698548807
Dillon Peters,0.055166838311764624
Ryan Dull,0.05511604004366466
Brandon Workman,0.04949778770116681
Felipe Vazquez,0.04914185029785815
Michael Feliz,0.04564120866667131
Tyson Ross,0.0422445803332144
Asher Wojciechowski,0.040999087143028176
Robbie Ross Jr.,0.03612103198524703
Adam Morgan,0.032759364981672916
Joe Smith,0.02078368807683892
Kyle Barraclough,0.015328502538493417
Bud Norris,0.014128173636628594
Pat Neshek,0.01303550810797593
Brett Cecil,0.009018981748933367
Nick Goody,0.007932766993762096
Casey Lawrence,0.004277079728127667
Heath Hembree,0.001890042064906927
Dan Altavilla,0.0004365464957516782
Yacksel Rios,-0.0031077077273041834
Odrisamer Despaigne,-0.0036830217413546715
Bryan Shaw,-0.0054900531581558365
Miguel Montero,-0.005624912668304764
Carson Fulmer,-0.011769261526122524
Mat Latos,-0.012218893108807081
Christian Bergman,-0.01263359667487436
Hector Rondon,-0.013815392946686078
Hisashi Iwakuma,-0.01719831112917542
Zach McAllister,-0.017238056578232724
Tyler Duffey,-0.01737416826177472
Tyler Clippard,-0.02019998019075519
Andrew Moore,-0.020884935028299592
Tommy Milone,-0.028848309579128657
Tyler Danish,-0.04391729575007631
Paul Sewald,-0.044034802406180455
Adam Ottavino,-0.04576831429779339
Tim Mayza,-0.04577517032192885
Michael Lorenzen,-0.04757626872410035
Glenn Sparkman,-0.04757860144831835
Jose Leclerc,-0.04769740428660659
Ryan Tepera,-0.04785062710253419
James Pazos,-0.04998710049325769
Logan Verrett,-0.053636852738935155
Oliver Drake,-0.055106252320679075
Luke Gregerson,-0.055326155051890626
Brad Brach,-0.060906068886352326
Jose Ramirez,-0.06106635048593131
Jose Alvarez,-0.06201057097265194
Josh Smoker,-0.062446506362429176
Anthony Swarzak,-0.06398115606422765
Chris Rowley,-0.06486024987637597
Chad Bell,-0.0654166266109371
Shane Greene,-0.06791647381222583
Anthony Banda,-0.067937433423675
Brett Anderson,-0.07334530715962437
Tommy Hunter,-0.07418278415954872
Vance Worley,-0.0805029168171245
Tony Barnette,-0.0839710724630767
Zach Eflin,-0.08406967671089396
Luis Avilan,-0.08530494621226589
Troy Scribner,-0.08935224210827854
Matt Bush,-0.08957038638786671
Liam Hendriks,-0.09042434335746917
James Hoyt,-0.09134458843882107
Emilio Pagan,-0.09144128140291104
Hunter Strickland,-0.09247495062817132
Matt Barnes,-0.09385531529070966
Juan Nicasio,-0.09958322517750032
Justin Wilson,-0.10000384367710638
Jack Flaherty,-0.10059497776717939
Zac Rosscup,-0.10183159586707587
George Kontos,-0.10267362786662271
Kyle Crockett,-0.10475593564645445
Jeurys Familia,-0.10498893975614551
Aaron Loup,-0.10713135586256155
Adam Warren,-0.10755229712034495
Oliver Perez,-0.10778877402626681
Drew Steckenrider,-0.10796267989646292
Brandon Woodruff,-0.10940691961594702
Cam Bedrosian,-0.10973534422592572
Boone Logan,-0.11075114534660815
Will Harris,-0.11143303996186396
Wei-Chung Wang,-0.12033203786699728
Dayan Diaz,-0.12162268577733028
Chasen Shreve,-0.12444958363090114
Austin Maddox,-0.1258810591576513
Sergio Romo,-0.1265283315176743
Chris Rusin,-0.12674449540642588
Dan Jennings,-0.12868721616872925
Dillon Gee,-0.12911495638700068
Jonathan Holder,-0.12983785835085093
Carlos Ramirez,-0.12986250516150896
Blake Wood,-0.13254866938951793
Jose Torres,-0.13450944002819099
Chris Smith,-0.13542800086500292
Joakim Soria,-0.1364515667467553
Alex Colome,-0.13730811728858763
Keynan Middleton,-0.1382082023497233
Addison Reed,-0.1394521395076965
Jordan Lyles,-0.14241994144900474
Arodys Vizcaino,-0.14521254105105671
Bruce Rondon,-0.1461381561304072
Seunghwan Oh,-0.14641419147370074
Steven Brault,-0.14709042726030508
Wade LeBlanc,-0.14741777988089572
Matt Albers,-0.14771510283954517
Jake McGee,-0.14810862983965087
Caleb Smith,-0.14967417630950364
Rookie Davis,-0.14989550463078094
Kelvin Herrera,-0.1529437880172932
Cory Gearrin,-0.1539431182197937
Ryan Buchter,-0.15531621936821813
Steven Wright,-0.15638355460161127
Paul Blackburn,-0.15650850470879288
Sean Doolittle,-0.15817826804828117
Ryan Pressly,-0.15820175237237663
Erick Fedde,-0.1591945456763856
Craig Stammen,-0.15938964770934866
AJ Ramos,-0.16050244628215107
David Phelps,-0.16279099552154208
Matt Belisle,-0.16441423583958165
A.J. Minter,-0.1686026251239222
Joe Kelly,-0.1698374693803818
Kevin Siegrist,-0.1710044790498089
Michael Tonkin,-0.17105328773384687
Andrew Chafin,-0.1723168100260346
Daniel Hudson,-0.17285299475301844
Justin Grimm,-0.17364277288606658
Brandon Morrow,-0.1737345909994422
Chase De Jong,-0.17436443448354794
Danny Barnes,-0.17678798602328305
Ross Stripling,-0.1774783112442041
Scott Oberg,-0.17792671912461486
Tony Watson,-0.17844005952558661
Hansel Robles,-0.1800011855998081
Jim Johnson,-0.1813260031077022
Peter Moylan,-0.1818710047748801
Neil Ramirez,-0.1825070611003802
Lisalverto Bonilla,-0.18290607441047338
Eddie Butler,-0.18334716031247802
Zach Putnam,-0.18456697044747775
Walker Buehler,-0.18484073765404838
Keone Kela,-0.18495759249119367
Jen-Ho Tseng,-0.18567299720038902
Frankie Montas,-0.18625627174093615
Austin Adams,-0.18707128048415195
A.J. Schugel,-0.18764385840683462
Jack Leathersich,-0.19039280157533964
Austin Bibens-Dirkx,-0.1921919198076674
Tom Koehler,-0.1925656088991548
Santiago Casilla,-0.1931583664192542
Marco Gonzales,-0.1935137371478427
Brian Ellington,-0.1942460920196234
Hector Velazquez,-0.19479262399044614
Pierce Johnson,-0.19888765015115573
Michael Brady,-0.1989690815007486
Tyler Lyons,-0.2003241737506773
Dillon Maples,-0.20032578051551145
Steven Okert,-0.200413042239998
Dustin McGowan,-0.20083705679982197
Tanner Scott,-0.2008787924844343
Travis Wood,-0.20171289635314482
Pedro Beato,-0.20226446069492368
Blake Treinen,-0.20510899494133233
Enny Romero,-0.20543823463522323
Drew Rucinski,-0.2061992598425815
Aaron Slegers,-0.2070287425302298
Braden Shipley,-0.20805556752367596
Tyler Pill,-0.20856397395153572
Aaron Wilkerson,-0.20863295623412675
Chris Flexen,-0.2091703146181035
Brad Boxberger,-0.21046745434273062
Josh Fields,-0.21059934097736835
J.J. Hoover,-0.2150614395727056
Jason Grilli,-0.21593191523428543
Max Fried,-0.21608342322810015
Steve Cishek,-0.21693231806547336
Pedro Baez,-0.21698840751002244
Marc Rzepczynski,-0.21700194784474314
Josh Osich,-0.2170167171113899
Randall Delgado,-0.21803318381613812
Raul Alcantara,-0.21816210240325823
Warwick Saupold,-0.21937060529423769
Koji Uehara,-0.2202151711465088
Robby Scott,-0.22111705585434002
Pedro Strop,-0.22118462106205994
Daniel Stumpf,-0.22132938965834134
Jake Diekman,-0.22208132834118346
Brian Duensing,-0.22235323810958085
Hunter Cervenka,-0.22379747532573505
Eric Skoglund,-0.22627478401647388
Danny Coulombe,-0.22762095936294197
Matt Strahm,-0.227847801326282
Mike Freeman,-0.2316930882329105
Luis Cessa,-0.2336721931805585
Jumbo Diaz,-0.2341415020434981
Jorge De La Rosa,-0.23462196259207585
Danny Farquhar,-0.23658800675770755
Domingo German,-0.23718206789983398
Scott Alexander,-0.23773841623422093
Fabio Castillo,-0.23846584656968214
Mike Dunn,-0.23859750726865547
Carlos Estevez,-0.23876760556623372
Dan Otero,-0.23920263353914434
Taylor Rogers,-0.2396990289464051
Ryan Madson,-0.24201149663276478
Alex Claudio,-0.2450454435272285
Tim Melville,-0.24826378819970957
Eric O'Flaherty,-0.2506582685768936
Ryne Stanek,-0.2512519378834164
Wandy Peralta,-0.2539852556552045
Akeel Morris,-0.25690395051812487
Drew VerHagen,-0.2571520510986936
Sam Moll,-0.2590062530050832
Brandon Maurer,-0.259404097767178
Luis Garcia,-0.2594365663591135
Derek Law,-0.2606536034670049
Tyler Cloyd,-0.2614438389507613
Ian Krol,-0.2644279455426291
Nick Vincent,-0.264463746133305
Blaine Hardy,-0.26557633238454276
Gregory Infante,-0.267264556281138
John Brebbia,-0.2674967383318164
Phil Maton,-0.2681803695081443
Chase Whitley,-0.26840577832084167
Tony Sipp,-0.26925900053426083
Chaz Roe,-0.27127914361710864
David Hernandez,-0.27154908246890996
Adam Wilk,-0.27185921337852226
Shawn Armstrong,-0.27268181076932074
Juan Minaya,-0.2731253574935956
Carlos Torres,-0.27341897520301023
Blaine Boyer,-0.2768901479874996
Chris Hatcher,-0.27840958526790416
Tony Cingrani,-0.27912222710865364
Josh Collmenter,-0.2802749533004194
Chris Beck,-0.28049152925111825
Fernando Abad,-0.28132596080917416
Fernando Salas,-0.2824298572460593
Rex Brothers,-0.28454691956498274
John Axford,-0.2848992466858215
Zack Britton,-0.2878837389215723
Trevor Hildenberger,-0.2882240197645359
Jhan Marinez,-0.2889065621331822
Tyler Webb,-0.29028127502607465
Simon Castro,-0.29090221758418433
Aaron Blair,-0.29242623924563005
Nick Tepesch,-0.2930761169157573
Justin Nicolino,-0.3001899887305462
Jeff Beliveau,-0.3002493219530001
Koda Glover,-0.30202071775949857
Sammy Solis,-0.3020250965813958
Kevin McCarthy,-0.3021347251023422
Jake Petricka,-0.30239691852129946
Rob Zastryzny,-0.3028987691011997
Joe Jimenez,-0.3031926170042279
Buddy Baumann,-0.30493709721411866
Giovanny Gallegos,-0.3050102680856794
Chris Young,-0.3102403844404987
Miguel Castro,-0.31127063392325516
Jared Hughes,-0.3113399602133564
Cody Reed,-0.312747296023594
Jarlin Garcia,-0.3142612157976323
Jose Alvarado,-0.31448206698567766
Ashur Tolliver,-0.31463588995168407
Felix Pena,-0.3148372408218214
Tyler Olson,-0.3149697850083471
Drew Storen,-0.3177298272233608
Julio Urias,-0.31815905517476845
Ryan Garton,-0.3194353310541413
Joaquin Benoit,-0.31956950743728696
Silvino Bracho,-0.3206449753546834
Zach Duke,-0.32145838465164445
Reyes Moronta,-0.3219729521777772
Alex Wilson,-0.3227746826755084
Mitch Moreland,-0.32339339891553837
Justin Haley,-0.3251126613338134
Sam Freeman,-0.32521382764000195
Casey Fien,-0.32691072091018736
Aaron Bummer,-0.32876720852265134
Cesar Valdez,-0.3292220265416384
Alan Busenitz,-0.32961116136223606
Ben Taylor,-0.3299758997013938
Ricardo Pinto,-0.3311946406044019
Brock Stewart,-0.33122844510967997
Dario Alvarez,-0.3315398523915645
Jeremy Jeffress,-0.3325768678079007
Jarred Cosart,-0.3330195811781237
Josh Edgin,-0.3335264949723057
Chris Volstad,-0.3339066300415431
Mark Melancon,-0.33684659297504943
Sam Tuivailala,-0.33690003609709257
Brooks Pounders,-0.3377647058434625
Angel Sanchez,-0.3385311863170022
Matt Dermody,-0.34128138318224727
Lucas Harrell,-0.3422226352081232
Jeanmar Gomez,-0.34361860774616465
Luis Santos,-0.34480398546611185
David Holmberg,-0.3449042835363844
Edward Paredes,-0.34540421504557844
Kyle McGrath,-0.34582826262488686
Clay Buchholz,-0.3476138491926247
Tanner Scheppers,-0.3479037141255286
Dan Runzler,-0.34817650279381845
Bryan Mitchell,-0.34842688673846867
Al Alburquerque,-0.34909618976707973
John Curtiss,-0.35034019921765613
Rubby De La Rosa,-0.35111077589840706
Jonathan Broxton,-0.35256689012834136
Buddy Boshers,-0.3535813978544675
Junichi Tazawa,-0.35374246784942104
Dylan Floro,-0.35578684830157425
Bobby Wahl,-0.3569876153650911
