Player,ScaledRank
Chris Sale,9.022906431312729
Justin Verlander,9.012965169817814
Corey Kluber,8.957024682922949
Robbie Ray,8.754708191949241
Max Scherzer,8.749976840272677
Carlos Carrasco,8.72985142459763
Clayton Kershaw,8.643747076921825
Masahiro Tanaka,8.642091766582434
Chris Archer,8.588228536075993
Stephen Strasburg,8.534036341635732
Matthew Boyd,8.443861876115042
Luis Severino,8.35813026997533
Dallas Keuchel,8.319224815546143
Marco Estrada,8.24394469635933
Gerrit Cole,8.208132998202743
Sean Manaea,8.126023242417396
Rick Porcello,8.066390289182431
James Paxton,8.052950566440686
Jacob deGrom,8.052112193928538
Cole Hamels,8.043901466455438
Noah Syndergaard,8.017596906924284
Danny Salazar,7.9710361498507485
Dylan Bundy,7.947718393046827
Carlos Martinez,7.9380468625222145
Zack Greinke,7.8974901441173415
Lance McCullers Jr.,7.866996956981308
Jason Hammel,7.839390711948517
Zack Godley,7.837353327345348
Jeff Samardzija,7.767125028773685
Kevin Gausman,7.736887596029261
Charlie Morton,7.681329372372467
Jimmy Nelson,7.636378224158825
Aaron Nola,7.633601058463253
Jon Lester,7.63259099813752
Alex Wood,7.624903782059177
Trevor Bauer,7.6238377737945635
Drew Pomeranz,7.619678829992307
Ervin Santana,7.544234372958607
Yu Darvish,7.526628802383229
Jake Arrieta,7.475450363927836
R.A. Dickey,7.435455388572516
Ricky Nolasco,7.360032922297911
Clayton Richard,7.34035555150297
Patrick Corbin,7.331318566322156
Jordan Montgomery,7.329084574823361
CC Sabathia,7.305308117906823
Sonny Gray,7.295132461950397
Danny Duffy,7.285983224327558
Mike Clevinger,7.275265284056208
Jhoulys Chacin,7.2436667796289225
Marcus Stroman,7.183671976776291
Gio Gonzalez,7.172956115974339
Tyler Skaggs,7.115802394030672
Julio Teheran,7.091125856812098
John Lackey,7.087741522839925
Taijuan Walker,7.083405702031427
Johnny Cueto,7.081092264675617
J.A. Happ,7.040764647394224
Jake Odorizzi,6.929299977888794
Mike Foltynewicz,6.8705149171976565
Jason Vargas,6.870362814451631
Chase Anderson,6.867728474261758
Mike Fiers,6.857633803313595
Madison Bumgarner,6.850195405947958
Vince Velasquez,6.8466722172654055
Dan Straily,6.840109424415219
Nick Pivetta,6.826190641137525
Kendall Graveman,6.819935816938075
Josh Tomlin,6.746227539609205
Alex Cobb,6.7418160205925854
Kyle Hendricks,6.731517095040967
Michael Wacha,6.725132291398516
Eduardo Rodriguez,6.720308583519894
Luis Castillo,6.71884754008909
Tanner Roark,6.711000417387878
Zach Davies,6.708555855814297
Rich Hill,6.6708855535207725
Kyle Gibson,6.655493178187881
Jose Quintana,6.649799863453991
Brad Peacock,6.561810077247582
Lance Lynn,6.559623929155451
Ivan Nova,6.453541786732861
Jharel Cotton,6.440820755916811
Jon Gray,6.341431165656692
Jake Faria,6.3234977574292035
Sean Newcomb,6.272624750866615
James Shields,6.041055163648358
Jose Berrios,6.014069814714714
Mike Leake,6.004756336193305
Luiz Gohara,5.994909502685027
Jesse Chavez,5.994624788709215
Wade Miley,5.985486639539871
Matt Moore,5.9326293894696285
A.J. Cole,5.9080747756894265
Felix Hernandez,5.892003000389303
Taylor Cole,5.880465180188161
Ariel Miranda,5.862905277523051
Luke Weaver,5.837244914723348
Jameson Taillon,5.828459021734752
Kenta Maeda,5.82240975890263
Ubaldo Jimenez,5.7626305486887075
Jerad Eickhoff,5.746260293948711
German Marquez,5.6703260768711985
Michael Fulmer,5.6527649499412815
Blake Snell,5.595431872056358
Joe Ross,5.560319479401562
Miguel Gonzalez,5.537519631085718
Chad Kuhl,5.491131557750458
Anibal Sanchez,5.482589851003824
Robert Stephenson,5.440069100728902
Michael Pineda,5.432072336614142
Derek Holland,5.392072630745838
Jaime Garcia,5.377817094762087
Joe Biagini,5.363213623990484
Brian Johnson,5.309290586688365
Ian Kennedy,5.299722177458384
Jordan Zimmermann,5.284443532714275
Robert Gsellman,5.141604972737454
Scott Feldman,5.03408455332513
Hyun Jin Ryu,4.933037759476396
Andrew Cashner,4.928221105399452
Tyler Anderson,4.916789525499243
David Price,4.905986766733613
JC Ramirez,4.900633324315911
Dinelson Lamet,4.898839679047029
Corey Knebel,4.841004287631021
Reynaldo Lopez,4.7310745477481495
Matt Andriese,4.679949017740096
Daniel Norris,4.666325741775292
Martin Perez,4.662699131536905
Matt Harvey,4.633984369291787
Tyler Chatwood,4.594129080409149
Sal Romano,4.56506713537323
Doug Fister,4.529522029052553
Homer Bailey,4.515665681111707
Brent Suter,4.506418043195017
Nate Karns,4.4871851716324445
Yovani Gallardo,4.482318092916939
Erasmo Ramirez,4.481991501356421
Jeff Hoffman,4.392403231999326
Alex Meyer,4.359259464421792
Luis Perdomo,4.2748011379999005
Lucas Giolito,4.26337121796127
Andrew Heaney,4.252412330164969
Craig Kimbrel,4.227099518968974
Trevor Williams,4.183649016969856
David Robertson,4.134626178673534
Matt Shoemaker,4.119496016890609
Norichika Aoki,4.055526132645432
Carlos Rodon,4.03172937845236
A.J. Griffin,4.0163688255972385
Adalberto Mejia,3.9594392080389222
Jakob Junis,3.9152481679164737
Kyle Freeland,3.910970588315763
Edinson Volquez,3.8088577180064784
Tim Adleman,3.7126805649043972
Chad Bettis,3.6471224082566436
Adam Wainwright,3.6356923114748083
Francisco Liriano,3.5876127580675496
Parker Bridwell,3.4878020545044093
Daniel Gossett,3.4853998797489116
Chris Stratton,3.378740388618003
Jose Urena,3.362610476548081
Ty Blach,3.3609760658358856
Hector Santiago,3.2701641336573584
Kenley Jansen,3.2290504794168915
Jake Thompson,3.2216983704641424
Carl Edwards Jr.,3.214712829110221
Andrew Miller,3.176445661783784
Zack Wheeler,3.159771897798177
Collin McHugh,3.141141868685546
Joe Musgrove,3.1296916931521843
Tommy Kahnle,3.129084671959216
Nick Martinez,3.0527930995032513
Mike Pelfrey,3.035254573831173
Garrett Richards,3.0170928975239404
Chad Green,3.011385945228596
Matt Garza,2.8796360867534707
Antonio Senzatela,2.85679703745747
Jesse Hahn,2.8269998894152324
Rafael Montero,2.8223339626244583
David Paulino,2.797450228324333
Jerry Blevins,2.7579663784814463
Jeremy Hellickson,2.663912990474037
Tyler Mahle,2.6044235323169898
Trevor Cahill,2.591224597607567
Austin Pruitt,2.568436365082709
Buck Farmer,2.555843269488937
Phil Hughes,2.547120899055256
Seth Lugo,2.50566270026337
Mike Montgomery,2.4332235221123772
Scooter Gennett,2.3995984378368136
Bartolo Colon,2.30730848750622
Adam Conley,2.301962942636195
Aaron Sanchez,2.1802354241977584
Wei-Yin Chen,2.168970669415365
Dellin Betances,2.146560064240172
Yusmeiro Petit,2.037352908950588
Ben Lively,1.9556640600980029
Cody Allen,1.9389208085728542
Steven Matz,1.855066529669037
Andrew Triggs,1.847623068040848
Amir Garrett,1.8369940142744208
Mike Wright,1.8214169204914687
Jacob Barnes,1.812471832403117
Tyler Glasnow,1.783777435468128
Chris Devenski,1.7061211826996714
Raisel Iglesias,1.6855618462571025
Matt Cain,1.6641412750301214
Andrew Albers,1.6568219377613433
Chris Tillman,1.6505025347688516
Kirby Yates,1.5805587382636983
Aroldis Chapman,1.5742597517404993
Junior Guerra,1.540974469399207
Jayson Aquino,1.5256229753543777
Jackson Stephens,1.4591155492318622
Mark Leiter Jr.,1.4382947017319518
Wily Peralta,1.430785223288534
Trevor Rosenthal,1.3771000822163373
Josh Hader,1.350880916530622
Archie Bradley,1.2981458863080444
Brandon Finnegan,1.2948700767538555
Ken Giles,1.2807212672607033
Bronson Arroyo,1.2605175235147321
Gabriel Ynoa,1.2485410336475897
Brandon McCarthy,1.2160893017515433
Edwin Diaz,1.194947983095702
Blake Parker,1.1884037945012385
Mychal Givens,1.154176653180415
Brad Hand,1.0795499354300828
Shelby Miller,1.0654532218520432
Dylan Covey,1.0643154661463998
Nate Jones,1.0271254022922638
Alec Asher,0.9179517691713119
Francis Martes,0.8837191059375645
Wade Davis,0.8509079654575467
Edubray Ramos,0.836799664475266
Chris O'Grady,0.8303704612759167
Mike Minor,0.8213606142416836
Daniel Mengden,0.7673611757692559
Kevin Shackelford,0.7541629613764194
Mike Bolsinger,0.69976214291835
Jeff Locke,0.6329295545077029
Jered Weaver,0.5944009147359102
Greg Holland,0.5825380482993333
Lucas Sims,0.5758106189603236
Roberto Osuna,0.5605247318125324
Edwin Jackson,0.55864950388462
Dominic Leone,0.5313788190780484
Darren O'Day,0.5179952917344345
Sam Gaviglio,0.4857102236384637
Fernando Rodney,0.46667602226954613
Hector Neris,0.46392621999472455
Dillon Peters,0.45358035554282
Ryan Dull,0.45316269346156157
Brandon Workman,0.4069695641646083
Felipe Vazquez,0.4040430557968213
Michael Feliz,0.37526086844853696
Tyson Ross,0.34733387581521696
Asher Wojciechowski,0.3370934621660202
Robbie Ross Jr.,0.29698621548423937
Adam Morgan,0.26934667402491774
Joe Smith,0.1708829600512613
Kyle Barraclough,0.12603056191215803
Bud Norris,0.11616148790433942
Pat Neshek,0.10717761944019422
Brett Cecil,0.07415384084904154
Nick Goody,0.06522301048203509
Casey Lawrence,0.03516604183124665
Heath Hembree,0.015539878267929465
Dan Altavilla,0.0035892742961815146
Yacksel Rios,-0.02555149468432011
Odrisamer Despaigne,-0.030281712021900213
Bryan Shaw,-0.045139078831245294
Miguel Montero,-0.04624789032803604
Carson Fulmer,-0.0967665719272635
Mat Latos,-0.10046343147873521
Christian Bergman,-0.10387311375703895
Hector Rondon,-0.11358981294719762
Hisashi Iwakuma,-0.14140408106447275
Zach McAllister,-0.14173086714586353
Tyler Duffey,-0.14284997398076338
Tyler Clippard,-0.16608372850917483
Andrew Moore,-0.17171540993685436
Tommy Milone,-0.23719007498242045
Tyler Danish,-0.3610868998550301
Paul Sewald,-0.36205303662279553
Adam Ottavino,-0.3763059277472054
