Player,Rank
"Helsley, Ryan",3.123090112911101
"Juarez, Daniel",2.1231004306546915
"Meis, Justin",1.5946799805014586
"Duarte, Daniel",1.5946629260066574
"Anderson, Ryan",1.5412602840956053
"Marinaccio, Ron",1.5412602840956053
"Middendorf, Ryan",1.5270651712816614
"Rodríguez, Wilking",1.3514462287438755
"Ynoa, Huascar",1.1583463261845959
"Reynolds, Sean",1.1583460122829374
"Chirinos, Yonny",1.1230926617553523
"Irvin, Jake",1.1230901129110997
"Silva, Eric",0.9583460181545761
"Castro, Miguel",0.9583460123005708
"Pint, Riley",0.9583460115219409
"García, Yimi",0.9583327165640054
"Bender, Anthony",0.9583274072059206
"Doyle, Tommy",0.9573206986232522
"Anderson, Drew",0.9572996052321429
"Hanifee, Brenan",0.9572919770359067
"Juan, Jorge",0.8550146855621241
"Oller, Adam",0.8472349463756568
"Greene, Shane",0.847234939002627
"Hernandez, Nick",0.847234939002627
"Leone, Dominic",0.847234939002627
"Tyler, Kyle",0.7852908617662162
"Gardner, Sam",0.6689623346352733
"Krehbiel, Joey",0.6689203101436376
"Myers, Tobias",0.6687443145393273
"McGough, Scott",0.6686681551053677
"Saalfrank, Andrew",0.6686681551053677
"Wentz, Joey",0.6250126789688913
"Robbins, Jimmy",0.5947059654733217
"Eisert, Brandon",0.5946737030055387
"Olson, Reese",0.5946737030055387
"Zarraga, Alfredo",0.59466573007429
"Strotman, Drew",0.5412618829333115
"VanScoter, Reid",0.5270911959753753
"Miller, Tyson",0.5270909523303217
"Leftwich, Jack",0.5267249154957858
"Rashi, Taylor",0.5267249154957858
"White, Mitch",0.45920567093161635
"Clifton, Trevor",0.4583460123001908
"Dodd, Dylan",0.4583460123001546
"Barria, Jaime",0.4583460122998244
"Englert, Mason",0.4583460122998244
"Fluharty, Mason",0.4583460122998244
"Harris, Hayden",0.4583460122998244
"Holmes, Grant",0.4583460122998244
"Jacques, Joe",0.4583460122998244
"Kriske, Brooks",0.4583460122998244
"Lawrence, Justin",0.4583460122998244
"Logue, Zach",0.4583460122998244
"Martin, Riley",0.4583460122998244
"Peralta, Wily",0.4583460122998244
"Schultz, Thomas",0.4583460122998244
"Vodnik, Victor",0.4583460122998244
"Gutierrez, Gerardo",0.3583460101343643
"Llovera, Mauricio",0.3583460101343643
"Garza, Justin",0.3583460052922313
"Bielak, Brandon",0.35834533114437633
"Herz, DJ",0.35834533114437633
"Moreno, Luis",0.35834484801904887
"Henzman, Lincoln",0.32344437931974646
"Harvey, Hunter",0.2916802706610323
"Ramirez, Emmanuel",0.2916802706610323
"Sánchez, Sixto",0.2916793625898221
"Maldonado, Anthony",0.2916793518397179
"Antone, Tejay",0.2916793456343594
"Minacci, Camden",0.2916793456343594
"Little, Brendon",0.2916793456330902
"Stephens, Jackson",0.2916793456330902
"Herget, Kevin",0.29167934563307824
"McArthur, James",0.29167934563307824
"Kuhnel, Joel",0.2083451260289716
"Robberse, Sem",0.2083451260289716
"Weaver, Luke",0.2083451260289716
"Avila, Nick",0.1583460127568624
"Gamboa, Alec",0.1583460121835855
"Barnes, Jacob",0.15834584305926708
"Parsons, Wes",0.15834501725960548
"McDermott, Chayce",0.08237406042780451
"Domínguez, Seranthony",0.08237368732552644
"Wepf, Lucas",-0.04165398770044671
"Britton, Rio",-0.04165398771189779
"Cruz, Steven",-0.04165398896003065
"Kirby, George",-0.04165403769139934
"Enlow, Blayne",-0.041654045734755014
"Alvarado, Elvis",-0.041662754086256575
"Mosqueda, Oddanier",-0.04167152947315869
"Weems, Jordan",-0.042205788997282515
"Bowden, Ben",-0.04264347071991992
"Hagenman, Justin",-0.04269767765548298
"Haake, Zach",-0.04269767918612496
"Mlodzinski, Carmen",-0.042716279418714476
"Wells, Tyler",-0.04272170288801867
"McWilliams, Sam",-0.15276510520790457
"Enright, Nic",-0.1527653644852616
"Hoffman, Nolan",-0.3104058087298661
"Ashby, Aaron",-0.3310183373508534
"Burns, Tanner",-0.3310183373508534
"Torres Jr., Lenny",-0.33104490843007617
"Yeager, Justin",-0.3310923332761675
"Holder, Jonathan",-0.3311624553094017
"Curvelo, Luis",-0.33125224373680195
"Castaño, Blas",-0.3313968882572763
"Romero, Jose",-0.3498919437987947
"Brigden, Trevor",-0.37498732103471566
"Gomez, Michael",-0.37498732103471566
"De Paula, Brayan",-0.39498989068619456
"Blewett, Scott",-0.4052701986306423
"Alcala, Jorge",-0.405297342832038
"Walston, Blake",-0.4729349176573977
"Arias, Michael",-0.5224935921633288
"Hernandez, Aaron",-0.5416539877001807
"De los Santos, Yerry",-0.5416539877001807
"McSteen, Jake",-0.5416539877001807
"Romano, Jordan",-0.5416539877001807
"Walsh, Jake",-0.5416539877001807
"Campbell, Isaiah",-0.5416539877001807
"Shaw, Bryan",-0.5416539877001807
"Marcheco, Jorge",-0.5416539877001807
"Higginbotham, Jake",-0.5416539877001807
"Pilkington, Konnor",-0.5416539877001807
"Baker, Bryan",-0.5416539877001807
"Robertson, Nick",-0.5416539877001807
"Champlain, Chandler",-0.5416539877001807
"Henriquez, Ronny",-0.5416539877005109
"Strickland, Samuel",-0.5416539877005471
"Vasquez, Andrew",-0.5425136463319726
"Cepeda, Felix",-0.5604066753912824
"Alford, Peyton",-0.575836523707834
"Hancock, Emerson",-0.5765465164148139
"Vasil, Mike",-0.6416518283792033
"Mushinski, Parker",-0.6416536204295206
"Banks, Tanner",-0.6416539820309244
"Townsend, Blake",-0.6416539820309244
"Suero, Wander",-0.6765541771674018
"Cohen, Chase",-0.708320654366685
"Wilson, Brooks",-0.7083206543667063
"Smith, Russell",-0.7083206543692476
"Washington, Mark",-0.7083206775300789
"McKay, Tyler",-0.7083225044225975
"Petit, RJ",-0.7916513288876342
"Pardinho, Eric",-0.8416534511889637
"Heasley, Jonathan",-0.841653673815405
"Matthews, John",-0.8416539877730785
"Jefferies, Daulton",-0.8416539879512253
"Contreras, Efrain",-0.9176265630864577
"Thompson, Riley",-1.0416538855291395
"Hill, Tim",-1.0416539856507192
"Castellanos, Humberto",-1.0416539877006503
"Santos, Junior",-1.0419686439805658
"McLoughlin, Trey",-1.0421450546848008
"Reyes, Luis",-1.0421914992813524
"Curet, Yoniel",-1.0424315341294446
"Pallante, Andre",-1.0426793004307033
"Snider, Collin",-1.1527650609973734
"Speas, Alex",-1.1527650609973734
"Woo, Bryan",-1.1527650609973734
"Houck, Tanner",-1.167625641468974
"Leiter, Jack",-1.331061499360432
"Sandridge, Jayvien",-1.3311671617447587
"Holub, Blake",-1.331170014615149
"Boushley, Caleb",-1.4052169956231804
"Danner, Hagen",-1.4052440626977
"Gomez, Cesar",-1.5604036239366192
"Ramírez, Yohan",-2.0421308201796164
"Labas, A.J.",-2.4052272729853126
