Player,Rank,OPS
Aaron Judge,0.2922777362985941,1.144
Jacob Wilson,0.2355981781720659,0.8
Alejandro Kirk,0.2331896363727263,0.769
Bo Bichette,0.2283796105402353,0.84
Nico Hoerner,0.2234242494057924,0.739
Alec Burleson,0.2147292908078937,0.801
Jeremy Peña,0.2132703217155028,0.84
Vladimir Guerrero Jr.,0.2084350846026359,0.848
Juan Soto,0.1984756143615249,0.921
Josh Naylor,0.1981955536424226,0.816
Xavier Edwards,0.1966742591430226,0.695
George Springer,0.1816598193628598,0.959
Trea Turner,0.1805125363257108,0.812
Geraldo Perdomo,0.1777545471779489,0.851
Yandy Díaz,0.1761103913517434,0.848
Elly De La Cruz,0.1749821661455498,0.777
Bobby Witt Jr.,0.1730842152659623,0.852
Carlos Correa,0.1717848065861431,0.734
Brice Turang,0.1709506873839121,0.794
Fernando Tatis Jr.,0.1697730056995156,0.814
Matt Olson,0.1679567550630466,0.85
Sal Frelick,0.1665559357793419,0.756
Luis Arraez,0.1642238226367424,0.719
TJ Friedl,0.1641033604399503,0.742
William Contreras,0.1639153739465815,0.754
Cody Bellinger,0.1620977399067998,0.813
Brendan Donovan,0.1587823640793261,0.775
Gavin Lux,0.1577257410326192,0.724
Lenyn Sosa,0.1574072586757686,0.727
Ketel Marte,0.1553953073672147,0.893
J.P. Crawford,0.153762363452699,0.722
Heliot Ramos,0.1513984485800319,0.728
José Ramírez,0.1478260557045658,0.863
Hunter Goodman,0.1472434660263024,0.843
Paul Goldschmidt,0.1424585880694277,0.731
Gleyber Torres,0.1402607480147826,0.745
Freddie Freeman,0.1398553811638176,0.869
Alec Bohm,0.139420361261931,0.741
Steven Kwan,0.1367479030432551,0.705
Gunnar Henderson,0.1350082495765018,0.787
Mookie Betts,0.1329354653305918,0.732
Tyler Soderstrom,0.1267083147131529,0.82
Ryan O'Hearn,0.1237049328113463,0.803
Otto Lopez,0.1234191701273599,0.672
Jackson Holliday,0.1207090070823915,0.69
Vinnie Pasquantino,0.1190167698595021,0.798
Trevor Larnach,0.1186408802261342,0.727
Manny Machado,0.1162025551330297,0.795
Luis García Jr.,0.1156925602085175,0.701
Rafael Devers,0.1138200052998128,0.851
Jose Altuve,0.1115311069125942,0.771
Kyle Schwarber,0.1112309980862709,0.928
Jackson Chourio,0.1105943112038462,0.77
Maikel Garcia,0.1088027212619456,0.8
Francisco Lindor,0.1074264600631215,0.811
Michael Busch,0.1069498362120847,0.866
Chase Meidroth,0.1049911404898861,0.649
Shohei Ohtani,0.1022314419264304,1.014
Byron Buxton,0.1004107526989219,0.878
Ozzie Albies,0.0941723048159903,0.671
Bryson Stott,0.0924710529537784,0.719
Christian Yelich,0.0915964619100696,0.795
Nathaniel Lowe,0.0892025895995897,0.689
Jarren Duran,0.0885482666193124,0.774
Nolan Schanuel,0.0883991174829508,0.742
Jonathan India,0.0882436710092677,0.669
Cal Raleigh,0.0868409349590265,0.948
Caleb Durbin,0.0866515225359363,0.721
Bryce Harper,0.0844591996166045,0.844
Ernie Clement,0.082325020707225,0.711
Lourdes Gurriel Jr.,0.0778605641494299,0.713
CJ Abrams,0.0751704424513894,0.748
Josh Bell,0.0711370350324101,0.741
Xander Bogaerts,0.0701180315231491,0.72
Willy Adames,0.0699806360453706,0.74
Mike Trout,0.0696090961369657,0.797
Jung Hoo Lee,0.0694893982981489,0.735
Masyn Winn,0.0692504750600327,0.673
Kyle Tucker,0.0677302158708595,0.841
Mike Yastrzemski,0.0675128834867889,0.735
Miguel Vargas,0.0668680691310777,0.717
Zach McKinstry,0.0644786675708009,0.771
Jordan Beck,0.0642756448432623,0.732
Brandon Nimmo,0.0642300037650892,0.76
Marcus Semien,0.0624878921951977,0.669
Lawrence Butler,0.0619833079047894,0.71
Eric Wagaman,0.0588768070552894,0.674
Spencer Steer,0.0584948577273019,0.723
Trevor Story,0.0583512190318474,0.741
Brooks Lee,0.0571123451743087,0.654
Josh Jung,0.0563675811072645,0.684
Trent Grisham,0.0561213170268625,0.811
Ceddanne Rafaela,0.054676886306379,0.708
Ke'Bryan Hayes,0.053245050802744,0.595
Julio Rodríguez,0.0508564711942097,0.798
Zach Neto,0.0495833264263432,0.793
Ryan McMahon,0.0492909473288002,0.693
Junior Caminero,0.0486950784352376,0.846
Michael Harris II,0.0483308967859983,0.678
Andy Pages,0.047930115783784,0.774
Jake Cronenworth,0.0475813596787455,0.744
James Wood,0.0460158060469396,0.825
Randy Arozarena,0.0441198775585591,0.76
Wyatt Langford,0.0433210160111042,0.775
Yainer Diaz,0.0430931100177431,0.701
J.T. Realmuto,0.0402149963098184,0.7
Andrew McCutchen,0.0401446490766174,0.7
Gavin Sheets,0.0401304991105054,0.746
Luis Rengifo,0.0399648401558524,0.622
Dansby Swanson,0.039858338911049,0.717
Spencer Torkelson,0.0364566125245414,0.789
Nick Castellanos,0.0364248088524928,0.694
Jorge Polanco,0.0357282969286122,0.821
Josh Smith,0.0351613496102501,0.7
Shea Langeliers,0.0346803782777388,0.861
Seiya Suzuki,0.0341534157501697,0.804
Brent Rooker,0.0313249195480943,0.814
Joey Ortiz,0.0302536289120855,0.593
Pete Crow-Armstrong,0.0229390321578465,0.768
Matt Chapman,0.0224927879358296,0.77
Marcell Ozuna,0.0203052689180914,0.756
Ian Happ,0.0200209857787141,0.762
Brandon Lowe,0.0198552118174373,0.785
Willson Contreras,0.0182156464807657,0.791
Christian Walker,0.0179051968363698,0.717
Agustín Ramírez,0.0133394328441101,0.701
Jazz Chisholm Jr.,0.0127167473920045,0.813
Salvador Perez,0.008913517799034,0.729
Lars Nootbaar,0.0079572331310237,0.686
Addison Barger,0.0042886216879109,0.756
Matt McLain,0.0036970500086753,0.643
Riley Greene,0.0002434897464524,0.806
Pete Alonso,-0.0020618154169543,0.871
Bryan Reynolds,-0.0058370656879578,0.72
Brenton Doyle,-0.00956553739454,0.651
Corbin Carroll,-0.010552526404107,0.883
Kyle Manzardo,-0.0166107505045766,0.768
Taylor Ward,-0.0346200629116488,0.792
Eugenio Suárez,-0.0372083624843584,0.824
Ben Rice,-0.0429040020313887,0.836
Anthony Volpe,-0.0451073422356839,0.663
Teoscar Hernández,-0.0457274570766375,0.738
Oneil Cruz,-0.0589446726012016,0.676
Adolis García,-0.0689466459646692,0.665
Jo Adell,-0.0904955646216315,0.778
