Player,Rank,Year,Group,ScoreType
Eric Yang,-0.6464453471440373,2024,batter,frequency
Daniel Cope,-233.59788754509142,2024,batter,frequency
Spencer Henson,-501.63732349596825,2024,batter,frequency
Trevor Werner,-527.7106961618829,2024,batter,frequency
Jesus Chirinos,-568.6670050401575,2024,batter,frequency
Mateo Gil,-646.628109172984,2024,batter,frequency
Hao-Yu  Lee,-658.3831720815577,2024,batter,frequency
Hogan Windish,-702.487680504795,2024,batter,frequency
Sam Huff,-754.2429084930519,2024,batter,frequency
Rowdey Jordan,-867.4277262658068,2024,batter,frequency
Colby Shade,-891.9810097271995,2024,batter,frequency
Andy Thomas,-967.0665918269328,2024,batter,frequency
Yohel Pozo,-1115.019276387156,2024,batter,frequency
Brandon McIlwain,-1190.7417808522987,2024,batter,frequency
Seth Beer,-1538.6091189001836,2024,batter,frequency
Jack Rogers,-1702.0080367663895,2024,batter,frequency
Quincy McAfee,-1703.7691965985641,2024,batter,frequency
Héctor Rodríguez,-1706.0010151204724,2024,batter,frequency
Felnin Celesten,-1772.3950697998237,2024,batter,frequency
Esmerlyn Valdez,-1861.9231734866755,2024,batter,frequency
Patrick Winkel,-1864.0753271819808,2024,batter,frequency
Cristhian Rodriguez,-2172.180635131762,2024,batter,frequency
Luis Baez,-2226.473209293597,2024,batter,frequency
Kale Emshoff,-2438.3512579628364,2024,batter,frequency
Dereck Salom,-2442.345191535957,2024,batter,frequency
"Zapata, Juan",-70.92211194770651,2024,pitcher,frequency
"Cabrera, Oswaldo",-146.29373497460872,2024,pitcher,frequency
"Gillies, Keagan",-196.45603413800822,2024,pitcher,frequency
"Labas, A.J.",-266.85685590101315,2024,pitcher,frequency
"Saul, Eli",-266.85685590101315,2024,pitcher,frequency
"Hernandez, Aaron",-266.85685590101315,2024,pitcher,frequency
"Contreras, Efrain",-306.62497659991465,2024,pitcher,frequency
"Southard, Jared",-396.7506492163891,2024,pitcher,frequency
"Barnes, Zach",-400.7260497150825,2024,pitcher,frequency
"Strickland, Austin",-520.0394806577916,2024,pitcher,frequency
"Calderon, Yorlin",-596.9095609380207,2024,pitcher,frequency
"Kwiatkowski, Robert",-599.0273848156734,2024,pitcher,frequency
"Burrows, Beau",-712.1582425436186,2024,pitcher,frequency
"Otano, Peniel",-929.2336495630122,2024,pitcher,frequency
"Miller, Mitch",-989.0145418908388,2024,pitcher,frequency
"Matthews, John",-1407.3381093406035,2024,pitcher,frequency
"Melean, Alejandro",-1834.2580296430533,2024,pitcher,frequency
"Moreta, Dauri",-2125.6574921533775,2024,pitcher,frequency
"Heatherly, Jacob",-2513.7284025644003,2024,pitcher,frequency
"Kingham, Nolan",-2750.453987363828,2024,pitcher,frequency
"Kelly, Antoine",-3036.845021623965,2024,pitcher,frequency
"Chandler, Bubba",-3441.8177145102145,2024,pitcher,frequency
"Wilcox, Kyle",-5077.84094334404,2024,pitcher,frequency
"White, Brendan",-6196.247100772623,2024,pitcher,frequency
"Hernandez, Cristian",-6445.427491770682,2024,pitcher,frequency
