Player,Rank
Juan Soto,0.03284549912315797
Aaron Judge,0.02352687079842819
Jurickson Profar,0.02273909667177632
Isaac Paredes,0.022470704536598857
Jonathan India,0.019432915460515964
Steven Kwan,0.0165683790208337
Mookie Betts,0.016386011111945396
Nolan Schanuel,0.016042433562205232
Justin Turner,0.01530318125066576
Nico Hoerner,0.014587521213169823
Kyle Tucker,0.014028745744291459
Freddie Freeman,0.013541271086454598
Corbin Carroll,0.013154672512306651
Vladimir Guerrero,0.012915784911371164
Randy Arozarena,0.012760289901331621
Brendan Donovan,0.012653322333153178
Ha-seong Kim,0.012615248996612509
Marcus Semien,0.012431011068727392
Joey Ortiz,0.012166838570819856
William Contreras,0.011741971080983044
Mark Canha,0.011596902748578884
Lamonte Wade,0.011136032930864952
Jake Cronenworth,0.011051961816854878
Spencer Steer,0.011031595768058258
Nathaniel Lowe,0.010768594744777354
George Springer,0.010637399650133132
Yordan Álvarez,0.010634659264463631
Carlos Santana,0.010590650421559449
Tyler Freeman,0.010564955154425166
Dylan Moore,0.010470079851965042
Ketel Marte,0.009817919680161257
Brandon Nimmo,0.009799955906012162
Jesse Winker,0.009727356751941705
Danny Jansen,0.009652548231982062
Yandy Díaz,0.009285046411903647
Joc Pederson,0.009259731671584122
Richie Palacios,0.009251029101327546
Mike Tauchman,0.009176881317515529
Jorge Soler,0.008728572569156616
Gabriel Moreno,0.008645342620904183
Alejandro Kirk,0.008522286613540537
Adley Rutschman,0.008419946044055635
Christian Yelich,0.008018202421005635
Gunnar Henderson,0.007858043017896438
Anthony Rendon,0.00782889308288731
Whit Merrifield,0.007688395915869937
Spencer Horwitz,0.007640343283864222
Gleyber Torres,0.007612280096980817
Carlos Correa,0.007370877470064406
Willy Adames,0.007203639666362023
Ian Happ,0.007060087579672898
Luis Arráez,0.006952374005951621
Max Muncy,0.006804426535679557
Jj Bleday,0.006783839247074308
Alex Bregman,0.006736274865231083
Jeff Mcneil,0.006709769967277417
Willson Contreras,0.006673104535174323
Christopher Morel,0.006618534344496748
Lars Nootbaar,0.006598591160944416
Kyle Schwarber,0.006571468642058301
Masataka Yoshida,0.0065679998598350995
Bobby Witt,0.006493699574739574
J. p. Crawford,0.006485972361375911
Ryan O'hearn,0.0064403337980508965
Geraldo Perdomo,0.006368622020601183
Brayan Rocchio,0.006350689528053832
Josh Smith,0.006306862124887959
David Fry,0.006203934538523201
Nicky Lopez,0.006153516009830042
Pete Alonso,0.006022334787191333
Víctor Robles,0.006020654312789661
Dj Stewart,0.0059964991001872255
Austin Wells,0.005866606134589925
Bryson Stott,0.005857703060566812
Connor Joe,0.005848104449380644
Ryan Jeffers,0.005839867623047118
Vinnie Pasquantino,0.005839639800483386
Robbie Grossman,0.005830471483299092
Willi Castro,0.005521331982054348
Francisco Lindor,0.005484620824511091
Tj Friedl,0.005468271978735968
Xavier Edwards,0.005440175469719117
Anthony Santander,0.005307868447864432
Miguel Rojas,0.00529718454645243
Jake Mccarthy,0.005072576604087908
Alex Verdugo,0.00500508035178855
Sal Frelick,0.0049479742869204466
Bryce Harper,0.004932532671520126
Max Schuemann,0.004925263220729637
Alec Bohm,0.004754988143381658
Jonah Bride,0.004700894209577952
Nick Loftin,0.004688792967614197
Matt Chapman,0.004592814953995492
Mitch Garver,0.004569352059709743
Carson Kelly,0.004537710352936729
Marcell Ozuna,0.00453460424100574
Will Smith,0.004527598068198646
Wilmer Flores,0.004502173345238361
Seiya Suzuki,0.004455427562799039
Josh Naylor,0.004449460488388731
Taylor Ward,0.004384445422421845
Ildemaro Vargas,0.00430232715422515
Austin Slater,0.00428521511391218
Wyatt Langford,0.004271446230092508
Charlie Blackmon,0.004257283007744111
Tyler Stephenson,0.00425488262440316
Ty France,0.00413938967640504
Nolan Arenado,0.004049245978843314
Willie Calhoun,0.0040414454922979475
Leo Jimenez,0.003956366333047417
Brice Turang,0.0038421451296625515
Christian Walker,0.003768270889150456
Brett Harris,0.0037372262663235116
Jacob Stallings,0.0036323229752137087
Randal Grichuk,0.003608865561427487
Dj Lemahieu,0.0035892290049751377
Andrew Mccutchen,0.0035496903756261815
Anthony Rizzo,0.003533851281736401
Corey Seager,0.003434488593520061
Ronald Acuña,0.003378004411362393
Luis Guillorme,0.0032912521641858955
Alex Call,0.0031907721774609562
Miguel Amaya,0.0031905738063325445
Miguel Vargas,0.003116977619394686
Nathan Lukes,0.003104746613155295
Jacob Wilson,0.0030817541469227105
Michael Stefanic,0.003059414038851819
Jacob Young,0.002971410802829978
Rhys Hoskins,0.0028874528755718294
Ramón Urías,0.002880300687979372
José Ramírez,0.0028591668613861124
Taylor Walls,0.002800331681456878
Curt Casali,0.002726169730263693
Ben Gamel,0.0027228248248616165
Ozzie Albies,0.0027215523002167624
José Altuve,0.002644653983377881
Nick Senzel,0.002612328196983915
Pavin Smith,0.0025654725480440134
Zack Short,0.0024842148120147816
Mike Trout,0.0024618418871112436
Nasim Nuñez,0.0024461139461318987
Alec Burleson,0.002425148652356749
Luis Campusano,0.002402128688090476
Fernando Tatís,0.0023789135330710798
Cal Raleigh,0.0023422477434321062
Matt Thaiss,0.0023308047806253644
Jose Trevino,0.0023232596838561317
Santiago Espinal,0.0023155143979813643
Jung hoo Lee,0.002314881774552233
Juan Yepez,0.0023081888443780034
Iván Herrera,0.0022068615080654244
Donovan Solano,0.002177359408828891
Gary Sánchez,0.002157092021320059
Nick Madrigal,0.002122868247038623
José Fermín,0.0020007306742377286
Jasson Domínguez,0.001995133411454647
Josh Rojas,0.0019058134098612974
Luis Rengifo,0.0019057961274558306
Tyler Nevin,0.001902403390008943
Joshua Palacios,0.001902174285546821
Maikel García,0.0018652949241758656
