Player,Rank
Nolan Gorman,-9182030.605216973
Jarred Kelenic,-9182499.20197126
Bo Naylor,-9182526.688030036
José Siri,-9182570.812515387
Michael Harris,-9182699.10309076
Adolis García,-9182713.592760373
Harold Ramírez,-9182724.602420304
Kyle Higashioka,-9182753.45017036
Elly De la cruz,-9182763.44705047
Yainer Diaz,-9182771.80397162
Edouard Julien,-9182788.424692579
Jorge Polanco,-9182798.315545203
Daulton Varsho,-9182807.841004498
Mickey Moniak,-9182808.777008574
Bobby Dalbec,-9182812.072686052
José Abreu,-9182812.663863653
Enrique Hernández,-9182813.0947166
Ryan Vilade,-9182813.312735995
Andy Ibáñez,-9182813.319693673
Gavin Lux,-9182814.105456052
Keston Hiura,-9182814.547876654
Andrew Vaughn,-9182814.837728128
Alex Jackson,-9182815.229761414
Brandon Lowe,-9182815.391236352
Joey Gallo,-9182816.518548723
Matt Olson,-9182817.076709934
Jordan Walker,-9182818.59677495
Jacob Amaya,-9182819.674438037
Orlando Arcia,-9182821.307231655
Eguy Rosario,-9182821.498332867
Addison Barger,-9182823.285378648
Seth Brown,-9182825.60952148
Bubba Thompson,-9182826.533911465
Kevin Pillar,-9182827.159530114
Alek Thomas,-9182827.226480208
Trea Turner,-9182827.897122217
Alan Trejo,-9182828.130977247
Trey Sweeney,-9182828.560520217
Nick Martini,-9182829.033447396
Luis Matos,-9182829.435155481
Brett Baty,-9182830.057082899
Brett Wisely,-9182830.248199696
Lawrence Butler,-9182831.276088594
Davis Schneider,-9182831.39842722
Nick Yorke,-9182831.411402585
Nacho Alvarez,-9182831.655947085
Vinny Capra,-9182831.821639871
Jamie Westbrook,-9182831.82629288
Tyler Wade,-9182832.409021672
Niko Goodrum,-9182832.53222761
Tyler Heineman,-9182833.026029512
Nick Castellanos,-9182833.264636138
David Hensley,-9182833.90635462
Brandon Lockridge,-9182834.25488728
Trey Lipscomb,-9182835.005961647
Will Brennan,-9182835.327963179
Austin Hedges,-9182835.463203974
Joey Wendle,-9182835.769150194
Samad Taylor,-9182835.964070886
Luis Castillo,-9182836.940908862
Trenton Brooks,-9182837.407717388
Sam Haggerty,-9182837.449494282
Derek Hill,-9182837.497745568
J. d. Davis,-9182837.522648899
Dansby Swanson,-9182837.776386848
Angel Martínez,-9182837.801204788
Zach Deloach,-9182837.93578971
Kyle Manzardo,-9182838.087434936
Vidal Bruján,-9182838.124147475
Andrés Giménez,-9182838.22568836
Amed Rosario,-9182838.252411228
Jacob Hurtubise,-9182838.786795743
Donovan Walton,-9182838.925441103
Aaron Schunk,-9182839.453982344
Luis García,-9182839.57507992
Matt Thaiss,-9182839.654688118
Dustin Harris,-9182839.834360534
Riley Adams,-9182840.135036396
Cristian Pache,-9182840.295547372
Diego Castillo,-9182840.473996457
Jarren Duran,-9182840.77887294
Harrison Bader,-9182841.067934863
Tom Murphy,-9182841.341871468
Juan Yepez,-9182841.455779128
J. p. Martínez,-9182841.47980515
Julio Rodríguez,-9182841.665212335
Colt Keith,-9182841.761723274
Christopher Morel,-9182842.130770426
Kevin Alcántara,-9182842.527450928
Jj Bleday,-9182842.609537484
Henry Davis,-9182842.650212765
Michael Toglia,-9182842.695740862
Blaze Alexander,-9182842.74001434
Jazz Chisholm,-9182843.12846575
Leo Jimenez,-9182843.174036931
Royce Lewis,-9182843.2901857
Luis Campusano,-9182843.340245001
Spencer Horwitz,-9182843.485623475
Eddy Alvarez,-9182843.510139039
Wilyer Abreu,-9182843.5343673
Jorge Barrosa,-9182843.576424856
José Tena,-9182843.861064566
Seiya Suzuki,-9182843.889765298
Vaughn Grissom,-9182843.921254093
Ramón Urías,-9182844.05328349
José Fermín,-9182844.393562526
Tyler Black,-9182844.434529658
Dj Stewart,-9182844.709310401
Avisaíl García,-9182844.734394504
Connor Wong,-9182844.84618343
Gunnar Henderson,-9182845.064029057
Mike Yastrzemski,-9182845.082836578
Nicky Lopez,-9182845.17781707
Zack Short,-9182845.403812783
Daniel Schneemann,-9182845.515670488
Zach Mckinstry,-9182845.546217566
Matt Vierling,-9182845.628508762
Armando Alvarez,-9182845.650942847
Mason Mccoy,-9182845.824612038
Andrew Knizner,-9182845.877477981
Oswald Peraza,-9182846.086029995
Alex Call,-9182846.116169788
Pavin Smith,-9182846.16758468
Reese Mcguire,-9182846.320132608
Stuart Fairchild,-9182846.331161605
Tommy Pham,-9182846.429366026
Casey Schmitt,-9182846.47986292
