Player,ScaledElo,Tier,WithinTier
Juan Soto,4.3574857827803515e-05,0,4.3574857827803515e-05
Aaron Judge,3.1212192767434595e-05,0,3.1212192767434595e-05
Jurickson Profar,3.0167083194260997e-05,0,3.0167083194260997e-05
Isaac Paredes,2.981101769229964e-05,0,2.981101769229964e-05
Jonathan India,2.5780900000836786e-05,0,2.5780900000836786e-05
Steven Kwan,2.1980629904965095e-05,0,2.1980629904965095e-05
Mookie Betts,2.1738689428665288e-05,0,2.1738689428665288e-05
Nolan Schanuel,2.128287833483426e-05,0,2.128287833483426e-05
Justin Turner,2.0302140783749347e-05,0,2.0302140783749347e-05
Nico Hoerner,1.9352702193396525e-05,0,1.9352702193396525e-05
Kyle Tucker,1.8611396313929104e-05,0,1.8611396313929104e-05
Freddie Freeman,1.7964682472551616e-05,0,1.7964682472551616e-05
Corbin Carroll,1.7451797043660357e-05,0,1.7451797043660357e-05
Vladimir Guerrero,1.713487407017905e-05,0,1.713487407017905e-05
Randy Arozarena,1.6928584833105813e-05,0,1.6928584833105813e-05
Brendan Donovan,1.6786675082911906e-05,0,1.6786675082911906e-05
Ha-seong Kim,1.6736164654662087e-05,0,1.6736164654662087e-05
Marcus Semien,1.6491743296229364e-05,0,1.6491743296229364e-05
Joey Ortiz,1.614127582441005e-05,0,1.614127582441005e-05
William Contreras,1.5577620499950643e-05,0,1.5577620499950643e-05
Mark Canha,1.5385163934254222e-05,0,1.5385163934254222e-05
Lamonte Wade,1.4773745708922669e-05,0,1.4773745708922669e-05
Jake Cronenworth,1.4662211802049226e-05,0,1.4662211802049226e-05
Spencer Steer,1.4635192950014149e-05,0,1.4635192950014149e-05
Nathaniel Lowe,1.4286279628433595e-05,0,1.4286279628433595e-05
George Springer,1.4112228152601507e-05,0,1.4112228152601507e-05
Yordan Álvarez,1.410859258854769e-05,0,1.410859258854769e-05
Carlos Santana,1.4050207752758613e-05,0,1.4050207752758613e-05
Tyler Freeman,1.4016118832141956e-05,0,1.4016118832141956e-05
Dylan Moore,1.3890251424843069e-05,0,1.3890251424843069e-05
Ketel Marte,1.3025055659032049e-05,0,1.3025055659032049e-05
