Player,Rank
"Skubal, Tarik",-249347.6762440267
"Vanasco, Ricky",-250325.66619756343
"Curtiss, John",-250332.13423558802
"Pratto, Nick",-250337.8380065107
"Hollowell, Gavin",-250355.01904603626
"Willingham, Amos",-250359.0841732507
"Church, Marc",-250367.27019528914
"Bote, David",-250368.35647808964
"Uceta, Edwin",-250372.2567237598
"Topa, Justin",-250373.9417799709
"Clemens, Kody",-250382.35894513948
"Stefanic, Michael",-250389.5439525389
"Richardson, Lyon",-250392.4723137604
"McDonald, Trevor",-250394.5118536011
"Loutos, Ryan",-250394.71655399073
"Koch, Matt",-250398.61431911198
"Farmer, Kyle",-250399.74283189993
"Hedges, Austin",-250405.58589717312
"Hicks, Aaron",-250405.71041371062
"Meeker, James",-250405.74470604435
"Burgos, Raymond",-250408.23586887054
"Andrews, Clayton",-250412.36047746686
"Justice, Evan",-250412.82023734399
"Busenitz, Alan",-250416.07325458573
"White, Owen",-250417.1509741689
"Hampson, Garrett",-250418.61889095575
"Tucker, Cole",-250419.9488932129
"Strahm, Matt",-250420.2764727316
"McKinstry, Zach",-250421.56286890584
"Wisdom, Patrick",-250422.29113733873
"Smith, Dominic",-250422.89095321618
"Rivera, Emmanuel",-250423.894236033
"Vargas, Ildemaro",-250423.93870120466
"Cruz, Steven",-250426.66824716367
"Reyes, Pablo",-250427.02144030554
"Gibaut, Ian",-250428.4049133411
"Alvarez, Eddy",-250428.49518346583
"Misiewicz, Anthony",-250432.3767011174
"Cabrera, Oswaldo",-250434.92409730636
"Coleman, Dylan",-250436.43191388572
"Sterner, Justin",-250438.07207038943
"Miller, Owen",-250438.461817417
"Hader, Josh",-250438.81922566213
"Jobe, Jackson",-250441.88796346603
"Speas, Alex",-250443.43026374397
"Krook, Matt",-250443.83638115376
"Rojas, Josh",-250444.05331554302
"Gilbreath, Lucas",-250447.22521512638
"Clase, Emmanuel",-250447.53817758622
"Iglesias, Raisel",-250447.7047223344
"Kiner-Falefa, Isiah",-250450.2407188224
"Edwards Jr., Carl",-250450.77527566862
"Dodd, Dylan",-250454.066901696
"Williams, Luke",-250454.89310402848
"Rortvedt, Ben",-250457.8264754372
"Smith, Pavin",-250458.319314953
"Stubbs, Garrett",-250459.52422398067
"Miller, Mason",-250462.7910387895
"Logue, Zach",-250462.79535215322
"Guillorme, Luis",-250463.29543776714
"Duarte, Daniel",-250463.54671583918
"Hurt, Kyle",-250465.3969764439
"Stephens, Jackson",-250465.65210535072
"Knizner, Andrew",-250465.81973353305
"Loáisiga, Jonathan",-250468.38495137266
"Effross, Scott",-250469.55698474796
"Andriese, Matt",-250471.18668578067
"Uwasawa, Naoyuki",-250471.34676215725
"Kuhnel, Joel",-250473.53652381894
"Boushley, Caleb",-250475.43297346646
"Gillaspie, Logan",-250475.4630974511
"Trevino, Jose",-250475.63825466848
"Kelly, Casey",-250475.63932247143
"Wantz, Andrew",-250475.99030322323
"Davidson, Tucker",-250476.11721583546
"Slaten, Justin",-250479.7295561548
"Buchanan, David",-250480.25103873917
"Hensley, David",-250480.5930175027
"Bubic, Kris",-250482.1131365885
"Smith, Cade",-250483.8151834382
"Gose, Anthony",-250484.2645793637
"Jacques, Joe",-250486.73180018042
"Crismatt, Nabil",-250487.12694239066
"Orze, Eric",-250487.9592320593
"Eder, Jake",-250490.01144013787
"Garcia, Robert",-250490.05465364995
"Kristofak, Zac",-250493.4665295295
"Santos, Gregory",-250493.91979468224
"Yastrzemski, Mike",-250497.54633138646
"Miller, Bryce",-250501.11085294173
"Gutierrez, Vladimir",-250501.45679863356
"Neely, Jack",-250502.152299648
"Crawford, Brandon",-250502.43494873145
"McDermott, Chayce",-250502.61943069578
"Johnson, Seth",-250503.37644126988
"Núñez, Dedniel",-250503.5086185156
"Saalfrank, Andrew",-250504.3824647354
"Lazar, Max",-250504.58665281197
"Reyes, Gerardo",-250504.63950664495
"Lamet, Dinelson",-250504.86164320327
"Rasmussen, Drew",-250505.89814963433
"Tellez, Rowdy",-250506.33693931697
"Pruitt, Austin",-250508.3243114447
"Graterol, Brusdar",-250509.13855354144
"Bruihl, Justin",-250512.62071886286
"Lyles, Jordan",-250513.56727813705
"Adcock, Ty",-250514.42222046878
"Beeter, Clayton",-250516.29969410057
"Antone, Tejay",-250522.8788830242
"Pfaadt, Brandon",-250524.26321121212
"Zuber, Tyler",-250526.04898144794
"Smith-Shawver, AJ",-250526.30348811866
"Teheran, Julio",-250526.6862838246
"Cueto, Johnny",-250526.83899666264
"Villalobos, Eli",-250527.39854396463
"Bowlan, Jonathan",-250529.0381746481
"Campbell, Isaiah",-250530.01766350836
"Zastryzny, Rob",-250530.04932627207
"Nittoli, Vinny",-250530.9711849665
"Bukauskas, J.B.",-250532.29808789425
"Burrows, Mike",-250533.024209953
"Ribalta, Orlando",-250533.0452133145
"Brzykcy, Zach",-250533.11574736668
"Bickford, Phil",-250533.53072443567
"Halvorsen, Seth",-250533.75005402844
"Maciejewski, Josh",-250533.7995994434
"Contreras, Luis",-250534.4300655257
