Player,ScaledRank
"Smith, Cade",-9063886.371282674
"Miller, Mason",-9078395.620221917
"Crochet, Garrett",-9079047.571504166
"Hollowell, Gavin",-9082510.525196763
"Curtiss, John",-9082913.514287483
"Martinez, Nick",-9083668.487461194
"Vanasco, Ricky",-9083763.521870043
"Willingham, Amos",-9083845.492597617
"Farmer, Kyle",-9083937.21797479
"Church, Marc",-9084493.95485509
"White, Owen",-9084659.39516822
"Pratto, Nick",-9084854.379074171
"Topa, Justin",-9084911.247378815
"Lee, Dylan",-9085164.291128263
"Miller, Owen",-9085172.748113615
"Coleman, Dylan",-9085203.801544277
"Busenitz, Alan",-9085272.795896124
"Clemens, Kody",-9085393.806868449
"Bote, David",-9085476.212224038
"Tucker, Cole",-9085569.369744137
"Koch, Matt",-9085594.893095383
"Hampson, Garrett",-9085673.65269585
"McKinstry, Zach",-9085718.880174875
"Smith, Dominic",-9085806.979505282
"Alvarez, Eddy",-9085823.291936463
"Hicks, Aaron",-9085867.966212802
"Loutos, Ryan",-9085921.574141933
"Vargas, Ildemaro",-9085946.596064752
"Cruz, Steven",-9085951.63993998
"Misiewicz, Anthony",-9085955.481791263
"Andrews, Clayton",-9085994.29496335
"Guillorme, Luis",-9086043.730186662
"Reyes, Pablo",-9086050.672065621
"Gibaut, Ian",-9086063.754196268
"Richardson, Lyon",-9086071.420515094
"Wisdom, Patrick",-9086075.157759475
"Burgos, Raymond",-9086136.233279908
"Rivera, Emmanuel",-9086145.672662832
"Meeker, James",-9086175.255707154
"Dodd, Dylan",-9086183.118993303
"Smith, Pavin",-9086257.016216453
"Hedges, Austin",-9086300.842246084
"McDonald, Trevor",-9086322.835256327
"Speas, Alex",-9086382.247047901
"Stefanic, Michael",-9086414.834664742
"Rojas, Josh",-9086454.0395062
"Bubic, Kris",-9086634.233312149
"Kuhnel, Joel",-9086684.04699054
"Justice, Evan",-9086749.44086872
"Lamet, Dinelson",-9086810.974570489
"Cabrera, Oswaldo",-9086819.912450103
"Jobe, Jackson",-9086828.471794438
"Williams, Luke",-9086893.871031668
"Logue, Zach",-9086968.02076753
"Kelly, Casey",-9087000.44072381
"Gose, Anthony",-9087006.645676829
"Pruitt, Austin",-9087055.168736028
"Stubbs, Garrett",-9087069.253178705
"Crismatt, Nabil",-9087075.368528347
"Davidson, Tucker",-9087088.702558404
"Knizner, Andrew",-9087146.85692807
"Jacques, Joe",-9087208.598767273
"Sterner, Justin",-9087251.786415411
"Krook, Matt",-9087275.832300758
"Kiner-Falefa, Isiah",-9087331.031346083
"Littell, Zack",-9087363.271079391
"Trevino, Jose",-9087422.659110907
"Duarte, Daniel",-9087491.587594159
"Eder, Jake",-9087507.476455308
"Boushley, Caleb",-9087596.14317264
"Loáisiga, Jonathan",-9087622.752933053
"Andriese, Matt",-9087678.053220944
"Hensley, David",-9087714.579596907
"Edwards Jr., Carl",-9087729.835652595
"Imanaga, Shota",-9087794.432398677
"Hernandez, Nick",-9087883.241159622
"Gilbreath, Lucas",-9087922.512210654
"Rortvedt, Ben",-9088038.782729078
"Uwasawa, Naoyuki",-9088060.937488547
"Stephens, Jackson",-9088139.538733931
"Hurt, Kyle",-9088216.467545632
"Wantz, Andrew",-9088291.603109995
"Kelly, Kevin",-9088412.598204654
"Orze, Eric",-9088436.546169696
"Buchanan, David",-9088550.49157854
"Junis, Jakob",-9088638.090144457
"Bruihl, Justin",-9088648.630928708
"Megill, Trevor",-9088755.726729387
"Bukauskas, J.B.",-9088769.421666827
"Johnson, Seth",-9088824.751228863
"Lyles, Jordan",-9088864.908153152
"Saalfrank, Andrew",-9088938.352160107
"Tellez, Rowdy",-9088958.33892794
"Graterol, Brusdar",-9088998.854881445
"Reyes, Gerardo",-9089135.09817743
"Effross, Scott",-9089207.110167583
"Yastrzemski, Mike",-9089207.839032495
"Kristofak, Zac",-9089257.971581174
"Villalobos, Eli",-9089293.197673718
"Zuber, Tyler",-9089332.356046345
"Burrows, Mike",-9089386.767104223
"Hernandez, Jose E.",-9089389.792751878
"Crawford, Brandon",-9089400.759133264
"Gillaspie, Logan",-9089432.994513609
"Mena, Cristian",-9089463.173984949
"Zastryzny, Rob",-9089541.904128343
"Beeter, Clayton",-9089549.621810755
"Teheran, Julio",-9089588.415825201
"Graceffo, Gordon",-9089606.74133659
"McDermott, Chayce",-9089636.186830305
"Adcock, Ty",-9089664.1888908
"Smith-Shawver, AJ",-9089771.169666382
"López, Pablo",-9089794.456339842
"Gutierrez, Vladimir",-9089843.757686159
"Antone, Tejay",-9089877.365720838
"Lazar, Max",-9089911.150260756
"Campbell, Isaiah",-9089942.699399864
"Nittoli, Vinny",-9089962.984260796
"Senga, Kodai",-9089968.426749185
"Guerrero, Luis",-9090059.188175084
"Santos, Gregory",-9090136.900535796
"Heasley, Jonathan",-9090208.721649379
"Leibrandt, Brandon",-9090277.959117291
"Henley, Blair",-9090305.27201908
"Vespi, Nick",-9090341.251573175
"Bickford, Phil",-9090392.352517094
"Contreras, Luis",-9090402.789095188
"Kitchen, Austin",-9090404.374022216
"Headrick, Brent",-9090417.59180783
"Bummer, Aaron",-9090429.684151305
"Parsons, Wes",-9090434.444356667
"Winans, Allan",-9090472.641521953
"Ribalta, Orlando",-9090494.135794159
"Dunshee, Parker",-9090545.060957337
"Márquez, Germán",-9090561.033291887
"Henriquez, Edgardo",-9090602.539853988
"Hentges, Sam",-9090623.235463288
"Avila, Nick",-9090644.363407893
"Milner, Hoby",-9090670.154386794
"Brzykcy, Zach",-9090684.072714169
"Castro, Miguel",-9090696.619395206
"Maciejewski, Josh",-9090696.97477128
"Bruján, Vidal",-9090737.171101887
"Cueto, Johnny",-9090750.733736975
"Gilbert, Tyler",-9090780.924631568
"Bowlan, Jonathan",-9090826.56604758
"Bauers, Jake",-9090947.65721937
"Robert, Daniel",-9091009.034414575
"Shaw, Bryan",-9091074.40824244
"Nelson, Kyle",-9091076.914407397
"Rogers, Josh",-9091104.195384992
"Mattson, Isaac",-9091118.894066703
"Eisert, Brandon",-9091119.922551341
"Dobnak, Randy",-9091130.624388054
"Winder, Josh",-9091197.377024334
"Rutledge, Jackson",-9091234.23076052
"Neely, Jack",-9091273.995682914
"Minter, A.J.",-9091364.648771916
"deGrom, Jacob",-9091369.98193594
"Rodríguez, Joely",-9091377.494532263
"Legumina, Casey",-9091383.990094043
"Allard, Kolby",-9091404.098367566
"Espino, Paolo",-9091423.239688324
"Bachar, Lake",-9091423.685304964
"Robertson, Nick",-9091460.16639932
