Player,Rank,OPS
Juan Soto,0.0328454991231579,0.989
Aaron Judge,0.0235268707984281,1.159
Jurickson Profar,0.0227390966717763,0.839
Isaac Paredes,0.0224707045365988,0.739
Jonathan India,0.0194329154605159,0.75
Steven Kwan,0.0165683790208337,0.793
Mookie Betts,0.0163860111119453,0.863
Nolan Schanuel,0.0160424335622052,0.706
Justin Turner,0.0153031812506657,0.737
Nico Hoerner,0.0145875212131698,0.708
Freddie Freeman,0.0135412710864545,0.854
Corbin Carroll,0.0131546725123066,0.749
Randy Arozarena,0.0127602899013316,0.72
Brendan Donovan,0.0126533223331531,0.759
Marcus Semien,0.0124310110687273,0.699
Joey Ortiz,0.0121668385708198,0.726
William Contreras,0.011741971080983,0.831
Jake Cronenworth,0.0110519618168548,0.714
Spencer Steer,0.0110315957680582,0.721
Nathaniel Lowe,0.0107685947447773,0.762
George Springer,0.0106373996501331,0.674
Yordan Álvarez,0.0106346592644636,0.959
Carlos Santana,0.0105906504215594,0.749
Ketel Marte,0.0098179196801612,0.932
Brandon Nimmo,0.0097999559060121,0.727
Jesse Winker,0.0097273567519417,0.764
Yandy Díaz,0.0092850464119036,0.755
Jorge Soler,0.0087285725691566,0.78
Adley Rutschman,0.0084199460440556,0.709
Gunnar Henderson,0.0078580430178964,0.893
Gleyber Torres,0.0076122800969808,0.709
Willy Adames,0.007203639666362,0.794
Ian Happ,0.0070600875796728,0.782
Luis Arráez,0.0069523740059516,0.739
Jj Bleday,0.0067838392470743,0.762
Alex Bregman,0.006736274865231,0.768
Christopher Morel,0.0066185343444967,0.634
Kyle Schwarber,0.0065714686420583,0.851
Josh Smith,0.0063068621248879,0.731
Pete Alonso,0.0060223347871913,0.788
Bryson Stott,0.0058577030605668,0.671
Vinnie Pasquantino,0.0058396398004833,0.76
Willi Castro,0.0055213319820543,0.717
Francisco Lindor,0.005484620824511,0.844
Anthony Santander,0.0053078684478644,0.814
Alex Verdugo,0.0050050803517885,0.647
Sal Frelick,0.0049479742869204,0.655
Bryce Harper,0.0049325326715201,0.898
Alec Bohm,0.0047549881433816,0.779
Matt Chapman,0.0045928149539954,0.79
Marcell Ozuna,0.0045346042410057,0.925
Will Smith,0.0045275980681986,0.76
Seiya Suzuki,0.004455427562799,0.848
Josh Naylor,0.0044494604883887,0.776
Taylor Ward,0.0043844454224218,0.748
Wyatt Langford,0.0042714462300925,0.74
Tyler Stephenson,0.0042548826244031,0.782
Ty France,0.004139389676405,0.67
Nolan Arenado,0.0040492459788433,0.719
Brice Turang,0.0038421451296625,0.665
Christian Walker,0.0037682708891504,0.803
Andrew Mccutchen,0.0035496903756261,0.739
Corey Seager,0.00343448859352,0.864
Jacob Young,0.0029714108028299,0.648
Rhys Hoskins,0.0028874528755718,0.722
José Ramírez,0.0028591668613861,0.872
José Altuve,0.0026446539833778,0.79
Alec Burleson,0.0024251486523567,0.735
Cal Raleigh,0.0023422477434321,0.748
Maikel García,0.0018652949241758,0.614
Shohei Ohtani,0.0015774130398182,1.036
Jake Meyers,0.0014411043179232,0.646
Josh Bell,0.0013357403633252,0.725
Dansby Swanson,0.0013193307029669,0.701
Jeremy Peña,0.0007036565061242,0.701
Michael Busch,0.000508735518753,0.775
Andrew Benintendi,0.0003049157863849,0.685
Zach Neto,0.0002310354121686,0.761
Cody Bellinger,0.0001822494128655,0.751
Cj Abrams,0.0001524792465868,0.747
Riley Greene,-0.0002249590705649,0.827
Andrés Giménez,-0.0006231230471842,0.638
Matt Olson,-0.0006624314102003,0.79
Leody Taveras,-0.0006647043297638,0.641
Masyn Winn,-0.0008248670039422,0.73
Brent Rooker,-0.0009573289740458,0.927
Bryan Reynolds,-0.0010385697271777,0.791
Trea Turner,-0.0010930206548926,0.807
Andrew Vaughn,-0.0011918693933859,0.699
Salvador Pérez,-0.0012170709359759,0.786
Lane Thomas,-0.0013623687256865,0.709
Manny Machado,-0.0014008561317722,0.797
Daulton Varsho,-0.0021141689064698,0.7
Jackson Chourio,-0.0022633207140267,0.791
Rafael Devers,-0.0028778269632638,0.871
Orlando Arcia,-0.0030382808944698,0.625
Matt Vierling,-0.0033553431722261,0.735
Nick Castellanos,-0.0034627757480624,0.742
Jarren Duran,-0.0034748501737959,0.834
Brenton Doyle,-0.0038472862546321,0.764
Colt Keith,-0.0039832232997333,0.689
Ryan Mcmahon,-0.0041688394682413,0.722
Elly De la cruz,-0.0042132516576491,0.809
Logan O'hoppe,-0.0044109200052782,0.712
Eugenio Suárez,-0.0044295585735542,0.788
Anthony Volpe,-0.0046745359831946,0.657
Colton Cowser,-0.0048947618863841,0.768
Yainer Diaz,-0.0049221526148661,0.766
Julio Rodríguez,-0.005552339913057,0.734
Shea Langeliers,-0.0059007546782036,0.739
Ryan Mountcastle,-0.0061417232266567,0.733
Heliot Ramos,-0.0063435089970004,0.792
Brendan Rodgers,-0.0064779416354329,0.721
Adolis García,-0.0067087503495952,0.684
Teoscar Hernández,-0.0070332796600592,0.84
Jackson Merrill,-0.0074548712028072,0.826
Paul Goldschmidt,-0.0076182936626858,0.716
Jesús Sánchez,-0.009263917301596,0.731
Jake Burger,-0.0096481220983495,0.76
Zack Gelof,-0.0108898964287523,0.632
Oneil Cruz,-0.0124516707356258,0.773
Ceddanne Rafaela,-0.0148245728867585,0.664
Bryan De la cruz,-0.017438602731226,0.654
Ezequiel Tovar,-0.0230370035760894,0.763
