Year,Team,RankScore,WinPct,Rank,WinPctRank
2025,NYY,-2166.835550712875,0.619033559689007,1,1
2025,CHC,-2166.9736505741153,0.566288079821675,2,5
2025,MIL,-2166.9779877872056,0.5884547621515183,3,2
2025,TB,-2167.011287967973,0.5095741341425133,4,16
2025,TOR,-2167.0222473678873,0.519601677148847,5,13
2025,DET,-2167.0285821922084,0.5479010806317539,6,7
2025,TEX,-2167.0323086649723,0.5750579918259141,7,4
2025,PHI,-2167.045302470219,0.5655729000743337,8,6
2025,SEA,-2167.0606781224806,0.5260878978133795,9,11
2025,CIN,-2167.0628307933707,0.5139544869042507,10,15
2025,KC,-2167.0782384386325,0.5351291918636614,11,9
2025,LAD,-2167.09942155363,0.575361105296211,12,3
2025,BOS,-2167.154992674853,0.5178534140739194,13,14
2025,NYM,-2167.1847503966387,0.5366977279865983,14,8
2025,HOU,-2167.2263158955466,0.5002720052225003,15,18
2025,CLE,-2167.297505471782,0.48940998487140697,16,19
2025,ARI,-2167.3120879425815,0.5202878273036178,17,12
2025,MIN,-2167.3944538769842,0.46019953300785393,18,22
2025,ATL,-2167.39847628752,0.45465342258691427,19,24
2025,SF,-2167.4132298347304,0.53015941404567,20,10
2025,CWS,-2167.4862814385506,0.4369470205734996,21,27
2025,SD,-2167.5082381123443,0.5073077737767422,22,17
2025,PIT,-2167.541559068284,0.46832020688844483,23,21
2025,OAK,-2167.5471733706368,0.4510443199184921,24,25
2025,BAL,-2167.5539997078554,0.4793042020329037,25,20
2025,STL,-2167.6034596052164,0.4598219075206523,26,23
2025,MIA,-2167.7843563487572,0.4427583359141117,27,26
2025,WSH,-2167.843342080921,0.4150734554236265,28,28
2025,LAA,-2167.8735935702975,0.40467339352097714,29,29
2025,COL,-2169.3720068860234,0.2861635220125786,30,30
