Player,Rank
"Wolfram, Grant",1.9180253212757874
"Perez, Marcelo",1.4668647665157688
"White, Brendan",1.4486906270125577
"Hernandez, Aaron",1.157653846797024
"Onyshko, Ben",1.1460748064217465
"Andrews, Tanner",1.134907827166978
"Case, Brad",1.1272740802187393
"Kingham, Nolan",1.0626377726669338
"Southard, Jared",1.0535370310159793
"Taylor, Evan",1.0318943829486897
"Hernandez, Cristian",1.0075345689057729
"Melean, Alejandro",0.9998220089078101
"Brigden, Trevor",0.9853793910828713
"Reyes, Pablo",0.9781364918400827
"Polancic, Jake",0.9626085550715889
"Roth, Houston",0.9614919557044452
"Misiorowski, Jacob",0.9610324344117829
"Moreta, Dauri",0.9579234928446513
"Smith, Pavin",0.9519193762729965
"Gerber, Joey",0.9497594275507091
"Kelly, Antoine",0.9368829638659354
"Jackson, Gabriel",0.9364883618437673
"Burrows, Beau",0.9177435143638231
"Griffin, David",0.9108229043035596
"Mercedes, Abel",0.9012167968877187
"Polley, Triston",0.8990987394762284
"Watkins, Chase",0.8953944089562688
"Olivárez, Helcris",0.8876986231955526
"McKinstry, Zach",0.8872280788771616
"Robles, Domingo",0.8855486422937152
"Cotter, Cameron",0.8818716029017382
"Zarraga, Alfredo",0.879965321631905
"Bauers, Jake",0.879617292926037
"Lehman, Taylor",0.8780217947396287
"Burgos, Juan",0.8760693204471163
"Bayless, Jarod",0.8753008124324155
"Cabrera, Oswaldo",0.872765730028072
"Gilbert, Geoffrey",0.8705967345988205
"Hanner, Bradley",0.8673735765208271
"Junker, Cameron",0.8672484377878142
"Rozek, Aaron",0.8667693497791168
"White, Owen",0.8654581790308289
"Knizner, Andrew",0.8623771439882999
"Peluse, Colin",0.8611049748916725
"Duplantier, Jon",0.8592569411186417
"Vargas, Ildemaro",0.8588882516289741
"Cooke, Connor",0.854460773577867
"Cruz, José",0.852735951811151
"Jennings, Ryan",0.8512701680162564
"Magno, Andrew",0.8482952895857302
"Effross, Scott",0.8461896358958364
"Tucker, Cole",0.8456797663050979
"Meeker, James",0.8444478571683437
"Then, Juan",0.8426457717067068
"Hoffman, Nolan",0.8417727368272354
"Hicks, Aaron",0.8391777873471539
"Wisdom, Patrick",0.8376136440875368
"Williams, Luke",0.8357179363382624
"Mejia, Juan",0.8352276226511705
"Guillorme, Luis",0.8344478640329474
"Castaño, Blas",0.8327731043936578
"Smith, Chad",0.8265265211171352
"Sena, Reidis",0.8218042039206296
"Smith, Russell",0.8197228317273202
"Otano, Peniel",0.8194730018863
"Underwood Jr., Duane",0.8184393756015125
"Strickland, Austin",0.8179060484871714
"Seymour, Ian",0.8162717293965591
"Moreno, Gerson",0.8147264159820558
"Stefanic, Michael",0.814217953578418
"Stubbs, Garrett",0.8128806613062115
"Baker, Andrew",0.8124555326537288
"Miller, Owen",0.8118771965875152
"Ray, Johnny",0.8077561604426919
"Grammes, Conor",0.8076837917776135
"Henley, Blair",0.8072258295867989
"Kiner-Falefa, Isiah",0.806233783684472
"Covey, Dylan",0.8050529271603474
"Cepeda, Felix",0.8042591202873245
"Tellez, Rowdy",0.8027561561635683
"Hedges, Austin",0.7996822600536009
"Ramos, Wilkin",0.7977920398856141
"Murphy, Luke",0.7924907450089055
"Nunez, Juan",0.7893090778222107
"Rinehart, Logan",0.7888401977831576
"Hensley, David",0.7872849550881812
