Player,ScaledRank
"Wolfram, Grant",5.486255358737667
"Perez, Marcelo",4.195770825636286
"White, Brendan",4.14378612599029
"Hernandez, Aaron",3.311314272081098
"Onyshko, Ben",3.2781939729884604
"Andrews, Tanner",3.2462523197173576
"Case, Brad",3.224417005742376
"Kingham, Nolan",3.0395334774898726
"Southard, Jared",3.013502021024102
"Taylor, Evan",2.951596115706094
"Hernandez, Cristian",2.881918119879683
"Melean, Alejandro",2.859857371698181
"Brigden, Trevor",2.818546191622849
"Reyes, Pablo",2.7978288453277984
"Polancic, Jake",2.7534132553137813
"Roth, Houston",2.750219371899625
"Misiorowski, Jacob",2.748904972591984
"Moreta, Dauri",2.740012260309472
"Smith, Pavin",2.7228382864571263
"Gerber, Joey",2.7166600415086366
"Kelly, Antoine",2.679828636256285
"Jackson, Gabriel",2.678699929854615
"Burrows, Beau",2.625082796235566
"Griffin, David",2.605287315118768
"Mercedes, Abel",2.5778103273531885
"Polley, Triston",2.571751906906386
"Watkins, Chase",2.5611561640138225
"Olivárez, Helcris",2.539143396298461
"McKinstry, Zach",2.5377974670973913
"Robles, Domingo",2.532993662969579
"Cotter, Cameron",2.522475982705011
"Zarraga, Alfredo",2.5170233196374943
"Bauers, Jake",2.516027829989165
"Lehman, Taylor",2.5114641204395873
"Burgos, Juan",2.505879328397859
"Bayless, Jarod",2.5036811138241952
"Cabrera, Oswaldo",2.496429849061736
"Gilbert, Geoffrey",2.490225727215788
"Hanner, Bradley",2.4810063138528364
"Junker, Cameron",2.4806483712141434
"Rozek, Aaron",2.479278003927608
"White, Owen",2.47552757505463
"Knizner, Andrew",2.4667146856599844
"Peluse, Colin",2.4630758158045283
"Duplantier, Jon",2.4577897619250755
"Vargas, Ildemaro",2.456735174863079
"Cooke, Connor",2.4440709650040437
"Cruz, José",2.4391373426187988
"Jennings, Ryan",2.434944663768166
"Magno, Andrew",2.4264354211893395
"Effross, Scott",2.4204124799321605
"Tucker, Cole",2.418954066039801
"Meeker, James",2.415430354424513
"Then, Juan",2.4102757295553103
"Hoffman, Nolan",2.4077785298401997
"Hicks, Aaron",2.4003560233003585
"Wisdom, Patrick",2.395882000332716
"Williams, Luke",2.3904595814091016
"Mejia, Juan",2.3890571045682427
"Guillorme, Luis",2.3868267091452546
"Castaño, Blas",2.382036282791791
"Smith, Chad",2.3641687653015486
"Sena, Reidis",2.3506612074306465
"Smith, Russell",2.3447077201526603
"Otano, Peniel",2.3439931152468407
"Underwood Jr., Duane",2.3410365652571485
"Strickland, Austin",2.3395110542503033
"Seymour, Ian",2.3348363026871723
"Moreno, Gerson",2.3304161399775323
"Stefanic, Michael",2.328961751156003
"Stubbs, Garrett",2.325136605151303
"Baker, Andrew",2.3239205813991846
"Miller, Owen",2.322266328294588
"Ray, Johnny",2.310478654595864
"Grammes, Conor",2.3102716536912427
"Henley, Blair",2.3089617139862835
"Kiner-Falefa, Isiah",2.306124099129283
"Covey, Dylan",2.302746416696462
"Cepeda, Felix",2.300475838116182
"Tellez, Rowdy",2.296176809898732
"Hedges, Austin",2.28738434046757
"Ramos, Wilkin",2.28197761803759
"Murphy, Luke",2.2668139718109357
"Nunez, Juan",2.2577132376031552
"Rinehart, Logan",2.256372068850936
"Hensley, David",2.2519235047601467
"Johnson, Seth",2.249496851103084
"Kouba, Rhett",2.2490452013866813
"Schultz, Andrew",2.248242277654644
"Ashcraft, Braxton",2.24812590298589
"Rojas, Josh",2.242354749815414
"Taveras, Leonardo",2.2411491561885937
"Halligan, Patrick",2.2401428840853668
"Rodriguez, Miguel",2.238210626254716
"Ynoa, Huascar",2.237070196247123
"Franzua, Geronimo",2.2364543251205222
"Alcantara, Raúl",2.228883342142041
"Scroggins, Cody",2.228030506341891
"Leigh, Zac",2.2080936587137736
"Yastrzemski, Mike",2.206051826321321
"Birlingmair, Reid",2.2032082837244817
"Baker, Alec",2.2022424099147506
"Brentz, Jake",2.2020009234905906
"King, Joseph",2.19998441497525
"Vogel, Tyler",2.1943621083738223
"Murdock, Noah",2.1810353219530034
"Michael, Trevin",2.1787548395022345
"Waldrep, Hurston",2.1691757404955347
"Abbott, Cory",2.1639646934099863
"Washington, Mark",2.161506174400364
"Cellucci, Brendan",2.157977595642566
"Mauricio, Alex",2.1574485755437847
"Farmer, Kyle",2.1560147831036383
"Swiney, Nick",2.1465074251664102
"Rivera, Emmanuel",2.1388908562984112
"Winquest, Cade",2.1353919030747552
"Trevino, Jose",2.132015765251542
"Smith, Dominic",2.1311257682395075
"Henry, Cole",2.1302660378012797
"Cusick, Ryan",2.123270028325698
"Bash, Andrew",2.1100473555221657
"Reed, Sheldon",2.1065255030876773
"Crawford, Brandon",2.1042315564179392
"Loutos, Ryan",2.1024454007434485
"Hennen, Ryan",2.0963805948566074
"Politi, Andrew",2.094712424064665
"Seig, Hayden",2.093974518259507
"Rucker, Michael",2.0930932109630382
"Weisenburger, Jack",2.0663276907063106
"Gomez, Michael",2.065213189558287
"Riley, Trey",2.0608754511680356
"Giolito, Lucas",2.060266402933394
"Clemens, Kody",2.0554275626743626
"Gilbreath, Lucas",2.051676667385571
"Velasquez, Luis",2.0458097006664446
"Bote, David",2.0413311020223173
"Quinones, Luis",2.039562376886871
"Patiño, Luis",2.029583512435538
"Houston, Zac",2.0043427382074426
"Meis, Justin",2.000481518780565
"Madison, Ben",1.9986922300071661
"Miley, Wade",1.995724797195485
"Aldegheri, Sam",1.990588179980322
"Martin, Riley",1.9904976894112376
"Cushing, Jack",1.9830606973271898
"Smeltzer, Devin",1.978274395424717
"Gates, Evan",1.9719897392667691
"Nastrini, Nick",1.9682040576990971
"Robberse, Sem",1.9596338200698615
"Burgos, Raymond",1.9502995176528986
"Baum, Tyler",1.9479864209616782
"Saalfrank, Andrew",1.941859296026452
"Bush, Ky",1.9232799388707575
"McDonald, Cole",1.9151099127032096
"Blubaugh, AJ",1.9124889398408211
"Mushinski, Parker",1.9023038278819389
"Jacques, Joe",1.8980558771882798
"Teng, Kai-Wei",1.8962751392124089
"Davidson, Tucker",1.89576194943119
"Holub, Blake",1.8923891682995047
"Pérez, Andrew",1.85790544794418
