Player,Rank,Year,Group,ScoreType
MLBAM_642720,1.4148471303631092,2024,batter,aware
MLBAM_701398,1.3574436578149245,2024,batter,aware
MLBAM_686976,1.3099160683277087,2024,batter,aware
MLBAM_683490,1.3030204198238482,2024,batter,aware
MLBAM_677954,1.2968240186613809,2024,batter,aware
MLBAM_665180,1.2887794158368144,2024,batter,aware
MLBAM_702726,1.2868039797666857,2024,batter,aware
MLBAM_682210,1.286546060586796,2024,batter,aware
MLBAM_688032,1.2721862013201561,2024,batter,aware
MLBAM_694224,1.2682290130643723,2024,batter,aware
"Wolfram, Grant",1.9180253212757874,2024,pitcher,aware
"Perez, Marcelo",1.4668647665157688,2024,pitcher,aware
"White, Brendan",1.4486906270125577,2024,pitcher,aware
"Hernandez, Aaron",1.157653846797024,2024,pitcher,aware
"Onyshko, Ben",1.1460748064217465,2024,pitcher,aware
"Andrews, Tanner",1.134907827166978,2024,pitcher,aware
"Case, Brad",1.1272740802187393,2024,pitcher,aware
"Kingham, Nolan",1.0626377726669338,2024,pitcher,aware
"Southard, Jared",1.0535370310159793,2024,pitcher,aware
"Taylor, Evan",1.0318943829486897,2024,pitcher,aware
