Player,Rank
Brody Moore,2.1008037230409875
Eddinson Paulino,1.9179275876356496
Brennan Orf,1.4984895068428656
Nathan Church,1.4463481409874754
Tyler Robertson,1.4105450139571474
Chris Meyers,1.4062440795935878
Eduarqui Fernandez,1.3959102145098905
Samuel Basallo,1.2901074043380318
Reidy Mercado,1.240946452820971
Dalton Guthrie,1.2147526134506452
Nathan Hickey,1.2013180468621782
Bryce Ball,1.2010589191241747
Tyler Neslony,1.1874314840711873
Adam Zebrowski,1.1867585305812645
Yordys Valdes,1.1725472817690856
Brady House,1.1661896680437907
Caeden Trenkle,1.157598638001835
Nic Kent,1.1390352890231132
Anthony Alford,1.1358900554046274
Marcos Castañon,1.1231486954689385
Reece Walling,1.1219939251042654
Javier Vaz,1.1204199653436397
Kendall Simmons,1.1181941358238672
Cristopher Barete,1.1060159237739184
Karson Simas,1.104310988070036
Leonel Valera,1.0895608274756832
Jackson Feltner,1.0891896706436648
Taylor Kohlwey,1.0844245062033275
Matthew Lugo,1.073972880174197
Trevor Schwecke,1.0641292218038365
Ethan Murray,1.0638827150496986
Austin Hendrick,1.0602247534420886
Brady Allen,1.0539468312487412
Josue Briceño,1.0513888862890282
Duke Ellis,1.0513413309281914
Cody Morissette,1.0467837779417684
Richie Martin,1.0460707540526775
Cam Devanney,1.045197859819568
Tommy Troy,1.044540211984549
Jose Fernandez,1.0401832369201607
Arol Vera,1.0173740452273283
Allan Castro,1.01658573115765
Johnny Tincher,1.0161630008654683
Agustin Ruiz,1.005203892893746
Willy Vasquez,1.0033024142562001
Kade Kern,1.0019834962055558
Jacob Buchberger,1.0003399600817167
Jaden Rudd,0.9955518623388085
Yolbert Sanchez,0.9937079904172151
Bryson Horne,0.9896267851522332
Benjamin Blackwell,0.9884721951452228
Dylan Beavers,0.9798602113391742
Thayron Liranzo,0.9741031567467019
Colin Davis,0.9730639556012969
Eliezer Alfonzo,0.9575174539428898
Josh Hood,0.9548348261650393
Jake Anchia,0.9431748518124928
Carlos Arroyo,0.9383658369124092
Nick Decker,0.9383134843500082
Carson Taylor,0.9334063562952576
Jorge Alfaro,0.9326209786458893
R.J. Yeager,0.9306189229111083
Jake DeLeo,0.9305619124141847
Daniel Mateo,0.9302410295486517
Diego Mosquera,0.9223306227232865
Donta' Williams,0.9184384333373609
Cal Conley,0.9138323934740974
Luke Ritter,0.9067043939831007
Austin Callahan,0.9055119538246265
Josh Zamora,0.9047650598859568
Leo De Vries,0.9026665138857023
JT Schwartz,0.8982667384350934
Zac Veen,0.8828204161863539
Jim Haley,0.8789638537439889
Josh Lester,0.8784057136487181
Austin Nola,0.8773637834818923
Alex McGarry,0.8664630431586474
Keyber Rodriguez,0.8646755947471935
Yoyner Fajardo,0.8616573496979812
Jeremiah Jackson,0.8543086882502368
Ernesto Martinez Jr.,0.8487751493210639
Jordan McCants,0.824447608684196
Diego Velasquez,0.8208990153127423
Ricardo Genovés,0.8173523478074608
Esteban Quiroz,0.8129073580388347
Frainyer Chavez,0.8092874375628306
Logan Porter,0.8032741858376272
Ryan Vilade,0.8026753054626464
Jackson Glenn,0.8000741548795064
Simon Juan,0.7970769180869942
Trevor Werner,0.794565374297986
Andres Sosa,0.7941322120097424
Pres Cavenaugh,0.7931969381853331
Yanquiel Fernández,0.7748964142094082
Mark Coley II,0.7612476682890991
Jhonny Pereda,0.7606940050316823
Miguel Palma,0.759870903591349
Jax Biggers,0.7589272155203833
Christian Cairo,0.7587091586855931
José Devers,0.7515232728431464
Jesus Valdez,0.7501068078677039
Alex Freeland,0.7494967082368903
Dylan O'Rae,0.7429644688534683
Agustín Ramírez,0.7415582716002919
Andy Blake,0.7412236523351573
Corey Rosier,0.734707448265061
Blaze Jordan,0.7291095160629629
Liam Hicks,0.7287794747123942
Josh Breaux,0.7241667340452232
Aaron Palensky,0.724099206344515
Cade Bunnell,0.7237468245745683
Andrew Pinckney,0.7157461135706543
Juan Mora,0.7127563849949617
Carlos Mendoza,0.7020949342295387
Devonte Brown,0.6987234917354953
Chris Okey,0.6965866687726853
Enmanuel Bonilla,0.6908635035568728
Charlie Pagliarini,0.684877853912005
Roderick Arias,0.6780725491542811
Cutter Coffey,0.6757741669919565
Brendon Davis,0.6723317029710288
Cole Young,0.6717760412435437
Carlos Santiago,0.6708939059287061
Chase Meidroth,0.6581312088762837
Roberto Pérez,0.6562869949633979
Hunter Stovall,0.6504770143501223
Luis Arráez,0.6501023907101199
Alex De goti,0.6429531955779054
Keoni Cavaco,0.6353697285742701
José Altuve,0.6274182123892705
Denzer Guzman,0.627231043889273
Garret Forrester,0.6261551501244337
Brett Johnson,0.6225653698925404
Termarr Johnson,0.6217724935191112
Jancarlos Cintron,0.6156780311772991
Alexander Ovalles,0.6142922940908907
Andrew Knapp,0.6119413579498012
Jack López,0.609968706385414
Leury García,0.6099458581411147
William Bergolla,0.6097038135236201
Jhon Diaz,0.6006349614725837
Israel Pineda,0.5947831821778812
Casey Opitz,0.5835162893078478
Willie Maciver,0.5830791560192871
Jorel Ortega,0.579901772817789
Jason Matthews,0.5788277254306948
Vladimir Guerrero,0.5775662618752689
Kameron Misner,0.576446980460369
Payton Henry,0.5653292326290392
Colt Keith,0.5640557001185703
Jack Winkler,0.563875524584146
Ruben Cardenas,0.5554724964789891
Colby Halter,0.5486198672408514
Tyler Miller,0.5474596917891827
E.J. Exposito,0.5472652112798984
Jeremy Rivas,0.5430619734007657
Jordan Groshans,0.5397755984898239
Darren Baker,0.5355458505428633
RJ Schreck,0.5309703198800788
Blake Hunt,0.5295279220971383
Cody Milligan,0.5241259249450523
Colton Ledbetter,0.5203993222386231
Yandy Díaz,0.5147362822788936
Javier Sanoja,0.5142941926698702
José Tena,0.5139548283592956
Pedro Martinez,0.5123186560313625
Trea Turner,0.5120126109673534
Eric Wagaman,0.5066332139290316
Bobby Witt,0.5042305066736873
Hernán Pérez,0.5029677671974753
Alec Burleson,0.5021096494461487
Tristin English,0.5016659499491415
Yordan Álvarez,0.4986229445188295
Joe Naranjo,0.4979458238669826
Cristopher Navarro,0.49507120131086757
Yainer Diaz,0.4896928567697142
Jack Hurley,0.4860279196595505
Steven Kwan,0.4842026064954785
Fabian Pertuz,0.47844316999690983
Everson Pereira,0.47190479195831003
Aaron Sabato,0.47188627741056965
Julio Carreras,0.4650337454111565
Kevin Kilpatrick Jr.,0.4631623577669838
Eddy Rodriguez,0.46097083591817944
Julio Rodríguez,0.45962323368113256
Will Banfield,0.4583576879341188
Wade Meckler,0.4513932058948916
Hao-Yu  Lee,0.45023507471064594
Jose Iglesias,0.4500105697705624
Ezequiel Tovar,0.4471362507499661
William Contreras,0.4428129376026637
Tres Gonzalez,0.44263254806955477
Shohei Ohtani,0.44189817082027605
Jake Burger,0.4404707181305998
Wes Clarke,0.44021794436559314
Otto Lopez,0.4395731304702206
Alex Bregman,0.43616475548477196
Manny Machado,0.43382240063340227
Corey Seager,0.43210954457089934
Ryan O'hearn,0.431400456512016
Lewin Díaz,0.4269698031673773
Matt Gorski,0.4249393041894005
Tommy Pham,0.4233815541627036
Harry Ford,0.4228612911614895
BJ Murray Jr.,0.42120384465484206
Bligh Madris,0.4210989154349647
Eric Rodriguez,0.4148923969593865
Gavin Lux,0.4140140387081943
Dylan Rock,0.41326035271564876
Kevin Newman,0.4126854324053508
Gunnar Henderson,0.4080339029836322
Christian Franklin,0.4069949108129277
Eduardo Escobar,0.4043059812960371
Michael Turconi,0.40382991180537187
Nick Pratto,0.4035260111531406
Dominic Keegan,0.40205314153586746
Ryan Mountcastle,0.4004170553770301
Brice Turang,0.4001237270202401
Carlos Correa,0.39941284424251744
Pablo Sandoval,0.3986978536888969
Justin Dirden,0.3984519358253481
Juan Baez,0.3976534389750138
Drew Swift,0.3966429122702062
Miguel Hiraldo,0.3956449116225449
Mark Vientos,0.3932414813306543
César Prieto,0.39228776928531806
Chad Wallach,0.3871859481116563
Alec Bohm,0.38414415142395875
Mookie Betts,0.3832771662555007
Rafael Devers,0.38220653551779793
Will Brennan,0.3801770180100782
Brent Rooker,0.3761668688549843
Jeremy Peña,0.37486874282588956
Brendan Rodgers,0.3742118138775461
Salvador Pérez,0.37410226786043776
Henry Bolte,0.3737375736307097
Teoscar Hernández,0.3733727685591727
Keibert Ruiz,0.373184355524379
Maikel García,0.37286984096362297
Jackson Merrill,0.3724092570741131
Nick Castellanos,0.3715938277257802
Lourdes Gurriel,0.37013471128490893
Tyler Gentry,0.36996550103051007
Ryan Mcmahon,0.3687696108347076
Bryan Reynolds,0.3684315161436579
Jesús Bastidas,0.36655509006536535
Jakey Josepha,0.3651801755803592
Matt Scheffler,0.36238204278694897
Amed Rosario,0.36172510363570165
Josue De Paula,0.361072837614286
Isiah Kiner-falefa,0.3602096612833737
Michael Harris,0.36003289342497513
Frederick Bencosme,0.3591650962567907
Fernando Tatís,0.35735697509538944
Luis García,0.3568310108042638
Hoy Park,0.35680844267210265
Juan Yepez,0.3558202869345629
Masataka Yoshida,0.35363370704177255
Ezequiel Duran,0.35266986598390093
José Miranda,0.3516135393088806
Aaron Judge,0.35062150498919675
Eduardo Lopez,0.34990928585039893
Terence Doston,0.34985225811476084
Bryan De la cruz,0.3497240827697885
Paul Goldschmidt,0.346239451088885
Josh Crouch,0.3443159275851404
Oneil Cruz,0.342128677684279
Heliot Ramos,0.34177223628163445
Marcell Ozuna,0.34103027376516537
Miguel Andújar,0.33998095795492156
Tsung-che Cheng,0.3395573529784839
TT Bowens,0.3389440497223729
Freddie Freeman,0.3383004977275711
Jackson Chourio,0.3382103169998121
Josh Rojas,0.3381455734227141
Chase Pinder,0.33765861244314843
Emmanuel Rodriguez,0.337141769479101
Nick Lorusso,0.33650288116880345
Matt Vierling,0.3353345349071297
Pavin Smith,0.33530048379495325
Charlie Blackmon,0.33426690004103576
José Ramírez,0.33315300881789134
Francisco Mejía,0.33170575900808685
Francisco Lindor,0.3290197410520256
Taylor Ward,0.32797133019075875
J.C. Correa,0.32744232483239655
Cody Bellinger,0.3272968361223413
Ke'bryan Hayes,0.327127679827232
Juan Soto,0.3244452823344187
