Player,Rank
"Robles, Benony",1.4209572445867409
"Luna, Gil",1.2782696648164231
"Chirino, Harold",1.1996626600936309
"Camarena, Daniel",1.1679903563158032
"Silva, Eric",1.1102836676035825
"Mercedes, Juan",1.0806280308914453
"Harris, Hayden",1.0529961715600094
"Brock, T.J.",1.0441573129768804
"Roby, Tekoah",1.0436966998447081
"Dreyer, Jack",1.0424256937738339
"Mayers, Mike",1.036255214840212
"Madison, Ben",1.0222482291920387
"Cerantola, Eric",1.0056834934134244
"Ponce, Gabriel",0.9994752997805912
"Skubal, Tarik",0.9982572752976291
"Mauricio, Alex",0.9956827745004364
"Misiorowski, Jacob",0.977473815495429
"Pérez, Andrew",0.9701022958372849
"Mendoza, Abdiel",0.9523836423890699
"Wheeler, Zack",0.936344411710281
"Dashwood, Jack",0.9329101780110577
"Gray, Sonny",0.927801472815497
"Cole, Gerrit",0.9272794522740684
"Jones, Nick",0.9256210178649396
"Glasnow, Tyler",0.9113796698958494
"Manaea, Sean",0.9108618588410061
"Kikuchi, Yusei",0.9097948564542571
"Skenes, Paul",0.8961446691451055
"Ragans, Cole",0.8944767446421471
"King, Michael",0.8942962793596742
"Ober, Bailey",0.8905064675624116
"Nola, Aaron",0.8861927193821323
"Bibee, Tanner",0.8777105438291032
"Gilbert, Logan",0.8709939172873722
"Burgos, Juan",0.867234979995828
"Greene, Hunter",0.8667564189603261
"Sena, Reidis",0.8647539818525107
"Cease, Dylan",0.864722781460915
"Gil, Luis",0.864167660087136
"Burnes, Corbin",0.860597164129385
"Crawford, Kutter",0.8535737718210831
"Ford, Kasey",0.8508197137685074
"Encarnacion, Juan Daniel",0.8506120032977307
"Reyes, Angel",0.8489900112801793
"Rodón, Carlos",0.8402291037446605
"Kirby, George",0.8299462689943796
"López, Pablo",0.8285497567936274
"Brown, Hunter",0.828352593701264
"Severino, Luis",0.8280531408402118
"Montas, Frankie",0.8216449782129739
"Gore, MacKenzie",0.8204451215366457
"Flaherty, Jack",0.818309126788532
"Sale, Chris",0.8179290247954678
"Valdez, Framber",0.8153267792281262
"Moreno, Luis",0.8124689047384464
"Wolfram, Grant",0.8122748928988247
"Ryan, Joe",0.8069091779186215
"Yamamoto, Yoshinobu",0.8044436540331766
"Leigh, Zac",0.7996744205083859
"Moore, Andrew",0.7928188500594736
"Steele, Justin",0.7926765936252052
"Detmers, Reid",0.7880934937409388
"Lugo, Seth",0.7858920843457688
"Pham, Alex",0.7857739051166928
"Pivetta, Nick",0.7825805100678697
"Plassmeyer, Michael",0.7816696325478439
"Alldred, Cam",0.7786259073209313
"Irvin, Jake",0.7776817134732736
"Bassitt, Chris",0.7756379221158192
"Mautz, Brycen",0.7749473788884353
"Pfaadt, Brandon",0.7683991423183849
"Schwellenbach, Spencer",0.7668136780248848
"Peralta, Freddy",0.7619007083727563
"Bello, Brayan",0.7595109237842645
"Waldron, Matt",0.7589149543102234
"Gausman, Kevin",0.7577424747014445
"Webb, Logan",0.7566975189410627
"Rodriguez, Osiel",0.7548210030667999
"Imanaga, Shota",0.754285758438366
"Taillon, Jameson",0.7507168089361458
"Petit, RJ",0.7492199063409725
"Gibson, Kyle",0.7487184030593972
"Anderson, Tyler",0.7451786455345415
"Houck, Tanner",0.7427233470969505
"Suárez, Ranger",0.7405879205284357
"Miller, Bryce",0.7399607970840452
"Castillo, Luis",0.7395953155789846
"Bradley, Taj",0.7388616459782554
"Eflin, Zach",0.7387276094485138
"Cortes, Nestor",0.7376659355138745
"Rodriguez, Grayson",0.7362266133803133
"Yoho, Craig",0.7354405785985861
"Littell, Zack",0.7348030322138511
"Williams, Gavin",0.7329339306056863
"Fedde, Erick",0.7315625111240623
"Sánchez, Cristopher",0.7302058252885832
"Megill, Tylor",0.7263429606350625
"MacGregor, Travis",0.7224338423247563
"Darvish, Yu",0.7150573622583503
"Mikolas, Miles",0.7126625107259624
"Eovaldi, Nathan",0.7107668214593036
"Singer, Brady",0.7097840768158186
"Quintana, Jose",0.7094835827665779
"Snell, Blake",0.7085433008272363
"Lynn, Lance",0.7081478778827702
"Sears, JP",0.7070811851600945
"Blanco, Ronel",0.7062629964843398
"Myers, Tobias",0.6928339026154634
"Estes, Joey",0.6891696070082898
"Wacha, Michael",0.688770660398145
"Heaney, Andrew",0.6875308972830898
"Woo, Bryan",0.6859223940648761
"Herz, DJ",0.6795222160581489
"Doyle, Tommy",0.6781531692352688
"Crochet, Garrett",0.6755860650912312
"Keller, Mitch",0.6749274396907786
