Player,Rank,Year,Group,ScoreType
Brody Moore,2.1008037230409875,2024,batter,frequency
Eddinson Paulino,1.9179275876356496,2024,batter,frequency
Brennan Orf,1.4984895068428656,2024,batter,frequency
Nathan Church,1.4463481409874754,2024,batter,frequency
Tyler Robertson,1.4105450139571474,2024,batter,frequency
"Robles, Benony",1.4209572445867409,2024,pitcher,frequency
"Luna, Gil",1.2782696648164231,2024,pitcher,frequency
"Chirino, Harold",1.1996626600936309,2024,pitcher,frequency
"Camarena, Daniel",1.1679903563158032,2024,pitcher,frequency
"Silva, Eric",1.1102836676035825,2024,pitcher,frequency
