Year,G,ARI,ATL,BAL,BOS,CHC,CHW,CIN,CLE,COL,DET,HOU,KCR,LAA,LAD,MIA,MIL,MIN,NYM,NYY,OAK,PHI,PIT,SDP,SFG,SEA,STL,TBR,TEX,TOR,WSN
2020,60,25,35,25,24,34,35,31,35,26,23,29,26,26,43,31,29,36,26,33,36,28,19,37,29,27,30,40,22,32,26
2019,162,85,97,54,84,84,72,75,93,71,47,107,59,72,106,57,89,101,86,103,97,81,69,70,77,68,91,96,78,67,93
2018,163,82,90,47,108,95,62,67,91,91,64,103,58,80,92,63,96,78,77,100,97,80,82,66,73,89,88,90,67,73,82
2017,162,93,72,75,93,92,67,68,102,87,64,101,80,80,104,77,86,85,70,91,75,66,75,71,64,78,83,80,78,76,97
2016,162,69,68,89,93,103,78,68,94,75,86,84,81,74,91,79,73,59,87,84,69,71,78,68,87,86,86,68,95,89,95
2015,162,79,67,81,78,97,76,64,81,68,74,86,95,85,92,71,68,83,90,87,68,63,98,74,84,76,100,80,88,93,83
2014,162,64,79,96,71,73,73,76,85,66,90,70,89,98,94,77,82,70,79,84,88,73,88,77,88,87,90,77,67,83,96
2013,163,81,96,85,97,66,63,90,92,74,93,51,86,78,92,62,74,66,74,85,96,73,94,76,76,71,97,92,91,74,86
2012,162,81,94,93,69,61,85,97,68,64,88,55,72,89,86,69,83,66,74,95,94,81,79,76,94,75,88,90,93,73,98
2011,162,94,89,69,90,71,79,79,80,73,95,56,71,86,82,72,96,63,77,97,74,102,72,71,86,67,90,91,96,81,80
2010,162,65,91,66,89,75,88,91,69,83,81,76,67,80,80,80,77,94,79,95,81,97,57,90,92,61,86,96,90,85,69
