,Player,Rank
0,A.J. Burnett,6.222442195208645
1,Aaron Cook,-1.6559033310680473
2,Aaron Crow,-0.4230796424722575
3,Aaron Harang,5.211995679952963
4,Aaron Heilman,-2.3177921435790947
5,Aaron Laffey,-2.5700930530714956
6,Aaron Thompson,-4.415718436144314
7,Adam Russell,-2.961391320058801
8,Adam Wilk,-3.0430849705010106
9,Addison Reed,0.8606080560584931
10,Al Alburquerque,0.8457218035710341
11,Alan Johnson,-0.9507519772565535
12,Alberto Castillo,-3.617359931804243
13,Alex Burnett,-2.046256268784141
14,Alex Cobb,2.3022446707384545
15,Alex Sanabia,-1.4747914389612802
16,Alex Torres,-1.171805532020106
17,Alex White,0.802133106901274
18,Alexi Ogando,5.789909330008753
19,Alfredo Aceves,1.859753254692966
20,Alfredo Simon,2.9558784040414143
21,Amauri Sanit,-2.841579536003161
22,Andrew Bailey,-1.95032586368151
23,Andrew Carignan,-3.1415540968674422
24,Andrew Miller,0.9133615035634053
25,Andy Oliver,-1.827786355416121
26,Andy Sonnanstine,-2.713824320340504
27,Aneury Rodriguez,-0.5688931616869332
28,Anibal Sanchez,6.5676882337376234
29,Anthony Bass,-2.337912008516327
30,Anthony Slama,-1.4839818127355924
31,Anthony Swarzak,0.11296304867210137
32,Anthony Varvaro,-2.24151608962982
33,Anthony Vasquez,-0.6870932334041269
34,Antonio Bastardo,-0.15251383894780904
35,Armando Galarraga,0.3876727467335604
36,Arodys Vizcaino,-1.4136232196303005
37,Aroldis Chapman,0.6083440739613669
38,Arthur Rhodes,-2.892124093911552
39,Barry Enright,-1.3421440816680117
40,Barry Zito,-1.4559414772089625
41,Bartolo Colon,7.060623144443797
42,Bill Bray,-2.2752397431606033
43,Blake Beavan,3.0715498648326176
44,Blake Hawksworth,-2.332868021771367
45,Blake Wood,-1.6369800113976445
46,Bobby Cassevah,-2.4492090927513988
47,Bobby Cramer,-2.206979924859954
48,Bobby Jenks,-1.8991961283363106
49,Bobby Parnell,-0.5350587251917472
50,Boone Logan,1.2848079879001666
51,Brad Bergesen,0.4322673703983926
52,Brad Brach,0.529281894523876
53,Brad Hand,0.9408406626387429
